"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"01/05/2026","152,46","152,32","152,62","152,32","","0,09%"
"30/04/2026","152,32","152,60","152,97","152,18","","-0,18%"
"29/04/2026","152,59","152,66","152,81","152,17","","-0,05%"
"28/04/2026","152,66","152,28","152,84","151,73","","0,25%"
"27/04/2026","152,28","152,32","152,90","152,00","","-0,06%"
"26/04/2026","152,37","152,37","152,37","152,37","","-0,33%"
"24/04/2026","152,87","152,66","152,88","152,21","","0,14%"
"23/04/2026","152,66","151,98","152,77","151,47","","0,45%"
"22/04/2026","151,98","151,92","152,27","151,15","","0,04%"
"21/04/2026","151,92","151,64","152,02","151,15","","0,19%"
"20/04/2026","151,63","151,64","151,97","151,28","","-0,02%"
"17/04/2026","151,66","151,30","151,74","150,98","","0,24%"
"16/04/2026","151,30","151,63","151,65","150,99","","-0,22%"
"15/04/2026","151,63","151,43","154,26","151,18","","0,13%"
"14/04/2026","151,43","152,46","152,90","151,18","","-0,68%"
"13/04/2026","152,46","152,80","152,86","152,34","","-0,22%"
"10/04/2026","152,80","153,21","153,32","152,54","","-0,27%"
"09/04/2026","153,21","152,73","153,34","152,51","","0,31%"
"08/04/2026","152,73","154,43","154,47","152,51","","-1,10%"
"07/04/2026","154,43","154,77","155,04","154,31","","-0,22%"
"06/04/2026","154,77","154,91","155,12","154,31","","-0,09%"
"03/04/2026","154,91","154,91","155,00","154,41","","0,00%"
"02/04/2026","154,91","154,25","156,98","153,60","","0,43%"
"01/04/2026","154,25","155,72","156,96","154,07","","-0,94%"
"31/03/2026","155,72","155,61","155,84","154,65","","0,07%"
"30/03/2026","155,61","155,00","155,62","154,40","","0,41%"
"27/03/2026","154,97","154,50","155,03","154,07","","0,30%"
"26/03/2026","154,50","154,02","157,25","153,39","","0,31%"
"25/03/2026","154,02","153,95","154,16","153,39","","0,05%"
"24/03/2026","153,95","154,75","154,95","153,52","","-0,52%"
"23/03/2026","154,75","155,72","155,76","154,57","","-0,62%"
"20/03/2026","155,72","155,72","155,82","155,32","","0,00%"
"19/03/2026","155,72","154,71","156,17","154,70","","0,65%"
"18/03/2026","154,71","155,47","155,55","154,18","","-0,41%"
"17/03/2026","155,34","156,26","156,79","154,93","","-0,60%"
"16/03/2026","156,27","155,66","157,23","151,63","","0,39%"
"13/03/2026","155,66","154,64","155,91","153,73","","0,75%"
"12/03/2026","154,50","153,55","154,73","153,07","","0,62%"
"11/03/2026","153,55","153,48","154,04","153,03","","0,05%"
"10/03/2026","153,48","154,64","154,67","153,17","","-0,75%"
"09/03/2026","154,64","153,69","154,65","153,47","","0,53%"
"06/03/2026","153,82","153,83","154,03","153,33","","-0,01%"
"05/03/2026","153,83","153,62","153,91","153,24","","0,14%"
"04/03/2026","153,62","153,37","153,83","151,78","","0,18%"
"03/03/2026","153,34","152,46","153,40","151,64","","0,58%"
"02/03/2026","152,46","151,31","152,54","151,28","","0,77%"
"27/02/2026","151,30","151,17","151,43","150,79","","0,09%"
"26/02/2026","151,17","150,96","151,43","150,65","","0,14%"
"25/02/2026","150,96","151,06","153,45","150,71","","-0,07%"
"24/02/2026","151,06","151,78","151,81","151,02","","-0,47%"
"23/02/2026","151,78","151,85","151,87","151,03","","-0,05%"
"20/02/2026","151,85","150,83","153,45","150,52","","0,68%"
"19/02/2026","150,83","150,90","151,78","150,51","","-0,05%"
"18/02/2026","150,90","150,99","151,78","150,35","","-0,06%"
"17/02/2026","150,99","150,70","151,12","150,41","","0,19%"
"16/02/2026","150,70","150,71","150,73","150,68","","0,09%"
"13/02/2026","150,56","150,42","150,83","150,28","","0,09%"
"12/02/2026","150,42","149,88","150,56","149,60","","0,36%"
"11/02/2026","149,88","150,71","151,51","149,60","","-0,55%"
