"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"01/05/2026","412,13","411,97","413,62","411,97","","-0,36%"
"30/04/2026","413,62","409,41","413,69","408,41","","0,98%"
"29/04/2026","409,59","409,76","410,48","407,92","","-0,05%"
"28/04/2026","409,79","410,37","411,03","407,43","","-0,15%"
"27/04/2026","410,40","409,15","412,97","408,86","","-0,10%"
"24/04/2026","410,80","409,29","411,00","407,78","","0,36%"
"23/04/2026","409,31","408,37","410,31","406,56","","0,24%"
"22/04/2026","408,32","408,40","409,62","406,29","","-0,02%"
"21/04/2026","408,41","408,05","409,08","405,97","","0,04%"
"20/04/2026","408,24","406,81","409,20","405,75","","0,36%"
"17/04/2026","406,76","405,50","408,10","404,59","","0,30%"
"16/04/2026","405,54","405,35","406,36","404,27","","0,05%"
"15/04/2026","405,32","404,01","412,33","402,86","","0,31%"
"14/04/2026","404,05","406,03","408,49","403,12","","-0,48%"
"13/04/2026","406,00","405,50","407,06","404,39","","0,13%"
"10/04/2026","405,49","407,51","407,64","404,81","","-0,44%"
"09/04/2026","407,29","405,15","407,79","404,24","","0,53%"
"08/04/2026","405,15","408,43","410,37","404,24","","-0,82%"
"07/04/2026","408,48","408,66","409,55","407,07","","-0,05%"
"06/04/2026","408,67","408,40","409,57","406,97","","0,17%"
"03/04/2026","407,99","408,77","408,93","406,68","","-0,20%"
"02/04/2026","408,79","408,29","414,60","405,94","","0,12%"
"01/04/2026","408,29","411,04","415,32","407,03","","-0,67%"
"31/03/2026","411,05","410,48","411,39","407,80","","0,13%"
"30/03/2026","410,51","410,90","411,12","407,19","","0,20%"
"27/03/2026","409,68","409,41","411,03","407,84","","0,06%"
"26/03/2026","409,44","409,63","417,63","407,10","","-0,05%"
"25/03/2026","409,64","410,87","411,55","407,95","","-0,30%"
"24/03/2026","410,89","414,04","414,62","409,37","","-0,77%"
"23/03/2026","414,09","416,92","418,07","413,50","","-0,65%"
"20/03/2026","416,81","416,35","417,67","415,52","","0,11%"
"19/03/2026","416,34","413,82","418,30","413,29","","0,61%"
"18/03/2026","413,80","416,70","417,38","412,67","","-0,69%"
"17/03/2026","416,68","419,39","420,76","415,42","","-0,65%"
"16/03/2026","419,39","416,99","422,43","406,32","","0,63%"
"13/03/2026","416,78","416,03","418,03","411,11","","0,19%"
"12/03/2026","416,01","414,91","417,74","412,83","","0,27%"
"11/03/2026","414,91","415,12","417,17","413,42","","-0,05%"
"10/03/2026","415,13","418,02","419,45","414,12","","-0,69%"
"09/03/2026","418,03","415,04","418,90","414,32","","0,38%"
"06/03/2026","416,43","413,09","416,75","412,61","","0,79%"
"05/03/2026","413,15","413,63","414,45","410,44","","-0,10%"
"04/03/2026","413,55","411,84","414,39","407,55","","0,43%"
"03/03/2026","411,78","409,47","412,60","404,97","","0,55%"
"02/03/2026","409,51","407,07","409,99","405,09","","0,54%"
"27/02/2026","407,31","405,93","408,18","405,43","","0,36%"
"26/02/2026","405,86","405,32","407,06","403,68","","0,09%"
"25/02/2026","405,49","404,92","412,11","404,21","","0,14%"
"24/02/2026","404,94","407,04","407,22","404,16","","-0,52%"
"23/02/2026","407,04","407,70","408,68","405,03","","-0,15%"
"20/02/2026","407,67","404,97","411,59","403,47","","0,67%"
"19/02/2026","404,94","404,67","407,91","403,19","","0,07%"
"18/02/2026","404,67","406,65","408,43","403,56","","-0,49%"
"17/02/2026","406,66","405,90","407,09","403,85","","0,19%"
"16/02/2026","405,87","406,54","406,91","405,80","","-0,05%"
"13/02/2026","406,08","405,94","407,25","404,75","","0,03%"
"12/02/2026","405,95","405,48","407,06","402,97","","0,12%"
"11/02/2026","405,47","408,42","411,43","404,01","","-0,72%"
"10/02/2026","408,42","410,26","410,86","405,51","","-0,45%"
"09/02/2026","410,26","407,33","410,44","406,54","","0,90%"
"06/02/2026","406,60","405,30","408,09","403,62","","0,32%"
"05/02/2026","405,32","406,28","407,43","403,17","","-0,22%"
"04/02/2026","406,20","406,88","407,25","405,22","","-0,16%"
"03/02/2026","406,85","404,21","413,82","403,16","","0,65%"
"02/02/2026","404,21","404,53","406,28","400,94","","0,16%"
"30/01/2026","403,56","406,00","408,01","403,08","","-0,61%"
"29/01/2026","406,05","403,48","414,60","402,94","","0,65%"
"28/01/2026","403,44","406,78","413,15","401,94","","-0,87%"
"27/01/2026","406,99","403,99","408,15","402,03","","0,75%"
"26/01/2026","403,96","407,60","410,01","403,48","","-0,95%"
"23/01/2026","407,83","405,89","408,07","404,37","","0,49%"
"22/01/2026","405,86","404,59","407,47","403,37","","0,31%"
"21/01/2026","404,61","406,14","408,78","404,25","","-0,34%"
"20/01/2026","405,98","406,50","409,06","405,73","","-0,13%"
"19/01/2026","406,50","406,02","406,97","405,71","","0,17%"
"16/01/2026","405,82","406,07","407,84","405,40","","-0,03%"
"15/01/2026","405,95","405,58","406,33","404,31","","0,09%"
"14/01/2026","405,59","404,99","405,94","404,69","","0,16%"
"13/01/2026","404,94","404,88","405,93","404,21","","0,04%"
"12/01/2026","404,77","405,11","406,38","404,27","","-0,06%"
"09/01/2026","405,00","405,05","406,12","403,90","","0,00%"
"08/01/2026","405,02","404,37","406,79","403,78","","0,16%"
"07/01/2026","404,36","404,32","406,84","403,87","","0,02%"
"06/01/2026","404,27","406,99","407,40","404,14","","-0,66%"
"05/01/2026","406,97","406,64","407,58","404,21","","0,04%"
"02/01/2026","406,82","407,34","408,04","405,17","","-0,10%"
"01/01/2026","407,23","407,31","407,31","407,23","","-0,02%"
"31/12/2025","407,31","406,95","413,22","405,88","","0,11%"
"30/12/2025","406,86","405,73","407,41","405,71","","0,27%"
"29/12/2025","405,75","407,60","407,87","405,72","","-0,41%"
"26/12/2025","407,40","406,57","407,76","406,41","","0,20%"
"25/12/2025","406,57","406,84","407,00","406,48","","-0,04%"
"24/12/2025","406,75","408,89","409,61","406,56","","-0,54%"
"23/12/2025","408,95","407,11","409,03","406,22","","0,45%"
"22/12/2025","407,13","405,92","410,48","405,64","","0,34%"
"19/12/2025","405,75","405,36","407,13","404,58","","0,08%"
"18/12/2025","405,42","406,41","407,06","404,54","","-0,24%"
"17/12/2025","406,41","405,29","407,10","404,41","","0,28%"
"16/12/2025","405,29","405,91","407,42","404,99","","-0,17%"
"15/12/2025","406,00","405,70","406,46","404,96","","0,07%"
"12/12/2025","405,70","407,34","407,90","404,61","","-0,42%"
"11/12/2025","407,40","408,60","409,33","406,57","","-0,28%"
"10/12/2025","408,56","406,87","409,19","406,19","","0,40%"
"09/12/2025","406,93","406,01","407,74","405,23","","0,25%"
"08/12/2025","405,92","406,79","410,93","405,82","","-0,30%"
"05/12/2025","407,14","403,16","407,29","403,06","","0,98%"
"04/12/2025","403,18","403,75","404,15","401,93","","-0,14%"
"03/12/2025","403,75","407,59","408,61","402,45","","-0,96%"
"02/12/2025","407,66","406,82","407,78","403,33","","0,20%"
"01/12/2025","406,83","407,52","408,08","403,50","","0,62%"
"28/11/2025","404,32","405,89","408,62","400,02","","-0,39%"
"27/11/2025","405,90","405,53","405,99","402,48","","0,09%"
"26/11/2025","405,53","403,98","405,70","402,07","","0,38%"
"25/11/2025","403,98","403,29","404,36","402,54","","0,15%"
"24/11/2025","403,37","403,80","404,38","401,17","","-0,12%"
"21/11/2025","403,86","403,99","404,46","402,99","","-0,03%"
"20/11/2025","404,00","402,14","405,54","401,19","","0,47%"
"19/11/2025","402,13","404,26","404,57","401,30","","-0,53%"
"18/11/2025","404,26","401,98","404,95","401,75","","0,57%"
"17/11/2025","401,98","403,52","403,90","401,89","","-0,40%"
"14/11/2025","403,61","403,25","404,02","402,61","","0,08%"
"13/11/2025","403,27","403,77","405,81","402,67","","-0,12%"
"12/11/2025","403,77","404,85","405,68","403,61","","-0,25%"
"11/11/2025","404,79","404,62","405,51","399,26","","0,00%"
"10/11/2025","404,78","404,85","406,24","404,28","","-0,02%"
"07/11/2025","404,85","403,63","405,94","402,88","","0,31%"
"06/11/2025","403,58","404,78","405,26","402,59","","-0,28%"
"05/11/2025","404,72","403,43","404,94","401,80","","0,31%"
"04/11/2025","403,45","404,10","404,89","402,49","","-0,16%"
"03/11/2025","404,10","412,40","412,68","401,22","","-1,96%"
"31/10/2025","412,19","403,07","412,66","401,99","","2,26%"
"30/10/2025","403,08","404,34","404,95","400,29","","-0,31%"
"29/10/2025","404,33","403,69","406,05","403,45","","0,16%"
"28/10/2025","403,70","403,32","404,08","398,97","","0,10%"
"27/10/2025","403,31","404,10","404,97","398,50","","-0,22%"
"24/10/2025","404,19","403,48","405,01","401,97","","0,19%"
"23/10/2025","403,43","403,94","404,90","402,73","","-0,12%"
"22/10/2025","403,91","402,05","404,70","401,18","","0,47%"
"21/10/2025","402,03","400,05","402,63","399,48","","0,51%"
"20/10/2025","399,99","399,54","400,95","398,69","","0,10%"
"17/10/2025","399,59","399,87","401,44","398,62","","-0,07%"
"16/10/2025","399,87","401,49","404,08","399,50","","-0,40%"
"15/10/2025","401,46","404,03","404,59","400,94","","-0,64%"
"14/10/2025","404,04","402,70","404,70","401,43","","0,34%"
"13/10/2025","402,69","404,79","405,39","402,59","","-0,47%"
"10/10/2025","404,61","402,81","405,47","398,39","","0,45%"
"09/10/2025","402,81","403,89","405,35","402,40","","-0,27%"
"08/10/2025","403,90","402,90","405,39","401,88","","0,25%"
"07/10/2025","402,88","402,01","403,52","401,19","","0,22%"
"06/10/2025","402,01","400,84","402,11","400,29","","0,24%"
"03/10/2025","401,03","399,64","401,58","398,97","","0,35%"
"02/10/2025","399,65","400,07","400,48","399,09","","-0,11%"
"01/10/2025","400,09","401,21","401,64","399,40","","-0,28%"
"30/09/2025","401,21","401,95","402,42","400,75","","-0,18%"
"29/09/2025","401,92","400,54","403,67","400,42","","0,33%"
"26/09/2025","400,58","400,69","402,61","400,08","","-0,01%"
"25/09/2025","400,64","399,40","402,48","398,96","","0,32%"
"24/09/2025","399,38","402,06","402,17","398,97","","-0,67%"
"23/09/2025","402,06","403,82","404,05","401,27","","-0,43%"
"22/09/2025","403,79","402,98","404,29","401,57","","0,17%"
"19/09/2025","403,09","401,58","403,49","400,67","","0,38%"
