"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"30/04/2026","2.621,00","2.517,00","2.656,00","2.500,00","5,52K","4,13%"
"29/04/2026","2.517,00","2.458,00","2.530,00","2.445,00","2,73K","0,88%"
"28/04/2026","2.495,00","2.420,00","2.501,00","2.419,00","2,11K","3,10%"
"27/04/2026","2.420,00","2.496,00","2.505,00","2.419,00","2,66K","-3,93%"
"24/04/2026","2.519,00","2.516,00","2.549,00","2.485,00","1,83K","-0,51%"
"23/04/2026","2.532,00","2.508,00","2.541,00","2.460,00","2,17K","0,76%"
"22/04/2026","2.513,00","2.427,00","2.550,00","2.425,00","3,70K","3,80%"
"21/04/2026","2.421,00","2.475,00","2.483,00","2.418,00","2,15K","-2,06%"
"20/04/2026","2.472,00","2.400,00","2.495,00","2.400,00","2,04K","3,34%"
"17/04/2026","2.392,00","2.503,00","2.550,00","2.379,00","4,37K","-4,17%"
"16/04/2026","2.496,00","2.480,00","2.573,00","2.470,00","3,62K","-2,35%"
"15/04/2026","2.556,00","2.570,00","2.640,00","2.520,00","5,94K","-2,14%"
"14/04/2026","2.612,00","2.451,00","2.630,00","2.425,00","6,73K","6,57%"
"13/04/2026","2.451,00","2.420,00","2.460,00","2.380,00","3,99K","1,16%"
"10/04/2026","2.423,00","2.350,00","2.428,00","2.350,00","3,52K","2,37%"
"09/04/2026","2.367,00","2.392,00","2.392,00","2.340,00","4,88K","-1,05%"
"08/04/2026","2.392,00","2.331,00","2.425,00","2.320,00","4,43K","2,62%"
"07/04/2026","2.331,00","2.458,00","2.464,00","2.325,00","6,76K","-5,21%"
"02/04/2026","2.459,00","2.476,00","2.499,00","2.432,00","7,53K","-0,45%"
"01/04/2026","2.470,00","2.480,00","2.482,00","2.431,00","6,86K","-0,68%"
"31/03/2026","2.487,00","2.334,00","2.492,00","2.334,00","7,46K","5,47%"
"30/03/2026","2.358,00","2.353,00","2.374,00","2.332,00","4,45K","-0,51%"
"27/03/2026","2.370,00","2.356,00","2.395,00","2.325,00","4,49K","0,59%"
"26/03/2026","2.356,00","2.327,00","2.384,00","2.310,00","4,23K","1,20%"
"25/03/2026","2.328,00","2.400,00","2.416,00","2.325,00","5,12K","-3,08%"
"24/03/2026","2.402,00","2.364,00","2.415,00","2.359,00","4,59K","1,44%"
"23/03/2026","2.368,00","2.383,00","2.471,00","2.364,00","5,32K","-1,91%"
"20/03/2026","2.414,00","2.445,00","2.467,00","2.351,00","6,21K","-1,67%"
"19/03/2026","2.455,00","2.415,00","2.473,00","2.358,00","6,73K","2,16%"
"18/03/2026","2.403,00","2.450,00","2.476,00","2.394,00","6,40K","-1,31%"
"17/03/2026","2.435,00","2.471,00","2.494,00","2.427,00","6,69K","4,60%"
