code_poste,libelle_long,libelle_court,categorie,format_etats,ordre,type_valeur
BIL_IMMO_INCORP,IMMOBILISATIONS INCORPORELLES,IMMOBILISATIONS INCORPORELLES,Bilan_Actif,SYSCOHADA,67,Detail
BIL_A_FRAIS_DE_DVELOPPEMENT_ET_DE_PROSPECTION,Frais de développement et de prospection,Frais de développement et de prospection,Bilan_Actif,SYSCOHADA,68,Detail
BIL_A_BREVETS_LICENCES_LOGICIELS_ET_DROITS_SIM,"Brevets, licences, logiciels et droits similaires","Brevets, licences, logiciels et droits similaires",Bilan_Actif,SYSCOHADA,69,Detail
BIL_A_FONDS_COMMERCIAL_ET_DROIT_AU_BAIL,Fonds commercial et droit au bail,Fonds commercial et droit au bail,Bilan_Actif,SYSCOHADA,70,Detail
BIL_A_AUTRES_IMMOBILISATIONS_INCORPORELLES,Autres immobilisations incorporelles,Autres immobilisations incorporelles,Bilan_Actif,SYSCOHADA,71,Detail
BIL_IMMO_CORP,IMMOBILISATIONS CORPORELLES,IMMOBILISATIONS CORPORELLES,Bilan_Actif,SYSCOHADA,72,Detail
BIL_A_TERRAINS_DONT_PLACEMENT_NET,Terrains dont Placement Net :,Terrains dont Placement Net :,Bilan_Actif,SYSCOHADA,73,Detail
BIL_A_BTIMENTS_DONT_PLACEMENT_NET,Bâtiments dont Placement Net :,Bâtiments dont Placement Net :,Bilan_Actif,SYSCOHADA,74,Detail
BIL_A_AMNAGEMENTS_AGENCEMENTS_ET_INSTALLATIONS,"Aménagements, agencements et installations","Aménagements, agencements et installations",Bilan_Actif,SYSCOHADA,75,Detail
BIL_A_MATRIEL_MOBILIER_ET_ACTIFS_BIOLOGIQUES,"Matériel, mobilier et actifs biologiques","Matériel, mobilier et actifs biologiques",Bilan_Actif,SYSCOHADA,76,Detail
BIL_A_MATRIEL_DE_TRANSPORT,Matériel de transport,Matériel de transport,Bilan_Actif,SYSCOHADA,77,Detail
BIL_IMMO_AVANCES,AVANCES ET ACOMPTES VERSES SUR IMMOBILISATIONS,AVANCES ET ACOMPTES VERSES SUR IMMOBILISATIONS,Bilan_Actif,SYSCOHADA,78,Detail
BIL_IMMO_FIN,IMMOBILISATIONS FINANCIERES,IMMOBILISATIONS FINANCIERES,Bilan_Actif,SYSCOHADA,79,Detail
BIL_A_TITRES_DE_PARTICIPATION,Titres de participation,Titres de participation,Bilan_Actif,SYSCOHADA,80,Detail
BIL_A_AUTRES_IMMOBILISATIONS_FINANCIRES,Autres immobilisations financières,Autres immobilisations financières,Bilan_Actif,SYSCOHADA,81,Detail
BIL_TOTAL_IMMOB,TOTAL ACTIF IMMOBILISE,TOTAL ACTIF IMMOBILISE,Bilan_Actif,SYSCOHADA,82,Total
BIL_A_ACTIF_CIRCULANT_HAO,Actif circulant HAO,Actif circulant HAO,Bilan_Actif,SYSCOHADA,83,Detail
BIL_STOCKS,Stocks et en cours,Stocks et en cours,Bilan_Actif,SYSCOHADA,84,Detail
BIL_TOTAL_CREANCES,CREANCES ET EMPLOIS ASSIMILES,CREANCES ET EMPLOIS ASSIMILES,Bilan_Actif,SYSCOHADA,85,Detail
BIL_FOURN_AVANCES,Fournisseurs avances versées,Fournisseurs avances versées,Bilan_Actif,SYSCOHADA,86,Detail
BIL_CLIENTS,Clients,Clients,Bilan_Actif,SYSCOHADA,87,Detail
BIL_A_AUTRES_CRANCES,Autres créances,Autres créances,Bilan_Actif,SYSCOHADA,88,Detail
BIL_TOTAL_CIRC,TOTAL ACTIF CIRCULANT,TOTAL ACTIF CIRCULANT,Bilan_Actif,SYSCOHADA,89,Total
BIL_A_TITRES_DE_PLACEMENT,Titres de placement,Titres de placement,Bilan_Actif,SYSCOHADA,90,Detail
BIL_A_VALEURS_ENCAISSER,Valeurs à encaisser,Valeurs à encaisser,Bilan_Actif,SYSCOHADA,91,Detail
BIL_A_BANQUES_CHQUES_POSTAUX_CAISSE_ET_ASSIMIL,"Banques, chèques postaux, caisse et assimilés","Banques, chèques postaux, caisse et assimilés",Bilan_Actif,SYSCOHADA,92,Detail
BIL_TOTAL_TRES_ACTIF,TOTAL TRESORERIEACTIF,TOTAL TRESORERIEACTIF,Bilan_Actif,SYSCOHADA,93,Total
BIL_A_ECART_DE_CONVERSIONACTIF,Ecart de conversionActif,Ecart de conversionActif,Bilan_Actif,SYSCOHADA,94,Detail
BIL_TOTAL_ACTIF,TOTAL GENERAL,Total Actif,Bilan_Actif,SYSCOHADA,95,Total
BIL_CAPITAL,Capital,Capital,Bilan_Passif,SYSCOHADA,98,Detail
BIL_P_APPORTEURS_CAPITAL_NON_APPEL,Apporteurs capital non appelé,Apporteurs capital non appelé,Bilan_Passif,SYSCOHADA,99,Detail
BIL_P_PRIMES_LIES_AU_CAPITAL_SOCIAL,Primes liées au capital social,Primes liées au capital social,Bilan_Passif,SYSCOHADA,100,Detail
BIL_P_ECARTS_DE_RVALUATION,Ecarts de réévaluation,Ecarts de réévaluation,Bilan_Passif,SYSCOHADA,101,Detail
BIL_P_RSERVES_INDISPONIBLES,Réserves indisponibles,Réserves indisponibles,Bilan_Passif,SYSCOHADA,102,Detail
BIL_P_RSERVES_LIBRES,Réserves libres,Réserves libres,Bilan_Passif,SYSCOHADA,103,Detail
BIL_REPORT_NVEAU,Report à nouveau,Report à nouveau,Bilan_Passif,SYSCOHADA,104,Detail
BIL_RNET,Résultat net de l'exercice,Résultat net de l'exercice,Bilan_Passif,SYSCOHADA,105,Detail
BIL_P_SUBVENTIONS_D_INVESTISSEMENT,Subventions d'investissement,Subventions d'investissement,Bilan_Passif,SYSCOHADA,106,Detail
BIL_P_PROVISIONS_RGLEMENTES,Provisions réglementées,Provisions réglementées,Bilan_Passif,SYSCOHADA,107,Detail
BIL_TOTAL_CP,TOTAL CAPITAUX PROPRES ET RESSOURCES ASSIMILEES,TOTAL CAPITAUX PROPRES ET RESSOURCES ASSIMILEES,Bilan_Passif,SYSCOHADA,108,Total
BIL_EMPRUNTS,Emprunts et dettes financières diverses,Emprunts et dettes financières diverses,Bilan_Passif,SYSCOHADA,109,Detail
BIL_P_DETTES_DE_LOCATIONACQUISITION,Dettes de locationacquisition,Dettes de locationacquisition,Bilan_Passif,SYSCOHADA,110,Detail
BIL_PROV_RC,Provisions pour risques et charges,Provisions pour risques et charges,Bilan_Passif,SYSCOHADA,111,Detail
BIL_TOTAL_DETTES_FIN,TOTAL DETTES FINANCIERES ET RESSOURCES ASSIMILEES,TOTAL DETTES FINANCIERES ET RESSOURCES ASSIMILEES,Bilan_Passif,SYSCOHADA,112,Total
BIL_TOTAL_RESS_STABLES,TOTAL RESSOURCES STABLES,TOTAL RESSOURCES STABLES,Bilan_Passif,SYSCOHADA,113,Total
BIL_P_DETTES_CIRCULANTES_HAO,Dettes circulantes HAO,Dettes circulantes HAO,Bilan_Passif,SYSCOHADA,114,Detail
BIL_CLIENTS_AV_RECUES,"Clients, avances reçues","Clients, avances reçues",Bilan_Passif,SYSCOHADA,115,Detail
BIL_FOURN_EXPL,Fournisseurs d'exploitation,Fournisseurs d'exploitation,Bilan_Passif,SYSCOHADA,116,Detail
BIL_DETTES_FISC,Dettes fiscales et sociales,Dettes fiscales et sociales,Bilan_Passif,SYSCOHADA,117,Detail
BIL_AUTRES_DETTES,Autres dettes,Autres dettes,Bilan_Passif,SYSCOHADA,118,Detail
BIL_P_PROVISIONS_POUR_RISQUES_ET_CHARGES_COURT,Provisions pour risques et charges à court terme,Provisions pour risques et charges à court terme,Bilan_Passif,SYSCOHADA,119,Detail
BIL_TOTAL_PASSIF_CIRC,TOTAL PASSIF CIRCULANT,TOTAL PASSIF CIRCULANT,Bilan_Passif,SYSCOHADA,120,Total
BIL_P_BANQUES_CRDITS_D_ESCOMPTE,"Banques, crédits d'escompte","Banques, crédits d'escompte",Bilan_Passif,SYSCOHADA,121,Detail
BIL_P_BANQUES_TABLISSEMENTS_FINANCIERS_ET_CRDI,"Banques, établissements financiers et crédits de trésorerie","Banques, établissements financiers et crédits de trésorerie",Bilan_Passif,SYSCOHADA,122,Detail
BIL_TOTAL_TRES_PASSIF,TOTAL TRESORERIEPASSIF,TOTAL TRESORERIEPASSIF,Bilan_Passif,SYSCOHADA,123,Total
BIL_P_ECART_DE_CONVERSIONPASSIF,Ecart de conversionPassif,Ecart de conversionPassif,Bilan_Passif,SYSCOHADA,124,Detail
BIL_TOTAL_PASSIF,TOTAL GENERAL,Total Passif,Bilan_Passif,SYSCOHADA,125,Total
CR_VENTES_DE_MARCHANDISES,Ventes de marchandises,Ventes de marchandises,Compte_Resultat,SYSCOHADA,128,Produit
CR_ACHATS_DE_MARCHANDISES,Achats de marchandises,Achats de marchandises,Compte_Resultat,SYSCOHADA,129,Charge
CR_VARIATION_DE_STOCKS_DE_MARCHANDISES,Variation de stocks de marchandises,Variation de stocks de marchandises,Compte_Resultat,SYSCOHADA,130,Produit
CR_MARGE_COMMERCIALE,MARGE COMMERCIALE,MARGE COMMERCIALE,Compte_Resultat,SYSCOHADA,131,Produit
CR_VENTES_DE_PRODUITS_FABRIQUS,Ventes de produits fabriqués,Ventes de produits fabriqués,Compte_Resultat,SYSCOHADA,132,Produit
CR_TRAVAUX_SERVICES_VENDUS,"Travaux, services vendus","Travaux, services vendus",Compte_Resultat,SYSCOHADA,133,Produit
CR_PRODUITS_ACCESSOIRES,Produits accessoires,Produits accessoires,Compte_Resultat,SYSCOHADA,134,Produit
CR_CA,CHIFFRE D'AFFAIRES,CHIFFRE D'AFFAIRES,Compte_Resultat,SYSCOHADA,135,SIG
CR_PRODUCTION_STOCKE,Production stockée,Production stockée,Compte_Resultat,SYSCOHADA,136,Produit
CR_PRODUCTION_IMMOBILISE,Production immobilisée,Production immobilisée,Compte_Resultat,SYSCOHADA,137,Produit
CR_SUBVENTIONS_DEXPLOITATION,Subventions d’exploitation,Subventions d’exploitation,Compte_Resultat,SYSCOHADA,138,Produit
CR_AUTRES_PRODUITS,Autres produits,Autres produits,Compte_Resultat,SYSCOHADA,139,Produit
CR_TRANSFERTS_DE_CHARGES_D_EXPLOITATION,Transferts de charges d'exploitation,Transferts de charges d'exploitation,Compte_Resultat,SYSCOHADA,140,Charge
CR_ACHATS_DE_MATIRES_PREMIRES_ET_FOURNITURE,Achats de matières premières et fournitures liées,Achats de matières premières et fournitures liées,Compte_Resultat,SYSCOHADA,141,Charge
CR_VARIATION_DE_STOCKS_DE_MATIRES_PREMIRES_,Variation de stocks de matières premières et fournitures liées,Variation de stocks de matières premières et fournitures liées,Compte_Resultat,SYSCOHADA,142,Produit
CR_AUTRES_ACHATS,Autres achats,Autres achats,Compte_Resultat,SYSCOHADA,143,Charge
CR_VARIATION_DE_STOCKS_DAUTRES_APPROVISIONN,Variation de stocks d’autres approvisionnements,Variation de stocks d’autres approvisionnements,Compte_Resultat,SYSCOHADA,144,Produit
CR_TRANSPORTS,Transports,Transports,Compte_Resultat,SYSCOHADA,145,Charge
CR_SERVICES_EXTRIEURS,Services extérieurs,Services extérieurs,Compte_Resultat,SYSCOHADA,146,Charge
CR_IMPTS_ET_TAXES,Impôts et taxes,Impôts et taxes,Compte_Resultat,SYSCOHADA,147,Charge
CR_AUTRES_CHARGES,Autres charges,Autres charges,Compte_Resultat,SYSCOHADA,148,Charge
CR_VA,VALEUR AJOUTEE,VALEUR AJOUTEE,Compte_Resultat,SYSCOHADA,149,SIG
CR_CHARGES_DE_PERSONNEL,Charges de personnel,Charges de personnel,Compte_Resultat,SYSCOHADA,150,Charge
