"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"28/05/2026","757,25","755,99","757,25","751,34","","0,13%"
"27/05/2026","756,28","758,02","758,92","755,60","","-0,23%"
"26/05/2026","758,05","761,54","762,53","756,17","","-0,48%"
"25/05/2026","761,68","760,44","763,54","760,12","","0,33%"
"22/05/2026","759,16","759,58","761,64","757,36","","-0,06%"
"21/05/2026","759,58","758,46","761,27","756,09","","0,16%"
"20/05/2026","758,38","755,54","761,73","752,85","","0,38%"
"19/05/2026","755,54","757,34","758,12","753,24","","-0,23%"
"18/05/2026","757,31","750,80","758,58","748,79","","0,86%"
"15/05/2026","750,83","747,92","753,40","743,09","","0,40%"
"14/05/2026","747,83","757,26","757,90","747,39","","-1,25%"
"13/05/2026","757,29","755,90","757,80","750,12","","0,19%"
"12/05/2026","755,82","758,67","758,81","750,29","","-0,35%"
"11/05/2026","758,47","760,40","762,67","755,61","","-0,21%"
"08/05/2026","760,10","755,75","762,31","753,07","","0,61%"
"07/05/2026","755,52","760,28","762,46","753,74","","-0,61%"
"06/05/2026","760,16","760,02","765,80","757,16","","0,02%"
"05/05/2026","760,02","757,59","762,48","754,31","","0,34%"
"04/05/2026","757,45","760,40","764,29","754,50","","-0,37%"
"01/05/2026","760,23","764,23","767,32","758,79","","-0,52%"
"30/04/2026","764,23","755,27","764,65","752,53","","1,18%"
"29/04/2026","755,33","758,00","759,15","752,53","","-0,35%"
"28/04/2026","757,99","757,00","758,81","751,46","","0,14%"
"27/04/2026","756,95","755,44","762,38","754,70","","-0,38%"
"24/04/2026","759,85","755,13","760,22","752,30","","0,62%"
"23/04/2026","755,19","753,83","758,13","750,50","","0,19%"
"22/04/2026","753,78","753,84","756,11","749,31","","0,00%"
"21/04/2026","753,76","753,84","755,20","748,17","","-0,02%"
"20/04/2026","753,90","752,70","756,01","749,68","","0,14%"
"17/04/2026","752,87","751,85","757,58","749,19","","0,15%"
"16/04/2026","751,76","755,66","757,02","749,85","","-0,47%"
"15/04/2026","755,33","755,08","768,53","752,48","","0,09%"
"14/04/2026","754,67","756,03","762,41","752,98","","-0,22%"
"13/04/2026","756,34","751,68","758,08","750,93","","0,10%"
"10/04/2026","755,56","756,14","758,28","752,78","","-0,07%"
"09/04/2026","756,08","751,82","757,60","749,70","","0,62%"
"08/04/2026","751,40","753,96","764,54","750,43","","-0,34%"
"07/04/2026","753,99","752,70","755,74","749,79","","0,22%"
"06/04/2026","752,35","750,74","754,89","748,72","","0,22%"
"03/04/2026","750,71","752,59","753,58","748,23","","-0,25%"
"02/04/2026","752,56","753,94","762,42","747,12","","-0,17%"
"01/04/2026","753,86","756,61","768,30","752,02","","-0,35%"
"31/03/2026","756,50","753,78","758,82","749,45","","0,36%"
"30/03/2026","753,78","755,48","756,28","747,90","","-0,14%"
"27/03/2026","754,80","756,51","759,04","751,17","","-0,24%"
"26/03/2026","756,59","756,13","771,02","752,10","","0,06%"
"25/03/2026","756,15","758,45","760,42","753,46","","-0,30%"
"24/03/2026","758,39","763,74","764,80","754,44","","-0,65%"
"23/03/2026","763,34","761,39","769,51","758,24","","0,03%"
"20/03/2026","763,13","768,25","769,06","759,79","","-0,67%"
"19/03/2026","768,28","753,36","770,40","752,65","","1,98%"
"18/03/2026","753,36","761,96","763,77","752,52","","-1,12%"
"17/03/2026","761,93","764,51","768,95","759,19","","-0,34%"
"16/03/2026","764,54","756,57","768,07","737,69","","1,10%"
"13/03/2026","756,20","757,24","759,94","747,68","","-0,13%"
"12/03/2026","757,22","756,38","759,76","750,77","","0,11%"
"11/03/2026","756,41","756,47","760,13","753,11","","0,00%"
"10/03/2026","756,44","762,85","765,95","754,57","","-0,91%"
"09/03/2026","763,37","753,81","763,90","750,30","","0,73%"
"06/03/2026","757,81","754,30","758,00","751,78","","0,41%"
"05/03/2026","754,73","754,60","755,64","748,59","","-0,01%"
"04/03/2026","754,77","752,47","756,74","743,68","","0,33%"
"03/03/2026","752,31","750,88","753,12","738,14","","0,21%"
"02/03/2026","750,71","749,46","752,28","739,90","","0,17%"
"27/02/2026","749,46","748,64","750,35","745,02","","0,12%"
"26/02/2026","748,59","751,85","754,77","744,07","","-0,43%"
"25/02/2026","751,85","748,30","763,23","748,22","","0,47%"
"24/02/2026","748,30","752,07","753,04","747,86","","-0,52%"
"23/02/2026","752,18","753,02","755,03","747,97","","0,02%"
"20/02/2026","752,04","745,99","758,17","743,12","","0,82%"
"19/02/2026","745,96","748,43","753,63","743,04","","-0,26%"
"18/02/2026","747,91","751,76","756,58","746,27","","-0,60%"
"17/02/2026","752,43","754,34","754,89","746,27","","-0,27%"
"16/02/2026","754,45","755,50","756,30","754,06","","-0,05%"
"13/02/2026","754,82","752,70","756,68","750,50","","0,28%"
"12/02/2026","752,73","750,22","753,74","747,82","","0,34%"
"11/02/2026","750,19","755,14","760,88","748,04","","-0,66%"
"10/02/2026","755,14","761,61","762,24","750,91","","-0,86%"
"09/02/2026","761,69","757,18","762,11","755,47","","0,60%"
"06/02/2026","757,18","752,29","757,91","748,50","","0,71%"
"05/02/2026","751,85","757,49","759,20","748,14","","-0,79%"
"04/02/2026","757,83","760,05","762,29","757,08","","-0,32%"
"03/02/2026","760,24","755,68","773,72","753,69","","0,60%"
"02/02/2026","755,73","753,17","759,24","748,90","","0,46%"
"30/01/2026","752,24","755,92","759,09","750,53","","-0,54%"
"29/01/2026","756,31","755,33","775,96","752,66","","0,13%"
"28/01/2026","755,30","764,96","773,83","752,07","","-1,28%"
"27/01/2026","765,13","757,67","767,11","754,86","","1,00%"
"26/01/2026","757,53","762,08","767,10","755,09","","-0,64%"
"23/01/2026","762,42","755,13","762,58","752,41","","0,94%"
"22/01/2026","755,33","751,77","758,05","748,78","","0,48%"
"21/01/2026","751,69","754,91","760,32","750,12","","-0,41%"
"20/01/2026","754,80","756,30","762,52","754,09","","-0,29%"
"19/01/2026","757,00","754,92","757,83","752,74","","0,17%"
"16/01/2026","755,74","754,55","759,85","754,01","","0,13%"
"15/01/2026","754,75","756,59","757,40","751,84","","-0,26%"
"14/01/2026","756,70","754,99","757,94","754,76","","0,23%"
"13/01/2026","754,96","756,37","758,84","754,29","","-0,17%"
"12/01/2026","756,23","755,18","759,99","754,50","","0,13%"
"09/01/2026","755,26","754,35","756,61","752,38","","0,09%"
"08/01/2026","754,60","754,46","757,68","752,84","","0,04%"
"07/01/2026","754,32","754,03","757,94","752,94","","0,04%"
"06/01/2026","754,03","759,03","760,26","753,28","","-0,65%"
"05/01/2026","758,95","752,22","759,48","749,12","","0,96%"
"02/01/2026","751,74","752,89","754,26","748,91","","-0,19%"
"01/01/2026","753,17","753,28","753,31","753,14","","-0,01%"
"31/12/2025","753,25","750,53","762,62","747,83","","0,37%"
"30/12/2025","750,48","750,59","754,07","748,72","","0,00%"
"29/12/2025","750,45","751,54","753,24","749,60","","-0,20%"
"26/12/2025","751,92","752,14","752,55","749,58","","-0,04%"
"25/12/2025","752,24","751,19","752,66","751,08","","0,13%"
"24/12/2025","751,24","756,59","757,68","750,44","","-0,72%"
"23/12/2025","756,67","753,40","757,09","750,89","","0,41%"
"22/12/2025","753,56","749,54","759,00","748,72","","0,58%"
"19/12/2025","749,23","747,30","750,37","745,93","","0,25%"
"18/12/2025","747,36","749,45","753,42","745,55","","-0,27%"
"17/12/2025","749,42","748,42","751,16","743,03","","0,14%"
"16/12/2025","748,36","747,52","752,36","745,65","","0,09%"
"15/12/2025","747,72","747,16","749,23","745,60","","0,07%"
"12/12/2025","747,16","751,21","751,80","744,68","","-0,52%"
