"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"01/05/2026","3,5653","3,5637","3,6038","3,5569","","-0,61%"
"30/04/2026","3,5872","3,4941","3,6111","3,4818","","2,66%"
"29/04/2026","3,4941","3,5135","3,5178","3,4836","","-0,54%"
"28/04/2026","3,5132","3,5083","3,5211","3,4897","","0,15%"
"27/04/2026","3,5081","3,5055","3,5295","3,4996","","-0,43%"
"24/04/2026","3,5232","3,5120","3,5244","3,4981","","0,35%"
"23/04/2026","3,5108","3,5002","3,5211","3,4861","","0,30%"
"22/04/2026","3,5004","3,5011","3,5115","3,4813","","-0,02%"
"21/04/2026","3,5010","3,5081","3,5125","3,4781","","-0,18%"
"20/04/2026","3,5072","3,5121","3,5196","3,4942","","-0,11%"
"17/04/2026","3,5112","3,4910","3,5346","3,4774","","0,57%"
"16/04/2026","3,4912","3,5026","3,5164","3,4820","","-0,35%"
"15/04/2026","3,5033","3,5030","3,5641","3,4903","","0,00%"
"14/04/2026","3,5032","3,5120","3,5379","3,4944","","-0,25%"
"13/04/2026","3,5121","3,5202","3,5217","3,5053","","-0,32%"
"10/04/2026","3,5234","3,5400","3,5421","3,5164","","-0,47%"
"09/04/2026","3,5401","3,5380","3,5468","3,5211","","0,08%"
"08/04/2026","3,5372","3,5540","3,5893","3,5312","","-0,46%"
"07/04/2026","3,5537","3,5603","3,5695","3,5428","","-0,18%"
"06/04/2026","3,5601","3,5654","3,5726","3,5473","","-0,15%"
"03/04/2026","3,5655","3,5644","3,5691","3,5522","","0,02%"
"02/04/2026","3,5648","3,5672","3,6157","3,5445","","-0,09%"
"01/04/2026","3,5679","3,6039","3,6353","3,5608","","-1,00%"
"31/03/2026","3,6039","3,5781","3,6059","3,5504","","0,71%"
"30/03/2026","3,5786","3,5584","3,5825","3,5427","","0,79%"
"27/03/2026","3,5506","3,5509","3,5647","3,5334","","-0,01%"
"26/03/2026","3,5509","3,5477","3,6205","3,5306","","0,09%"
"25/03/2026","3,5477","3,5632","3,5689","3,5358","","-0,44%"
"24/03/2026","3,5634","3,5877","3,5940","3,5473","","-0,67%"
"23/03/2026","3,5875","3,5924","3,6145","3,5782","","-0,13%"
"20/03/2026","3,5923","3,6268","3,6293","3,5825","","-0,94%"
"19/03/2026","3,6264","3,5548","3,6317","3,5544","","2,03%"
"18/03/2026","3,5544","3,5873","3,6011","3,5459","","-0,94%"
"17/03/2026","3,5880","3,6077","3,6241","3,5774","","-0,57%"
"16/03/2026","3,6086","3,5813","3,6297","3,4967","","0,81%"
"13/03/2026","3,5795","3,5615","3,5961","3,5374","","0,51%"
"12/03/2026","3,5615","3,5483","3,5720","3,5303","","0,37%"
"11/03/2026","3,5483","3,5668","3,5771","3,5366","","-0,52%"
"10/03/2026","3,5668","3,6024","3,6117","3,5579","","-0,99%"
"09/03/2026","3,6026","3,5777","3,6034","3,5527","","0,61%"
"06/03/2026","3,5806","3,5865","3,5901","3,5651","","-0,13%"
"05/03/2026","3,5853","3,5925","3,6067","3,5664","","-0,21%"
"04/03/2026","3,5927","3,5768","3,6011","3,5408","","0,61%"
"03/03/2026","3,5709","3,5577","3,5773","3,5268","","0,35%"
"02/03/2026","3,5586","3,5704","3,5704","3,5227","","-0,08%"
"27/02/2026","3,5613","3,5565","3,5702","3,5467","","0,13%"
"26/02/2026","3,5565","3,5465","3,5696","3,5377","","0,28%"
"25/02/2026","3,5465","3,5586","3,6044","3,5332","","-0,34%"
"24/02/2026","3,5586","3,6052","3,6081","3,5535","","-1,28%"
"23/02/2026","3,6047","3,5964","3,6220","3,5892","","0,22%"
"20/02/2026","3,5967","3,5732","3,6314","3,5560","","0,63%"
"19/02/2026","3,5742","3,5806","3,6075","3,5613","","-0,15%"
