"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"21/04/2026","12,38","12,41","12,43","12,37","","-0,30%"
"20/04/2026","12,41","12,45","12,45","12,40","","-0,29%"
"19/04/2026","12,45","12,45","12,46","12,45","","0,36%"
"17/04/2026","12,40","12,41","12,42","12,37","","-0,07%"
"16/04/2026","12,41","12,43","12,43","12,39","","-0,13%"
"15/04/2026","12,43","12,42","12,46","12,42","","0,06%"
"14/04/2026","12,42","12,53","12,53","12,42","","-0,84%"
"13/04/2026","12,53","12,51","12,55","12,50","","0,12%"
"12/04/2026","12,51","12,56","12,56","12,51","","-0,37%"
"10/04/2026","12,56","12,58","12,58","12,53","","-0,15%"
"09/04/2026","12,58","12,68","12,68","12,57","","-0,81%"
"08/04/2026","12,68","12,75","14,79","12,53","","-0,58%"
"07/04/2026","12,75","12,74","14,75","12,73","","0,06%"
"06/04/2026","12,74","12,75","12,78","12,73","","-0,04%"
"05/04/2026","12,75","12,75","12,76","12,75","","0,00%"
"03/04/2026","12,75","12,74","12,77","12,73","","0,09%"
"02/04/2026","12,74","12,69","12,81","12,69","","0,39%"
"01/04/2026","12,69","12,83","12,83","12,69","","-1,13%"
"31/03/2026","12,83","12,87","12,87","12,82","","-0,29%"
"30/03/2026","12,87","12,78","12,88","12,77","","0,67%"
"29/03/2026","12,78","12,78","12,79","12,78","","0,05%"
"27/03/2026","12,78","12,79","12,86","12,74","","-0,09%"
"26/03/2026","12,79","12,70","12,82","12,70","","0,68%"
"25/03/2026","12,70","12,74","12,76","12,70","","-0,27%"
"24/03/2026","12,74","12,82","12,82","12,73","","-0,65%"
"23/03/2026","12,82","12,77","12,84","12,77","","0,37%"
"22/03/2026","12,77","12,88","12,88","12,77","","-0,79%"
"20/03/2026","12,88","12,90","12,90","12,79","","-0,18%"
"19/03/2026","12,90","12,78","12,92","12,78","","0,92%"
"18/03/2026","12,78","12,90","12,91","12,78","","-0,95%"
"17/03/2026","12,90","13,03","13,03","12,86","","-0,93%"
"16/03/2026","13,02","12,94","13,04","12,93","","0,67%"
"15/03/2026","12,94","12,94","12,94","12,94","","0,12%"
"13/03/2026","12,92","12,89","12,97","12,84","","0,24%"
"12/03/2026","12,89","12,75","12,92","12,75","","1,09%"
"11/03/2026","12,75","12,77","12,83","12,75","","-0,16%"
"10/03/2026","12,77","12,84","12,84","12,77","","-0,54%"
"09/03/2026","12,84","12,80","12,94","12,80","","0,31%"
"08/03/2026","12,80","12,87","12,87","12,80","","-0,55%"
"06/03/2026","12,87","12,83","12,91","12,81","","0,37%"
"05/03/2026","12,83","12,80","12,85","12,80","","0,19%"
"04/03/2026","12,80","12,78","12,87","12,78","","0,16%"
"03/03/2026","12,78","12,70","12,89","12,70","","0,61%"
"02/03/2026","12,70","12,62","12,74","12,62","","0,69%"
"01/03/2026","12,62","12,63","12,63","12,62","","-0,06%"
"27/02/2026","12,63","12,59","12,66","12,59","","0,26%"
"26/02/2026","12,59","12,66","12,67","12,59","","-0,55%"
"25/02/2026","12,66","12,70","12,71","12,64","","-0,34%"
"24/02/2026","12,70","12,68","12,71","12,68","","0,17%"
"23/02/2026","12,68","12,69","12,70","12,65","","-0,07%"
"22/02/2026","12,69","12,69","12,69","12,69","","0,00%"
"20/02/2026","12,69","12,64","12,73","12,64","","0,45%"
"19/02/2026","12,64","12,66","12,74","12,64","","-0,20%"
"18/02/2026","12,66","12,66","12,67","12,65","","0,04%"
"17/02/2026","12,66","12,65","12,68","12,65","","0,00%"
"16/02/2026","12,65","12,64","12,67","12,64","","0,11%"
"15/02/2026","12,64","12,65","12,66","12,64","","-0,18%"
"13/02/2026","12,66","12,63","12,69","12,63","","0,23%"
"12/02/2026","12,63","12,59","12,66","12,59","","0,33%"
"11/02/2026","12,59","12,62","12,64","12,59","","-0,20%"
"10/02/2026","12,62","12,67","12,68","12,61","","-0,45%"
"09/02/2026","12,67","12,74","12,82","12,67","","-0,46%"
"08/02/2026","12,73","12,72","12,82","12,72","","0,15%"
"06/02/2026","12,71","12,71","12,80","12,71","","0,00%"
"05/02/2026","12,71","12,75","12,78","12,71","","-0,30%"
"04/02/2026","12,75","12,79","12,79","12,74","","-0,31%"
"03/02/2026","12,79","12,68","12,80","12,68","","0,86%"
"02/02/2026","12,68","12,72","12,74","12,68","","-0,31%"
"01/02/2026","12,72","12,72","12,72","12,72","","0,07%"
"30/01/2026","12,71","12,63","12,72","12,59","","0,64%"
"29/01/2026","12,63","12,62","12,65","12,62","","0,12%"
"28/01/2026","12,62","12,73","12,73","12,60","","-0,89%"
"27/01/2026","12,73","12,73","12,74","12,69","","0,00%"
"26/01/2026","12,73","12,78","12,78","12,73","","-0,41%"
"25/01/2026","12,78","12,78","12,79","12,78","","-0,79%"
"23/01/2026","12,89","12,91","12,92","12,87","","-0,18%"
"22/01/2026","12,91","12,94","12,96","12,88","","-0,27%"
"21/01/2026","12,94","13,02","13,02","12,92","","-0,57%"
"20/01/2026","13,02","13,03","13,03","12,91","","-0,12%"
"19/01/2026","13,03","13,06","13,06","13,03","","-0,20%"
"18/01/2026","13,06","13,06","13,06","13,06","","0,29%"
"16/01/2026","13,02","13,00","13,11","13,00","","0,17%"
"15/01/2026","13,00","13,04","13,06","12,99","","-0,34%"
"14/01/2026","13,04","13,03","13,07","13,03","","0,06%"
"13/01/2026","13,03","13,03","13,05","13,03","","0,00%"
"12/01/2026","13,03","13,07","13,07","13,02","","-0,26%"
"11/01/2026","13,07","13,07","13,07","13,07","","0,00%"
"09/01/2026","13,07","12,99","13,09","12,99","","0,57%"
"08/01/2026","12,99","13,02","13,06","12,99","","-0,23%"
"07/01/2026","13,02","12,97","13,05","12,97","","0,38%"
"06/01/2026","12,97","13,02","13,02","12,97","","-0,38%"
"05/01/2026","13,02","13,01","13,05","12,94","","0,09%"
