"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"15/05/2026","33,75","33,86","34,01","33,40","","-0,32%"
"14/05/2026","33,86","34,14","34,21","33,82","","-0,82%"
"13/05/2026","34,14","33,81","34,19","33,62","","0,98%"
"12/05/2026","33,81","33,97","33,97","33,55","","-0,29%"
"11/05/2026","33,91","33,98","34,12","33,75","","-0,21%"
"08/05/2026","33,98","33,74","34,21","33,67","","0,65%"
"07/05/2026","33,76","34,12","34,46","33,72","","-1,03%"
"06/05/2026","34,11","33,66","34,49","33,64","","1,34%"
"05/05/2026","33,66","33,31","33,83","33,14","","1,05%"
"04/05/2026","33,31","33,68","33,97","33,12","","-0,95%"
"01/05/2026","33,63","33,70","33,95","33,46","","-0,21%"
"30/04/2026","33,70","33,30","33,77","33,09","","1,17%"
"29/04/2026","33,31","33,91","34,02","33,10","","-1,77%"
"28/04/2026","33,91","33,88","33,98","33,55","","0,30%"
"27/04/2026","33,81","33,90","34,11","33,70","","-0,41%"
"24/04/2026","33,95","33,70","34,08","33,51","","0,71%"
"23/04/2026","33,71","33,90","34,09","33,54","","-0,56%"
"22/04/2026","33,90","33,82","34,03","33,63","","0,24%"
"21/04/2026","33,82","34,03","34,14","33,47","","-0,62%"
"20/04/2026","34,03","33,96","34,23","33,80","","-0,35%"
"17/04/2026","34,15","33,87","34,51","33,72","","0,86%"
"16/04/2026","33,86","34,02","34,13","33,74","","-0,47%"
"15/04/2026","34,02","34,04","34,62","33,83","","-0,06%"
"14/04/2026","34,04","34,02","34,39","33,92","","-0,12%"
"13/04/2026","34,08","34,25","34,25","33,77","","-0,35%"
"10/04/2026","34,20","34,38","34,49","34,02","","-0,49%"
"09/04/2026","34,37","34,22","34,53","33,96","","0,44%"
"08/04/2026","34,22","33,75","34,82","33,57","","1,39%"
"07/04/2026","33,75","33,70","33,87","33,45","","0,09%"
"06/04/2026","33,72","33,61","33,88","33,43","","0,75%"
"03/04/2026","33,47","33,72","33,72","33,34","","-0,74%"
"02/04/2026","33,72","33,69","34,05","33,19","","0,09%"
"01/04/2026","33,69","33,75","34,31","33,56","","-0,21%"
"31/03/2026","33,76","33,26","33,83","33,10","","1,50%"
"30/03/2026","33,26","33,27","33,42","32,98","","-0,06%"
"27/03/2026","33,28","33,15","33,46","32,92","","0,39%"
"26/03/2026","33,15","33,45","33,94","32,98","","-0,60%"
"25/03/2026","33,35","33,31","33,60","33,20","","0,12%"
"24/03/2026","33,31","33,88","33,91","33,00","","-1,68%"
"23/03/2026","33,88","33,51","34,24","33,16","","0,74%"
"20/03/2026","33,63","34,13","34,21","33,39","","-1,52%"
"19/03/2026","34,15","33,47","34,29","33,37","","2,09%"
"18/03/2026","33,45","34,20","34,44","33,41","","-2,31%"
"17/03/2026","34,24","34,42","34,63","34,11","","-0,52%"
"16/03/2026","34,42","33,78","34,52","33,01","","2,08%"
"13/03/2026","33,72","33,78","34,19","33,38","","-0,18%"
"12/03/2026","33,78","34,20","34,31","33,54","","-1,23%"
"11/03/2026","34,20","34,60","34,85","34,04","","-1,16%"
"10/03/2026","34,60","34,87","35,09","34,46","","-0,77%"
"09/03/2026","34,87","34,11","34,91","33,39","","2,20%"
"06/03/2026","34,12","33,93","34,20","33,59","","0,56%"
"05/03/2026","33,93","34,53","34,59","33,63","","-1,74%"
"04/03/2026","34,53","34,08","34,67","33,77","","1,35%"
"03/03/2026","34,07","34,74","34,89","33,24","","-2,04%"
"02/03/2026","34,78","34,87","34,92","34,28","","-0,26%"
"27/02/2026","34,87","34,85","35,01","34,67","","0,11%"
"26/02/2026","34,83","35,00","35,11","34,57","","-0,46%"
"25/02/2026","34,99","34,72","35,59","34,69","","0,78%"
"24/02/2026","34,72","34,80","34,94","34,60","","-0,23%"
"23/02/2026","34,80","34,77","34,96","34,59","","0,09%"
"20/02/2026","34,77","34,31","34,92","34,16","","1,34%"
"19/02/2026","34,31","34,47","34,77","34,10","","-0,55%"
"18/02/2026","34,50","34,58","34,91","34,34","","-0,23%"
"17/02/2026","34,58","34,66","34,72","34,29","","-0,14%"
"16/02/2026","34,63","34,70","34,86","34,59","","-0,14%"
"13/02/2026","34,68","34,67","34,77","34,35","","0,17%"
"12/02/2026","34,62","34,67","34,83","34,38","","-0,23%"
"11/02/2026","34,70","34,73","35,00","34,45","","-0,09%"
"10/02/2026","34,73","34,99","35,02","34,45","","-0,74%"
"09/02/2026","34,99","34,67","35,05","34,59","","0,92%"
"06/02/2026","34,67","34,07","34,77","33,82","","1,76%"
"05/02/2026","34,07","34,52","34,67","33,98","","-1,27%"
"04/02/2026","34,51","34,73","34,90","34,38","","-0,69%"
"03/02/2026","34,75","34,37","35,21","34,32","","1,08%"
"02/02/2026","34,38","34,09","34,69","33,71","","0,97%"
"30/01/2026","34,05","34,81","34,84","33,92","","-2,18%"
"29/01/2026","34,81","34,68","35,73","34,37","","0,37%"
"28/01/2026","34,68","34,84","35,47","34,23","","-0,43%"
"27/01/2026","34,83","34,61","34,97","34,41","","0,93%"
"26/01/2026","34,51","34,84","35,07","34,43","","-0,43%"
"23/01/2026","34,66","34,69","34,89","34,43","","-0,09%"
"22/01/2026","34,69","34,44","34,85","34,26","","0,73%"
"21/01/2026","34,44","34,21","34,61","34,10","","0,67%"
"20/01/2026","34,21","34,36","34,46","34,08","","-0,61%"
"19/01/2026","34,42","34,31","34,45","34,25","","0,00%"
"16/01/2026","34,42","34,52","34,60","34,26","","-0,23%"
"15/01/2026","34,50","34,31","34,58","34,23","","0,58%"
"14/01/2026","34,30","34,31","34,44","34,22","","-0,03%"
"13/01/2026","34,31","34,27","34,36","34,11","","0,12%"
"12/01/2026","34,27","34,18","34,41","34,12","","0,26%"
"09/01/2026","34,18","33,97","34,24","33,84","","0,62%"
"08/01/2026","33,97","34,06","34,19","33,90","","-0,26%"
"07/01/2026","34,06","34,12","34,21","33,96","","-0,26%"
"06/01/2026","34,15","34,22","34,36","34,06","","-0,29%"
"05/01/2026","34,25","33,85","34,27","33,76","","1,15%"
"02/01/2026","33,86","33,79","33,94","33,66","","0,00%"
"01/01/2026","33,86","33,74","33,86","33,71","","0,36%"
"31/12/2025","33,74","33,57","34,23","33,47","","0,45%"
"30/12/2025","33,59","33,31","33,63","33,27","","0,81%"
"29/12/2025","33,32","33,46","33,52","33,27","","-0,30%"
"26/12/2025","33,42","33,40","33,49","33,30","","0,06%"
"25/12/2025","33,40","33,38","33,43","33,32","","0,06%"
"24/12/2025","33,38","33,55","33,71","33,35","","-0,51%"
"23/12/2025","33,55","33,50","33,59","33,31","","0,18%"
"22/12/2025","33,49","33,39","33,82","33,34","","0,27%"
"19/12/2025","33,40","33,38","33,49","33,24","","0,06%"
"18/12/2025","33,38","33,41","33,53","33,21","","-0,09%"
"17/12/2025","33,41","33,27","33,57","33,22","","0,42%"
"16/12/2025","33,27","33,25","33,44","33,18","","-0,03%"
"15/12/2025","33,28","33,09","33,34","33,06","","0,57%"
"12/12/2025","33,09","33,25","33,36","32,99","","-0,48%"
"11/12/2025","33,25","33,29","33,37","33,16","","-0,12%"
"10/12/2025","33,29","33,04","33,36","33,02","","0,76%"
"09/12/2025","33,04","33,01","33,11","32,89","","0,09%"
"08/12/2025","33,01","33,23","33,40","32,97","","-0,66%"
"05/12/2025","33,23","33,12","33,30","33,10","","0,36%"
"04/12/2025","33,11","33,06","33,23","32,89","","0,15%"
"03/12/2025","33,06","33,29","33,40","32,92","","-0,69%"
"02/12/2025","33,29","33,32","33,36","32,93","","-0,09%"
"01/12/2025","33,32","33,28","33,38","32,96","","0,94%"
"28/11/2025","33,01","33,22","33,34","32,65","","-0,57%"
"27/11/2025","33,20","33,23","33,29","32,97","","-0,15%"
"26/11/2025","33,25","33,08","33,32","32,93","","0,48%"
"25/11/2025","33,09","32,86","33,13","32,81","","0,58%"
"24/11/2025","32,90","32,78","33,00","32,68","","0,40%"
"21/11/2025","32,77","33,05","33,09","32,58","","-0,85%"
"20/11/2025","33,05","32,83","33,24","32,73","","0,58%"
"19/11/2025","32,86","32,91","32,99","32,71","","-0,15%"
"18/11/2025","32,91","32,88","32,99","32,73","","0,03%"
"17/11/2025","32,90","33,13","33,21","32,81","","-0,69%"
"14/11/2025","33,13","33,21","33,31","32,89","","-0,24%"
"13/11/2025","33,21","33,09","33,49","33,06","","0,36%"
"12/11/2025","33,09","33,07","33,31","33,02","","0,06%"
"11/11/2025","33,07","33,05","33,16","32,59","","0,00%"
"10/11/2025","33,07","32,88","33,13","32,82","","0,58%"
"07/11/2025","32,88","32,77","32,97","32,69","","0,24%"
"06/11/2025","32,80","32,80","32,94","32,69","","0,00%"
"05/11/2025","32,80","32,51","32,85","32,36","","1,05%"
"04/11/2025","32,46","32,83","32,89","32,36","","-1,07%"
"03/11/2025","32,81","33,43","33,48","32,58","","-1,56%"
"31/10/2025","33,33","32,62","33,39","32,48","","2,21%"
"30/10/2025","32,61","32,75","32,87","32,47","","-0,46%"
"29/10/2025","32,76","32,82","33,02","32,68","","-0,18%"
"28/10/2025","32,82","32,76","32,85","32,40","","0,18%"
"27/10/2025","32,76","32,88","32,94","32,36","","-0,03%"
"24/10/2025","32,77","32,57","32,87","32,48","","0,58%"
"23/10/2025","32,58","32,48","32,73","32,37","","0,31%"
"22/10/2025","32,48","32,40","32,54","32,23","","0,25%"
"21/10/2025","32,40","32,60","32,71","32,24","","-0,58%"
"20/10/2025","32,59","32,26","32,66","32,21","","1,02%"
"17/10/2025","32,26","32,41","32,55","32,14","","-0,46%"
"16/10/2025","32,41","32,48","32,76","32,35","","-0,28%"
"15/10/2025","32,50","32,64","32,87","32,41","","-0,37%"
"14/10/2025","32,62","32,63","32,76","32,29","","-0,03%"
