country;country_label;source;transaction;type_bien;subcategory;titre;prix_fcfa;surface_m2;prix_m2_fcfa;chambres;quartier;sous_quartier;standing;url;scraped_at
CI;Côte d'Ivoire;annoncesimmo-ci;location;studio;studio;Location d'un Studio : Abidjan-Cocody-Riviera (PALMERAIE ST VIATEUR1);150000;;;1;Abidjan-Cocody-Riviera;PALMERAIE ST VIATEUR1;;https://www.annoncesimmo-ci.com/a-louer-location-cote-d-ivoire-offre-location-studio-abidjan-cocody-riviera-10602.html;2026-05-12T18:12:46+00:00
CI;Côte d'Ivoire;annoncesimmo-ci;location;commercial;atelier-magasin;Location d'un Atelier / Magasin : Abidjan-Yopougon (MAROC);150000;;;0;Abidjan-Yopougon;MAROC;;https://www.annoncesimmo-ci.com/a-louer-location-cote-d-ivoire-offre-location-atelier-magasin-abidjan-yopougon-10598.html;2026-05-12T18:12:46+00:00
CI;Côte d'Ivoire;annoncesimmo-ci;location;studio;studio;Location d'un Studio : Abidjan-Yopougon (MAROC);50000;;;1;Abidjan-Yopougon;MAROC;;https://www.annoncesimmo-ci.com/a-louer-location-cote-d-ivoire-offre-location-studio-abidjan-yopougon-10597.html;2026-05-12T18:12:46+00:00
CI;Côte d'Ivoire;annoncesimmo-ci;location;appartement;appartement;Location d'un Appartement : Abidjan-Cocody-Riviera (DJOROBITE );250000;;;2;Abidjan-Cocody-Riviera;DJOROBITE;;https://www.annoncesimmo-ci.com/a-louer-location-cote-d-ivoire-offre-location-appartement-abidjan-cocody-riviera-10595.html;2026-05-12T18:12:46+00:00
CI;Côte d'Ivoire;annoncesimmo-ci;location;studio;studio;Location d'un Studio : Abidjan-Cocody-Riviera (PALMERAIE ST VIATEUR);150000;;;1;Abidjan-Cocody-Riviera;PALMERAIE ST VIATEUR;;https://www.annoncesimmo-ci.com/a-louer-location-cote-d-ivoire-offre-location-studio-abidjan-cocody-riviera-10592.html;2026-05-12T18:12:46+00:00
CI;Côte d'Ivoire;annoncesimmo-ci;location;villa;maison-villa;Location d'une Maison / Villa : Grand-Bassam-Grand-Bassam (Cité Callistro);350000;;;0;Grand-Bassam-Grand-Bassam;Cité Callistro;;https://www.annoncesimmo-ci.com/a-louer-location-cote-d-ivoire-offre-location-maison-villa-grand-bassam-grand-bassam-10589.html;2026-05-12T18:12:46+00:00
CI;Côte d'Ivoire;annoncesimmo-ci;location;villa;maison-villa;Location d'une Maison / Villa : Abidjan-Cocody-Riviera (Riviera 3);3000000;;;0;Abidjan-Cocody-Riviera;Riviera 3;;https://www.annoncesimmo-ci.com/a-louer-location-cote-d-ivoire-offre-location-maison-villa-abidjan-cocody-riviera-10588.html;2026-05-12T18:12:46+00:00
CI;Côte d'Ivoire;annoncesimmo-ci;location;villa;maison-villa;Location d'une Maison / Villa : Abidjan-Cocody centre (COCODY BESSIKOI (Résidence arc-en-ciel));2000000;;;0;Abidjan-Cocody centre;COCODY BESSIKOI (Résidence arc-en-ciel;;https://www.annoncesimmo-ci.com/a-louer-location-cote-d-ivoire-offre-location-maison-villa-abidjan-cocody-centre-10586.html;2026-05-12T18:12:46+00:00
CI;Côte d'Ivoire;annoncesimmo-ci;location;villa;maison-villa;Location d'une Maison / Villa : Grand-Bassam-Grand-Bassam (GRAND BASSAM (Cité Callisto));350000;;;4;Grand-Bassam-Grand-Bassam;GRAND BASSAM (Cité Callisto;;https://www.annoncesimmo-ci.com/a-louer-location-cote-d-ivoire-offre-location-maison-villa-grand-bassam-grand-bassam-10580.html;2026-05-12T18:12:46+00:00
CI;Côte d'Ivoire;annoncesimmo-ci;location;commercial;bureau;Location d'un Bureau : Abidjan-Cocody-Riviera (RIVIERA 3);3000000;;;8;Abidjan-Cocody-Riviera;RIVIERA 3;;https://www.annoncesimmo-ci.com/a-louer-location-cote-d-ivoire-offre-location-bureau-abidjan-cocody-riviera-10573.html;2026-05-12T18:12:46+00:00
CI;Côte d'Ivoire;annoncesimmo-ci;location;villa;maison-villa;Location d'une Maison / Villa : Abidjan-Marcory (Zone 4, rue du canal);2500000;;;4;Abidjan-Marcory;Zone 4, rue du canal;;https://www.annoncesimmo-ci.com/a-louer-location-cote-d-ivoire-offre-location-maison-villa-abidjan-marcory-10565.html;2026-05-12T18:12:46+00:00
CI;Côte d'Ivoire;annoncesimmo-ci;location;studio;studio;Location d'un Studio : Abidjan-Marcory (Résidentiel);250000;;;1;Abidjan-Marcory;Résidentiel;;https://www.annoncesimmo-ci.com/a-louer-location-cote-d-ivoire-offre-location-studio-abidjan-marcory-10562.html;2026-05-12T18:12:46+00:00
CI;Côte d'Ivoire;annoncesimmo-ci;location;appartement;appartement;Location d'un Appartement : Abidjan-Cocody-Angré (nouveau chu);150000;;;1;Abidjan-Cocody-Angré;nouveau chu;;https://www.annoncesimmo-ci.com/a-louer-location-cote-d-ivoire-offre-location-appartement-abidjan-cocody-angre-10545.html;2026-05-12T18:12:46+00:00
CI;Côte d'Ivoire;annoncesimmo-ci;location;appartement;appartement;Location d'un Appartement : Grand-Bassam-Grand-Bassam (MOCKEYVILLE);250000;142.0;1761;2;Grand-Bassam-Grand-Bassam;MOCKEYVILLE;;https://www.annoncesimmo-ci.com/a-louer-location-cote-d-ivoire-offre-location-appartement-grand-bassam-grand-bassam-10540.html;2026-05-12T18:12:46+00:00
CI;Côte d'Ivoire;annoncesimmo-ci;location;commercial;bureau;Location d'un Bureau : Abidjan-Cocody-Riviera (Riviera bonoumin);1800000;213.0;8451;0;Abidjan-Cocody-Riviera;Riviera bonoumin;;https://www.annoncesimmo-ci.com/a-louer-location-cote-d-ivoire-offre-location-bureau-abidjan-cocody-riviera-10507.html;2026-05-12T18:12:46+00:00
CI;Côte d'Ivoire;annoncesimmo-ci;location;appartement;appartement;Location d'un Appartement : Abidjan-Cocody-Riviera (Palmeraie );700000;;;3;Abidjan-Cocody-Riviera;Palmeraie;;https://www.annoncesimmo-ci.com/a-louer-location-cote-d-ivoire-offre-location-appartement-abidjan-cocody-riviera-10505.html;2026-05-12T18:12:46+00:00
