date_iso;mois_label;prix_apromac;confirme
2018-01-01;Janvier 2018;281;1
2018-02-01;Février 2018;282;1
2018-03-01;Mars 2018;271;1
2018-04-01;Avril 2018;266;1
2018-05-01;Mai 2018;257;1
2018-06-01;Juin 2018;278;1
2018-07-01;Juillet 2018;271;1
2018-08-01;Août 2018;258;1
2018-09-01;Septembre 2018;266;1
2018-10-01;Octobre 2018;260;1
2018-11-01;Novembre 2018;263;1
2018-12-01;Décembre 2018;248;1
2019-01-01;Janvier 2019;252;1
2019-02-01;Février 2019;269;1
2019-03-01;Mars 2019;278;1
2019-04-01;Avril 2019;298;1
2019-05-01;Mai 2019;308;1
2019-06-01;Juin 2019;310;1
2019-07-01;Juillet 2019;308;1
2019-08-01;Août 2019;289;1
2019-09-01;Septembre 2019;268;1
2019-10-01;Octobre 2019;275;1
2019-11-01;Novembre 2019;268;1
2019-12-01;Décembre 2019;285;1
2020-01-01;Janvier 2020;299;1
2020-02-01;Février 2020;302;1
2020-03-01;Mars 2020;281;1
2020-04-01;Avril 2020;250;1
2020-05-01;Mai 2020;229;1
2020-06-01;Juin 2020;229;1
2020-07-01;Juillet 2020;232;1
2020-08-01;Août 2020;235;1
2020-09-01;Septembre 2020;253;1
2020-10-01;Octobre 2020;264;1
2020-11-01;Novembre 2020;297;1
2020-12-01;Décembre 2020;301;1
2021-01-01;Janvier 2021;293;1
2021-02-01;Février 2021;296;1
2021-03-01;Mars 2021;316;1
2021-04-01;Avril 2021;338;1
2021-05-01;Mai 2021;314;1
2021-06-01;Juin 2021;319;1
2021-07-01;Juillet 2021;312;1
2021-08-01;Août 2021;318;1
2021-09-01;Septembre 2021;335;1
2021-10-01;Octobre 2021;317;1
2021-11-01;Novembre 2021;343;1
2021-12-01;Décembre 2021;351;1
2022-01-01;Janvier 2022;344;1
2022-02-01;Février 2022;359;1
2022-03-01;Mars 2022;362;1
2022-04-01;Avril 2022;364;1
2022-05-01;Mai 2022;374;1
2022-06-01;Juin 2022;360;1
2022-07-01;Juillet 2022;364;1
2022-08-01;Août 2022;368;1
2022-09-01;Septembre 2022;351;1
2022-10-01;Octobre 2022;316;1
2022-11-01;Novembre 2022;318;1
2022-12-01;Décembre 2022;290;1
2023-01-01;Janvier 2023;298;1
2023-02-01;Février 2023;297;1
2023-03-01;Mars 2023;306;1
2023-04-01;Avril 2023;296;1
2023-05-01;Mai 2023;290;1
2023-06-01;Juin 2023;292;1
2023-07-01;Juillet 2023;289;1
2023-08-01;Août 2023;277;1
2023-09-01;Septembre 2023;276;1
2023-10-01;Octobre 2023;307;1
2023-11-01;Novembre 2023;317;1
2023-12-01;Décembre 2023;321;1
2024-01-01;Janvier 2024;311;1
2024-02-01;Février 2024;328;1
2024-03-01;Mars 2024;335;1
2024-04-01;Avril 2024;355;1
2024-05-01;Mai 2024;357;1
2024-06-01;Juin 2024;362;1
2024-07-01;Juillet 2024;384;1
2024-08-01;Août 2024;357;1
2024-09-01;Septembre 2024;366;1
2024-10-01;Octobre 2024;395;1
2024-11-01;Novembre 2024;434;1
2024-12-01;Décembre 2024;425;1
2025-01-01;Janvier 2025;442;1
2025-02-01;Février 2025;442;1
2025-03-01;Mars 2025;454;1
2025-04-01;Avril 2025;438;1
2025-05-01;Mai 2025;373;1
2025-06-01;Juin 2025;359;1
2025-07-01;Juillet 2025;334;1
2025-08-01;Août 2025;334;1
2025-09-01;Septembre 2025;343;1
2025-10-01;Octobre 2025;349;1
2025-11-01;Novembre 2025;347;1
2025-12-01;Décembre 2025;350;1
2026-01-01;Janvier 2026;352;1
2026-02-01;Février 2026;368;1
2026-03-01;Mars 2026;381;1
2026-04-01;Avril 2026;412;1
2026-05-01;Mai 2026;418;1
2026-06-01;Juin 2026;483;0
2026-07-01;Juillet 2026;493;1
2026-08-01;Août 2026;474;1
