ticker;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026
NTLC;;;;;;;;;;;;07/07/2021;19/07/2022;17/07/2023;12/07/2024;04/07/2025;
PALC;;;;;;;;;10/09/2018;;;12/08/2021;18/07/2022;22/06/2023;02/07/2024;25/08/2025;
SPHC;;;;;;;;;13/09/2018;;;09/08/2021;19/07/2022;12/09/2023;23/07/2024;03/07/2025;
SICC;;;;;;;;;;;;;;;;;
STBC;;;;;;;;;;;;15/06/2021;06/07/2022;13/07/2023;12/07/2024;14/08/2025;
SOGC;;;;;;;;;27/06/2018;25/06/2019;22/06/2020;22/06/2021;06/07/2022;03/07/2023;22/07/2024;01/07/2025;
SLBC;;;;;;;;;29/05/2018;17/05/2019;;16/07/2021;28/07/2022;;11/09/2024;15/07/2025;
SCRC;;;;;;;;;10/09/2018;;;05/08/2021;;;;;
UNLC;;;;;;;;;;;;;;;;;
BNBC;;;;;;;;;06/07/2018;02/07/2019;;;;10/07/2023;;;
CFAC;;;;;;;;;13/07/2018;09/07/2019;10/08/2020;01/07/2021;20/07/2022;23/08/2023;16/08/2024;01/08/2025;
LNBB;;;;;;;;;;;;;;;;11/07/2025;
NEIC;;;;;;;;;;;;;;28/08/2023;05/06/2024;;
ABJC;;;;;;;;;04/06/2018;14/05/2019;;;05/08/2022;17/07/2023;16/09/2024;;
PRSC;;;;;;;;;16/08/2018;04/09/2019;13/08/2020;18/08/2021;15/07/2022;23/08/2023;06/09/2024;11/09/2025;
UNXC;;;;;;;;;29/06/2018;25/06/2019;;02/07/2021;15/07/2022;;;;
SMBC;;;;;;;;;13/08/2018;17/08/2019;;01/07/2021;09/08/2022;20/07/2023;28/08/2024;27/08/2025;
TTLC;;;;;;;;;14/09/2018;27/09/2019;08/09/2020;16/08/2021;03/08/2022;05/09/2023;02/09/2024;20/08/2025;
TTLS;;;;;;;;;13/07/2018;12/07/2019;07/12/2020;09/07/2021;06/07/2022;21/06/2023;04/06/2024;18/06/2025;
SHEC;;;;;;;;;04/07/2018;20/07/2019;13/11/2020;;14/10/2022;11/12/2023;10/09/2024;30/09/2025;
SDSC;;;;;;;;;15/05/2018;16/05/2019;27/11/2020;26/07/2021;07/06/2022;30/10/2023;20/11/2024;11/08/2025;
SEMC;;;;;;;;;;;;14/12/2021;;;;;
SIVC;;;;;;;;;;;;;;;;;
FTSC;;;;;;;;11/07/2017;09/01/2018;25/06/2019;21/07/2020;28/06/2021;;;16/09/2024;16/09/2025;
STAC;;;;;;;;;;;;22/06/2021;17/06/2022;;;;
CABC;;;;;;;;;16/05/2018;17/05/2019;14/07/2020;16/07/2021;19/07/2022;19/07/2023;14/05/2024;16/05/2025;
BOAB;;;;;;;;;17/04/2018;30/04/2019;10/04/2020;13/04/2021;27/04/2022;20/04/2023;22/04/2024;19/05/2025;
BOABF;;;;;;;;;13/04/2018;12/04/2019;10/04/2020;19/04/2021;12/04/2022;11/04/2023;04/04/2024;07/04/2025;31/03/2026
BOAC;;;;;;;;;16/05/2018;20/04/2019;04/06/2020;27/04/2021;06/04/2022;11/04/2023;04/04/2024;05/05/2025;17/04/2026
BOAM;;;;;;;;;16/05/2018;25/04/2019;;;;;29/04/2024;19/05/2025;
BOAN;;;;;;;;;16/05/2018;12/04/2019;21/04/2020;13/04/2021;06/04/2022;11/04/2023;05/04/2024;19/05/2025;
BOAS;;;;;;;;;09/04/2018;25/04/2019;03/06/2020;27/04/2021;20/04/2022;11/04/2023;12/06/2024;15/05/2025;
BICB;;;;;;;;;;;;;;;;28/08/2025;
BICC;;;;;;;;;19/06/2018;03/07/2019;;22/06/2021;27/06/2022;14/07/2023;07/06/2024;02/05/2025;
CBIBF;;;;;;;;;21/06/2018;18/06/2019;24/06/2020;08/06/2021;22/06/2022;12/06/2023;14/06/2024;19/06/2025;
ECOC;;;;;;;;;02/06/2018;30/04/2019;06/07/2020;22/04/2021;12/04/2022;12/05/2023;10/05/2024;15/05/2025;
ETIT;;;;;;;;;;;;;08/03/2022;24/05/2023;;;
NSBC;;;;;;;;;07/06/2018;25/06/2019;14/07/2020;;;22/06/2023;21/06/2024;24/06/2025;
ORGT;;;;;;;;;;15/06/2019;03/07/2020;;;;;;
SAFC;;;;;;;;;;;;;;;;;
SGBC;;;;;;;;;29/06/2018;12/07/2019;14/07/2020;28/05/2021;23/05/2022;05/05/2023;04/06/2024;02/07/2025;
SIBC;;;;;;;;;25/05/2018;21/06/2019;04/06/2020;06/07/2021;13/06/2022;20/07/2023;15/07/2024;11/07/2025;
CIEC;;;;;;;;;06/07/2018;25/07/2019;15/07/2020;30/06/2021;01/07/2022;06/07/2023;10/07/2024;11/07/2025;
SDCC;;;;;;;;;13/08/2018;15/10/2019;08/09/2020;07/07/2021;08/10/2022;21/08/2023;12/08/2024;21/08/2025;
ONTBF;;;;;;;;;23/05/2018;15/05/2019;26/05/2020;17/05/2021;27/05/2022;12/06/2023;05/07/2024;25/06/2025;
ORAC;;;;;;;;;;;;;;31/05/2023;14/05/2024;22/05/2025;
SNTS;;;;;;;;;;24/04/2019;05/05/2020;30/04/2021;29/04/2022;19/04/2023;26/04/2024;18/04/2025;23/04/2026
