date_iso;mois_label;huile_palme_brute_fcfa_tonne;regime_palme_bord_champ_fcfa_tonne;periode_source;source_pdf
2024-05-01;Mai 2024;530000;65000;Mai 2024;PRIX-MOIS-DE-MAI-2024.pdf
2024-10-01;Octobre 2024;600000;75000;Octobre-Novembre-Décembre 2024;PRIX-DES-REGIMES-DE-PALME-ET-HUILE-DE-PALME-BRUTE-OCT-NOV-ET-DEC.pdf
2024-11-01;Novembre 2024;600000;75000;Octobre-Novembre-Décembre 2024;PRIX-DES-REGIMES-DE-PALME-ET-HUILE-DE-PALME-BRUTE-OCT-NOV-ET-DEC.pdf
2024-12-01;Décembre 2024;600000;75000;Octobre-Novembre-Décembre 2024;PRIX-DES-REGIMES-DE-PALME-ET-HUILE-DE-PALME-BRUTE-OCT-NOV-ET-DEC.pdf
2025-01-01;Janvier 2025;600000;75000;Janvier 2025;PRIX-DACHAT-REGIME-DE-PALME-JANVIER-2025.pdf
2025-02-01;Février 2025;620000;80000;Février-Mars-Avril 2025;Avis-mois-de-fevrier-mars-avril-2025.pdf
2025-03-01;Mars 2025;620000;80000;Février-Mars-Avril 2025;Avis-mois-de-fevrier-mars-avril-2025.pdf
2025-04-01;Avril 2025;620000;80000;Février-Mars-Avril 2025;Avis-mois-de-fevrier-mars-avril-2025.pdf
2025-05-01;Mai 2025;620000;80000;Mai-Juin-Juillet 2025;SCAN-AVIS-AUX-PLANTEURS-MAI-JUIN-ET-JUILLET-2025.pdf
2025-06-01;Juin 2025;620000;80000;Mai-Juin-Juillet 2025;SCAN-AVIS-AUX-PLANTEURS-MAI-JUIN-ET-JUILLET-2025.pdf
2025-07-01;Juillet 2025;620000;80000;Mai-Juin-Juillet 2025;SCAN-AVIS-AUX-PLANTEURS-MAI-JUIN-ET-JUILLET-2025.pdf
2025-08-01;Août 2025;620000;80000;Août-Septembre-Octobre 2025;SCAN-AVIS-AUX-PLANTEURS-AOUT-SEPT-OCT-2025.pdf
2025-09-01;Septembre 2025;620000;80000;Août-Septembre-Octobre 2025;SCAN-AVIS-AUX-PLANTEURS-AOUT-SEPT-OCT-2025.pdf
2025-10-01;Octobre 2025;620000;80000;Août-Septembre-Octobre 2025;SCAN-AVIS-AUX-PLANTEURS-AOUT-SEPT-OCT-2025.pdf
2025-11-01;Novembre 2025;620000;80000;Novembre-Décembre 2025;SCAN-AVIS-AUX-PLANTEURS-NOV-ET-DEC-2025.pdf
2025-12-01;Décembre 2025;620000;80000;Novembre-Décembre 2025;SCAN-AVIS-AUX-PLANTEURS-NOV-ET-DEC-2025.pdf
2026-01-01;Janvier 2026;620000;80000;Janvier 2026;AVIS-AUX-PLANTEURS-MOIS-DE-JANVIER-2026.pdf
2026-02-01;Février 2026;620000;80000;Février-Mars-Avril 2026;SCAN-AVIS-AUX-PLANTEURS-DES-MOIS-DE-FEV-MARS-AVRIL-2026.pdf
2026-03-01;Mars 2026;620000;80000;Février-Mars-Avril 2026;SCAN-AVIS-AUX-PLANTEURS-DES-MOIS-DE-FEV-MARS-AVRIL-2026.pdf
2026-04-01;Avril 2026;620000;80000;Février-Mars-Avril 2026;SCAN-AVIS-AUX-PLANTEURS-DES-MOIS-DE-FEV-MARS-AVRIL-2026.pdf
2026-05-01;Mai 2026;620000;80000;Mai-Juin-Juillet 2026;SCAN-AVIS-AUX-PLANTEURS-DES-MOIS-DE-MAI-JUIN-ET-JUIL-2026.pdf
2026-06-01;Juin 2026;620000;80000;Mai-Juin-Juillet 2026;SCAN-AVIS-AUX-PLANTEURS-DES-MOIS-DE-MAI-JUIN-ET-JUIL-2026.pdf
2026-07-01;Juillet 2026;620000;80000;Mai-Juin-Juillet 2026;SCAN-AVIS-AUX-PLANTEURS-DES-MOIS-DE-MAI-JUIN-ET-JUIL-2026.pdf
