country;country_label;source;transaction;type_bien;subcategory;titre;prix_fcfa;surface_m2;prix_m2_fcfa;chambres;quartier;sous_quartier;standing;url;scraped_at
BF;Burkina Faso;clefsdufaso;location;villa;;A Louer 3 chbrs salon Ref: 26053;350000;520;673;;Extension Sud;;;https://clefsdufaso.com/annonce/a-louer-extension-sud-ref-26053/;2026-05-12T18:34:01+00:00
BF;Burkina Faso;clefsdufaso;location;maison;;A Louer Kossodo Ref: 25992;1500000;;;;Nioko;Kossodo;;https://clefsdufaso.com/annonce/a-louer-nioko-ref-25992/;2026-05-12T18:34:01+00:00
BF;Burkina Faso;clefsdufaso;location;maison;;A Louer, 3 chbrses, Tanghin Ref: 25977;170000;;;;Tanghin;;;https://clefsdufaso.com/annonce/a-louer-3-chbrses-tanghin-ref-25977/;2026-05-12T18:34:01+00:00
BF;Burkina Faso;clefsdufaso;location;appartement;;Villa a louer Ouaga 2000 Ref:25931;1000000;;;;Ouaga 2000;;;https://clefsdufaso.com/annonce/villa-a-louer-ouaga-2000-ref25931/;2026-05-12T18:34:01+00:00
BF;Burkina Faso;clefsdufaso;location;maison;;A louer Ouaga 2000 Azimmo Ref : 25859;500000;;;;Ouaga 2000;Azimmo;;https://clefsdufaso.com/annonce/a-louer-ouaga-2000-azimmo-ref-25859/;2026-05-12T18:34:01+00:00
BF;Burkina Faso;clefsdufaso;location;villa;;A louer villa Ouaga ref : 25808;800000;;;;Zone Du Bois;;;https://clefsdufaso.com/annonce/a-louer-villa-ouaga-ref-25808/;2026-05-12T18:34:01+00:00
BF;Burkina Faso;clefsdufaso;location;maison;;A louer Ouaga 2000 Azimmo Ref : 25770;700000;;;4;Ouaga 2000;Ouaga2000, Azimmo;;https://clefsdufaso.com/annonce/a-louer-ouaga-2000-azimmo/;2026-05-12T18:34:01+00:00
BF;Burkina Faso;clefsdufaso;location;villa;;A Louer villa Ouaga 2000 Ref : 25730;1000000;;;4;Ouaga 2000;;;https://clefsdufaso.com/annonce/a-louer-villa-ouaga-2000-ref/;2026-05-12T18:34:01+00:00
BF;Burkina Faso;clefsdufaso;location;appartement;;Appartement à louer Ref : 25707;600000;;;;Ouaga 2000;;;https://clefsdufaso.com/annonce/appartement-a-louer/;2026-05-12T18:34:01+00:00
BF;Burkina Faso;clefsdufaso;location;maison;;A louer Ouaga 2000 ref : 25679;1000000;;;;Ouaga 2000;;;https://clefsdufaso.com/annonce/a-louer-ouaga-2000-ref-2/;2026-05-12T18:34:01+00:00
BF;Burkina Faso;clefsdufaso;location;appartement;;Appart meublé Ouaga;900000;;;;Centre;Centre Ville, Ville;;https://clefsdufaso.com/annonce/appartements-meubles-a-louer-a-ouagadougou/;2026-05-12T18:34:01+00:00
BF;Burkina Faso;clefsdufaso;location;villa;;A louer Ouaga 2000 ref : 25101;600000;;;4;Ouaga 2000;Azimmo;;https://clefsdufaso.com/annonce/a-louer-ouaga-2000-ref/;2026-05-12T18:34:01+00:00
