source;transaction;type_bien;titre;prix_fcfa;surface_m2;prix_m2_fcfa;chambres;quartier;sous_quartier;standing;url;scraped_at
coinafrique;location;terrain;Terrain 2 ha - Mondoukou;75000;;;;Grand-Bassam;;;https://ci.coinafrique.com/annonce/villas/terrain-2-ha-mondoukou-5773882;2026-05-02T00:31:18+00:00
coinafrique;location;appartement;Location appartements 2 pièces  - Treichville;300000;30;10000;2;Treichville;;;https://ci.coinafrique.com/annonce/appartements/location-appartements-2-pieces-treichville-5811792;2026-05-02T00:31:18+00:00
coinafrique;location;villa;"En location dans les  Rosiers route de Bassam, 

très belle Villa duplex moderne de 7 pièces 
Elle est constituée de:";700000;350;2000;7;Grand-Bassam;;haut;https://ci.coinafrique.com/annonce/villas/en-location-dans-les-rosiers-route-de-bassam-tres-belle-villa-duplex-moderne-de-7-pieces-elle-est-constituee-de-5886776;2026-05-02T00:31:18+00:00
coinafrique;location;terrain;Terrain à Souemy, commune de Bingerville;40000;50000;1;;Bingerville;;;https://ci.coinafrique.com/annonce/terrains/terrain-a-souemy-commune-de-bingerville-5878635;2026-05-02T00:31:18+00:00
coinafrique;location;terrain;Terrains 30000 m² - assinie assoinde;20000;30000;1;;;;;https://ci.coinafrique.com/annonce/terrains/terrains-30000-m-assinie-assoinde-5887731;2026-05-02T00:31:18+00:00
coinafrique;location;terrain;Terrain 3 lots  à l'angle de chaque îlot;275000000;660;416667;;Cocody;;;https://ci.coinafrique.com/annonce/terrains/terrain-3-lots-a-langle-de-chaque-ilot-5872028;2026-05-02T00:31:18+00:00
coinafrique;location;appartement;Location appartement 3 pièces - Rivièra 3 cap nord;850000;190;4474;3;Cocody;;;https://ci.coinafrique.com/annonce/appartements/location-appartement-3-pieces-riviera-3-cap-nord-5883986;2026-05-02T00:31:18+00:00
coinafrique;location;immeuble;Location  résidence meublée - Cocody;20000;;;;Cocody;;;https://ci.coinafrique.com/annonce/appartements-meubles/location-residence-meublee-cocody-5370996;2026-05-02T00:31:18+00:00
coinafrique;location;terrain;Terrain 6044m² - Abidjan boulevard de marseille;1500000000;6044;248180;;Cocody;;;https://ci.coinafrique.com/annonce/terrains/terrain-6044m-abidjan-boulevard-de-marseille-5873780;2026-05-02T00:31:18+00:00
coinafrique;location;appartement;Location appartement 2 pièces - plateaux;750000;;;2;Plateau;;;https://ci.coinafrique.com/annonce/appartements/location-appartement-2-pieces-plateaux-5863114;2026-05-02T00:31:18+00:00
coinafrique;location;appartement;Location appartement 3 et 4 pièces - Rivièra attoban;600000;;;4;Cocody;Attoban;;https://ci.coinafrique.com/annonce/appartements/location-appartement-3-et-4-pieces-riviera-attoban-5886060;2026-05-02T00:31:18+00:00
coinafrique;location;appartement;Location appartement 3 pièces -   Abidjan plateau;2000000;;;3;Cocody;;;https://ci.coinafrique.com/annonce/appartements/location-appartement-3-pieces-abidjan-plateau-5889468;2026-05-02T00:31:18+00:00
coinafrique;location;villa;Location villa triplex 6 pièces - Cocody;1200000;400;3000;6;Cocody;;;https://ci.coinafrique.com/annonce/villas/location-villa-triplex-6-pieces-cocody-5860228;2026-05-02T00:31:18+00:00
