country;country_label;source;transaction;type_bien;subcategory;titre;prix_fcfa;surface_m2;prix_m2_fcfa;chambres;quartier;sous_quartier;standing;url;scraped_at
BJ;Bénin;coinafrique;location;appartement;appartements-meubles;Location appartement meublé 2 pièces - Cocody;8500;;;2;Cocody;;;https://bj.coinafrique.com/annonce/appartements-meubles/location-appartement-meuble-2-pieces-cocody-5772485;2026-05-12T16:43:42+00:00
BJ;Bénin;coinafrique;location;commercial;bureaux-et-commerces;Location bureaux et commerces 200m² - Cotonou;3500000;200;17500;;;;;https://bj.coinafrique.com/annonce/bureaux-et-commerces/location-bureaux-et-commerces-200m-cotonou-5321760;2026-05-12T16:43:42+00:00
BJ;Bénin;coinafrique;location;commercial;bureaux-et-commerces;Location magasin avec parcelle de 500 m² a Fidjrosse;350000;500;700;;;;;https://bj.coinafrique.com/annonce/bureaux-et-commerces/location-magasin-avec-parcelle-de-500-m-a-fidjrosse-5146765;2026-05-12T16:43:42+00:00
BJ;Bénin;coinafrique;location;commercial;bureaux-et-commerces;Location espace 230m² -Akpakpa;950000;230;4130;;;;;https://bj.coinafrique.com/annonce/bureaux-et-commerces/location-espace-230m-akpakpa-5027275;2026-05-12T16:43:42+00:00
BJ;Bénin;coinafrique;location;commercial;bureaux-et-commerces;Location hall 270 m2 - Cadjehoun;1000000;270;3704;;;;;https://bj.coinafrique.com/annonce/bureaux-et-commerces/location-hall-270-m2-cadjehoun-4816250;2026-05-12T16:43:42+00:00
BJ;Bénin;coinafrique;location;commercial;bureaux-et-commerces;Location bureaux & commerces 130 m2 - Cotonou Akpakpa;300000;130;2308;;;;;https://bj.coinafrique.com/annonce/bureaux-et-commerces/location-bureaux-et-commerces-130-m2-cotonou-akpakpa-4849902;2026-05-12T16:43:42+00:00
BJ;Bénin;coinafrique;location;commercial;bureaux-et-commerces;Location magasin 1072m² à Cotonou;4000000;1072;3731;;;;;https://bj.coinafrique.com/annonce/bureaux-et-commerces/location-magasin-1072m-a-cotonou-4299245;2026-05-12T16:43:42+00:00
BJ;Bénin;coinafrique;location;commercial;bureaux-et-commerces;Location magasin 935m² à Cotonou;3500000;935;3743;;;;;https://bj.coinafrique.com/annonce/bureaux-et-commerces/location-magasin-935m-a-cotonou-4299235;2026-05-12T16:43:42+00:00
BJ;Bénin;coinafrique;location;commercial;bureaux-et-commerces;Location Magasin 100m² - Missebo;150000;100;1500;;;;;https://bj.coinafrique.com/annonce/bureaux-et-commerces/location-magasin-100m-missebo-4050386;2026-05-12T16:43:42+00:00
BJ;Bénin;coinafrique;location;commercial;bureaux-et-commerces;Location magasin 500 m2 - Cotonou Étoiles Rouge;500000;500;1000;;;;;https://bj.coinafrique.com/annonce/bureaux-et-commerces/location-magasin-500-m2-cotonou-etoiles-rouge-3997311;2026-05-12T16:43:42+00:00
BJ;Bénin;coinafrique;location;commercial;bureaux-et-commerces;Location boutique-restaurant 648 m² à Haie-Vive;1500000;648;2315;;;;;https://bj.coinafrique.com/annonce/bureaux-et-commerces/location-boutique-restaurant-648-m-a-haie-vive-3966164;2026-05-12T16:43:42+00:00
BJ;Bénin;coinafrique;location;terrain;terrains;Parcelle 400 M2 à ST Rita comportant un immeuble r+1 tf personnel;65000000;400;162500;;;;;https://bj.coinafrique.com/annonce/terrains/parcelle-400-m2-a-st-rita-comportant-un-immeuble-r1-tf-personnel-5889615;2026-05-12T16:43:42+00:00
BJ;Bénin;coinafrique;location;terrain;terrains;Parcelle de 252 m2 au bord du pavés a Sikecodji 3 ème position du goudron Feu marina;90000000;252;357143;;;;;https://bj.coinafrique.com/annonce/terrains/parcelle-de-252-m2-au-bord-du-paves-a-sikecodji-3-eme-position-du-goudron-feu-marina-5889607;2026-05-12T16:43:42+00:00
