N°,Gestionnaire,Nom de l'OPC,Type d'OPC,Catégorie,Date,Valeur Liquidative,Actif net
1,SAPHIR ASSET MANAGEMENT, SAPHIR QUIETUDE,FCP,Obligataire (OLMT),2022-12-31,6164.61,25940239123
2,SAPHIR ASSET MANAGEMENT, SAPHIR DYNAMIQUE,FCP,Diversifié,2022-12-31,5530.59,628464463
1,SGCAMWA,SOGEPRIVILEGE,FCP,Diversifié,2022-12-31,4007,3751937086
2,SGCAMWA,SOGEAVENIR,FCP,Diversifié,2022-12-31,1674,4053147673
3,SGCAMWA,SOGEDEFI,FCP,Diversifié,2022-12-31,3917,4028456208
4,SGCAMWA,SOGEVALOR,FCP,Actions ,2022-12-31,3363,4431454031
5,SGCAMWA,SOGEDYNAMIQUE,FCP,Actions ,2022-12-31,3798,5202679834
6,SGCAMWA,SOGELIQUID,FCP,Monétaire (OCT),2022-12-31,10677729,21012619452
7,SGCAMWA,SOGESECURITE,FCP,Obligataire (OLMT),2022-12-31,5109,20879200164
1,AFRICAINE DE GESTION D'ACTIFS, AGA CONFORT PLUS,FCP,Obligataire (OLMT),2022-12-31,1254.74,5549868647
2,AFRICAINE DE GESTION D'ACTIFS, AGA CAPITAL PLUS,FCP,Diversifié,2022-12-31,1273.89,388172509
1,AFRICABOURSE ASSET MANAGEMENT,OBLIGATIS,FCP,Obligataire (OLMT),2022-12-31,8632.15,31919400356
2,AFRICABOURSE ASSET MANAGEMENT,CAPITAL SUR,FCP,Monétaire (OCT),2022-12-31,7961.44,2353522023
3,AFRICABOURSE ASSET MANAGEMENT,EPARGNE CROISSANCE,FCP,Diversifié,2022-12-31,7624.09,5618613112
4,AFRICABOURSE ASSET MANAGEMENT,EPARGNE ACTION,FCP,Actions ,2022-12-31,5465.76,1209176898
1,SOAGA,SOAGA EPARGNE SERENITE,FCP,Obligataire (OLMT),2022-12-31,14326.0791,44639312072.0774
2,SOAGA,SOAGA EPARGNE OBLIGATIONS,FCP,Obligataire (OLMT),2022-12-31,5545.673,26511315275.2527
3,SOAGA,SICAV-ABDOU DIOUF,SICAV,Diversifié,2022-12-31,15058418.5806,21383859395.4965
4,SOAGA,SOAGA EPARGNE ACTIVE,FCP,Diversifié,2022-12-31,11372.5382,15342480974.5576
5,SOAGA,SOAGA EPARGNE ACTIONS,FCP,Actions ,2022-12-31,8982.4792,9750334857.5622
6,SOAGA,BOAD CAPITAL RETRAITE,FCP,Obligataire (OLMT),2022-12-31,11687.885,679220002.3954
7,SOAGA,SOAGA EPARGNE DYNAMIQUE,FCP,Actions ,2022-12-31,,
8,SOAGA,SOAGA EPARGNE QUIETUDE,FCP,Obligataire (OLMT),2022-12-31,,
1,BRIDGE ASSET MANAGEMENT, BRIDGE OBLIGATIONS,FCP,Obligataire (OLMT),2022-12-31,5917.6909,36597143359.2145
2,BRIDGE ASSET MANAGEMENT, BRIDGE EQUILIBRE,FCP,Diversifié,2022-12-31,27853011.5549,3619769025.7826
3,BRIDGE ASSET MANAGEMENT, BRIDGE DIVERSIFIE CROISSANCE,FCP,Diversifié,2022-12-31,5452.6742,973213487.7677
1,AFRICA ASSET MANAGEMENT, VALORIS,FCP,Actions ,2022-12-31,8319.4245,1756849238
2,AFRICA ASSET MANAGEMENT, EXPANSIO,FCP,Diversifié,2022-12-31,9619.0664,890369415
3,AFRICA ASSET MANAGEMENT,MAADO,FCPE,Diversifié,2022-12-31,5172.5542,52021811
4,AFRICA ASSET MANAGEMENT, CMT SONABEL,FCPE,Diversifié,2022-12-31,5059.6338,50596338
5,AFRICA ASSET MANAGEMENT, SECURITAS,FCP,Obligataire (OLMT),2022-12-31,7342.5634,1289464956
1,IMPAXIS ASSET MANAGEMENT (ex-BRM ASSET MANAGEMENT),BRM DYNAMIQUE,FCP,Diversifié,2022-12-31,13810.74,426282246
2,IMPAXIS ASSET MANAGEMENT (ex-BRM ASSET MANAGEMENT), BRM OBLIGATAIRE,FCP,Diversifié,2022-12-31,15981.47,511151303
3,IMPAXIS ASSET MANAGEMENT (ex-BRM ASSET MANAGEMENT), SDE,FCPE,Diversifié,2022-12-31,2809.97,876910844
1,CORIS ASSET MANAGEMENT,CORIS ACTIONS ,FCP,Actions ,2022-12-31,6497.4695,818447254
2,CORIS ASSET MANAGEMENT,ASSURANCES,FCP,Diversifié,2022-12-31,6884.6951,961020813
