date;country;isin;type;maturity;amount;weightedAvgYield
2020-07-22;CI;A600G62G7;OAT;10;4723.77;6.05
2020-07-22;CI;CI0000002444;OAT;5;24999.9;5.84
2020-07-22;CI;A600F52F2;OAT;7;13431.47;6.52
2020-07-22;CI;CI0000001863;OAT;5;13666.73;5.54
2020-07-22;CI;CI0000001897;OAT;7;37502.4;5.72
2020-07-22;CI;A600G92F6;OAT;7;30695.94;5.88
2020-07-22;CI;CI0000001921;OAT;5;125958.;5.49
2022-07-14;CI;CI0000005435;OAT;3;99232.49;5.49
2022-07-14;CI;CI0000005443;OAT;5;17065.39;5.61
2022-07-14;CI;CI0000002358;OAT;1;550.;2.25
2022-07-14;CI;CI0000002986;OAT;1;3700.;2.00
2022-07-14;CI;CI0000003018;OAT;1;2977.27;2.00
2022-07-14;CI;CI0000003042;OAT;1;3547.75;2.25
2022-07-14;CI;CI0000003091;OAT;1;57217.79;2.31
2022-07-14;CI;;BAT;1;12795.;1.98
2022-07-14;CI;;BAT;1;5249.;1.76
2022-07-14;CI;;BAT;1;2965.;1.87
2022-07-14;CI;;BAT;1;14500.;2.25
2022-07-14;CI;;BAT;1;8440.;2.03
2022-07-04;SN;;BAT;1;34004.;2.16
2022-07-04;SN;SN0000001157;OAT;3;4300.;2.60
2022-07-04;SN;SN0000001207;OAT;3;64050.;2.54
2020-08-07;BJ;B600632E2;OAT;5;3500.;6.13
2024-08-12;TG;;BAT;0;3746.;2.00
2024-08-12;TG;;BAT;1;5385.;3.00
2025-11-04;GW;;BAT;0;1000.;2.50
2024-07-04;BF;BF0000001917;OAT;1;2000.;2.50
2024-07-04;BF;;BAT;0;1000.;2.50
2024-07-04;BF;;BAT;1;3000.;2.50
2024-07-04;BF;;BAT;1;1000.;2.50
2023-06-15;ML;;BAT;1;27727.;1.15
2023-06-15;ML;ML0000001437;OAT;0;1500.;5.76
2023-05-19;ML;;BAT;1;2000.;3.50
2023-05-19;ML;;BAT;1;5000.;3.00
2023-05-19;ML;ML0000000579;OAT;1;2485.12;5.77
2023-05-19;ML;ML0000001528;OAT;1;6747.93;5.94
2023-05-19;ML;ML0000001403;OAT;0;2500.;5.32
2024-08-26;TG;TG0000001288;OAT;0;2993.04;2.96
2024-06-25;TG;;BAT;1;5000.;3.00
2024-06-25;TG;;BAT;1;3000.;2.75
2024-06-25;TG;;BAT;1;9626.;3.00
2024-06-25;TG;;BAT;1;2708.;2.75
2023-07-31;TG;TG0000001429;OAT;0;6000.;2.86
2023-07-31;TG;TG0000001445;OAT;1;9461.66;2.28
2023-06-19;TG;TG0000001445;OAT;1;6500.;1.49
2023-06-19;TG;TG0000001395;OAT;1;11340.;1.49
2025-01-24;NE;NE0000001153;OAT;1;2000.;0.00
2025-01-24;NE;;BAT;1;16000.;6.00
2024-06-21;NE;;BAT;0;6000.;2.50
2024-06-21;NE;;BAT;1;3000.;2.50
2024-06-28;NE;;BAT;0;3000.;3.50
2023-06-23;BJ;;BAT;1;17000.;1.09
2023-07-21;NE;;BAT;1;3000.;4.00
2023-07-21;NE;;BAT;1;12000.;5.00
2024-10-21;SN;;BAT;1;13000.;5.00
2024-10-21;SN;;BAT;0;29400.;3.00
2023-06-26;SN;;BAT;1;5985.;1.25
2023-06-26;SN;;BAT;1;7500.;1.25
