country;country_label;source;transaction;type_bien;subcategory;titre;prix_fcfa;surface_m2;prix_m2_fcfa;chambres;quartier;sous_quartier;standing;url;scraped_at
SN;Sénégal;expat-dakar;achat;terrain;terrains-a-vendre;TERRAIN COOPÉRATIVE D'HABITAT DE BÉROH EXTENSION THIÈS;2004000;;;;Thiès;;;https://www.expat-dakar.com/annonce/terrain-cooperative-dhabitat-de-beroh-extension-thies-6714334;2026-05-12T18:13:43+00:00
SN;Sénégal;expat-dakar;achat;terrain;terrains-a-vendre;Maison à démolir à Nord foire;90000000;;;;Nord foire;;;https://www.expat-dakar.com/annonce/maison-a-demolir-a-nord-foire-6719391;2026-05-12T18:13:43+00:00
SN;Sénégal;expat-dakar;location;appartement;appartements-a-louer;À louer non meublé – Appartement F4 de standing proche IPG;800000;;;;Liberte 5;;;https://www.expat-dakar.com/annonce/a-louer-non-meuble-appartement-f4-de-standing-proche-ipg-6654820;2026-05-12T18:13:43+00:00
SN;Sénégal;expat-dakar;location;appartement;appartements-a-louer;Location F5 non meublé – Almadies (Résidence 790);1000000;;;;Almadies;;;https://www.expat-dakar.com/annonce/location-f5-non-meuble-almadies-residence-790-6649394;2026-05-12T18:13:43+00:00
SN;Sénégal;expat-dakar;location;appartement;appartements-meubles;LOCATION STUDIO MEUBLÉ HAUT STANDING A SALY;350000;;;;Saly Portudal;;;https://www.expat-dakar.com/annonce/location-studio-meuble-haut-standing-a-saly-6413034;2026-05-12T18:13:43+00:00
SN;Sénégal;expat-dakar;achat;terrain;terrains-a-vendre;Terrain de 2 Ha à Sindia;240000000;;;;Sindia;;;https://www.expat-dakar.com/annonce/terrain-de-2-ha-a-sindia-6718296;2026-05-12T18:13:43+00:00
SN;Sénégal;expat-dakar;achat;appartement;appartements-a-vendre;Appartement F2 Jaune à Sacré-Cœur;62000000;;;;Sacré-cœur;;;https://www.expat-dakar.com/annonce/appartement-f2-jaune-a-sacre-coeur-6623848;2026-05-12T18:13:43+00:00
SN;Sénégal;expat-dakar;achat;maison;maisons-a-vendre;Villa à vendre de type F5 R+1 SICAP BAMBILOR;60000000;;;;Bambilor;;;https://www.expat-dakar.com/annonce/villa-a-vendre-de-type-f5-r1-sicap-bambilor-6662135;2026-05-12T18:13:43+00:00
SN;Sénégal;expat-dakar;location;appartement;appartements-meubles;Studio à Sacrée Cœur 3;30000;;;;Sacré-cœur;;;https://www.expat-dakar.com/annonce/studio-a-sacree-coeur-3-6431629;2026-05-12T18:13:43+00:00
SN;Sénégal;expat-dakar;location;appartement;appartements-meubles;APPARTEMENT F2 D’EXCEPTION - FANN RESIDENCE- DAKAR;1100000;;;;Fann;;;https://www.expat-dakar.com/annonce/appartement-f2-dexception-fann-residence-dakar-6707076;2026-05-12T18:13:43+00:00
SN;Sénégal;expat-dakar;achat;maison;maisons-a-vendre;Opportunité pieds dans l’eau;700000000;;;;Virage;;;https://www.expat-dakar.com/annonce/opportunite-pieds-dans-leau-6601777;2026-05-12T18:13:43+00:00
SN;Sénégal;expat-dakar;achat;maison;maisons-a-vendre;Pieds dans l’eau;1500000000;;;;Almadies;;;https://www.expat-dakar.com/annonce/pieds-dans-leau-6558231;2026-05-12T18:13:43+00:00
SN;Sénégal;expat-dakar;achat;maison;maisons-a-vendre;Jolies Villas pieds dans l’eau et vue sur mer;1900000000;;;;Almadies;;;https://www.expat-dakar.com/annonce/jolies-villas-pieds-dans-leau-et-vue-sur-mer-6719315;2026-05-12T18:13:43+00:00
SN;Sénégal;expat-dakar;achat;terrain;terrains-a-vendre;Terrain à vendre aux Almadies 3;17000000;;;;Almadies 2;;;https://www.expat-dakar.com/annonce/terrain-a-vendre-aux-almadies-3-6692400;2026-05-12T18:13:43+00:00
SN;Sénégal;expat-dakar;location;appartement;appartements-a-louer;Appartement F4 non meublé Point E parking, ascenseur;900000;;;;Point-e;;;https://www.expat-dakar.com/annonce/appartement-f4-non-meuble-point-e-parking-ascenseur-6711986;2026-05-12T18:13:43+00:00
SN;Sénégal;expat-dakar;location;maison;maisons-a-louer;Villa R+1 avec grand espace sur Mamelles extension F4;750000;;;;Mamelles;;;https://www.expat-dakar.com/annonce/villa-r1-avec-grand-espace-sur-mamelles-extension-f4-6696813;2026-05-12T18:13:43+00:00
SN;Sénégal;expat-dakar;achat;terrain;terrains-a-vendre;Terrain à vendre à Kounoune 2 (Cité Manaing Seck);18000000;;;;Grand-Dakar;;;https://www.expat-dakar.com/annonce/terrain-a-vendre-a-kounoune-2-cite-manaing-seck-6719432;2026-05-12T18:13:43+00:00
SN;Sénégal;expat-dakar;location;maison;maisons-a-louer;Villa contemporaine à louer Almadies;2000000;;;;Almadies;;;https://www.expat-dakar.com/annonce/villa-contemporaine-a-louer-almadies-6627347;2026-05-12T18:13:43+00:00
SN;Sénégal;expat-dakar;location;appartement;appartements-a-louer;Bel appartement à louer à fann résidence;1700000;;;;Fann;;;https://www.expat-dakar.com/annonce/bel-appartement-a-louer-a-fann-residence-6566641;2026-05-12T18:13:43+00:00
SN;Sénégal;expat-dakar;location;commercial;proprietes-commerciales-a-louer;Local à louer au virage bord de route;800000;;;;Virage;;;https://www.expat-dakar.com/annonce/local-a-louer-au-virage-bord-de-route-6688613;2026-05-12T18:13:43+00:00
SN;Sénégal;expat-dakar;location;appartement;appartements-a-louer;Appartement moderne neuf lumineux avec espaces paysagers;1500000;;;;Ngor;;;https://www.expat-dakar.com/annonce/appartement-moderne-neuf-lumineux-avec-espaces-paysagers-6572725;2026-05-12T18:13:43+00:00
SN;Sénégal;expat-dakar;location;maison;maisons-a-louer;Villa Almadies usage bureau ou habitation;1300000;;;;Almadies;;;https://www.expat-dakar.com/annonce/villa-almadies-usage-bureau-ou-habitation-6714988;2026-05-12T18:13:43+00:00
SN;Sénégal;expat-dakar;location;appartement;appartements-meubles;Jolie studio meublé aux Almadies;750000;;;;Almadies;;;https://www.expat-dakar.com/annonce/jolie-studio-meuble-aux-almadies-6663992;2026-05-12T18:13:43+00:00
