bocDate;gestionnaire;depositaire;opcvm;categorie;frequenceCalcul;vlOrigine;dateOrigine;vlPrecedente;datePrecedente;vlActuelle;dateActuelle;typeOpc;actifNet;vlAumfcp;dateAumfcp;nomAumfcp
2026-09-08;AFRICABOURSE ASSET MANAGEMENT;AFRICABOURSE SA;FCP AAM EPARGNE CROISSANCE;Diversifié;Quotidienne;5000;2012-11-19;13727.91;2026-09-04;13740.57;2026-09-07;FCP;17 950 956 031;13 055;2026-06-30;EPARGNE CROISSANCE
2026-09-08;AFRICABOURSE ASSET MANAGEMENT;AFRICABOURSE SA;FCP AAM OBLIGATIS;Obligataire (OLMT);Quotidienne;5000;2012-09-12;9572.33;2026-09-04;9575.43;2026-09-07;FCP;22 098 829 022;9 465;2026-06-30;OBLIGATIS
2026-09-08;AFRICABOURSE ASSET MANAGEMENT;AFRICABOURSE SA;FCP AAM EPARGNE ACTION;Actions;Quotidienne;5000;2017-01-16;13660.35;2026-09-04;13687.55;2026-09-07;FCP;3 463 360 396;12 713;2026-06-30;EPARGNE ACTION
2026-09-08;AFRICABOURSE ASSET MANAGEMENT;AFRICABOURSE SA;FCP AAM SERENITIS;Obligataire (OLMT);Quotidienne;10000;2023-12-20;13384;2026-09-04;13388.84;2026-09-07;FCP;20 083 222 361;13 223;2026-06-30;AAM SERENITIS
2026-09-08;AFRICA ASSET MANAGEMENT;SBIF;FCP EXPANSIO;Diversifié;Quotidienne;5000;2013-01-01;14684.9;2026-09-01;;;FCP;15 545 016 888;14 139;2026-06-30;EXPANSIO
2026-09-08;AFRICA ASSET MANAGEMENT;SBIF;FCP SECURITAS;Obligataire (OLMT);Quotidienne;5000;2013-01-01;8959.16;2026-09-01;;;FCP;3 631 311 614;8 812;2026-06-30;SECURITAS
2026-09-08;AFRICA ASSET MANAGEMENT;SBIF;FCP VALORIS;Actions;Quotidienne;5000;2013-01-01;23139.23;2026-09-01;;;FCP;6 178 486 333;21 145;2026-06-30;VALORIS
2026-09-08;AFRICAINE DE GESTION D'ACTIFS;SGI AGI;FCP CAPITAL PLUS;Diversifié;Quotidienne;1000;2019-03-11;1712.41;2026-09-02;;;FCP;4 451 935 684;1 665;2026-06-30;AGA CAPITAL PLUS
2026-09-08;AFRICAINE DE GESTION D'ACTIFS;SGI AGI;FCP CONFORT PLUS;Obligataire (OLMT);Quotidienne;1000;2019-03-11;1559.99;2026-09-02;;;FCP;25 470 755 375;1 545;2026-06-30;AGA CONFORT PLUS
2026-09-08;ATLANTIC ASSET MANAGEMENT;ATLANTIQUE FINANCE;FCP ATLANTIQUE CROISSANCE;Diversifié;Quotidienne;5000;2015-05-30;5802.43;2025-01-16;;;FCP;24 106 944 202;8 776;2026-06-30;ATLANTIQUE CROISSANCE
2026-09-08;ATLANTIC ASSET MANAGEMENT;ATLANTIQUE FINANCE;FCP ATLANTIQUE LIQUIDITE;Monétaire (OCT);Quotidienne;5000;2019-07-12;7047.97;2026-06-24;;;FCP;1 834 016 481;7 053;2026-06-30;ATLANTIQUE LIQUIDITE
2026-09-08;ATLANTIC ASSET MANAGEMENT;ATLANTIQUE FINANCE;FCP ATLANTIQUE ACTIONS;Actions;Quotidienne;5000;2019-10-25;9679.97;2025-01-16;;;FCP;694 387 935;16 529;2026-06-30;ATLANTIQUE ACTIONS
2026-09-08;ATLANTIC ASSET MANAGEMENT;ATLANTIQUE FINANCE;FCP ATLANTIQUE SERENITE;Obligataire (OLMT);Quotidienne;5000;2019-07-12;7400.93;2026-06-24;;;FCP;53 699 088 066;7 411;2026-06-30;ATLANTIQUE SERENITE
2026-09-08;ATLANTIC ASSET MANAGEMENT;ATLANTIQUE FINANCE;FCP ATLANTIQUE HORIZON;Diversifié;Quotidienne;5000;2019-10-25;12977.45;2026-06-24;;;FCP;1 007 465 303;13 011;2026-06-30;ATLANTIQUE HORIZON
2026-09-08;ATLANTIC ASSET MANAGEMENT;ATLANTIQUE FINANCE;FCP ATLANTIQUE SECURITE;Obligataire (OLMT);Quotidienne;5000;2015-05-30;7258.57;2025-01-16;;;FCP;75 663 711 679;7 876;2026-06-30;ATLANTIQUE SECURITE
2026-09-08;BNI GESTION;BNI FINANCES;FCP CAPITAL CROISSANCE;Diversifié;Quotidienne;10000;;;2026-08-27;;2026-08-28;FCP;20 897 119 587;14 139;2026-06-30;CAPITAL CROISSANCE
2026-09-08;BNI GESTION;BNI FINANCES;OBLIG SECURITE;Obligataire (OLMT);Quotidienne;10000;2014-06-06;12125;2026-08-28;;;FCP;53 297 055 025;12 035;2026-06-30;OBLIG SECURITE
