Gestionnaire;Nom de l'OPC;Type d'OPC;Catégorie;Date;Valeur Liquidative; Actif net 
SAPHIR ASSET MANAGEMENT;SAPHIR QUIETUDE;FCP;Obligataire (OLMT);31/12/2022;6 165;25 940 239 123
SAPHIR ASSET MANAGEMENT;SAPHIR DYNAMIQUE;FCP;Diversifié;31/12/2022;5 531;628 464 463
SGCAMWA;SOGEPRIVILEGE;FCP;Diversifié;31/12/2022;4 007;3 751 937 086
SGCAMWA;SOGEAVENIR;FCP;Diversifié;31/12/2022;1 674;4 053 147 673
SGCAMWA;SOGEDEFI;FCP;Diversifié;31/12/2022;3 917;4 028 456 208
SGCAMWA;SOGEVALOR;FCP;Actions ;31/12/2022;3 363;4 431 454 031
SGCAMWA;SOGEDYNAMIQUE;FCP;Actions ;31/12/2022;3 798;5 202 679 834
SGCAMWA;SOGELIQUID;FCP;Monétaire (OCT);31/12/2022;10 677 729;21 012 619 452
SGCAMWA;SOGESECURITE;FCP;Obligataire (OLMT);31/12/2022;5 109;20 879 200 164
AFRICAINE DE GESTION D'ACTIFS;AGA CONFORT PLUS;FCP;Obligataire (OLMT);31/12/2022;1 255;5 549 868 647
AFRICAINE DE GESTION D'ACTIFS;AGA CAPITAL PLUS;FCP;Diversifié;31/12/2022;1 274;388 172 509
AFRICABOURSE ASSET MANAGEMENT;OBLIGATIS;FCP;Obligataire (OLMT);31/12/2022;8 632;31 919 400 356
AFRICABOURSE ASSET MANAGEMENT;CAPITAL SUR;FCP;Monétaire (OCT);31/12/2022;7 961;2 353 522 023
AFRICABOURSE ASSET MANAGEMENT;EPARGNE CROISSANCE;FCP;Diversifié;31/12/2022;7 624;5 618 613 112
AFRICABOURSE ASSET MANAGEMENT;EPARGNE ACTION;FCP;Actions ;31/12/2022;5 466;1 209 176 898
SOAGA;SOAGA EPARGNE SERENITE;FCP;Obligataire (OLMT);31/12/2022;14 326;44 639 312 072
SOAGA;SOAGA EPARGNE OBLIGATIONS;FCP;Obligataire (OLMT);31/12/2022;5 546;26 511 315 275
SOAGA;SICAV ABDOU DIOUF;SICAV;Diversifié;31/12/2022;15 058 419;21 383 859 395
SOAGA;SOAGA EPARGNE ACTIVE;FCP;Diversifié;31/12/2022;11 373;15 342 480 975
SOAGA;SOAGA EPARGNE ACTIONS;FCP;Actions ;31/12/2022;8 982;9 750 334 858
SOAGA;BOAD CAPITAL RETRAITE;FCP;Obligataire (OLMT);31/12/2022;11 688;679 220 002
SOAGA;SOAGA EPARGNE DYNAMIQUE;FCP;Actions ;31/12/2022;;
SOAGA;SOAGA EPARGNE QUIETUDE;FCP;Obligataire (OLMT);31/12/2022;;
BRIDGE ASSET MANAGEMENT;BRIDGE OBLIGATIONS;FCP;Obligataire (OLMT);31/12/2022;5 918;36 597 143 359
BRIDGE ASSET MANAGEMENT;BRIDGE EQUILIBRE;FCP;Diversifié;31/12/2022;27 853 012;3 619 769 026
BRIDGE ASSET MANAGEMENT;BRIDGE DIVERSIFIE CROISSANCE;FCP;Diversifié;31/12/2022;5 453;973 213 488
AFRICA ASSET MANAGEMENT;VALORIS;FCP;Actions ;31/12/2022;8 319;1 756 849 238
AFRICA ASSET MANAGEMENT;EXPANSIO;FCP;Diversifié;31/12/2022;9 619;890 369 415
AFRICA ASSET MANAGEMENT;MAADO;FCPE;Diversifié;31/12/2022;5 173;52 021 811
AFRICA ASSET MANAGEMENT;CMT SONABEL;FCPE;Diversifié;31/12/2022;5 060;50 596 338
AFRICA ASSET MANAGEMENT;SECURITAS;FCP;Obligataire (OLMT);31/12/2022;7 343;1 289 464 956
IMPAXIS ASSET MANAGEMENT (ex-BRM ASSET MANAGEMENT);BRM DYNAMIQUE;FCP;Diversifié;31/12/2022;13 811;426 282 246
IMPAXIS ASSET MANAGEMENT (ex-BRM ASSET MANAGEMENT);BRM OBLIGATAIRE;FCP;Diversifié;31/12/2022;15 981;511 151 303
IMPAXIS ASSET MANAGEMENT (ex-BRM ASSET MANAGEMENT);SDE;FCPE;Diversifié;31/12/2022;2 810;876 910 844
CORIS ASSET MANAGEMENT;CORIS ACTIONS;FCP;Actions ;31/12/2022;6 497;818 447 254
CORIS ASSET MANAGEMENT;ASSURANCES;FCP;Diversifié;31/12/2022;6 885;961 020 813
CORIS ASSET MANAGEMENT;CORIS PERFORMANCE;FCP;Monétaire (OCT);31/12/2022;5 423;621 355 546
 ATTIJARI ASSET MANAGEMENT ; ATTIJARI OBLIG ; SICAV ; Obligataire (OLMT) ;31/12/2022;13 207;46 213 104 129
 ATTIJARI ASSET MANAGEMENT ; ATTIJARI LIQUIDITE ; FCP ; Monétaire (OCT) ;31/12/2022;13 244;1 497 965 235
 ATTIJARI ASSET MANAGEMENT ; ATTIJARI HORIZON ; FCP ; Obligataire (OLMT) ;31/12/2022;14 104;193 636 182
 ATTIJARI ASSET MANAGEMENT ; ATTIJARI ACTIONS ; FCP ; Actions  ;31/12/2022;11 764;185 492 467
 ATTIJARI ASSET MANAGEMENT ; ATTIJARI DIVERSIFIE ; FCP ; Diversifié ;31/12/2022;14 065;211 431 487
 ATTIJARI ASSET MANAGEMENT ; ATTIJARI INVEST ; FCP ; Obligataire (OLMT) ;31/12/2022;13 819;19 959 590 577
 ATTIJARI ASSET MANAGEMENT ; ATTIJARI PATRIMOINE ; FCP ; Obligataire (OLMT) ;31/12/2022;14 110;66 760 120 009
 ATTIJARI ASSET MANAGEMENT ; CRBC PROSPERITE ; FCP ; Obligataire (OLMT) ;31/12/2022;10 430;25 753 735 284
 ATTIJARI ASSET MANAGEMENT ; WAFA ASSURANCE UEMOA ; FCP ; Obligataire (OLMT) ;31/12/2022;;
ATLANTIC ASSET MANAGEMENT;ATLANTIQUE CROISSANCE;FCP;Diversifié;31/12/2022;4 946;15 726 578 093
ATLANTIC ASSET MANAGEMENT;ATLANTIQUE SECURITE;FCP;Obligataire (OLMT);31/12/2022;6 472;72 990 781 511
ATLANTIC ASSET MANAGEMENT;ATLANTIQUE SERENITE;FCP;Obligataire (OLMT);31/12/2022;6 090;29 163 021 780
ATLANTIC ASSET MANAGEMENT;ATLANTIQUE LIQUIDITE;FCP;Monétaire (OCT);31/12/2022;5 895;1 363 993 329
ATLANTIC ASSET MANAGEMENT;ATLANTIQUE HORIZON;FCP;Diversifié;31/12/2022;6 738;342 880 368
ATLANTIC ASSET MANAGEMENT;ATLANTIQUE ACTION;FCP;Actions ;31/12/2022;6 472;132 487 526
ATLANTIC ASSET MANAGEMENT;IFC ATLANTIQUE;FCP;Obligataire (OLMT);31/12/2022;1 189 814;7 310 960 421
ATLANTIC ASSET MANAGEMENT;ATLANTIQUE PRESTIGE;FCP;Obligataire (OLMT);31/12/2022;;
ATLANTIC ASSET MANAGEMENT;ATLANTIQUE SECURITE PLUS;FCP;Obligataire (OLMT);31/12/2022;;
ATLANTIC ASSET MANAGEMENT;ATLANTIQUE OBLIGATIONS;FCP;Obligataire (OLMT);31/12/2022;;
SGO MALI FINANCES;NYESIGUI;FCP;Diversifié;31/12/2022;11 956;518 130 065
SGO MALI FINANCES;ORANGE ML;FCPE;Diversifié;31/12/2022;28 897;3 357 109 214
SGO MALI FINANCES;TOUNKARANKE;FCP;Obligataire (OLMT);31/12/2022;112 585;719 043 603
NSIA ASSET MANAGEMENT;NSIA FONDS DIVERSIFIE;FCP;Diversifié;31/12/2022;5 684;10 806 467 505
NSIA ASSET MANAGEMENT;AURORE OPPORTUNITES;FCP;Actions ;31/12/2022;5 941;1 436 747 118
NSIA ASSET MANAGEMENT;EVOLUTIS;FCPE;Diversifié;31/12/2022;4 403;868 334 864
NSIA ASSET MANAGEMENT;AURORE SECURITE;FCP;Obligataire (OLMT);31/12/2022;5 369;7 444 386 820
NSIA ASSET MANAGEMENT;NSIA ASSURANCES OPTIMUM;FCP;Diversifié;31/12/2022;985 247;3 506 596 935
PHOENIXAFRICA ASSET MANAGEMENT;PAM ACTIONS;FCP;Actions ;31/12/2022;11 887;607 341 717
PHOENIXAFRICA ASSET MANAGEMENT;PAM DIVERSIFIE EQUILIBRE;FCP;Diversifié;31/12/2022;13 406;806 635 704
PHOENIXAFRICA ASSET MANAGEMENT;PAM DIVERSIFIE OBLIGATIONS;FCP;Diversifié;31/12/2022;12 687;1 897 668 454
SGA2E;SODECI;FCPE;Diversifié;31/12/2022;9 303;19 064 595 794
SGA2E;CIE;FCPE;Diversifié;31/12/2022;7 459;38 009 771 162
OPTI ASSET MANAGEMENT;OPTI PLACEMENT 1;FCP;Actions ;31/12/2022;16 712;803 868 549
OPTI ASSET MANAGEMENT;OPTI REVENU 2;FCP;Obligataire (OLMT);31/12/2022;8 314;8 958 012 582
OPTI ASSET MANAGEMENT;OPTI CAPITAL 3;FCP;Diversifié;31/12/2022;19 273;1 110 951 452
