gestionnaire;nomAumfcp;niveauRisque;echelleMax;horizonAnnees;source;dateReleve
AFRICA ASSET MANAGEMENT;EXPANSIO;4;7;;Classement des fonds au 2026-01-30 (feuille Diversifiés);2026-01-30
AFRICA ASSET MANAGEMENT;SECURITAS;3;7;;Classement des fonds au 2026-01-30 (feuille Obligations);2026-01-30
AFRICA ASSET MANAGEMENT;VALORIS;6;7;;Classement des fonds au 2026-01-30 (feuille Actions);2026-01-30
AFRICABOURSE ASSET MANAGEMENT;EPARGNE ACTION;6;7;;Classement des fonds au 2026-01-30 (feuille Actions);2026-01-30
AFRICABOURSE ASSET MANAGEMENT;EPARGNE CROISSANCE;5;7;;Classement des fonds au 2026-01-30 (feuille Diversifiés);2026-01-30
AFRICAINE DE GESTION D'ACTIFS;AGA CAPITAL PLUS;4;7;;Classement des fonds au 2026-01-30 (feuille Diversifiés);2026-01-30
AFRICAINE DE GESTION D'ACTIFS;AGA CONFORT PLUS;1;7;;Classement des fonds au 2026-01-30 (feuille Obligations);2026-01-30
ATLANTIC ASSET MANAGEMENT;ATLANTIQUE ACTIONS;5;7;;Classement des fonds au 2026-01-30 (feuille Actions);2026-01-30
ATLANTIC ASSET MANAGEMENT;ATLANTIQUE CROISSANCE;4;7;;Classement des fonds au 2026-01-30 (feuille Diversifiés);2026-01-30
ATLANTIC ASSET MANAGEMENT;ATLANTIQUE HORIZON;3;7;;Classement des fonds au 2026-01-30 (feuille Diversifiés);2026-01-30
ATLANTIC ASSET MANAGEMENT;ATLANTIQUE LIQUIDITE;1;7;;Classement des fonds au 2026-01-30 (feuille Monétaire);2026-01-30
ATLANTIC ASSET MANAGEMENT;ATLANTIQUE SECURITE;3;7;;Classement des fonds au 2026-01-30 (feuille Obligations);2026-01-30
ATLANTIC ASSET MANAGEMENT;ATLANTIQUE SERENITE;3;7;;Classement des fonds au 2026-01-30 (feuille Obligations);2026-01-30
BAOBAB ASSET MANAGEMENT;BAM TRESOR;1;7;;Classement des fonds au 2026-01-30 (feuille Monétaire);2026-01-30
BAOBAB ASSET MANAGEMENT;BAM WURUS;3;7;;Classement des fonds au 2026-01-30 (feuille Actions);2026-01-30
BOA CAPITAL CAM;BOA ACTIONS;6;7;;Classement des fonds au 2026-01-30 (feuille Actions);2026-01-30
BOA CAPITAL CAM;BOA INVESTMENT;2;7;3;https://boakam.com/fond/fcp-boa-investment;2026-09-07
BOA CAPITAL CAM;BOA OBLIGATIONS;2;7;;Classement des fonds au 2026-01-30 (feuille Obligations);2026-01-30
BOA CAPITAL CAM;BOA RENDEMENT;2;7;;Classement des fonds au 2026-01-30 (feuille Obligations);2026-01-30
BOA CAPITAL CAM;BOA SECURITE;2;7;;Classement des fonds au 2026-01-30 (feuille Obligations);2026-01-30
BOA CAPITAL CAM;EMERGENCE;3;7;;Classement des fonds au 2026-01-30 (feuille Diversifiés);2026-01-30
BOA CAPITAL CAM;GLOBAL INVESTORS;5;7;;Classement des fonds au 2026-01-30 (feuille Diversifiés);2026-01-30
CGF GESTION;ACTIONS PHARMACIE;4;7;;Classement des fonds au 2026-01-30 (feuille Diversifiés);2026-01-30
CGF GESTION;AL BARAKA 2;3;7;;Classement des fonds au 2026-01-30 (feuille Halal);2026-01-30
CGF GESTION;ASSUR SENEGAL;4;7;;Classement des fonds au 2026-01-30 (feuille Diversifiés);2026-01-30
CGF GESTION;AVANTAGE AKWABA;3;7;;Classement des fonds au 2026-01-30 (feuille Diversifiés);2026-01-30
CGF GESTION;BNDE VALEURS;3;7;;Classement des fonds au 2026-01-30 (feuille Diversifiés);2026-01-30
CGF GESTION;CAPITAL RETRAITE;3;7;;Classement des fonds au 2026-01-30 (feuille Diversifiés);2026-01-30
CGF GESTION;DIASPORA;3;7;;Classement des fonds au 2026-01-30 (feuille Diversifiés);2026-01-30
CGF GESTION;DJOLOF;3;7;;Classement des fonds au 2026-01-30 (feuille Obligations);2026-01-30
CGF GESTION;DP WORLD DAKAR;4;7;;Classement des fonds au 2026-01-30 (feuille Diversifiés);2026-01-30
CGF GESTION;EXPAT;3;7;;Classement des fonds au 2026-01-30 (feuille Obligations);2026-01-30
CGF GESTION;FCPCR SONATEL;6;7;;Classement des fonds au 2026-01-30 (feuille Diversifiés);2026-01-30
CGF GESTION;FORCE PAD;4;7;;Classement des fonds au 2026-01-30 (feuille Diversifiés);2026-01-30
CGF GESTION;IFC-BOAD;2;7;;Classement des fonds au 2026-01-30 (feuille Obligations);2026-01-30
CGF GESTION;LIQUIDITE-OPTIMUM;3;7;;Classement des fonds au 2026-01-30 (feuille Obligations);2026-01-30
CGF GESTION;PLACEMENT CROISSANCE;5;7;;Classement des fonds au 2026-01-30 (feuille Actions);2026-01-30
CGF GESTION;PLACEMENT QUIETUDE;2;7;;Classement des fonds au 2026-01-30 (feuille Obligations);2026-01-30
CGF GESTION;POSTEFINANCES HORIZON;4;7;;Classement des fonds au 2026-01-30 (feuille Diversifiés);2026-01-30
CGF GESTION;RENTE PERPETUELLE;3;7;;Classement des fonds au 2026-01-30 (feuille Diversifiés);2026-01-30
CGF GESTION;SALAM CI;4;7;;Classement des fonds au 2026-01-30 (feuille Halal);2026-01-30
CGF GESTION;SINI GNESIGUI;4;7;;Classement des fonds au 2026-01-30 (feuille Diversifiés);2026-01-30
