gestionnaire;nomAumfcp;opcvm;date;vl;frequenceCalcul;source
AFRICA ASSET MANAGEMENT;EXPANSIO;FCP EXPANSIO;2022-11-01;9620.88;Quotidienne;2022-12-30
AFRICA ASSET MANAGEMENT;EXPANSIO;FCP EXPANSIO;2023-01-09;9496.85;Quotidienne;2023-01-11
AFRICA ASSET MANAGEMENT;EXPANSIO;FCP EXPANSIO;2023-01-10;9498.35;Quotidienne;2023-01-11
AFRICA ASSET MANAGEMENT;EXPANSIO;FCP EXPANSIO;2023-01-11;9502.82;Quotidienne;2023-01-13
AFRICA ASSET MANAGEMENT;EXPANSIO;FCP EXPANSIO;2023-01-12;9505.86;Quotidienne;2023-01-13
AFRICA ASSET MANAGEMENT;EXPANSIO;FCP EXPANSIO;2023-01-13;9493.32;Quotidienne;2023-01-16
AFRICA ASSET MANAGEMENT;EXPANSIO;FCP EXPANSIO;2023-01-18;9476.07;Quotidienne;2023-01-20
AFRICA ASSET MANAGEMENT;EXPANSIO;FCP EXPANSIO;2023-01-19;9530.82;Quotidienne;2023-01-20
AFRICA ASSET MANAGEMENT;EXPANSIO;FCP EXPANSIO;2023-01-20;9579.02;Quotidienne;2023-01-23
AFRICA ASSET MANAGEMENT;EXPANSIO;FCP EXPANSIO;2023-01-23;9580.97;Quotidienne;2023-01-25
AFRICA ASSET MANAGEMENT;EXPANSIO;FCP EXPANSIO;2023-01-24;9548.99;Quotidienne;2023-01-25
AFRICA ASSET MANAGEMENT;EXPANSIO;FCP EXPANSIO;2023-01-25;9530.62;Quotidienne;2023-01-27
AFRICA ASSET MANAGEMENT;EXPANSIO;FCP EXPANSIO;2023-01-26;9572.92;Quotidienne;2023-01-27
AFRICA ASSET MANAGEMENT;EXPANSIO;FCP EXPANSIO;2023-01-27;9565.34;Quotidienne;2023-01-30
AFRICA ASSET MANAGEMENT;EXPANSIO;FCP EXPANSIO;2023-01-30;9592.86;Quotidienne;2023-01-31
AFRICA ASSET MANAGEMENT;EXPANSIO;FCP EXPANSIO;2023-01-31;9578.62;Quotidienne;2023-02-03
AFRICA ASSET MANAGEMENT;EXPANSIO;FCP EXPANSIO;2023-02-03;9579.03;Quotidienne;2023-02-07
AFRICA ASSET MANAGEMENT;EXPANSIO;FCP EXPANSIO;2023-02-06;9559.62;Quotidienne;2023-02-07
AFRICA ASSET MANAGEMENT;EXPANSIO;FCP EXPANSIO;2023-02-07;9577.68;Quotidienne;2023-02-08
AFRICA ASSET MANAGEMENT;EXPANSIO;FCP EXPANSIO;2023-02-08;9590.8;Quotidienne;2023-02-10
AFRICA ASSET MANAGEMENT;EXPANSIO;FCP EXPANSIO;2023-02-09;9584.81;Quotidienne;2023-02-10
AFRICA ASSET MANAGEMENT;EXPANSIO;FCP EXPANSIO;2023-02-10;9613.43;Quotidienne;2023-02-13
AFRICA ASSET MANAGEMENT;EXPANSIO;FCP EXPANSIO;2023-02-13;9624.91;Quotidienne;2023-02-14
AFRICA ASSET MANAGEMENT;EXPANSIO;FCP EXPANSIO;2023-02-14;9646.22;Quotidienne;2023-02-15
AFRICA ASSET MANAGEMENT;EXPANSIO;FCP EXPANSIO;2023-02-15;9667.05;Quotidienne;2023-02-17
AFRICA ASSET MANAGEMENT;EXPANSIO;FCP EXPANSIO;2023-02-16;9699.7;Quotidienne;2023-02-17
AFRICA ASSET MANAGEMENT;EXPANSIO;FCP EXPANSIO;2023-02-17;9704.09;Quotidienne;2023-02-20
AFRICA ASSET MANAGEMENT;EXPANSIO;FCP EXPANSIO;2023-02-20;9669.24;Quotidienne;2023-02-21
AFRICA ASSET MANAGEMENT;EXPANSIO;FCP EXPANSIO;2023-02-21;9663.39;Quotidienne;2023-02-22
AFRICA ASSET MANAGEMENT;EXPANSIO;FCP EXPANSIO;2023-02-22;9655.43;Quotidienne;2023-02-24
AFRICA ASSET MANAGEMENT;EXPANSIO;FCP EXPANSIO;2023-02-23;9641.69;Quotidienne;2023-02-24
AFRICA ASSET MANAGEMENT;EXPANSIO;FCP EXPANSIO;2023-02-27;9654.94;Quotidienne;2023-03-01
AFRICA ASSET MANAGEMENT;EXPANSIO;FCP EXPANSIO;2023-02-28;9618.66;Quotidienne;2023-03-01
AFRICA ASSET MANAGEMENT;EXPANSIO;FCP EXPANSIO;2023-03-01;9639.91;Quotidienne;2023-03-03
AFRICA ASSET MANAGEMENT;EXPANSIO;FCP EXPANSIO;2023-03-02;9674.48;Quotidienne;2023-03-03
AFRICA ASSET MANAGEMENT;EXPANSIO;FCP EXPANSIO;2023-03-03;9678.39;Quotidienne;2023-03-06
AFRICA ASSET MANAGEMENT;EXPANSIO;FCP EXPANSIO;2023-03-07;9720.91;Quotidienne;2023-03-09
AFRICA ASSET MANAGEMENT;EXPANSIO;FCP EXPANSIO;2023-03-08;9727.03;Quotidienne;2023-03-10
AFRICA ASSET MANAGEMENT;EXPANSIO;FCP EXPANSIO;2023-03-09;9767.05;Quotidienne;2023-03-10
AFRICA ASSET MANAGEMENT;EXPANSIO;FCP EXPANSIO;2023-03-10;9779.36;Quotidienne;2023-03-13
AFRICA ASSET MANAGEMENT;EXPANSIO;FCP EXPANSIO;2023-03-13;9764.67;Quotidienne;2023-03-14
AFRICA ASSET MANAGEMENT;EXPANSIO;FCP EXPANSIO;2023-03-14;9762.26;Quotidienne;2023-03-15
AFRICA ASSET MANAGEMENT;EXPANSIO;FCP EXPANSIO;2023-03-15;9742.98;Quotidienne;2023-03-17
