date_iso;date_fr;open;high;low;close;volume
2006-09-11;11/09/2006;100;100;100;100;3
2006-09-15;15/09/2006;100;100;100;100;17
2006-10-09;09/10/2006;100;100;100;100;21
2006-10-27;27/10/2006;100;100;100;100;10
2006-11-13;13/11/2006;100;100;100;100;20
2006-11-22;22/11/2006;100;100;100;100;9
2006-11-24;24/11/2006;100;100;100;100;2
2006-11-30;30/11/2006;100;100;100;100;3
2007-01-10;10/01/2007;100;100;100;100;24
2007-01-12;12/01/2007;100;100;100;100;10
2007-03-20;20/03/2007;100;100;100;100;5
2007-03-21;21/03/2007;100;100;100;100;10
2007-04-30;30/04/2007;100;100;100;100;10
2007-05-08;08/05/2007;100;100;100;100;3
2007-06-05;05/06/2007;100;100;100;100;6
2007-06-12;12/06/2007;100;100;100;100;131
2007-06-14;14/06/2007;100;100;100;100;15
2007-06-21;21/06/2007;100;100;100;100;232
2007-06-29;29/06/2007;100;100;100;100;200
2007-07-03;03/07/2007;100;100;100;100;50
2007-07-05;05/07/2007;100;100;100;100;102
2007-07-13;13/07/2007;105;105;105;105;73
2007-07-19;19/07/2007;113;113;113;113;44
2007-07-25;25/07/2007;115;115;115;115;9
2007-07-31;31/07/2007;115;115;115;115;21
2007-08-02;02/08/2007;108;108;108;108;23
2007-08-27;27/08/2007;110;110;110;110;10
2007-08-31;31/08/2007;118;118;118;118;25
2007-09-03;03/09/2007;118;118;118;118;103
2007-09-04;04/09/2007;125;125;125;125;24
2007-09-10;10/09/2007;128;128;128;128;64
2007-09-11;11/09/2007;135;135;135;135;13
2007-09-13;13/09/2007;138;138;138;138;10
2007-09-19;19/09/2007;171;171;171;171;18
2007-09-24;24/09/2007;198;198;198;198;12
2007-09-27;27/09/2007;213;213;213;213;43
2007-10-01;01/10/2007;245;245;245;245;61
2007-10-03;03/10/2007;260;260;260;260;10
2007-10-04;04/10/2007;275;275;275;275;13
2007-10-10;10/10/2007;290;290;290;290;22
2007-10-16;16/10/2007;300;300;300;300;58
2007-10-17;17/10/2007;300;300;300;300;10
2007-10-18;18/10/2007;303;303;303;303;30
2007-10-19;19/10/2007;303;303;303;303;115
2007-10-22;22/10/2007;305;305;305;305;125
2007-10-26;26/10/2007;290;290;290;290;100
2007-11-02;02/11/2007;315;315;315;315;18
2007-11-06;06/11/2007;315;315;315;315;27
2007-11-08;08/11/2007;315;315;315;315;78
2007-11-12;12/11/2007;315;315;315;315;18
2007-11-20;20/11/2007;292;292;292;292;148
2007-11-22;22/11/2007;270;270;270;270;82
2007-11-30;30/11/2007;270;270;270;270;5
2007-12-03;03/12/2007;263;263;263;263;69
2007-12-05;05/12/2007;250;250;250;250;153
2007-12-06;06/12/2007;250;250;250;250;3
2007-12-07;07/12/2007;250;250;250;250;10
2007-12-11;11/12/2007;250;250;250;250;1
2008-01-04;04/01/2008;231;231;231;231;93
2008-01-09;09/01/2008;231;231;231;231;2
2008-01-16;16/01/2008;214;214;214;214;67
2008-01-25;25/01/2008;230;230;230;230;42
2008-01-28;28/01/2008;230;230;230;230;5
2008-01-29;29/01/2008;230;230;230;230;10
2008-02-15;15/02/2008;215;215;215;215;20
2008-02-18;18/02/2008;215;215;215;215;20
2008-02-19;19/02/2008;210;210;210;210;24
2008-02-20;20/02/2008;210;210;210;210;30
2008-02-26;26/02/2008;225;225;225;225;39
2008-02-29;29/02/2008;225;225;225;225;10
2008-03-03;03/03/2008;225;225;225;225;26
2008-03-04;04/03/2008;225;225;225;225;40
2008-03-10;10/03/2008;210;210;210;210;60
2008-03-11;11/03/2008;210;210;210;210;134
2008-03-13;13/03/2008;210;210;210;210;9
2008-03-14;14/03/2008;213;213;213;213;64
2008-03-17;17/03/2008;213;213;213;213;9
2008-03-18;18/03/2008;225;225;225;225;344
2008-03-25;25/03/2008;225;225;225;225;50
2008-03-26;26/03/2008;225;225;225;225;60
2008-03-27;27/03/2008;225;225;225;225;4
2008-03-28;28/03/2008;230;230;230;230;20
2008-03-31;31/03/2008;230;230;230;230;10
2008-04-02;02/04/2008;230;230;230;230;10
2008-04-03;03/04/2008;230;230;230;230;20
2008-04-04;04/04/2008;215;215;215;215;99
2008-04-07;07/04/2008;215;215;215;215;81
2008-04-08;08/04/2008;215;215;215;215;72
2008-04-10;10/04/2008;210;210;210;210;60
2008-04-24;24/04/2008;225;225;225;225;12
2008-04-25;25/04/2008;230;230;230;230;15
2008-05-06;06/05/2008;235;235;235;235;11
2008-05-07;07/05/2008;250;250;250;250;61
2008-05-13;13/05/2008;250;250;250;250;321
2008-05-14;14/05/2008;250;250;250;250;245
2008-05-15;15/05/2008;250;250;250;250;164
2008-05-16;16/05/2008;250;250;250;250;73
2008-05-20;20/05/2008;248;248;248;248;27
2008-05-22;22/05/2008;248;248;248;248;11
2008-06-03;03/06/2008;266;266;266;266;39
2008-06-04;04/06/2008;266;266;266;266;21
2008-06-10;10/06/2008;268;268;268;268;7363
2008-06-13;13/06/2008;280;280;280;280;1010
2008-06-16;16/06/2008;280;280;280;280;9
2008-06-17;17/06/2008;280;280;280;280;10
2008-06-18;18/06/2008;285;285;285;285;701
2008-06-24;24/06/2008;291;291;291;291;16
2008-06-25;25/06/2008;291;291;291;291;10
2008-06-27;27/06/2008;291;291;291;291;243292
2008-07-02;02/07/2008;310;310;310;310;200
2008-07-14;14/07/2008;323;323;323;323;33
2008-07-18;18/07/2008;335;335;335;335;50
2008-07-23;23/07/2008;340;340;340;340;12
2008-07-24;24/07/2008;350;350;350;350;233
2008-07-25;25/07/2008;375;375;375;375;22
2008-07-30;30/07/2008;375;375;375;375;148
2008-07-31;31/07/2008;401;401;401;401;33
2008-08-05;05/08/2008;430;430;430;430;60
2008-08-06;06/08/2008;428;428;428;428;81
2008-08-13;13/08/2008;455;455;455;455;18
2008-08-18;18/08/2008;485;485;485;485;32
2008-08-19;19/08/2008;490;490;490;490;214
2008-08-20;20/08/2008;500;500;500;500;26
2008-08-21;21/08/2008;530;530;530;530;45
2008-08-25;25/08/2008;613;613;613;613;115
2008-08-26;26/08/2008;659;659;659;659;78
2008-08-29;29/08/2008;818;818;818;818;1153
2008-09-01;01/09/2008;879;879;879;879;644
2008-09-02;02/09/2008;945;945;945;945;204
2008-09-03;03/09/2008;1015;1015;1015;1015;36
2008-09-04;04/09/2008;1091;1091;1091;1091;51
2008-09-05;05/09/2008;1173;1173;1173;1173;138
2008-09-08;08/09/2008;1250;1250;1250;1250;444
2008-09-09;09/09/2008;1156;1156;1156;1156;129
2008-09-23;23/09/2008;847;847;847;847;47
2008-10-01;01/10/2008;750;750;750;750;20
2008-10-03;03/10/2008;650;650;650;650;182
2008-10-06;06/10/2008;650;650;650;650;5
2008-10-09;09/10/2008;625;625;625;625;10
2008-10-10;10/10/2008;600;600;600;600;10
2008-10-13;13/10/2008;555;555;555;555;100
2008-10-15;15/10/2008;520;520;520;520;15
2008-10-16;16/10/2008;500;500;500;500;81
2008-10-17;17/10/2008;463;463;463;463;70
2008-10-20;20/10/2008;428;428;428;428;27
2008-10-23;23/10/2008;367;367;367;367;76
2008-10-31;31/10/2008;337;337;337;337;10
2008-11-04;04/11/2008;289;289;289;289;150
2008-11-06;06/11/2008;289;289;289;289;200
2008-11-17;17/11/2008;285;285;285;285;102
2008-11-18;18/11/2008;285;285;285;285;410
2008-11-24;24/11/2008;285;285;285;285;10
2008-11-25;25/11/2008;285;285;285;285;50
2008-11-27;27/11/2008;285;285;285;285;16
2008-12-12;12/12/2008;285;285;285;285;26
2009-01-05;05/01/2009;285;285;285;285;2
2009-02-16;16/02/2009;285;285;285;285;80
2009-02-17;17/02/2009;285;285;285;285;2
2009-03-10;10/03/2009;275;275;275;275;34
2009-03-11;11/03/2009;275;275;275;275;4
2009-03-20;20/03/2009;275;275;275;275;2
2009-03-27;27/03/2009;275;275;275;275;8
2009-03-30;30/03/2009;260;260;260;260;20
2009-04-27;27/04/2009;260;260;260;260;1
2009-04-29;29/04/2009;260;260;260;260;9
2009-04-30;30/04/2009;260;260;260;260;27
2009-05-04;04/05/2009;241;241;241;241;36
2009-05-08;08/05/2009;241;241;241;241;2
2009-05-11;11/05/2009;223;223;223;223;15
2009-06-15;15/06/2009;223;223;223;223;24
2009-06-18;18/06/2009;223;223;223;223;6
2009-06-22;22/06/2009;222;222;222;222;10
2009-06-23;23/06/2009;222;222;222;222;1
2009-07-03;03/07/2009;222;222;222;222;100
2009-07-09;09/07/2009;222;222;222;222;40
2009-07-10;10/07/2009;222;222;222;222;19
2009-07-13;13/07/2009;222;222;222;222;25
2009-07-14;14/07/2009;222;222;222;222;27
2009-07-15;15/07/2009;222;222;222;222;1
2009-07-20;20/07/2009;222;222;222;222;71
2009-07-21;21/07/2009;222;222;222;222;48
2009-07-22;22/07/2009;222;222;222;222;46
2009-07-24;24/07/2009;222;222;222;222;10
2009-07-27;27/07/2009;222;222;222;222;30
2009-07-29;29/07/2009;222;222;222;222;18
2009-07-30;30/07/2009;222;222;222;222;10
2009-08-05;05/08/2009;222;222;222;222;10
2009-08-20;20/08/2009;223;223;223;223;8
2009-08-21;21/08/2009;223;223;223;223;16
2009-08-24;24/08/2009;223;223;223;223;22
2009-09-01;01/09/2009;223;223;223;223;61
2009-09-02;02/09/2009;223;223;223;223;13
2009-09-04;04/09/2009;223;223;223;223;31
2009-09-09;09/09/2009;223;223;223;223;63
2009-09-15;15/09/2009;223;223;223;223;4
2009-10-01;01/10/2009;223;223;223;223;30
2009-10-19;19/10/2009;220;220;220;220;9
2009-10-20;20/10/2009;223;223;223;223;18
2009-10-22;22/10/2009;223;223;223;223;10
2009-11-10;10/11/2009;223;223;223;223;10
2009-11-24;24/11/2009;222;222;222;222;21
2009-11-25;25/11/2009;222;222;222;222;12
2009-11-30;30/11/2009;222;222;222;222;12
2009-12-07;07/12/2009;222;222;222;222;14
2009-12-08;08/12/2009;222;222;222;222;6
2009-12-09;09/12/2009;222;222;222;222;30
2009-12-18;18/12/2009;222;222;222;222;8
2009-12-23;23/12/2009;222;222;222;222;1
2010-01-04;04/01/2010;222;222;222;222;11
2010-01-06;06/01/2010;222;222;222;222;10
2010-01-07;07/01/2010;222;222;222;222;47
2010-01-08;08/01/2010;222;222;222;222;25
2010-01-11;11/01/2010;222;222;222;222;3
2010-01-15;15/01/2010;222;222;222;222;10
2010-01-18;18/01/2010;222;222;222;222;10
2010-02-03;03/02/2010;222;222;222;222;20
2010-03-02;02/03/2010;222;222;222;222;36
2010-03-03;03/03/2010;222;222;222;222;29
2010-03-04;04/03/2010;222;222;222;222;5
2010-03-11;11/03/2010;200;200;200;200;20
2010-03-12;12/03/2010;200;200;200;200;16
2010-03-16;16/03/2010;200;200;200;200;5
2010-03-18;18/03/2010;200;200;200;200;25
2010-03-24;24/03/2010;196;196;196;196;33
2010-03-29;29/03/2010;196;196;196;196;15
2010-04-01;01/04/2010;196;196;196;196;21
2010-04-23;23/04/2010;181;181;181;181;32
2010-04-28;28/04/2010;170;170;170;170;126
2010-05-04;04/05/2010;170;170;170;170;82
2010-05-10;10/05/2010;170;170;170;170;31
2010-05-11;11/05/2010;170;170;170;170;106
2010-05-14;14/05/2010;170;170;170;170;14
2010-05-18;18/05/2010;170;170;170;170;21
2010-05-31;31/05/2010;175;175;175;175;33
