date_iso;date_fr;open;high;low;close;volume
2025-04-28;28/04/2025;5600;5600;5600;5600;4977
2025-04-29;29/04/2025;5600;5610;5600;5610;5036
2025-04-30;30/04/2025;5600;5600;5495;5495;897
2025-05-01;01/05/2025;5600;5600;5495;5495;897
2025-05-02;02/05/2025;5300;5600;5300;5600;11767
2025-05-05;05/05/2025;5500;5500;5350;5350;606
2025-05-06;06/05/2025;5500;5500;5390;5390;2640
2025-05-07;07/05/2025;5205;5350;5205;5350;2069
2025-05-08;08/05/2025;5340;5340;5220;5220;12670
2025-05-09;09/05/2025;5320;5595;5320;5595;11998
2025-05-12;12/05/2025;5400;5450;5400;5450;876
2025-05-13;13/05/2025;5400;5400;5400;5400;3164
2025-05-14;14/05/2025;5400;5400;5400;5400;3186
2025-05-15;15/05/2025;5400;5400;5400;5400;364
2025-05-16;16/05/2025;5310;5450;5310;5450;5256
2025-05-19;19/05/2025;5400;5400;5395;5395;796
2025-05-20;20/05/2025;5375;5375;5340;5340;989
2025-05-21;21/05/2025;5330;5330;5330;5330;2541
2025-05-22;22/05/2025;5205;5225;5205;5225;3145
2025-05-23;23/05/2025;5205;5300;5205;5300;6088
2025-05-26;26/05/2025;5245;5300;5245;5300;16339
2025-05-27;27/05/2025;5225;5350;5225;5350;790
2025-05-28;28/05/2025;5350;5355;5350;5355;1762
2025-05-29;29/05/2025;5350;5355;5350;5355;1762
2025-05-30;30/05/2025;5345;5350;5345;5350;1938
2025-06-02;02/06/2025;5350;5350;5350;5350;1289
2025-06-03;03/06/2025;5350;5350;5350;5350;601
2025-06-04;04/06/2025;5340;5340;5340;5340;1287
2025-06-05;05/06/2025;5300;5350;5300;5350;2156
2025-06-10;10/06/2025;5300;5730;5300;5730;11541
2025-06-11;11/06/2025;5410;5600;5410;5600;3273
2025-06-12;12/06/2025;5600;5600;5550;5550;446
2025-06-13;13/06/2025;5550;5595;5550;5595;1143
2025-06-16;16/06/2025;5415;5600;5415;5600;433
2025-06-17;17/06/2025;5650;5650;5500;5500;1854
2025-06-18;18/06/2025;5500;5500;5500;5500;1794
2025-06-19;19/06/2025;5500;5595;5500;5595;3675
2025-06-20;20/06/2025;5595;5600;5595;5600;2138
2025-06-23;23/06/2025;5600;5600;5595;5595;1468
2025-06-24;24/06/2025;5595;5595;5500;5500;2198
2025-06-25;25/06/2025;5500;5500;5450;5450;663
2025-06-26;26/06/2025;5450;5500;5450;5500;2932
2025-06-27;27/06/2025;5445;5445;5445;5445;5610
2025-06-30;30/06/2025;5040;5340;5040;5340;7468
2025-07-01;01/07/2025;5050;5295;5050;5295;5640
2025-07-02;02/07/2025;5290;5290;5285;5285;1838
2025-07-03;03/07/2025;5100;5250;5100;5250;571
2025-07-04;04/07/2025;5250;5250;5200;5200;4331
2025-07-07;07/07/2025;5150;5200;5150;5200;1392
2025-07-08;08/07/2025;5200;5200;5150;5150;12302
2025-07-09;09/07/2025;5100;5250;5100;5250;7236
2025-07-10;10/07/2025;5245;5245;5240;5240;962
2025-07-11;11/07/2025;5225;5350;5225;5350;6666
2025-07-14;14/07/2025;5335;5335;5290;5290;390
2025-07-15;15/07/2025;5270;5270;5255;5255;244
2025-07-16;16/07/2025;5250;5255;5250;5255;980
2025-07-17;17/07/2025;5245;5250;5245;5250;4477
