date_iso;date_fr;open;high;low;close;volume
2006-07-31;31/07/2006;2300;2300;2300;2300;14
2006-08-01;01/08/2006;2300;2300;2300;2300;1
2006-08-03;03/08/2006;2130;2130;2130;2130;53
2006-08-08;08/08/2006;2130;2130;2130;2130;28
2006-08-16;16/08/2006;2130;2130;2130;2130;46
2006-08-17;17/08/2006;2150;2150;2150;2150;47
2006-08-18;18/08/2006;2150;2150;2150;2150;51
2006-08-25;25/08/2006;2150;2150;2150;2150;1
2006-08-28;28/08/2006;2150;2150;2150;2150;20
2006-08-29;29/08/2006;2150;2150;2150;2150;8
2006-08-31;31/08/2006;2150;2150;2150;2150;30
2006-09-12;12/09/2006;2000;2000;2000;2000;80
2006-09-13;13/09/2006;2000;2000;2000;2000;55
2006-09-14;14/09/2006;2000;2000;2000;2000;24
2006-09-19;19/09/2006;2000;2000;2000;2000;10
2006-09-21;21/09/2006;2000;2000;2000;2000;41
2006-09-27;27/09/2006;2000;2000;2000;2000;7
2006-09-29;29/09/2006;2000;2000;2000;2000;25
2006-10-04;04/10/2006;2000;2000;2000;2000;50
2006-10-06;06/10/2006;2000;2000;2000;2000;5
2006-10-13;13/10/2006;1850;1850;1850;1850;216
2006-10-16;16/10/2006;1850;1850;1850;1850;25
2006-10-17;17/10/2006;1850;1850;1850;1850;3
2006-10-18;18/10/2006;1850;1850;1850;1850;3
2006-10-25;25/10/2006;1850;1850;1850;1850;28
2006-10-27;27/10/2006;1850;1850;1850;1850;212
2006-10-31;31/10/2006;1800;1800;1800;1800;473
2006-11-10;10/11/2006;1800;1800;1800;1800;102
2006-11-16;16/11/2006;1825;1825;1825;1825;167
2006-11-17;17/11/2006;1820;1820;1820;1820;1005
2006-11-20;20/11/2006;1820;1820;1820;1820;8
2006-11-21;21/11/2006;1850;1850;1850;1850;11
2006-11-22;22/11/2006;1850;1850;1850;1850;20
2006-11-24;24/11/2006;1861;1861;1861;1861;195
2006-11-28;28/11/2006;1850;1850;1850;1850;93
2006-11-29;29/11/2006;1850;1850;1850;1850;65
2006-11-30;30/11/2006;1850;1850;1850;1850;30
2006-12-01;01/12/2006;1850;1850;1850;1850;10
2006-12-04;04/12/2006;1855;1855;1855;1855;182
2006-12-11;11/12/2006;1855;1855;1855;1855;5
2006-12-12;12/12/2006;1855;1855;1855;1855;66
2006-12-13;13/12/2006;1855;1855;1855;1855;38
2006-12-15;15/12/2006;1855;1855;1855;1855;30
2006-12-19;19/12/2006;1855;1855;1855;1855;35
2006-12-26;26/12/2006;1855;1855;1855;1855;17
2006-12-28;28/12/2006;1855;1855;1855;1855;2
2006-12-29;29/12/2006;1993;1993;1993;1993;30
2007-01-10;10/01/2007;1993;1993;1993;1993;10
2007-01-15;15/01/2007;1993;1993;1993;1993;1
2007-01-18;18/01/2007;1993;1993;1993;1993;1
2007-01-19;19/01/2007;1993;1993;1993;1993;70
2007-01-25;25/01/2007;1993;1993;1993;1993;4
2007-01-30;30/01/2007;1993;1993;1993;1993;1
2007-01-31;31/01/2007;1993;1993;1993;1993;1
2007-02-02;02/02/2007;1993;1993;1993;1993;146
2007-02-06;06/02/2007;1993;1993;1993;1993;5
2007-02-09;09/02/2007;1993;1993;1993;1993;25
2007-02-13;13/02/2007;1993;1993;1993;1993;2
2007-02-15;15/02/2007;1993;1993;1993;1993;366
2007-02-16;16/02/2007;1993;1993;1993;1993;117
2007-02-22;22/02/2007;1993;1993;1993;1993;50
2007-02-23;23/02/2007;1900;1900;1900;1900;613
2007-02-27;27/02/2007;1900;1900;1900;1900;6
2007-02-28;28/02/2007;1900;1900;1900;1900;1
2007-03-01;01/03/2007;1900;1900;1900;1900;30
2007-03-02;02/03/2007;2000;2000;2000;2000;140635
2007-03-09;09/03/2007;1900;1900;1900;1900;163
2007-03-19;19/03/2007;1900;1900;1900;1900;32
2007-03-27;27/03/2007;1900;1900;1900;1900;5
2007-04-04;04/04/2007;1800;1800;1800;1800;26
2007-04-05;05/04/2007;1800;1800;1800;1800;31
2007-04-06;06/04/2007;1800;1800;1800;1800;82
2007-04-11;11/04/2007;1800;1800;1800;1800;90
2007-04-12;12/04/2007;1800;1800;1800;1800;32
2007-04-16;16/04/2007;1800;1800;1800;1800;25
2007-04-17;17/04/2007;1800;1800;1800;1800;11
2007-04-18;18/04/2007;1800;1800;1800;1800;37
2007-04-19;19/04/2007;1801;1801;1801;1801;195
2007-05-08;08/05/2007;2200;2200;2200;2200;103
2007-05-09;09/05/2007;2200;2200;2200;2200;185
2007-05-10;10/05/2007;2200;2200;2200;2200;8
2007-05-11;11/05/2007;2200;2200;2200;2200;428
2007-05-14;14/05/2007;2201;2201;2201;2201;12
2007-05-15;15/05/2007;2251;2251;2251;2251;20
2007-05-16;16/05/2007;2300;2300;2300;2300;25
2007-05-21;21/05/2007;2470;2470;2470;2470;23
2007-05-22;22/05/2007;2480;2480;2480;2480;20
2007-05-23;23/05/2007;2600;2600;2600;2600;14
2007-05-24;24/05/2007;2600;2600;2600;2600;10
