date_iso;date_fr;open;high;low;close;volume
2006-07-24;24/07/2006;950;950;950;950;30
2006-07-25;25/07/2006;950;950;950;950;46
2006-07-26;26/07/2006;950;950;950;950;50
2006-07-27;27/07/2006;950;950;950;950;20
2006-07-28;28/07/2006;950;950;950;950;30
2006-07-31;31/07/2006;950;950;950;950;60
2006-08-02;02/08/2006;950;950;950;950;1200
2006-08-03;03/08/2006;950;950;950;950;16
2006-08-04;04/08/2006;950;950;950;950;50
2006-08-08;08/08/2006;950;950;950;950;30
2006-08-09;09/08/2006;950;950;950;950;16
2006-08-10;10/08/2006;937.5;937.5;937.5;937.5;158
2006-08-11;11/08/2006;937.5;937.5;937.5;937.5;96
2006-08-14;14/08/2006;937.5;937.5;937.5;937.5;100
2006-08-16;16/08/2006;937.5;937.5;937.5;937.5;100
2006-08-17;17/08/2006;937.5;937.5;937.5;937.5;32
2006-08-18;18/08/2006;937.5;937.5;937.5;937.5;100
2006-08-21;21/08/2006;937.5;937.5;937.5;937.5;100
2006-08-22;22/08/2006;937.5;937.5;937.5;937.5;50
2006-08-23;23/08/2006;937.5;937.5;937.5;937.5;14
2006-08-24;24/08/2006;937.5;937.5;937.5;937.5;386
2006-08-25;25/08/2006;937.5;937.5;937.5;937.5;20
2006-08-28;28/08/2006;937.5;937.5;937.5;937.5;400
2006-08-29;29/08/2006;937.5;937.5;937.5;937.5;386
2006-08-30;30/08/2006;937.5;937.5;937.5;937.5;28
2006-09-01;01/09/2006;937.5;937.5;937.5;937.5;262
2006-09-04;04/09/2006;937.5;937.5;937.5;937.5;16
2006-09-05;05/09/2006;950;950;950;950;64
2006-09-07;07/09/2006;950;950;950;950;16
2006-09-08;08/09/2006;950;950;950;950;34
2006-09-11;11/09/2006;950;950;950;950;50
2006-09-12;12/09/2006;950;950;950;950;100
2006-09-14;14/09/2006;950;950;950;950;60
2006-09-15;15/09/2006;950;950;950;950;80
2006-09-18;18/09/2006;950;950;950;950;90
2006-09-19;19/09/2006;950;950;950;950;86
2006-09-21;21/09/2006;950;950;950;950;20
2006-09-22;22/09/2006;950;950;950;950;200
2006-10-03;03/10/2006;937.5;937.5;937.5;937.5;24
2006-10-06;06/10/2006;950;950;950;950;60
2006-10-09;09/10/2006;950;950;950;950;40
2006-10-10;10/10/2006;950;950;950;950;12
2006-10-11;11/10/2006;950;950;950;950;100
2006-10-12;12/10/2006;950;950;950;950;60
2006-10-13;13/10/2006;950;950;950;950;40
2006-10-17;17/10/2006;950;950;950;950;94
2006-10-18;18/10/2006;950;950;950;950;124
2006-10-20;20/10/2006;950;950;950;950;100
2006-10-24;24/10/2006;950;950;950;950;18
2006-10-25;25/10/2006;950;950;950;950;24
2006-10-26;26/10/2006;950;950;950;950;138
2006-10-27;27/10/2006;950;950;950;950;6
2006-10-30;30/10/2006;950;950;950;950;100
2006-10-31;31/10/2006;950;950;950;950;126
2006-11-02;02/11/2006;950;950;950;950;70
2006-11-09;09/11/2006;950;950;950;950;48
2006-11-13;13/11/2006;950;950;950;950;6
2006-11-14;14/11/2006;950;950;950;950;40
2006-11-16;16/11/2006;950;950;950;950;60
2006-11-17;17/11/2006;950;950;950;950;90
2006-11-20;20/11/2006;950;950;950;950;60
2006-11-21;21/11/2006;950;950;950;950;50
2006-11-22;22/11/2006;950;950;950;950;16
2006-11-24;24/11/2006;950;950;950;950;10
2006-11-27;27/11/2006;950;950;950;950;40
2006-11-28;28/11/2006;950;950;950;950;50
2006-11-29;29/11/2006;950;950;950;950;30
2006-11-30;30/11/2006;950;950;950;950;60
2006-12-01;01/12/2006;950;950;950;950;20
2006-12-04;04/12/2006;950;950;950;950;18
2006-12-05;05/12/2006;950;950;950;950;16
2006-12-06;06/12/2006;950;950;950;950;20
2006-12-07;07/12/2006;950;950;950;950;60
2006-12-08;08/12/2006;950;950;950;950;60
2006-12-11;11/12/2006;950;950;950;950;4
2006-12-13;13/12/2006;925;925;925;925;496
2006-12-15;15/12/2006;925;925;925;925;312
2006-12-18;18/12/2006;925;925;925;925;76
2006-12-19;19/12/2006;925;925;925;925;70
