date_iso;date_fr;open;high;low;close;volume
2011-01-03;03/01/2011;714;714;714;714;570
2011-01-04;04/01/2011;750;750;750;750;1932
2011-01-05;05/01/2011;750;750;750;750;4876
2011-01-06;06/01/2011;737.5;737.5;737.5;737.5;1616
2011-01-07;07/01/2011;745;745;745;745;1346
2011-01-10;10/01/2011;747.5;747.5;747.5;747.5;16
2011-01-11;11/01/2011;745;745;745;745;1150
2011-01-12;12/01/2011;750;750;750;750;200
2011-01-13;13/01/2011;750;750;750;750;754
2011-01-14;14/01/2011;775;775;775;775;454
2011-01-17;17/01/2011;775;775;775;775;158
2011-01-18;18/01/2011;775;775;775;775;110
2011-01-19;19/01/2011;777.5;777.5;777.5;777.5;52
2011-01-20;20/01/2011;777.5;777.5;777.5;777.5;38
2011-01-24;24/01/2011;779;779;779;779;628
2011-01-25;25/01/2011;775;775;775;775;688
2011-01-26;26/01/2011;775.5;775.5;775.5;775.5;158
2011-01-28;28/01/2011;775.5;775.5;775.5;775.5;6
2011-01-31;31/01/2011;775;775;775;775;928
2011-02-02;02/02/2011;775.5;775.5;775.5;775.5;42
2011-02-03;03/02/2011;777.5;777.5;777.5;777.5;154
2011-02-04;04/02/2011;775.5;775.5;775.5;775.5;90
2011-02-07;07/02/2011;775;775;775;775;582
2011-02-08;08/02/2011;775;775;775;775;454
2011-02-10;10/02/2011;780;780;780;780;228
2011-02-11;11/02/2011;780;780;780;780;52
2011-03-02;02/03/2011;788;788;788;788;6
2011-03-07;07/03/2011;875;875;875;875;606
2011-03-08;08/03/2011;875;875;875;875;2
2011-03-10;10/03/2011;850;850;850;850;216
2011-03-11;11/03/2011;850;850;850;850;8
2011-03-14;14/03/2011;800;800;800;800;250
2011-03-15;15/03/2011;800;800;800;800;242
2011-03-21;21/03/2011;800;800;800;800;22
2011-03-23;23/03/2011;800;800;800;800;96
2011-03-24;24/03/2011;800;800;800;800;10
2011-03-29;29/03/2011;800;800;800;800;2
2011-04-01;01/04/2011;800;800;800;800;866
2011-04-06;06/04/2011;800;800;800;800;6
2011-04-11;11/04/2011;800.5;800.5;800.5;800.5;874
2011-04-13;13/04/2011;802.5;802.5;802.5;802.5;16
2011-04-15;15/04/2011;812.5;812.5;812.5;812.5;30
2011-04-28;28/04/2011;801.5;801.5;801.5;801.5;1176
2011-04-29;29/04/2011;801.5;801.5;801.5;801.5;154
2011-05-03;03/05/2011;800;800;800;800;590
2011-05-05;05/05/2011;800;800;800;800;20
2011-05-06;06/05/2011;780;780;780;780;20
2011-05-09;09/05/2011;775;775;775;775;46
2011-05-10;10/05/2011;800;800;800;800;30
2011-05-11;11/05/2011;775;775;775;775;400
2011-05-12;12/05/2011;800;800;800;800;480
2011-05-13;13/05/2011;812.5;812.5;812.5;812.5;300
2011-05-17;17/05/2011;812.5;812.5;812.5;812.5;64
2011-05-18;18/05/2011;800;800;800;800;170
2011-05-19;19/05/2011;800.5;800.5;800.5;800.5;38
2011-05-20;20/05/2011;800;800;800;800;78
2011-05-23;23/05/2011;800;800;800;800;68
2011-05-25;25/05/2011;800;800;800;800;596
2011-05-26;26/05/2011;800;800;800;800;72
2011-05-31;31/05/2011;800;800;800;800;10
2011-06-01;01/06/2011;800;800;800;800;20
2011-06-03;03/06/2011;800;800;800;800;64
2011-06-08;08/06/2011;812.5;812.5;812.5;812.5;30
2011-06-14;14/06/2011;812.5;812.5;812.5;812.5;28
2011-06-15;15/06/2011;825;825;825;825;112
2011-06-17;17/06/2011;775;775;775;775;188
2011-06-20;20/06/2011;775;775;775;775;20
2011-06-21;21/06/2011;800;800;800;800;700
2011-06-22;22/06/2011;800;800;800;800;194
2011-06-23;23/06/2011;800;800;800;800;12
2011-06-30;30/06/2011;800;800;800;800;76
2011-07-07;07/07/2011;775;775;775;775;22
2011-07-13;13/07/2011;775;775;775;775;362
2011-07-14;14/07/2011;775;775;775;775;286
2011-07-18;18/07/2011;800;800;800;800;98
2011-07-20;20/07/2011;800;800;800;800;200
2011-07-25;25/07/2011;850;850;850;850;100
2011-07-29;29/07/2011;800;800;800;800;56
2011-08-02;02/08/2011;800;800;800;800;8
2011-08-03;03/08/2011;800;800;800;800;184
2011-08-04;04/08/2011;800;800;800;800;24
2011-08-05;05/08/2011;800;800;800;800;20
2011-08-09;09/08/2011;825;825;825;825;18
2011-08-10;10/08/2011;825;825;825;825;200
2011-08-11;11/08/2011;825;825;825;825;460
2011-08-12;12/08/2011;825;825;825;825;124
2011-08-16;16/08/2011;825;825;825;825;186
2011-08-17;17/08/2011;825;825;825;825;54
2011-08-18;18/08/2011;825;825;825;825;138
2011-08-19;19/08/2011;825;825;825;825;24
2011-08-23;23/08/2011;825;825;825;825;20
2011-08-24;24/08/2011;825;825;825;825;42
2011-08-25;25/08/2011;825;825;825;825;90
2011-08-26;26/08/2011;825;825;825;825;90
2011-08-29;29/08/2011;825;825;825;825;210
2011-08-31;31/08/2011;825;825;825;825;6
2011-09-02;02/09/2011;825;825;825;825;764
2011-09-05;05/09/2011;825;825;825;825;106
2011-09-08;08/09/2011;825;825;825;825;210
2011-09-12;12/09/2011;825;825;825;825;2
2011-09-13;13/09/2011;825;825;825;825;276
2011-09-14;14/09/2011;825;825;825;825;4
2011-09-15;15/09/2011;825;825;825;825;34
2011-09-16;16/09/2011;825;825;825;825;24
2011-09-19;19/09/2011;825;825;825;825;28
2011-09-22;22/09/2011;825;825;825;825;60
2011-09-23;23/09/2011;825;825;825;825;10
2011-09-26;26/09/2011;825;825;825;825;70
2011-09-27;27/09/2011;825;825;825;825;10
2011-09-28;28/09/2011;825;825;825;825;4
2011-09-29;29/09/2011;825;825;825;825;54
2011-10-03;03/10/2011;825;825;825;825;10
2011-10-06;06/10/2011;825;825;825;825;18
2011-10-11;11/10/2011;815.5;815.5;815.5;815.5;242
2011-10-17;17/10/2011;812.5;812.5;812.5;812.5;16
