date_iso;date_fr;open;high;low;close;volume
2010-04-12;12/04/2010;714;714;714;714;1000
2010-04-22;22/04/2010;750;750;750;750;16526
2010-05-12;12/05/2010;812.5;812.5;812.5;812.5;36
2010-05-17;17/05/2010;750;750;750;750;24000
2010-05-21;21/05/2010;775;775;775;775;6892
2010-06-01;01/06/2010;775;775;775;775;40
2010-06-04;04/06/2010;775.5;775.5;775.5;775.5;20
2010-06-10;10/06/2010;775.5;775.5;775.5;775.5;20
2010-06-15;15/06/2010;775;775;775;775;30
2010-06-23;23/06/2010;750;750;750;750;24
2010-06-24;24/06/2010;750;750;750;750;36
2010-06-25;25/06/2010;750;750;750;750;150
2010-06-29;29/06/2010;750;750;750;750;22
2010-06-30;30/06/2010;750;750;750;750;720
2010-07-01;01/07/2010;750;750;750;750;820
2010-07-02;02/07/2010;750;750;750;750;26
2010-07-05;05/07/2010;750;750;750;750;400
2010-07-06;06/07/2010;750;750;750;750;288
2010-07-08;08/07/2010;750;750;750;750;520
2010-07-12;12/07/2010;750;750;750;750;68
2010-07-13;13/07/2010;750;750;750;750;4
2010-07-15;15/07/2010;725;725;725;725;64
2010-07-16;16/07/2010;750;750;750;750;100
2010-07-19;19/07/2010;750;750;750;750;52
2010-07-20;20/07/2010;750;750;750;750;20
2010-07-21;21/07/2010;750;750;750;750;2
2010-07-22;22/07/2010;750;750;750;750;140
2010-07-23;23/07/2010;750;750;750;750;56
2010-07-26;26/07/2010;750;750;750;750;100
2010-07-27;27/07/2010;750;750;750;750;80
2010-07-28;28/07/2010;750;750;750;750;70
2010-07-29;29/07/2010;750;750;750;750;398
2010-07-30;30/07/2010;750;750;750;750;860
2010-08-02;02/08/2010;750;750;750;750;18
2010-08-03;03/08/2010;750;750;750;750;402
2010-08-05;05/08/2010;750;750;750;750;540
2010-08-06;06/08/2010;750;750;750;750;480
2010-08-09;09/08/2010;750;750;750;750;100
2010-08-10;10/08/2010;750;750;750;750;62
2010-08-12;12/08/2010;750;750;750;750;80
2010-08-13;13/08/2010;750;750;750;750;122
2010-08-16;16/08/2010;750;750;750;750;170
2010-08-18;18/08/2010;737.5;737.5;737.5;737.5;56
2010-08-19;19/08/2010;737.5;737.5;737.5;737.5;114
2010-08-23;23/08/2010;737.5;737.5;737.5;737.5;50
2010-08-24;24/08/2010;725;725;725;725;100
2010-08-25;25/08/2010;712.5;712.5;712.5;712.5;146
2010-08-26;26/08/2010;700;700;700;700;214
2010-08-30;30/08/2010;701.5;701.5;701.5;701.5;30
2010-08-31;31/08/2010;700;700;700;700;24
2010-09-01;01/09/2010;701;701;701;701;16
2010-09-02;02/09/2010;700;700;700;700;36
2010-09-03;03/09/2010;700;700;700;700;204
2010-09-07;07/09/2010;700;700;700;700;118
2010-09-08;08/09/2010;700;700;700;700;200
2010-09-09;09/09/2010;700;700;700;700;100
2010-09-13;13/09/2010;700;700;700;700;300
2010-09-14;14/09/2010;700;700;700;700;400
2010-09-15;15/09/2010;700;700;700;700;130
2010-09-16;16/09/2010;700;700;700;700;200
2010-09-20;20/09/2010;700;700;700;700;68
2010-09-21;21/09/2010;700;700;700;700;34
2010-09-22;22/09/2010;700;700;700;700;126
2010-09-23;23/09/2010;700;700;700;700;40
2010-09-27;27/09/2010;700;700;700;700;100
2010-09-28;28/09/2010;695;695;695;695;1702
2010-10-01;01/10/2010;687.5;687.5;687.5;687.5;2100
2010-10-04;04/10/2010;687.5;687.5;687.5;687.5;360
2010-10-05;05/10/2010;688;688;688;688;28
2010-10-06;06/10/2010;688;688;688;688;80
2010-10-07;07/10/2010;688;688;688;688;100
2010-10-08;08/10/2010;688;688;688;688;2
2010-10-13;13/10/2010;687.5;687.5;687.5;687.5;180
2010-10-15;15/10/2010;687.5;687.5;687.5;687.5;5514
2010-10-18;18/10/2010;687.5;687.5;687.5;687.5;1620
2010-10-20;20/10/2010;687.5;687.5;687.5;687.5;34
2010-10-21;21/10/2010;687.5;687.5;687.5;687.5;14
2010-10-22;22/10/2010;687.5;687.5;687.5;687.5;150
2010-10-25;25/10/2010;687.5;687.5;687.5;687.5;120
2010-10-26;26/10/2010;685;685;685;685;80
2010-10-27;27/10/2010;685;685;685;685;218
2010-10-28;28/10/2010;700;700;700;700;512
2010-10-29;29/10/2010;700;700;700;700;172
2010-11-02;02/11/2010;700;700;700;700;242
2010-11-03;03/11/2010;700;700;700;700;1002
2010-11-04;04/11/2010;700;700;700;700;400
2010-11-05;05/11/2010;700;700;700;700;420
2010-11-08;08/11/2010;700;700;700;700;414
2010-11-09;09/11/2010;700;700;700;700;320
2010-11-11;11/11/2010;700;700;700;700;30
2010-11-17;17/11/2010;700;700;700;700;58
2010-11-18;18/11/2010;700;700;700;700;10
2010-11-24;24/11/2010;700;700;700;700;10
2010-11-25;25/11/2010;700;700;700;700;4
2010-11-26;26/11/2010;700;700;700;700;30
2010-11-30;30/11/2010;725;725;725;725;30
2010-12-01;01/12/2010;725;725;725;725;42
2010-12-02;02/12/2010;725;725;725;725;4
2010-12-03;03/12/2010;725;725;725;725;40
2010-12-08;08/12/2010;725;725;725;725;58
2010-12-10;10/12/2010;725;725;725;725;100
2010-12-13;13/12/2010;750;750;750;750;1004
2010-12-14;14/12/2010;725;725;725;725;50
2010-12-15;15/12/2010;750;750;750;750;294
2010-12-16;16/12/2010;750;750;750;750;104
2010-12-17;17/12/2010;750;750;750;750;60
2010-12-20;20/12/2010;750;750;750;750;50
2010-12-21;21/12/2010;750;750;750;750;202
2010-12-22;22/12/2010;750;750;750;750;42
2010-12-24;24/12/2010;750;750;750;750;50
2010-12-27;27/12/2010;750;750;750;750;50
2011-01-03;03/01/2011;750;750;750;750;2
2011-01-06;06/01/2011;747.5;747.5;747.5;747.5;158
2011-01-12;12/01/2011;747.5;747.5;747.5;747.5;66
2011-01-18;18/01/2011;675;675;675;675;36
2011-01-19;19/01/2011;725;725;725;725;80
2011-01-24;24/01/2011;725;725;725;725;46
2011-01-25;25/01/2011;725;725;725;725;36
2011-01-27;27/01/2011;725;725;725;725;98
2011-02-02;02/02/2011;700;700;700;700;60
2011-02-04;04/02/2011;747.5;747.5;747.5;747.5;20
2011-02-10;10/02/2011;750;750;750;750;1000
2011-04-14;14/04/2011;725;725;725;725;60
2011-04-15;15/04/2011;700;700;700;700;100
2011-04-18;18/04/2011;700;700;700;700;120
2011-04-20;20/04/2011;700;700;700;700;50
2011-04-21;21/04/2011;700;700;700;700;88
2011-05-04;04/05/2011;700;700;700;700;50
2011-05-05;05/05/2011;700;700;700;700;56
2011-05-11;11/05/2011;700;700;700;700;600
2011-05-12;12/05/2011;700;700;700;700;580
2011-05-13;13/05/2011;700;700;700;700;800
2011-05-16;16/05/2011;700;700;700;700;10
2011-05-17;17/05/2011;725;725;725;725;318
2011-05-25;25/05/2011;750;750;750;750;58
2011-05-26;26/05/2011;750;750;750;750;200
2011-06-01;01/06/2011;725;725;725;725;262
2011-06-03;03/06/2011;750;750;750;750;504
2011-06-07;07/06/2011;806.5;806.5;806.5;806.5;20
2011-06-08;08/06/2011;750;750;750;750;26
2011-06-09;09/06/2011;750;750;750;750;2
2011-06-14;14/06/2011;700;700;700;700;26
2011-06-15;15/06/2011;700;700;700;700;52
2011-06-16;16/06/2011;725;725;725;725;84
2011-06-17;17/06/2011;725;725;725;725;116
2011-06-20;20/06/2011;725;725;725;725;170
2011-06-21;21/06/2011;725;725;725;725;122
2011-06-24;24/06/2011;725;725;725;725;84
2011-06-28;28/06/2011;727.5;727.5;727.5;727.5;30
2011-06-29;29/06/2011;728;728;728;728;20
2011-07-01;01/07/2011;737.5;737.5;737.5;737.5;170
2011-07-04;04/07/2011;750;750;750;750;112
2011-07-05;05/07/2011;750;750;750;750;20
2011-07-06;06/07/2011;750;750;750;750;266
2011-07-08;08/07/2011;750;750;750;750;90
2011-07-11;11/07/2011;750;750;750;750;48
2011-07-12;12/07/2011;750;750;750;750;144
2011-07-13;13/07/2011;750;750;750;750;6
2011-07-25;25/07/2011;750;750;750;750;200
2011-07-28;28/07/2011;775;775;775;775;50
2011-08-03;03/08/2011;725;725;725;725;144
2011-08-04;04/08/2011;725;725;725;725;50
2011-08-05;05/08/2011;725;725;725;725;10
2011-08-09;09/08/2011;725;725;725;725;26
2011-08-11;11/08/2011;725;725;725;725;40
2011-08-16;16/08/2011;725;725;725;725;36
2011-08-18;18/08/2011;725;725;725;725;30
2011-08-19;19/08/2011;725;725;725;725;104
2011-08-22;22/08/2011;725;725;725;725;50
2011-08-23;23/08/2011;725;725;725;725;200
2011-08-24;24/08/2011;725;725;725;725;38
2011-08-25;25/08/2011;725;725;725;725;108
2011-08-29;29/08/2011;725;725;725;725;94
2011-09-02;02/09/2011;687.5;687.5;687.5;687.5;24
2011-09-05;05/09/2011;687.5;687.5;687.5;687.5;4
2011-09-13;13/09/2011;687.5;687.5;687.5;687.5;168
2011-09-14;14/09/2011;687.5;687.5;687.5;687.5;132
2011-09-15;15/09/2011;687.5;687.5;687.5;687.5;52
2011-09-16;16/09/2011;700;700;700;700;16
2011-09-19;19/09/2011;700;700;700;700;64
2011-09-20;20/09/2011;700;700;700;700;2
2011-09-22;22/09/2011;700;700;700;700;20
2011-09-23;23/09/2011;712.5;712.5;712.5;712.5;396
2011-09-26;26/09/2011;712.5;712.5;712.5;712.5;8
2011-09-28;28/09/2011;725;725;725;725;204
2011-09-29;29/09/2011;725;725;725;725;160
2011-09-30;30/09/2011;725;725;725;725;46
2011-10-03;03/10/2011;725;725;725;725;10
2011-10-04;04/10/2011;725;725;725;725;10
2011-10-07;07/10/2011;700;700;700;700;120
2011-10-10;10/10/2011;725;725;725;725;100
2011-10-19;19/10/2011;700;700;700;700;24
2011-10-20;20/10/2011;700;700;700;700;200
2011-10-24;24/10/2011;724;724;724;724;200
2011-10-25;25/10/2011;725;725;725;725;44
2011-10-27;27/10/2011;725;725;725;725;230
2011-10-28;28/10/2011;725;725;725;725;1416
2011-10-31;31/10/2011;702.5;702.5;702.5;702.5;40
2011-11-03;03/11/2011;750;750;750;750;670
2011-11-04;04/11/2011;750;750;750;750;2300
2011-11-10;10/11/2011;750;750;750;750;20
2011-11-11;11/11/2011;750;750;750;750;102
2011-11-14;14/11/2011;750;750;750;750;30
2011-11-16;16/11/2011;750;750;750;750;2
2011-11-17;17/11/2011;750;750;750;750;20
2011-11-23;23/11/2011;750;750;750;750;24
2011-11-24;24/11/2011;750;750;750;750;28
2011-11-25;25/11/2011;750;750;750;750;108
2011-11-28;28/11/2011;750;750;750;750;10
2011-12-02;02/12/2011;750;750;750;750;44
2011-12-05;05/12/2011;750;750;750;750;50
2011-12-06;06/12/2011;750;750;750;750;60
2011-12-08;08/12/2011;747.5;747.5;747.5;747.5;40
2011-12-12;12/12/2011;803.5;803.5;803.5;803.5;100
2011-12-14;14/12/2011;800;800;800;800;228
2011-12-19;19/12/2011;687.5;687.5;687.5;687.5;16
2011-12-23;23/12/2011;684;684;684;684;208
2011-12-27;27/12/2011;684;684;684;684;200
2011-12-30;30/12/2011;700;700;700;700;980
2012-01-04;04/01/2012;725;725;725;725;14000
2012-01-19;19/01/2012;700;700;700;700;162
2012-01-23;23/01/2012;699;699;699;699;120
2012-01-24;24/01/2012;700;700;700;700;242
2012-01-25;25/01/2012;725;725;725;725;266
2012-01-26;26/01/2012;725;725;725;725;60
2012-01-30;30/01/2012;725;725;725;725;246
2012-02-01;01/02/2012;725;725;725;725;14
2012-02-02;02/02/2012;717.5;717.5;717.5;717.5;180
2012-02-06;06/02/2012;700;700;700;700;38
2012-02-08;08/02/2012;700;700;700;700;76
2012-02-14;14/02/2012;700;700;700;700;16
2012-02-17;17/02/2012;687.5;687.5;687.5;687.5;26
2012-02-20;20/02/2012;687.5;687.5;687.5;687.5;62
2012-02-22;22/02/2012;687.5;687.5;687.5;687.5;2
2012-02-23;23/02/2012;687.5;687.5;687.5;687.5;520
2012-02-24;24/02/2012;670;670;670;670;20
2012-02-27;27/02/2012;675;675;675;675;22
2012-02-29;29/02/2012;675;675;675;675;1078
2012-03-02;02/03/2012;675;675;675;675;120
2012-03-05;05/03/2012;675;675;675;675;16
2012-03-08;08/03/2012;663;663;663;663;30
2012-03-09;09/03/2012;675;675;675;675;4472
2012-03-13;13/03/2012;700;700;700;700;40
2012-03-15;15/03/2012;700;700;700;700;468
2012-03-16;16/03/2012;700;700;700;700;356
2012-03-20;20/03/2012;700;700;700;700;6
2012-03-21;21/03/2012;700;700;700;700;22
2012-03-23;23/03/2012;700;700;700;700;100
2012-03-27;27/03/2012;700;700;700;700;74
2012-03-28;28/03/2012;700;700;700;700;76
2012-03-29;29/03/2012;700;700;700;700;136
2012-03-30;30/03/2012;700;700;700;700;16
2012-04-02;02/04/2012;700;700;700;700;10
2012-04-03;03/04/2012;700;700;700;700;550
2012-04-04;04/04/2012;700;700;700;700;20
2012-04-06;06/04/2012;647.5;647.5;647.5;647.5;40
2012-04-10;10/04/2012;647.5;647.5;647.5;647.5;100
2012-04-12;12/04/2012;637.5;637.5;637.5;637.5;48
2012-04-13;13/04/2012;647.5;647.5;647.5;647.5;60
2012-04-17;17/04/2012;637.5;637.5;637.5;637.5;36
2012-04-20;20/04/2012;650;650;650;650;20
2012-04-23;23/04/2012;675;675;675;675;44
2012-04-24;24/04/2012;650;650;650;650;218
2012-04-25;25/04/2012;675;675;675;675;302
2012-04-26;26/04/2012;675;675;675;675;8
2012-04-27;27/04/2012;675;675;675;675;202
2012-04-30;30/04/2012;725;725;725;725;820
2012-05-02;02/05/2012;725;725;725;725;6
2012-05-03;03/05/2012;725;725;725;725;28
2012-05-04;04/05/2012;725;725;725;725;4
2012-05-07;07/05/2012;725;725;725;725;3360
2012-05-08;08/05/2012;725;725;725;725;98
2012-05-09;09/05/2012;730;730;730;730;100
2012-05-10;10/05/2012;730;730;730;730;120
2012-05-11;11/05/2012;737.5;737.5;737.5;737.5;92
2012-05-15;15/05/2012;737.5;737.5;737.5;737.5;80
2012-05-16;16/05/2012;737.5;737.5;737.5;737.5;134
2012-05-18;18/05/2012;730;730;730;730;50
2012-05-29;29/05/2012;712.5;712.5;712.5;712.5;20
2012-06-04;04/06/2012;712.5;712.5;712.5;712.5;48
2012-06-05;05/06/2012;712.5;712.5;712.5;712.5;1030
2012-06-06;06/06/2012;717.5;717.5;717.5;717.5;2000
2012-06-14;14/06/2012;712.5;712.5;712.5;712.5;68
2012-06-15;15/06/2012;737.5;737.5;737.5;737.5;30
2012-06-18;18/06/2012;750;750;750;750;100
2012-06-19;19/06/2012;750;750;750;750;52
2012-06-20;20/06/2012;750;750;750;750;2000
2012-06-21;21/06/2012;750;750;750;750;1096
2012-06-25;25/06/2012;750;750;750;750;120
2012-06-26;26/06/2012;725;725;725;725;10000
2012-07-03;03/07/2012;700;700;700;700;103562
2012-07-04;04/07/2012;700;700;700;700;22372
2012-07-05;05/07/2012;700;700;700;700;1552
2012-07-06;06/07/2012;700;700;700;700;100
2012-07-10;10/07/2012;700;700;700;700;106
2012-07-11;11/07/2012;700;700;700;700;50
2012-07-13;13/07/2012;700;700;700;700;200
2012-07-17;17/07/2012;700;700;700;700;356
2012-07-18;18/07/2012;700;700;700;700;44
2012-07-19;19/07/2012;700;700;700;700;26
2012-07-23;23/07/2012;725;725;725;725;404
2012-07-24;24/07/2012;700;700;700;700;50
2012-07-25;25/07/2012;697.5;697.5;697.5;697.5;36
2012-07-27;27/07/2012;700;700;700;700;36
2012-07-31;31/07/2012;725;725;725;725;200
2012-08-03;03/08/2012;737.5;737.5;737.5;737.5;200
2012-08-08;08/08/2012;737.5;737.5;737.5;737.5;200
2012-08-09;09/08/2012;712.5;712.5;712.5;712.5;60
2012-08-10;10/08/2012;725;725;725;725;2920
2012-08-13;13/08/2012;712.5;712.5;712.5;712.5;1200
2012-08-14;14/08/2012;725;725;725;725;400
2012-08-21;21/08/2012;737.5;737.5;737.5;737.5;136
2012-08-23;23/08/2012;737.5;737.5;737.5;737.5;3414
2012-08-28;28/08/2012;712.5;712.5;712.5;712.5;36
2012-08-29;29/08/2012;713;713;713;713;30
2012-08-31;31/08/2012;705;705;705;705;100
2012-09-03;03/09/2012;701.5;701.5;701.5;701.5;100
2012-09-04;04/09/2012;712.5;712.5;712.5;712.5;380
2012-09-10;10/09/2012;700;700;700;700;122
2012-09-17;17/09/2012;725;725;725;725;22
2012-09-18;18/09/2012;725;725;725;725;138
2012-09-20;20/09/2012;730;730;730;730;152
2012-09-21;21/09/2012;725;725;725;725;36
2012-09-24;24/09/2012;730;730;730;730;510
2012-09-28;28/09/2012;737.5;737.5;737.5;737.5;816
2012-10-01;01/10/2012;750;750;750;750;100
2012-10-02;02/10/2012;750;750;750;750;54
2012-10-04;04/10/2012;750;750;750;750;130
2012-10-08;08/10/2012;775;775;775;775;36
2012-10-09;09/10/2012;777.5;777.5;777.5;777.5;118
2012-10-10;10/10/2012;787.5;787.5;787.5;787.5;42
2012-10-11;11/10/2012;846.5;846.5;846.5;846.5;46
2012-10-12;12/10/2012;787.5;787.5;787.5;787.5;56
2012-10-15;15/10/2012;787.5;787.5;787.5;787.5;122
2012-10-19;19/10/2012;800;800;800;800;34
2012-10-23;23/10/2012;800;800;800;800;400
2012-10-24;24/10/2012;800;800;800;800;440
2012-10-25;25/10/2012;800;800;800;800;60
2012-10-30;30/10/2012;860;860;860;860;54
2012-10-31;31/10/2012;860;860;860;860;10
2012-11-02;02/11/2012;875;875;875;875;280
2012-11-05;05/11/2012;875;875;875;875;210
2012-11-06;06/11/2012;875;875;875;875;48
2012-11-07;07/11/2012;875;875;875;875;100
2012-11-09;09/11/2012;875;875;875;875;24
2012-11-12;12/11/2012;875;875;875;875;20
2012-11-13;13/11/2012;875;875;875;875;2840
2012-11-14;14/11/2012;875;875;875;875;1318
2012-11-16;16/11/2012;875;875;875;875;16
2012-11-19;19/11/2012;850;850;850;850;122
2012-11-20;20/11/2012;875;875;875;875;608
2012-11-21;21/11/2012;875;875;875;875;688
2012-11-27;27/11/2012;875;875;875;875;26
2012-11-29;29/11/2012;875;875;875;875;18
2012-11-30;30/11/2012;875.5;875.5;875.5;875.5;178
2012-12-03;03/12/2012;941;941;941;941;52
2012-12-05;05/12/2012;875;875;875;875;40
2012-12-06;06/12/2012;875;875;875;875;224
2012-12-12;12/12/2012;809.5;809.5;809.5;809.5;120
2012-12-18;18/12/2012;870;870;870;870;204
2012-12-19;19/12/2012;900;900;900;900;22800
2012-12-20;20/12/2012;900;900;900;900;304
2012-12-21;21/12/2012;967.5;967.5;967.5;967.5;264
