date_iso;date_fr;open;high;low;close;volume
2016-05-31;31/05/2016;2150;2150;2150;2150;495
2016-06-01;01/06/2016;2310.6666666666665;2310.6666666666665;2310.6666666666665;2310.6666666666665;15
2016-06-02;02/06/2016;2483.3333333333335;2483.3333333333335;2483.3333333333335;2483.3333333333335;328
2016-06-03;03/06/2016;2670;2670;2670;2670;30
2016-06-06;06/06/2016;2870;2870;2870;2870;21
2016-06-07;07/06/2016;3084.6666666666665;3084.6666666666665;3084.6666666666665;3084.6666666666665;7
2016-06-08;08/06/2016;3316;3316;3316;3316;9
2016-06-09;09/06/2016;3564.6666666666665;3564.6666666666665;3564.6666666666665;3564.6666666666665;600
2016-06-10;10/06/2016;3831.3333333333335;3831.3333333333335;3831.3333333333335;3831.3333333333335;88
2016-06-13;13/06/2016;4118.666666666667;4118.666666666667;4118.666666666667;4118.666666666667;322
2016-06-14;14/06/2016;4427.333333333333;4427.333333333333;4427.333333333333;4427.333333333333;370
2016-06-15;15/06/2016;4759.333333333333;4759.333333333333;4759.333333333333;4759.333333333333;6619
2016-06-16;16/06/2016;5116.666666666667;5116.666666666667;5116.666666666667;5116.666666666667;2464
2016-06-17;17/06/2016;5500;5500;5500;5500;2043
2016-06-20;20/06/2016;5912.666666666667;5912.666666666667;5912.666666666667;5912.666666666667;6666
2016-06-21;21/06/2016;5778;5778;5778;5778;32988
2016-06-22;22/06/2016;5344.666666666667;5344.666666666667;5344.666666666667;5344.666666666667;6925
2016-06-23;23/06/2016;5333.333333333333;5333.333333333333;5333.333333333333;5333.333333333333;20434
2016-06-24;24/06/2016;5378.666666666667;5378.666666666667;5378.666666666667;5378.666666666667;5401
2016-06-27;27/06/2016;5778;5778;5778;5778;7288
2016-06-28;28/06/2016;5955.333333333333;5955.333333333333;5955.333333333333;5955.333333333333;5667
2016-06-29;29/06/2016;6044.666666666667;6044.666666666667;6044.666666666667;6044.666666666667;4801
2016-06-30;30/06/2016;5866.666666666667;5866.666666666667;5866.666666666667;5866.666666666667;2587
2016-07-01;01/07/2016;5875.333333333333;5875.333333333333;5875.333333333333;5875.333333333333;3292
2016-07-04;04/07/2016;5688.666666666667;5688.666666666667;5688.666666666667;5688.666666666667;4239
2016-07-05;05/07/2016;5954.666666666667;5954.666666666667;5954.666666666667;5954.666666666667;8224
2016-07-07;07/07/2016;5640;5640;5640;5640;2076
2016-07-08;08/07/2016;5778;5778;5778;5778;1626
2016-07-11;11/07/2016;5344.666666666667;5344.666666666667;5344.666666666667;5344.666666666667;618
2016-07-12;12/07/2016;4978;4978;4978;4978;3373
2016-07-13;13/07/2016;5246;5246;5246;5246;1278
2016-07-14;14/07/2016;5244.666666666667;5244.666666666667;5244.666666666667;5244.666666666667;1041
2016-07-15;15/07/2016;5288.666666666667;5288.666666666667;5288.666666666667;5288.666666666667;2004
2016-07-18;18/07/2016;5244.666666666667;5244.666666666667;5244.666666666667;5244.666666666667;423
2016-07-19;19/07/2016;5244.666666666667;5244.666666666667;5244.666666666667;5244.666666666667;2022
2016-07-20;20/07/2016;5244.666666666667;5244.666666666667;5244.666666666667;5244.666666666667;1686
2016-07-21;21/07/2016;5244.666666666667;5244.666666666667;5244.666666666667;5244.666666666667;861
2016-07-22;22/07/2016;5324.666666666667;5324.666666666667;5324.666666666667;5324.666666666667;411
2016-07-25;25/07/2016;5244.666666666667;5244.666666666667;5244.666666666667;5244.666666666667;447
2016-07-26;26/07/2016;5244.666666666667;5244.666666666667;5244.666666666667;5244.666666666667;607
2016-07-27;27/07/2016;5244.666666666667;5244.666666666667;5244.666666666667;5244.666666666667;709
2016-07-28;28/07/2016;5244.666666666667;5244.666666666667;5244.666666666667;5244.666666666667;996
2016-07-29;29/07/2016;5333.333333333333;5333.333333333333;5333.333333333333;5333.333333333333;2088
2016-08-01;01/08/2016;5333.333333333333;5333.333333333333;5333.333333333333;5333.333333333333;1038
2016-08-02;02/08/2016;5288.666666666667;5288.666666666667;5288.666666666667;5288.666666666667;697
2016-08-03;03/08/2016;5246;5246;5246;5246;2283
2016-08-04;04/08/2016;5244.666666666667;5244.666666666667;5244.666666666667;5244.666666666667;1357
2016-08-05;05/08/2016;5270.666666666667;5270.666666666667;5270.666666666667;5270.666666666667;243
2016-08-09;09/08/2016;5270.666666666667;5270.666666666667;5270.666666666667;5270.666666666667;1231
2016-08-10;10/08/2016;5244.666666666667;5244.666666666667;5244.666666666667;5244.666666666667;403
2016-08-11;11/08/2016;5244;5244;5244;5244;411
2016-08-12;12/08/2016;5164.666666666667;5164.666666666667;5164.666666666667;5164.666666666667;645
2016-08-16;16/08/2016;5165.333333333333;5165.333333333333;5165.333333333333;5165.333333333333;561
2016-08-17;17/08/2016;5164.666666666667;5164.666666666667;5164.666666666667;5164.666666666667;1485
2016-08-18;18/08/2016;5173.333333333333;5173.333333333333;5173.333333333333;5173.333333333333;687
2016-08-19;19/08/2016;5173.333333333333;5173.333333333333;5173.333333333333;5173.333333333333;1551
2016-08-22;22/08/2016;5178;5178;5178;5178;867
2016-08-23;23/08/2016;5173.333333333333;5173.333333333333;5173.333333333333;5173.333333333333;1065
2016-08-24;24/08/2016;5200;5200;5200;5200;2605
2016-08-25;25/08/2016;5200;5200;5200;5200;2889
2016-08-26;26/08/2016;5200;5200;5200;5200;1720
2016-08-29;29/08/2016;5200;5200;5200;5200;2001
2016-08-30;30/08/2016;5222;5222;5222;5222;580
2016-08-31;31/08/2016;5226.666666666667;5226.666666666667;5226.666666666667;5226.666666666667;808
2016-09-01;01/09/2016;5298;5298;5298;5298;2329
