date_iso;date_fr;open;high;low;close;volume
2006-09-15;15/09/2006;1273.75;1273.75;1273.75;1273.75;8
2006-09-26;26/09/2006;1273.75;1273.75;1273.75;1273.75;6
2006-11-06;06/11/2006;1274.375;1274.375;1274.375;1274.375;65
2006-11-10;10/11/2006;1274.375;1274.375;1274.375;1274.375;16
2006-11-23;23/11/2006;1273.75;1273.75;1273.75;1273.75;96
2006-12-08;08/12/2006;1273.75;1273.75;1273.75;1273.75;19
2006-12-14;14/12/2006;1273.75;1273.75;1273.75;1273.75;28
2006-12-15;15/12/2006;1298.125;1298.125;1298.125;1298.125;32
2007-01-03;03/01/2007;1298.125;1298.125;1298.125;1298.125;9
2007-01-17;17/01/2007;1298.125;1298.125;1298.125;1298.125;24
2007-02-05;05/02/2007;1298.125;1298.125;1298.125;1298.125;4
2007-03-05;05/03/2007;1298.125;1298.125;1298.125;1298.125;6
2007-03-06;06/03/2007;1298.75;1298.75;1298.75;1298.75;19
2007-04-04;04/04/2007;1307.5;1307.5;1307.5;1307.5;12
2007-04-25;25/04/2007;1307.5;1307.5;1307.5;1307.5;8
2007-05-14;14/05/2007;1370;1370;1370;1370;316
2007-05-31;31/05/2007;1466.25;1466.25;1466.25;1466.25;30
2007-06-04;04/06/2007;1466.25;1466.25;1466.25;1466.25;1
2007-06-08;08/06/2007;1466.25;1466.25;1466.25;1466.25;8
2007-07-16;16/07/2007;1298.125;1298.125;1298.125;1298.125;54
2007-07-23;23/07/2007;1298.125;1298.125;1298.125;1298.125;155
2007-07-25;25/07/2007;1490.625;1490.625;1490.625;1490.625;16
2007-07-27;27/07/2007;1490.625;1490.625;1490.625;1490.625;8
2007-07-31;31/07/2007;1432.5;1432.5;1432.5;1432.5;12
2007-08-01;01/08/2007;1432.5;1432.5;1432.5;1432.5;3
2007-08-02;02/08/2007;1432.5;1432.5;1432.5;1432.5;4
2007-08-09;09/08/2007;1432.5;1432.5;1432.5;1432.5;8
2007-08-10;10/08/2007;1500;1500;1500;1500;2400
2007-08-16;16/08/2007;1500;1500;1500;1500;52
2007-09-11;11/09/2007;1586.25;1586.25;1586.25;1586.25;12
2007-09-18;18/09/2007;1586.25;1586.25;1586.25;1586.25;8
2007-09-26;26/09/2007;1514.375;1514.375;1514.375;1514.375;4992
2007-10-02;02/10/2007;1514.375;1514.375;1514.375;1514.375;1
2007-10-16;16/10/2007;1521.875;1521.875;1521.875;1521.875;1488
2007-10-17;17/10/2007;1521.875;1521.875;1521.875;1521.875;33
2007-10-24;24/10/2007;1521.875;1521.875;1521.875;1521.875;14
2007-10-26;26/10/2007;1521.875;1521.875;1521.875;1521.875;16
2007-10-31;31/10/2007;1521.875;1521.875;1521.875;1521.875;11
2007-11-02;02/11/2007;1521.875;1521.875;1521.875;1521.875;48
2007-11-05;05/11/2007;1521.875;1521.875;1521.875;1521.875;320
2007-11-16;16/11/2007;1519.375;1519.375;1519.375;1519.375;208
2007-11-19;19/11/2007;1519.375;1519.375;1519.375;1519.375;27
2007-11-22;22/11/2007;1518.75;1518.75;1518.75;1518.75;80
2007-11-27;27/11/2007;1518.75;1518.75;1518.75;1518.75;19
2007-11-29;29/11/2007;1490;1490;1490;1490;19
2007-12-05;05/12/2007;1490;1490;1490;1490;11
2007-12-12;12/12/2007;1466.25;1466.25;1466.25;1466.25;80
2008-01-02;02/01/2008;1346.25;1346.25;1346.25;1346.25;17
2008-01-07;07/01/2008;1442.5;1442.5;1442.5;1442.5;12
2008-01-16;16/01/2008;1441.875;1441.875;1441.875;1441.875;44
2008-01-24;24/01/2008;1442.5;1442.5;1442.5;1442.5;22
2008-01-25;25/01/2008;1346.25;1346.25;1346.25;1346.25;89
2008-01-29;29/01/2008;1298.125;1298.125;1298.125;1298.125;142
2008-01-31;31/01/2008;1298.125;1298.125;1298.125;1298.125;14
2008-02-01;01/02/2008;1298.125;1298.125;1298.125;1298.125;100
2008-02-04;04/02/2008;1298.125;1298.125;1298.125;1298.125;3
2008-02-05;05/02/2008;1298.125;1298.125;1298.125;1298.125;56
2008-02-08;08/02/2008;1298.125;1298.125;1298.125;1298.125;280
2008-02-18;18/02/2008;1442.5;1442.5;1442.5;1442.5;97
2008-02-19;19/02/2008;1442.5;1442.5;1442.5;1442.5;120
2008-02-20;20/02/2008;1442.5;1442.5;1442.5;1442.5;16
2008-03-28;28/03/2008;1550.625;1550.625;1550.625;1550.625;12
2008-04-08;08/04/2008;1683.125;1683.125;1683.125;1683.125;56
2008-04-11;11/04/2008;1682.5;1682.5;1682.5;1682.5;20
2008-04-24;24/04/2008;1682.5;1682.5;1682.5;1682.5;3
2008-05-06;06/05/2008;1682.5;1682.5;1682.5;1682.5;8
2008-05-16;16/05/2008;1730.625;1730.625;1730.625;1730.625;20
2008-05-19;19/05/2008;1730.625;1730.625;1730.625;1730.625;59
2008-05-26;26/05/2008;1730.625;1730.625;1730.625;1730.625;64
2008-05-27;27/05/2008;1730.625;1730.625;1730.625;1730.625;16
2008-05-30;30/05/2008;1730.625;1730.625;1730.625;1730.625;24
2008-06-02;02/06/2008;1730.625;1730.625;1730.625;1730.625;142
2008-06-03;03/06/2008;1730.625;1730.625;1730.625;1730.625;110
2008-06-04;04/06/2008;1730.625;1730.625;1730.625;1730.625;80
2008-06-13;13/06/2008;1682.5;1682.5;1682.5;1682.5;2731
2008-06-30;30/06/2008;1634.375;1634.375;1634.375;1634.375;16
2008-07-01;01/07/2008;1658.75;1658.75;1658.75;1658.75;24
2008-07-03;03/07/2008;1682.5;1682.5;1682.5;1682.5;16
2008-07-04;04/07/2008;1683.125;1683.125;1683.125;1683.125;12
2008-07-07;07/07/2008;1683.125;1683.125;1683.125;1683.125;16
2008-07-09;09/07/2008;1731.25;1731.25;1731.25;1731.25;19
2008-07-11;11/07/2008;1731.25;1731.25;1731.25;1731.25;190
2008-07-18;18/07/2008;1731.25;1731.25;1731.25;1731.25;224
2008-07-21;21/07/2008;1731.25;1731.25;1731.25;1731.25;52
2008-07-28;28/07/2008;1731.25;1731.25;1731.25;1731.25;32
2008-07-30;30/07/2008;1755;1755;1755;1755;14
2008-08-05;05/08/2008;1807.5;1807.5;1807.5;1807.5;65
2008-08-06;06/08/2008;1807.5;1807.5;1807.5;1807.5;62
2008-08-08;08/08/2008;1808.125;1808.125;1808.125;1808.125;19
2008-08-11;11/08/2008;1807.5;1807.5;1807.5;1807.5;16
2008-08-12;12/08/2008;1807.5;1807.5;1807.5;1807.5;72
2008-08-13;13/08/2008;1807.5;1807.5;1807.5;1807.5;19
2008-08-18;18/08/2008;1826.875;1826.875;1826.875;1826.875;366
