date_iso;date_fr;open;high;low;close;volume
2014-12-10;10/12/2014;1075.3333333333333;1075.3333333333333;1075.3333333333333;1075.3333333333333;67
2014-12-11;11/12/2014;1155.3333333333333;1155.3333333333333;1155.3333333333333;1155.3333333333333;7
2014-12-12;12/12/2014;1242;1242;1242;1242;3
2014-12-15;15/12/2014;1335.3333333333333;1335.3333333333333;1335.3333333333333;1335.3333333333333;4
2014-12-16;16/12/2014;1435.3333333333333;1435.3333333333333;1435.3333333333333;1435.3333333333333;3
2014-12-17;17/12/2014;1542.6666666666667;1542.6666666666667;1542.6666666666667;1542.6666666666667;822
2014-12-18;18/12/2014;1658;1658;1658;1658;8457
2014-12-19;19/12/2014;1782.6666666666667;1782.6666666666667;1782.6666666666667;1782.6666666666667;3726
2014-12-22;22/12/2014;1916;1916;1916;1916;1470
2014-12-23;23/12/2014;2033.3333333333333;2033.3333333333333;2033.3333333333333;2033.3333333333333;4984
2014-12-24;24/12/2014;2016.6666666666667;2016.6666666666667;2016.6666666666667;2016.6666666666667;1296
2014-12-26;26/12/2014;2033.3333333333333;2033.3333333333333;2033.3333333333333;2033.3333333333333;2568
2014-12-29;29/12/2014;2066.6666666666665;2066.6666666666665;2066.6666666666665;2066.6666666666665;888
2014-12-30;30/12/2014;2116.6666666666665;2116.6666666666665;2116.6666666666665;2116.6666666666665;120
2014-12-31;31/12/2014;2150;2150;2150;2150;2269
2015-01-02;02/01/2015;2246.6666666666665;2246.6666666666665;2246.6666666666665;2246.6666666666665;94
2015-01-05;05/01/2015;2216.6666666666665;2216.6666666666665;2216.6666666666665;2216.6666666666665;220
2015-01-06;06/01/2015;2166.6666666666665;2166.6666666666665;2166.6666666666665;2166.6666666666665;345
2015-01-07;07/01/2015;2166.6666666666665;2166.6666666666665;2166.6666666666665;2166.6666666666665;1909
2015-01-08;08/01/2015;2066.6666666666665;2066.6666666666665;2066.6666666666665;2066.6666666666665;4146
2015-01-09;09/01/2015;2166.6666666666665;2166.6666666666665;2166.6666666666665;2166.6666666666665;667
2015-01-12;12/01/2015;2070;2070;2070;2070;66
2015-01-13;13/01/2015;2033.3333333333333;2033.3333333333333;2033.3333333333333;2033.3333333333333;298
2015-01-14;14/01/2015;2100;2100;2100;2100;1473
2015-01-15;15/01/2015;2000;2000;2000;2000;1638
2015-01-16;16/01/2015;2000;2000;2000;2000;720
2015-01-19;19/01/2015;2000;2000;2000;2000;258
2015-01-20;20/01/2015;2000;2000;2000;2000;55
2015-01-21;21/01/2015;2000;2000;2000;2000;721
2015-01-22;22/01/2015;2000;2000;2000;2000;234
2015-01-23;23/01/2015;2000;2000;2000;2000;349
2015-01-26;26/01/2015;1966.6666666666667;1966.6666666666667;1966.6666666666667;1966.6666666666667;417
2015-01-27;27/01/2015;1933.3333333333333;1933.3333333333333;1933.3333333333333;1933.3333333333333;183
2015-01-28;28/01/2015;2000;2000;2000;2000;700
2015-01-29;29/01/2015;2100;2100;2100;2100;7717
2015-01-30;30/01/2015;2166.6666666666665;2166.6666666666665;2166.6666666666665;2166.6666666666665;583
2015-02-02;02/02/2015;2100;2100;2100;2100;180
2015-02-03;03/02/2015;2166.6666666666665;2166.6666666666665;2166.6666666666665;2166.6666666666665;2977
2015-02-04;04/02/2015;2233.3333333333335;2233.3333333333335;2233.3333333333335;2233.3333333333335;252
2015-02-05;05/02/2015;2167.3333333333335;2167.3333333333335;2167.3333333333335;2167.3333333333335;76
2015-02-06;06/02/2015;2136.6666666666665;2136.6666666666665;2136.6666666666665;2136.6666666666665;168
2015-02-10;10/02/2015;2233.3333333333335;2233.3333333333335;2233.3333333333335;2233.3333333333335;433
2015-02-11;11/02/2015;2200;2200;2200;2200;318
2015-02-12;12/02/2015;2216.6666666666665;2216.6666666666665;2216.6666666666665;2216.6666666666665;106
2015-02-13;13/02/2015;2266.6666666666665;2266.6666666666665;2266.6666666666665;2266.6666666666665;168
2015-02-16;16/02/2015;2266.6666666666665;2266.6666666666665;2266.6666666666665;2266.6666666666665;120
2015-02-17;17/02/2015;2216.6666666666665;2216.6666666666665;2216.6666666666665;2216.6666666666665;66
2015-02-18;18/02/2015;2233.3333333333335;2233.3333333333335;2233.3333333333335;2233.3333333333335;184
2015-02-19;19/02/2015;2216.6666666666665;2216.6666666666665;2216.6666666666665;2216.6666666666665;196
2015-02-20;20/02/2015;2206.6666666666665;2206.6666666666665;2206.6666666666665;2206.6666666666665;225
2015-02-23;23/02/2015;2173.3333333333335;2173.3333333333335;2173.3333333333335;2173.3333333333335;885
2015-02-24;24/02/2015;2173.3333333333335;2173.3333333333335;2173.3333333333335;2173.3333333333335;22
2015-02-25;25/02/2015;2266.6666666666665;2266.6666666666665;2266.6666666666665;2266.6666666666665;111
2015-02-26;26/02/2015;2200;2200;2200;2200;411
2015-02-27;27/02/2015;2200;2200;2200;2200;85
2015-03-02;02/03/2015;2200;2200;2200;2200;105
2015-03-03;03/03/2015;2266.6666666666665;2266.6666666666665;2266.6666666666665;2266.6666666666665;390
2015-03-04;04/03/2015;2300;2300;2300;2300;111
2015-03-06;06/03/2015;2300.6666666666665;2300.6666666666665;2300.6666666666665;2300.6666666666665;190
2015-03-09;09/03/2015;2333.3333333333335;2333.3333333333335;2333.3333333333335;2333.3333333333335;673
2015-03-10;10/03/2015;2500;2500;2500;2500;454
2015-03-11;11/03/2015;2500;2500;2500;2500;291
