date_iso;date_fr;open;high;low;close;volume
2016-12-23;23/12/2016;6299;6299;6299;6299;179
2016-12-27;27/12/2016;6771;6771;6771;6771;49
2016-12-28;28/12/2016;7277;7277;7277;7277;5024
2016-12-29;29/12/2016;7822;7822;7822;7822;314
2016-12-30;30/12/2016;8408;8408;8408;8408;236
2017-01-02;02/01/2017;7778;7778;7778;7778;4691
2017-01-03;03/01/2017;8361;8361;8361;8361;2913
2017-01-04;04/01/2017;8398;8398;8398;8398;1397
2017-01-05;05/01/2017;8789;8789;8789;8789;2344
2017-01-06;06/01/2017;9375;9375;9375;9375;2448
2017-01-09;09/01/2017;9180;9180;9180;9180;2321
2017-01-10;10/01/2017;8498;8498;8498;8498;1072
2017-01-11;11/01/2017;9063;9063;9063;9063;1476
2017-01-12;12/01/2017;8789;8789;8789;8789;801
2017-01-13;13/01/2017;9072;9072;9072;9072;1856
2017-01-16;16/01/2017;9092;9092;9092;9092;3097
2017-01-17;17/01/2017;9180;9180;9180;9180;3618
2017-01-18;18/01/2017;9766;9766;9766;9766;2782
2017-01-19;19/01/2017;9765;9765;9765;9765;1533
2017-01-20;20/01/2017;9570;9570;9570;9570;718
2017-01-23;23/01/2017;9570;9570;9570;9570;360
2017-01-24;24/01/2017;9570;9570;9570;9570;272
2017-01-25;25/01/2017;9570;9570;9570;9570;945
2017-01-26;26/01/2017;9569;9569;9569;9569;685
2017-01-27;27/01/2017;9668;9668;9668;9668;2865
2017-01-30;30/01/2017;9570;9570;9570;9570;437
2017-01-31;31/01/2017;9766;9766;9766;9766;3906
2017-02-01;01/02/2017;9766;9766;9766;9766;2718
2017-02-02;02/02/2017;9766;9766;9766;9766;3675
2017-02-03;03/02/2017;9746;9746;9746;9746;1581
2017-02-06;06/02/2017;9766;9766;9766;9766;1553
2017-02-07;07/02/2017;9764;9764;9764;9764;2190
2017-02-08;08/02/2017;9570;9570;9570;9570;1450
2017-02-09;09/02/2017;9668;9668;9668;9668;2668
2017-02-10;10/02/2017;9766;9766;9766;9766;3300
2017-02-13;13/02/2017;9570;9570;9570;9570;281
2017-02-14;14/02/2017;9570;9570;9570;9570;599
2017-02-15;15/02/2017;9570;9570;9570;9570;253
2017-02-16;16/02/2017;9569;9569;9569;9569;307
2017-02-17;17/02/2017;9570;9570;9570;9570;1153
2017-02-20;20/02/2017;9570;9570;9570;9570;2111
2017-02-21;21/02/2017;8984;8984;8984;8984;795
2017-02-22;22/02/2017;9473;9473;9473;9473;1622
2017-02-23;23/02/2017;9570;9570;9570;9570;4702
2017-02-24;24/02/2017;10288;10288;10288;10288;5421
2017-02-27;27/02/2017;10938;10938;10938;10938;5786
2017-02-28;28/02/2017;10938;10938;10938;10938;3469
2017-03-01;01/03/2017;11328;11328;11328;11328;1057
2017-03-02;02/03/2017;11289;11289;11289;11289;601
2017-03-03;03/03/2017;11289;11289;11289;11289;1392
2017-03-06;06/03/2017;11289;11289;11289;11289;1257
2017-03-07;07/03/2017;11289;11289;11289;11289;2332
2017-03-08;08/03/2017;11230;11230;11230;11230;1317
2017-03-09;09/03/2017;11229;11229;11229;11229;1709
2017-03-10;10/03/2017;11230;11230;11230;11230;3441
