date_iso;date_fr;open;high;low;close;volume
2006-06-29;29/06/2006;65;65;65;65;20
2006-07-10;10/07/2006;69;69;69;69;30
2006-07-13;13/07/2006;69;69;69;69;10
2006-08-01;01/08/2006;85;85;85;85;150
2006-09-05;05/09/2006;80;80;80;80;202
2006-09-11;11/09/2006;80;80;80;80;20
2006-09-12;12/09/2006;85;85;85;85;8
2006-09-20;20/09/2006;86;86;86;86;200
2006-09-22;22/09/2006;86;86;86;86;20
2006-09-25;25/09/2006;86;86;86;86;7
2006-10-20;20/10/2006;89;89;89;89;50
2006-11-24;24/11/2006;89;89;89;89;20
2006-11-29;29/11/2006;96;96;96;96;13
2006-12-13;13/12/2006;96;96;96;96;200
2006-12-18;18/12/2006;96;96;96;96;5
2006-12-21;21/12/2006;100;100;100;100;10
2006-12-26;26/12/2006;97;97;97;97;20
2007-01-05;05/01/2007;97;97;97;97;50
2007-01-19;19/01/2007;99;99;99;99;114
2007-02-08;08/02/2007;99;99;99;99;12
2007-03-02;02/03/2007;99;99;99;99;56
2007-03-23;23/03/2007;100;100;100;100;14
2007-04-06;06/04/2007;101;101;101;101;10
2007-05-21;21/05/2007;112;112;112;112;50
2007-05-23;23/05/2007;112;112;112;112;53
2007-05-24;24/05/2007;112;112;112;112;17
2007-06-25;25/06/2007;129;129;129;129;14
2007-07-12;12/07/2007;129;129;129;129;286
2007-07-13;13/07/2007;130;130;130;130;22
2007-09-04;04/09/2007;141;141;141;141;10
2007-09-06;06/09/2007;145;145;145;145;50
2007-09-07;07/09/2007;145;145;145;145;20
2007-09-14;14/09/2007;145;145;145;145;10
2007-09-26;26/09/2007;168;168;168;168;20
2007-10-01;01/10/2007;169;169;169;169;8
2007-10-03;03/10/2007;169;169;169;169;5
2007-10-16;16/10/2007;170;170;170;170;8
2007-10-17;17/10/2007;175;175;175;175;12
2007-10-18;18/10/2007;185;185;185;185;8
2007-10-24;24/10/2007;185;185;185;185;10
2007-10-30;30/10/2007;195;195;195;195;11
2007-11-06;06/11/2007;195;195;195;195;1
2007-11-09;09/11/2007;200;200;200;200;10
2007-11-12;12/11/2007;210;210;210;210;11
2007-11-13;13/11/2007;210;210;210;210;12
2007-11-14;14/11/2007;210;210;210;210;36
2007-11-20;20/11/2007;204;204;204;204;20
2007-11-21;21/11/2007;204;204;204;204;10
2007-11-22;22/11/2007;210;210;210;210;30
2007-11-23;23/11/2007;210;210;210;210;60
2007-11-29;29/11/2007;210;210;210;210;5
2007-12-05;05/12/2007;210;210;210;210;5
2007-12-13;13/12/2007;200;200;200;200;40
2007-12-14;14/12/2007;200;200;200;200;100
2007-12-18;18/12/2007;200;200;200;200;40
2007-12-21;21/12/2007;200;200;200;200;13
2007-12-24;24/12/2007;200;200;200;200;7
2007-12-26;26/12/2007;199;199;199;199;17
2007-12-27;27/12/2007;199;199;199;199;62
2008-01-02;02/01/2008;199;199;199;199;44
2008-01-04;04/01/2008;200;200;200;200;30
2008-02-12;12/02/2008;200;200;200;200;3
2008-02-13;13/02/2008;200;200;200;200;20
2008-02-15;15/02/2008;200;200;200;200;20
2008-02-26;26/02/2008;200;200;200;200;106
2008-03-12;12/03/2008;200;200;200;200;5
2008-03-17;17/03/2008;200;200;200;200;8
2008-03-28;28/03/2008;200;200;200;200;86
2008-04-24;24/04/2008;200;200;200;200;1
2008-04-29;29/04/2008;200;200;200;200;8
2008-07-01;01/07/2008;200;200;200;200;200
2008-07-04;04/07/2008;208;208;208;208;10
2008-07-22;22/07/2008;215;215;215;215;20
2008-07-24;24/07/2008;230;230;230;230;50
2008-07-30;30/07/2008;240;240;240;240;10
2008-07-31;31/07/2008;240;240;240;240;8
2008-08-01;01/08/2008;240;240;240;240;16
2008-08-06;06/08/2008;250;250;250;250;10
2008-08-13;13/08/2008;289;289;289;289;10
2008-08-18;18/08/2008;290;290;290;290;45
2008-08-20;20/08/2008;312;312;312;312;10
2008-08-21;21/08/2008;320;320;320;320;10
2008-08-22;22/08/2008;322;322;322;322;20
2008-08-25;25/08/2008;330;330;330;330;13
2008-08-27;27/08/2008;342;342;342;342;28
2008-09-01;01/09/2008;350;350;350;350;30
2008-09-02;02/09/2008;350;350;350;350;30
2008-09-04;04/09/2008;350;350;350;350;3
2008-09-05;05/09/2008;350;350;350;350;19
2008-09-22;22/09/2008;350;350;350;350;10
2008-09-25;25/09/2008;350;350;350;350;10
2008-09-26;26/09/2008;350;350;350;350;12
2008-10-03;03/10/2008;350;350;350;350;5
2008-10-08;08/10/2008;350;350;350;350;10
2008-10-14;14/10/2008;350;350;350;350;1
2008-11-03;03/11/2008;324;324;324;324;16
2008-12-31;31/12/2008;315;315;315;315;20
2009-01-02;02/01/2009;315;315;315;315;1
2009-01-14;14/01/2009;300;300;300;300;8
2009-01-15;15/01/2009;300;300;300;300;2
2009-03-13;13/03/2009;300;300;300;300;3
2009-03-24;24/03/2009;300;300;300;300;2
2009-04-03;03/04/2009;300;300;300;300;9
2009-04-09;09/04/2009;300;300;300;300;8
2009-05-13;13/05/2009;300;300;300;300;24
2009-06-10;10/06/2009;300;300;300;300;3
2009-06-17;17/06/2009;300;300;300;300;8
2009-06-25;25/06/2009;300;300;300;300;2
2009-06-30;30/06/2009;277;277;277;277;18
2009-07-02;02/07/2009;277;277;277;277;30
2009-07-23;23/07/2009;277;277;277;277;8
2009-08-03;03/08/2009;277;277;277;277;1
2009-08-04;04/08/2009;257;257;257;257;11
2009-08-24;24/08/2009;254;254;254;254;15
2009-10-02;02/10/2009;250;250;250;250;20
2009-10-06;06/10/2009;250;250;250;250;3
2009-10-07;07/10/2009;250;250;250;250;20
2009-10-19;19/10/2009;249;249;249;249;8
2010-01-26;26/01/2010;213;213;213;213;11
2010-01-29;29/01/2010;197;197;197;197;10
2010-02-16;16/02/2010;182;182;182;182;11
2010-03-04;04/03/2010;144;144;144;144;11
2010-03-22;22/03/2010;123;123;123;123;118
2010-03-25;25/03/2010;120;120;120;120;150
2010-03-26;26/03/2010;111;111;111;111;110
2010-03-29;29/03/2010;111;111;111;111;35
2010-04-01;01/04/2010;111;111;111;111;25
2010-04-02;02/04/2010;111;111;111;111;3
2010-04-06;06/04/2010;111;111;111;111;365
2010-04-07;07/04/2010;111;111;111;111;152
2010-04-08;08/04/2010;111;111;111;111;80
2010-04-09;09/04/2010;111;111;111;111;245
2010-04-12;12/04/2010;111;111;111;111;329
2010-04-20;20/04/2010;111;111;111;111;215
2010-04-21;21/04/2010;111;111;111;111;9
2010-04-23;23/04/2010;111;111;111;111;11
2010-04-28;28/04/2010;115;115;115;115;10
2010-04-29;29/04/2010;120;120;120;120;20
2010-05-04;04/05/2010;120;120;120;120;5
2010-05-06;06/05/2010;126;126;126;126;90
2010-05-10;10/05/2010;126;126;126;126;15
2010-05-11;11/05/2010;128;128;128;128;80
2010-05-17;17/05/2010;159;159;159;159;8
2010-05-20;20/05/2010;197;197;197;197;18
2010-05-21;21/05/2010;212;212;212;212;36
2010-05-25;25/05/2010;212;212;212;212;55
2010-05-26;26/05/2010;212;212;212;212;30
2010-05-27;27/05/2010;212;212;212;212;100
2010-05-28;28/05/2010;212;212;212;212;24
2010-05-31;31/05/2010;212;212;212;212;103
2010-06-01;01/06/2010;212;212;212;212;210
2010-06-04;04/06/2010;215;215;215;215;8
2010-06-07;07/06/2010;215;215;215;215;26
2010-06-09;09/06/2010;215;215;215;215;2
2010-06-16;16/06/2010;173;173;173;173;50
2010-06-29;29/06/2010;155;155;155;155;122
2010-07-01;01/07/2010;150;150;150;150;28
2010-07-21;21/07/2010;150;150;150;150;1
2010-08-12;12/08/2010;161;161;161;161;17
2010-08-13;13/08/2010;161;161;161;161;5
2010-08-18;18/08/2010;161;161;161;161;2
2010-09-01;01/09/2010;161;161;161;161;195
2010-09-02;02/09/2010;170;170;170;170;10
2010-09-03;03/09/2010;180;180;180;180;15
2010-09-07;07/09/2010;185;185;185;185;17
2010-09-13;13/09/2010;199;199;199;199;77
2010-09-15;15/09/2010;200;200;200;200;40
2010-09-16;16/09/2010;200;200;200;200;14
2010-09-20;20/09/2010;200;200;200;200;21
2010-09-22;22/09/2010;205;205;205;205;20
2010-09-27;27/09/2010;205;205;205;205;5
2010-09-28;28/09/2010;205;205;205;205;36
2010-10-01;01/10/2010;200;200;200;200;25
2010-10-04;04/10/2010;200;200;200;200;2
2010-10-06;06/10/2010;200;200;200;200;5
2010-10-07;07/10/2010;200;200;200;200;250
2010-10-08;08/10/2010;200;200;200;200;54
2010-10-11;11/10/2010;200;200;200;200;22
2010-10-12;12/10/2010;200;200;200;200;15
2010-10-14;14/10/2010;200;200;200;200;50
2010-10-15;15/10/2010;200;200;200;200;5
2010-10-20;20/10/2010;200;200;200;200;5
2010-10-21;21/10/2010;200;200;200;200;8
2010-10-22;22/10/2010;185;185;185;185;47
2010-10-26;26/10/2010;198;198;198;198;100
2010-10-28;28/10/2010;183;183;183;183;20
2010-11-02;02/11/2010;183;183;183;183;6
2010-11-05;05/11/2010;200;200;200;200;12
2010-11-09;09/11/2010;195;195;195;195;43
2010-11-10;10/11/2010;200;200;200;200;20
2010-11-12;12/11/2010;200;200;200;200;55
2010-11-17;17/11/2010;200;200;200;200;132
2010-11-18;18/11/2010;200;200;200;200;40
2010-11-19;19/11/2010;200;200;200;200;40
2010-11-22;22/11/2010;200;200;200;200;25
2010-11-23;23/11/2010;200;200;200;200;150
2010-11-24;24/11/2010;200;200;200;200;60
2010-11-26;26/11/2010;200;200;200;200;40
2010-11-29;29/11/2010;200;200;200;200;75
2010-12-01;01/12/2010;190;190;190;190;100
2010-12-02;02/12/2010;191;191;191;191;99
2010-12-06;06/12/2010;191;191;191;191;100
2010-12-07;07/12/2010;190;190;190;190;97
2010-12-08;08/12/2010;185;185;185;185;299
2010-12-09;09/12/2010;185;185;185;185;100
2010-12-10;10/12/2010;185;185;185;185;120
2010-12-13;13/12/2010;185;185;185;185;12
2010-12-15;15/12/2010;185;185;185;185;30
2010-12-16;16/12/2010;180;180;180;180;86
2010-12-20;20/12/2010;180;180;180;180;5
2010-12-21;21/12/2010;180;180;180;180;70
2010-12-22;22/12/2010;180;180;180;180;10
2010-12-24;24/12/2010;180;180;180;180;61
2011-01-05;05/01/2011;190;190;190;190;51
2011-01-07;07/01/2011;190;190;190;190;2
2011-01-11;11/01/2011;191;191;191;191;10
2011-01-27;27/01/2011;191;191;191;191;12
2011-01-28;28/01/2011;191;191;191;191;22
2011-02-01;01/02/2011;185;185;185;185;80
2011-02-07;07/02/2011;185;185;185;185;6
2011-05-05;05/05/2011;185;185;185;185;1
2011-05-19;19/05/2011;185;185;185;185;5
2011-05-20;20/05/2011;171;171;171;171;9
2011-05-31;31/05/2011;160;160;160;160;22
2011-06-06;06/06/2011;160;160;160;160;25
2011-06-09;09/06/2011;160;160;160;160;45
2011-06-22;22/06/2011;160;160;160;160;19
2011-06-23;23/06/2011;160;160;160;160;5
2011-06-24;24/06/2011;160;160;160;160;10
2011-06-27;27/06/2011;160;160;160;160;1
2011-06-29;29/06/2011;160;160;160;160;1
2011-07-11;11/07/2011;160;160;160;160;10
2011-07-12;12/07/2011;160;160;160;160;12
2011-07-18;18/07/2011;160;160;160;160;5
2011-07-21;21/07/2011;160;160;160;160;10
2011-07-25;25/07/2011;160;160;160;160;25
2011-07-26;26/07/2011;160;160;160;160;13
2011-07-28;28/07/2011;160;160;160;160;1
2011-08-01;01/08/2011;160;160;160;160;51
2011-08-02;02/08/2011;160;160;160;160;50
2011-08-04;04/08/2011;160;160;160;160;50
2011-08-05;05/08/2011;160;160;160;160;50
