date_iso;date_fr;open;high;low;close;volume
2006-07-18;18/07/2006;533;533;533;533;30
2006-07-20;20/07/2006;533;533;533;533;9
2006-07-24;24/07/2006;510;510;510;510;10
2006-07-25;25/07/2006;510;510;510;510;3
2006-07-28;28/07/2006;510;510;510;510;19
2006-07-31;31/07/2006;520;520;520;520;25
2006-08-01;01/08/2006;520;520;520;520;20
2006-08-03;03/08/2006;510;510;510;510;13
2006-08-10;10/08/2006;510;510;510;510;62
2006-08-11;11/08/2006;510;510;510;510;112
2006-08-17;17/08/2006;510;510;510;510;8
2006-08-18;18/08/2006;510;510;510;510;19
2006-08-22;22/08/2006;510;510;510;510;19
2006-08-23;23/08/2006;510;510;510;510;7
2006-08-24;24/08/2006;505;505;505;505;115
2006-08-25;25/08/2006;505;505;505;505;56
2006-08-28;28/08/2006;515;515;515;515;10
2006-08-30;30/08/2006;515;515;515;515;27
2006-08-31;31/08/2006;515;515;515;515;11
2006-09-05;05/09/2006;515;515;515;515;1
2006-09-06;06/09/2006;515;515;515;515;40
2006-09-07;07/09/2006;515;515;515;515;10
2006-09-08;08/09/2006;515;515;515;515;1
2006-09-11;11/09/2006;515;515;515;515;155
2006-09-12;12/09/2006;515;515;515;515;5
2006-09-14;14/09/2006;515;515;515;515;23
2006-09-15;15/09/2006;515;515;515;515;12
2006-09-19;19/09/2006;515;515;515;515;5
2006-09-20;20/09/2006;515;515;515;515;15
2006-09-21;21/09/2006;515;515;515;515;58
2006-09-28;28/09/2006;515;515;515;515;5
2006-10-03;03/10/2006;515;515;515;515;10
2006-10-09;09/10/2006;510;510;510;510;41
2006-10-10;10/10/2006;510;510;510;510;32
2006-10-12;12/10/2006;500;500;500;500;78
2006-10-18;18/10/2006;500;500;500;500;105
2006-10-20;20/10/2006;500;500;500;500;7
2006-10-25;25/10/2006;500;500;500;500;7
2006-10-27;27/10/2006;500;500;500;500;18
2006-11-02;02/11/2006;500;500;500;500;56
2006-11-03;03/11/2006;475;475;475;475;154
2006-11-06;06/11/2006;473;473;473;473;48
2006-11-07;07/11/2006;480;480;480;480;560
2006-11-08;08/11/2006;500;500;500;500;57
2006-11-10;10/11/2006;500;500;500;500;1
2006-11-14;14/11/2006;475;475;475;475;28
2006-11-17;17/11/2006;475;475;475;475;40
2006-11-20;20/11/2006;475;475;475;475;86
2006-11-23;23/11/2006;473;473;473;473;30
2006-11-24;24/11/2006;472;472;472;472;32
2006-11-30;30/11/2006;475;475;475;475;35
2006-12-01;01/12/2006;475;475;475;475;5
2006-12-04;04/12/2006;475;475;475;475;60
2006-12-07;07/12/2006;475;475;475;475;2
2006-12-08;08/12/2006;475;475;475;475;20
2006-12-14;14/12/2006;475;475;475;475;9
2006-12-19;19/12/2006;475;475;475;475;7
2006-12-21;21/12/2006;475;475;475;475;287
2006-12-26;26/12/2006;475;475;475;475;29
2006-12-29;29/12/2006;475;475;475;475;5
2007-01-08;08/01/2007;475;475;475;475;10
2007-01-09;09/01/2007;475;475;475;475;2
2007-01-11;11/01/2007;475;475;475;475;44
2007-01-12;12/01/2007;475;475;475;475;310
2007-01-16;16/01/2007;475;475;475;475;67
2007-01-17;17/01/2007;475;475;475;475;18
2007-01-18;18/01/2007;475;475;475;475;384
2007-01-22;22/01/2007;475;475;475;475;111
2007-01-23;23/01/2007;475;475;475;475;1
2007-01-25;25/01/2007;475;475;475;475;1
2007-01-26;26/01/2007;475;475;475;475;11
2007-01-30;30/01/2007;475;475;475;475;39
2007-02-01;01/02/2007;475;475;475;475;11
2007-02-02;02/02/2007;475;475;475;475;27
2007-02-05;05/02/2007;475;475;475;475;1
2007-02-07;07/02/2007;475;475;475;475;26
2007-02-09;09/02/2007;475;475;475;475;57
2007-02-13;13/02/2007;475;475;475;475;94
2007-02-15;15/02/2007;478;478;478;478;9
2007-02-16;16/02/2007;478;478;478;478;6
2007-02-19;19/02/2007;480;480;480;480;28
2007-02-20;20/02/2007;500;500;500;500;10
2007-02-21;21/02/2007;500;500;500;500;252
2007-02-23;23/02/2007;525;525;525;525;8
2007-02-26;26/02/2007;500;500;500;500;9
2007-02-27;27/02/2007;510;510;510;510;21
2007-03-06;06/03/2007;510;510;510;510;254
2007-03-07;07/03/2007;510;510;510;510;3
2007-03-08;08/03/2007;510;510;510;510;93
2007-03-09;09/03/2007;510;510;510;510;280
2007-03-14;14/03/2007;511;511;511;511;42
2007-03-15;15/03/2007;511;511;511;511;10
2007-03-16;16/03/2007;511;511;511;511;90
2007-03-19;19/03/2007;511;511;511;511;156
2007-03-20;20/03/2007;511;511;511;511;28
2007-03-21;21/03/2007;511;511;511;511;102
2007-03-26;26/03/2007;511;511;511;511;12
2007-03-28;28/03/2007;511;511;511;511;101
2007-03-29;29/03/2007;511;511;511;511;6
2007-04-04;04/04/2007;540;540;540;540;8
2007-04-13;13/04/2007;540;540;540;540;20
2007-04-17;17/04/2007;540;540;540;540;85
2007-04-18;18/04/2007;540;540;540;540;5
2007-04-19;19/04/2007;540;540;540;540;10
2007-04-25;25/04/2007;541;541;541;541;28
2007-04-26;26/04/2007;541;541;541;541;1
2007-04-30;30/04/2007;540;540;540;540;42
2007-05-02;02/05/2007;541;541;541;541;71
2007-05-04;04/05/2007;541;541;541;541;10
2007-05-18;18/05/2007;545;545;545;545;21
2007-05-21;21/05/2007;575;575;575;575;152
2007-05-22;22/05/2007;575;575;575;575;70
2007-05-23;23/05/2007;580;580;580;580;11
2007-05-24;24/05/2007;600;600;600;600;409
2007-05-25;25/05/2007;605;605;605;605;86
2007-05-29;29/05/2007;600;600;600;600;15
2007-05-30;30/05/2007;600;600;600;600;20
2007-05-31;31/05/2007;600;600;600;600;25
2007-06-01;01/06/2007;600;600;600;600;30
2007-06-06;06/06/2007;600;600;600;600;25
2007-06-12;12/06/2007;600;600;600;600;35
2007-06-13;13/06/2007;600;600;600;600;46
2007-06-18;18/06/2007;600;600;600;600;1
2007-06-20;20/06/2007;600;600;600;600;12
2007-06-21;21/06/2007;603;603;603;603;26
2007-06-22;22/06/2007;600;600;600;600;66
2007-06-25;25/06/2007;625;625;625;625;10
2007-06-26;26/06/2007;600;600;600;600;68
2007-06-27;27/06/2007;600;600;600;600;46
2007-06-28;28/06/2007;625;625;625;625;14
2007-06-29;29/06/2007;625;625;625;625;80
2007-07-02;02/07/2007;625;625;625;625;50
2007-07-04;04/07/2007;625;625;625;625;20
2007-07-05;05/07/2007;625;625;625;625;95
2007-07-06;06/07/2007;625;625;625;625;20
2007-07-09;09/07/2007;625;625;625;625;40
2007-07-11;11/07/2007;625;625;625;625;75
2007-07-12;12/07/2007;625;625;625;625;67
2007-07-16;16/07/2007;625;625;625;625;83
2007-07-17;17/07/2007;625;625;625;625;21
2007-07-19;19/07/2007;625;625;625;625;189
2007-07-23;23/07/2007;625;625;625;625;27
2007-07-24;24/07/2007;625;625;625;625;22
2007-07-25;25/07/2007;625;625;625;625;2
2007-07-26;26/07/2007;625;625;625;625;4
2007-07-27;27/07/2007;625;625;625;625;25
2007-07-31;31/07/2007;625;625;625;625;40
2007-08-01;01/08/2007;624;624;624;624;22
2007-08-02;02/08/2007;625;625;625;625;16
2007-08-03;03/08/2007;600;600;600;600;144
2007-08-08;08/08/2007;600;600;600;600;91
2007-08-09;09/08/2007;600;600;600;600;113
2007-08-10;10/08/2007;601;601;601;601;10
2007-08-13;13/08/2007;601;601;601;601;60
2007-08-14;14/08/2007;600;600;600;600;193
