date_iso;date_fr;open;high;low;close;volume
2017-12-12;12/12/2017;4300;4300;4300;4300;7183
2017-12-13;13/12/2017;4622;4622;4622;4622;6063
2017-12-14;14/12/2017;4890;4890;4890;4890;5854
2017-12-15;15/12/2017;5199;5199;5199;5199;18446
2017-12-18;18/12/2017;5588;5588;5588;5588;33219
2017-12-19;19/12/2017;6000;6000;6000;6000;11940
2017-12-20;20/12/2017;6300;6300;6300;6300;70025
2017-12-21;21/12/2017;6379;6379;6379;6379;19615
2017-12-22;22/12/2017;6000;6000;6000;6000;25825
2017-12-26;26/12/2017;5999;5999;5999;5999;47667
2017-12-27;27/12/2017;5600;5600;5600;5600;38784
2017-12-28;28/12/2017;5600;5600;5600;5600;36368
2017-12-29;29/12/2017;5936;5936;5936;5936;39685
2018-01-02;02/01/2018;5700;5700;5700;5700;235
2018-01-03;03/01/2018;5499;5499;5499;5499;121
2018-01-04;04/01/2018;5100;5100;5100;5100;136
2018-01-05;05/01/2018;5098;5098;5098;5098;1961
2018-01-08;08/01/2018;4716;4716;4716;4716;4016
2018-01-09;09/01/2018;4622;4622;4622;4622;949
2018-01-10;10/01/2018;4622;4622;4622;4622;1589
2018-01-11;11/01/2018;4622;4622;4622;4622;557
2018-01-12;12/01/2018;4622;4622;4622;4622;1882
2018-01-15;15/01/2018;4620;4620;4620;4620;615
2018-01-16;16/01/2018;4600;4600;4600;4600;891
2018-01-17;17/01/2018;4945;4945;4945;4945;1346
2018-01-18;18/01/2018;4800;4800;4800;4800;127
2018-01-19;19/01/2018;4704;4704;4704;4704;609
2018-01-22;22/01/2018;4780;4780;4780;4780;1045
2018-01-23;23/01/2018;4685;4685;4685;4685;291
2018-01-24;24/01/2018;4800;4800;4800;4800;157
2018-01-25;25/01/2018;5000;5000;5000;5000;4655
2018-01-26;26/01/2018;4820;4820;4820;4820;1488
2018-01-29;29/01/2018;4798;4798;4798;4798;549
2018-01-30;30/01/2018;4760;4760;4760;4760;463
2018-01-31;31/01/2018;4799;4799;4799;4799;599
2018-02-01;01/02/2018;4800;4800;4800;4800;2767
2018-02-02;02/02/2018;4800;4800;4800;4800;64
2018-02-05;05/02/2018;4800;4800;4800;4800;1590
2018-02-06;06/02/2018;4760;4760;4760;4760;1790
2018-02-07;07/02/2018;4799;4799;4799;4799;2230
2018-02-08;08/02/2018;4740;4740;4740;4740;4740
2018-02-09;09/02/2018;4741;4741;4741;4741;1570
2018-02-12;12/02/2018;4760;4760;4760;4760;3660
2018-02-13;13/02/2018;4720;4720;4720;4720;1550
2018-02-14;14/02/2018;4980;4980;4980;4980;4160
2018-02-15;15/02/2018;5000;5000;5000;5000;1110
2018-02-16;16/02/2018;5197;5197;5197;5197;16440
2018-02-19;19/02/2018;5100;5100;5100;5100;170
2018-02-20;20/02/2018;5100;5100;5100;5100;985110
2018-02-21;21/02/2018;5001;5001;5001;5001;310
2018-02-22;22/02/2018;4800;4800;4800;4800;6230
2018-02-23;23/02/2018;4896;4896;4896;4896;2030
2018-02-26;26/02/2018;4820;4820;4820;4820;750
2018-02-27;27/02/2018;4900;4900;4900;4900;3160
2018-02-28;28/02/2018;5000;5000;5000;5000;5250
2018-03-01;01/03/2018;5000;5000;5000;5000;390
2018-03-02;02/03/2018;4998;4998;4998;4998;2700
2018-03-05;05/03/2018;4900;4900;4900;4900;2630
2018-03-06;06/03/2018;5000;5000;5000;5000;5070
2018-03-07;07/03/2018;5200;5200;5200;5200;11020
2018-03-08;08/03/2018;4810;4810;4810;4810;1010
2018-03-09;09/03/2018;5000;5000;5000;5000;2760
2018-03-12;12/03/2018;4999;4999;4999;4999;600
2018-03-13;13/03/2018;4999;4999;4999;4999;7530
2018-03-14;14/03/2018;5180;5180;5180;5180;11550
2018-03-15;15/03/2018;5000;5000;5000;5000;500
2018-03-16;16/03/2018;5000;5000;5000;5000;7090
2018-03-19;19/03/2018;4999;4999;4999;4999;600
2018-03-20;20/03/2018;5099;5099;5099;5099;3170
2018-03-21;21/03/2018;5030;5030;5030;5030;2500
2018-03-22;22/03/2018;5019;5019;5019;5019;1620
2018-03-23;23/03/2018;5001;5001;5001;5001;1950
2018-03-26;26/03/2018;5099;5099;5099;5099;790
2018-03-27;27/03/2018;5139;5139;5139;5139;5410
2018-03-28;28/03/2018;5470;5470;5470;5470;7120
2018-03-29;29/03/2018;5400;5400;5400;5400;4710
