date_iso;date_fr;open;high;low;close;volume
2014-07-11;11/07/2014;47;47;47;47;57868
2014-07-14;14/07/2014;48;48;48;48;244880
2014-07-15;15/07/2014;48;48;48;48;109500
2014-07-16;16/07/2014;48;48;48;48;162211
2014-07-17;17/07/2014;49;49;49;49;21084
2014-07-18;18/07/2014;48;48;48;48;62458
2014-07-21;21/07/2014;48;48;48;48;170615
2014-07-22;22/07/2014;48;48;48;48;127910
2014-07-23;23/07/2014;49;49;49;49;159421
2014-07-25;25/07/2014;48;48;48;48;264416
2014-07-29;29/07/2014;48;48;48;48;12762
2014-07-30;30/07/2014;48;48;48;48;59598
2014-07-31;31/07/2014;48;48;48;48;245006
2014-08-01;01/08/2014;48;48;48;48;149485
2014-08-04;04/08/2014;49;49;49;49;10046586
2014-08-05;05/08/2014;48;48;48;48;44763
2014-08-06;06/08/2014;49;49;49;49;199432
2014-08-07;07/08/2014;49;49;49;49;199432
2014-08-08;08/08/2014;49;49;49;49;2876749
2014-08-11;11/08/2014;50;50;50;50;7293820
2014-08-12;12/08/2014;51;51;51;51;141648
2014-08-13;13/08/2014;50;50;50;50;126383
2014-08-14;14/08/2014;49;49;49;49;230985
2014-08-18;18/08/2014;49;49;49;49;356232
2014-08-19;19/08/2014;49;49;49;49;266037
2014-08-20;20/08/2014;49;49;49;49;58832
2014-08-21;21/08/2014;50;50;50;50;15843
2014-08-22;22/08/2014;50;50;50;50;11388
2014-08-25;25/08/2014;50;50;50;50;1060
2014-08-26;26/08/2014;50;50;50;50;65748
2014-08-27;27/08/2014;49;49;49;49;453831
2014-08-28;28/08/2014;50;50;50;50;5256
2014-08-29;29/08/2014;50;50;50;50;425312
2014-09-01;01/09/2014;50;50;50;50;3640
2014-09-02;02/09/2014;50;50;50;50;266586
2014-09-03;03/09/2014;50;50;50;50;141818
2014-09-04;04/09/2014;51;51;51;51;108297
2014-09-05;05/09/2014;51;51;51;51;84031
2014-09-08;08/09/2014;53;53;53;53;79392
2014-09-09;09/09/2014;53;53;53;53;14044
2014-09-10;10/09/2014;52;52;52;52;36995
2014-09-11;11/09/2014;53;53;53;53;147405
2014-09-12;12/09/2014;52;52;52;52;735077
2014-09-15;15/09/2014;55;55;55;55;27838
2014-09-16;16/09/2014;59;59;59;59;124383
2014-09-17;17/09/2014;61;61;61;61;2173297
2014-09-18;18/09/2014;63;63;63;63;499567
2014-09-19;19/09/2014;64;64;64;64;674668
2014-09-22;22/09/2014;64;64;64;64;3086205
2014-09-23;23/09/2014;63;63;63;63;724250
2014-09-24;24/09/2014;63;63;63;63;1321191
2014-09-25;25/09/2014;63;63;63;63;2247093
2014-09-26;26/09/2014;63;63;63;63;234532
2014-09-29;29/09/2014;62;62;62;62;110309
2014-09-30;30/09/2014;62;62;62;62;422069
2014-10-01;01/10/2014;63;63;63;63;156675
2014-10-02;02/10/2014;62;62;62;62;578446
2014-10-03;03/10/2014;60;60;60;60;403391
2014-10-06;06/10/2014;62;62;62;62;6300
2014-10-07;07/10/2014;61;61;61;61;59581
2014-10-08;08/10/2014;60;60;60;60;13061
2014-10-09;09/10/2014;60;60;60;60;214896
2014-10-10;10/10/2014;59;59;59;59;674730
2014-10-13;13/10/2014;57;57;57;57;14301
2014-10-14;14/10/2014;60;60;60;60;16429
2014-10-15;15/10/2014;57;57;57;57;72000
2014-10-16;16/10/2014;57;57;57;57;5814
2014-10-17;17/10/2014;56;56;56;56;295062
2014-10-20;20/10/2014;53;53;53;53;81147
2014-10-21;21/10/2014;52;52;52;52;224611
2014-10-22;22/10/2014;52;52;52;52;36943
2014-10-23;23/10/2014;53;53;53;53;478354
2014-10-24;24/10/2014;52;52;52;52;232591
2014-10-27;27/10/2014;53;53;53;53;785070
2014-10-28;28/10/2014;52;52;52;52;27320
2014-10-29;29/10/2014;53;53;53;53;455282
2014-10-30;30/10/2014;53;53;53;53;549855
2014-10-31;31/10/2014;54;54;54;54;32000
2014-11-03;03/11/2014;54;54;54;54;79124
2014-11-04;04/11/2014;54;54;54;54;442595
2014-11-05;05/11/2014;54;54;54;54;58484
2014-11-06;06/11/2014;55;55;55;55;936527
2014-11-07;07/11/2014;54;54;54;54;24160
2014-11-10;10/11/2014;54;54;54;54;15862
2014-11-11;11/11/2014;52;52;52;52;160736
2014-11-12;12/11/2014;53;53;53;53;304635
2014-11-13;13/11/2014;53;53;53;53;304635
2014-11-14;14/11/2014;53;53;53;53;34641
2014-11-17;17/11/2014;53;53;53;53;2540
2014-11-18;18/11/2014;52;52;52;52;59220
2014-11-19;19/11/2014;53;53;53;53;87673
2014-11-20;20/11/2014;52;52;52;52;44958
2014-11-21;21/11/2014;52;52;52;52;64960
2014-11-24;24/11/2014;51;51;51;51;55863
2014-11-25;25/11/2014;53;53;53;53;450305
2014-11-26;26/11/2014;51;51;51;51;46526
2014-11-27;27/11/2014;52;52;52;52;8552
2014-11-28;28/11/2014;52;52;52;52;189000
2014-12-01;01/12/2014;52;52;52;52;336531
2014-12-02;02/12/2014;51;51;51;51;611286
2014-12-03;03/12/2014;51;51;51;51;73538
2014-12-04;04/12/2014;49;49;49;49;1052908
2014-12-08;08/12/2014;48;48;48;48;138530
2014-12-09;09/12/2014;50;50;50;50;580204
2014-12-10;10/12/2014;49;49;49;49;1593966
2014-12-11;11/12/2014;49;49;49;49;1409135
2014-12-12;12/12/2014;50;50;50;50;355482
2014-12-15;15/12/2014;50;50;50;50;65590
2014-12-16;16/12/2014;50;50;50;50;44756
2014-12-17;17/12/2014;50;50;50;50;416592
2014-12-18;18/12/2014;49;49;49;49;201217
2014-12-19;19/12/2014;49;49;49;49;39150
2014-12-22;22/12/2014;48;48;48;48;566300
2014-12-23;23/12/2014;48;48;48;48;323213
2014-12-24;24/12/2014;48;48;48;48;978568
2014-12-25;25/12/2014;48;48;48;48;978568
2014-12-26;26/12/2014;48;48;48;48;110090
2014-12-29;29/12/2014;47;47;47;47;184271
2014-12-30;30/12/2014;50;50;50;50;555475
2014-12-31;31/12/2014;50;50;50;50;57898
2015-01-02;02/01/2015;50;50;50;50;11400
2015-01-05;05/01/2015;49;49;49;49;120594
2015-01-06;06/01/2015;49;49;49;49;13950
2015-01-07;07/01/2015;48;48;48;48;48114
2015-01-08;08/01/2015;48;48;48;48;51725
2015-01-09;09/01/2015;49;49;49;49;774747
2015-01-12;12/01/2015;49;49;49;49;33200
2015-01-13;13/01/2015;49;49;49;49;28050
2015-01-14;14/01/2015;50;50;50;50;257560
2015-01-15;15/01/2015;49;49;49;49;14348
2015-01-16;16/01/2015;48;48;48;48;58410
2015-01-19;19/01/2015;48;48;48;48;29800
