date_iso;date_fr;open;high;low;close;volume
2017-10-24;24/10/2017;9675;9675;9675;9675;500
2017-10-25;25/10/2017;10400;10400;10400;10400;18444
2017-10-26;26/10/2017;9850;9850;9850;9850;61557
2017-10-27;27/10/2017;9115;9115;9115;9115;18294
2017-10-30;30/10/2017;9700;9700;9700;9700;20407
2017-10-31;31/10/2017;10000;10000;10000;10000;20372
2017-11-02;02/11/2017;9890;9890;9890;9890;5086
2017-11-03;03/11/2017;9435;9435;9435;9435;20610
2017-11-06;06/11/2017;9425;9425;9425;9425;6475
2017-11-07;07/11/2017;9400;9400;9400;9400;13465
2017-11-08;08/11/2017;9220;9220;9220;9220;5430
2017-11-09;09/11/2017;9340;9340;9340;9340;43287
2017-11-10;10/11/2017;9200;9200;9200;9200;5214
2017-11-13;13/11/2017;9100;9100;9100;9100;893
2017-11-14;14/11/2017;9145;9145;9145;9145;14580
2017-11-16;16/11/2017;9090;9090;9090;9090;7229
2017-11-17;17/11/2017;9085;9085;9085;9085;10882
2017-11-20;20/11/2017;9075;9075;9075;9075;1021
2017-11-21;21/11/2017;9070;9070;9070;9070;1471
2017-11-22;22/11/2017;9050;9050;9050;9050;60790
2017-11-23;23/11/2017;9040;9040;9040;9040;6008
2017-11-24;24/11/2017;9040;9040;9040;9040;4162
2017-11-27;27/11/2017;9035;9035;9035;9035;1718
2017-11-28;28/11/2017;9020;9020;9020;9020;34119
2017-11-29;29/11/2017;9005;9005;9005;9005;1343
2017-11-30;30/11/2017;9000;9000;9000;9000;10759
2017-12-04;04/12/2017;9000;9000;9000;9000;2687
2017-12-05;05/12/2017;9000;9000;9000;9000;5602
2017-12-06;06/12/2017;9000;9000;9000;9000;7914
2017-12-07;07/12/2017;9000;9000;9000;9000;6199
2017-12-08;08/12/2017;9000;9000;9000;9000;5857
2017-12-11;11/12/2017;9000;9000;9000;9000;16170
2017-12-12;12/12/2017;9000;9000;9000;9000;9701
2017-12-13;13/12/2017;8990;8990;8990;8990;458
2017-12-14;14/12/2017;8900;8900;8900;8900;3294
2017-12-15;15/12/2017;9000;9000;9000;9000;8158
2017-12-18;18/12/2017;8990;8990;8990;8990;1761
2017-12-19;19/12/2017;8950;8950;8950;8950;4937
2017-12-20;20/12/2017;8945;8945;8945;8945;11243
2017-12-21;21/12/2017;8795;8795;8795;8795;1706
2017-12-22;22/12/2017;8900;8900;8900;8900;4066
2017-12-26;26/12/2017;9000;9000;9000;9000;12724
2017-12-27;27/12/2017;9000;9000;9000;9000;7467
2017-12-28;28/12/2017;8990;8990;8990;8990;2132
2017-12-29;29/12/2017;9660;9660;9660;9660;99390
2018-01-02;02/01/2018;9000;9000;9000;9000;145
2018-01-03;03/01/2018;8760;8760;8760;8760;1822
2018-01-04;04/01/2018;8900;8900;8900;8900;2381
2018-01-05;05/01/2018;8880;8880;8880;8880;3297
2018-01-08;08/01/2018;8800;8800;8800;8800;915
2018-01-09;09/01/2018;8750;8750;8750;8750;655
2018-01-10;10/01/2018;8845;8845;8845;8845;405
2018-01-11;11/01/2018;8840;8840;8840;8840;1765
2018-01-12;12/01/2018;8700;8700;8700;8700;1272
2018-01-15;15/01/2018;8700;8700;8700;8700;301
2018-01-16;16/01/2018;8700;8700;8700;8700;578
2018-01-17;17/01/2018;8700;8700;8700;8700;695
2018-01-18;18/01/2018;8700;8700;8700;8700;5156
2018-01-19;19/01/2018;8695;8695;8695;8695;1034
2018-01-22;22/01/2018;8500;8500;8500;8500;418
2018-01-23;23/01/2018;8600;8600;8600;8600;2574
2018-01-24;24/01/2018;8400;8400;8400;8400;209
2018-01-25;25/01/2018;8400;8400;8400;8400;4343
2018-01-26;26/01/2018;8400;8400;8400;8400;530
2018-01-29;29/01/2018;8300;8300;8300;8300;974
2018-01-30;30/01/2018;8150;8150;8150;8150;1242
2018-01-31;31/01/2018;8400;8400;8400;8400;6666
2018-02-01;01/02/2018;8800;8800;8800;8800;17336
2018-02-02;02/02/2018;8800;8800;8800;8800;4911
2018-02-05;05/02/2018;8400;8400;8400;8400;302
2018-02-06;06/02/2018;8500;8500;8500;8500;1180
2018-02-07;07/02/2018;8500;8500;8500;8500;11510
2018-02-08;08/02/2018;8500;8500;8500;8500;1390
2018-02-09;09/02/2018;8500;8500;8500;8500;290
2018-02-12;12/02/2018;8490;8490;8490;8490;360
2018-02-13;13/02/2018;8450;8450;8450;8450;780
2018-02-14;14/02/2018;8440;8440;8440;8440;290
2018-02-15;15/02/2018;8450;8450;8450;8450;1600
2018-02-16;16/02/2018;8445;8445;8445;8445;1140
2018-02-19;19/02/2018;8350;8350;8350;8350;2400
2018-02-20;20/02/2018;8400;8400;8400;8400;2720
2018-02-21;21/02/2018;8400;8400;8400;8400;1500
2018-02-22;22/02/2018;8400;8400;8400;8400;600
2018-02-23;23/02/2018;8400;8400;8400;8400;1060
2018-02-26;26/02/2018;8395;8395;8395;8395;1490
2018-02-27;27/02/2018;8395;8395;8395;8395;580
2018-02-28;28/02/2018;8400;8400;8400;8400;1820
2018-03-01;01/03/2018;8400;8400;8400;8400;790
2018-03-02;02/03/2018;8400;8400;8400;8400;5540
2018-03-05;05/03/2018;8395;8395;8395;8395;1350
2018-03-06;06/03/2018;8390;8390;8390;8390;3800
2018-03-07;07/03/2018;8295;8295;8295;8295;2240
2018-03-08;08/03/2018;8295;8295;8295;8295;470
2018-03-09;09/03/2018;8300;8300;8300;8300;690
2018-03-12;12/03/2018;8295;8295;8295;8295;1190
2018-03-13;13/03/2018;8125;8125;8125;8125;640
2018-03-14;14/03/2018;8295;8295;8295;8295;2140
2018-03-15;15/03/2018;8295;8295;8295;8295;3360
2018-03-16;16/03/2018;8295;8295;8295;8295;560
2018-03-19;19/03/2018;8290;8290;8290;8290;240
2018-03-20;20/03/2018;8290;8290;8290;8290;590
2018-03-21;21/03/2018;8200;8200;8200;8200;1130
2018-03-22;22/03/2018;8200;8200;8200;8200;2790
2018-03-23;23/03/2018;8240;8240;8240;8240;2060
2018-03-26;26/03/2018;8200;8200;8200;8200;7000
2018-03-27;27/03/2018;8190;8190;8190;8190;350
2018-03-28;28/03/2018;8180;8180;8180;8180;2180
2018-03-29;29/03/2018;8150;8150;8150;8150;1710
2018-03-30;30/03/2018;8200;8200;8200;8200;1940
2018-04-03;03/04/2018;8200;8200;8200;8200;1810
2018-04-04;04/04/2018;8150;8150;8150;8150;63290
2018-04-05;05/04/2018;8150;8150;8150;8150;1350
2018-04-06;06/04/2018;8150;8150;8150;8150;3960
2018-04-09;09/04/2018;8150;8150;8150;8150;550
2018-04-10;10/04/2018;8150;8150;8150;8150;3600
2018-04-11;11/04/2018;8100;8100;8100;8100;2280
2018-04-12;12/04/2018;8100;8100;8100;8100;5720
2018-04-13;13/04/2018;8100;8100;8100;8100;18400
2018-04-16;16/04/2018;8100;8100;8100;8100;10670
2018-04-17;17/04/2018;8000;8000;8000;8000;790
2018-04-18;18/04/2018;8000;8000;8000;8000;2790
2018-04-19;19/04/2018;8000;8000;8000;8000;3840
2018-04-20;20/04/2018;8050;8050;8050;8050;8040
2018-04-23;23/04/2018;8000;8000;8000;8000;45870
2018-04-24;24/04/2018;8000;8000;8000;8000;8560
2018-04-25;25/04/2018;8080;8080;8080;8080;15940
2018-04-26;26/04/2018;8000;8000;8000;8000;1950
2018-04-27;27/04/2018;8000;8000;8000;8000;10
2018-04-30;30/04/2018;8000;8000;8000;8000;80
2018-05-02;02/05/2018;8100;8100;8100;8100;6720
2018-05-03;03/05/2018;8200;8200;8200;8200;16570
2018-05-04;04/05/2018;8000;8000;8000;8000;41810
2018-05-07;07/05/2018;8400;8400;8400;8400;11370
2018-05-08;08/05/2018;8500;8500;8500;8500;8310
2018-05-09;09/05/2018;8500;8500;8500;8500;1510
2018-05-11;11/05/2018;8900;8900;8900;8900;81380
2018-05-14;14/05/2018;8900;8900;8900;8900;1580
2018-05-15;15/05/2018;8900;8900;8900;8900;1230
2018-05-16;16/05/2018;8900;8900;8900;8900;28340
2018-05-17;17/05/2018;8900;8900;8900;8900;1420
