date_iso;date_fr;open;high;low;close;volume
2006-07-13;13/07/2006;1300;1300;1300;1300;10
2006-07-14;14/07/2006;1300;1300;1300;1300;17
2006-07-17;17/07/2006;1295;1295;1295;1295;36
2006-07-18;18/07/2006;1250;1250;1250;1250;30
2006-07-19;19/07/2006;1200;1200;1200;1200;13
2006-07-20;20/07/2006;1250;1250;1250;1250;54
2006-07-25;25/07/2006;1250;1250;1250;1250;15
2006-08-01;01/08/2006;1252;1252;1252;1252;16
2006-08-04;04/08/2006;1256;1256;1256;1256;8
2006-08-18;18/08/2006;1375;1375;1375;1375;22
2006-08-21;21/08/2006;1385;1385;1385;1385;75
2006-08-22;22/08/2006;1489;1489;1489;1489;24
2006-08-24;24/08/2006;1489;1489;1489;1489;3
2006-08-25;25/08/2006;1500;1500;1500;1500;15
2006-08-28;28/08/2006;1503;1503;1503;1503;10
2006-09-06;06/09/2006;1511;1511;1511;1511;32
2006-09-11;11/09/2006;1525;1525;1525;1525;57
2006-09-19;19/09/2006;1575;1575;1575;1575;34
2006-09-20;20/09/2006;1585;1585;1585;1585;10
2006-09-21;21/09/2006;1585;1585;1585;1585;4
2006-09-22;22/09/2006;1585;1585;1585;1585;1
2006-10-03;03/10/2006;1600;1600;1600;1600;12
2006-10-04;04/10/2006;1600;1600;1600;1600;4
2006-10-05;05/10/2006;1703;1703;1703;1703;40
2006-10-13;13/10/2006;1825;1825;1825;1825;37
2006-10-17;17/10/2006;1900;1900;1900;1900;8000
2006-10-18;18/10/2006;1900;1900;1900;1900;17
2006-10-20;20/10/2006;2005;2005;2005;2005;26
2006-10-26;26/10/2006;2065;2065;2065;2065;30
2006-10-27;27/10/2006;2065;2065;2065;2065;1
2006-11-03;03/11/2006;2065;2065;2065;2065;1
2006-11-13;13/11/2006;2100;2100;2100;2100;26
2006-11-14;14/11/2006;2125;2125;2125;2125;45
2006-11-21;21/11/2006;2125;2125;2125;2125;10
2006-11-22;22/11/2006;2130;2130;2130;2130;90
2006-11-24;24/11/2006;2130;2130;2130;2130;25
2006-12-04;04/12/2006;2130;2130;2130;2130;3
2006-12-05;05/12/2006;2130;2130;2130;2130;6
2006-12-06;06/12/2006;2130;2130;2130;2130;24
2006-12-08;08/12/2006;2130;2130;2130;2130;25
2006-12-11;11/12/2006;2130;2130;2130;2130;6
2006-12-12;12/12/2006;2130;2130;2130;2130;6
2006-12-14;14/12/2006;2130;2130;2130;2130;15
2006-12-15;15/12/2006;2130;2130;2130;2130;15
2006-12-19;19/12/2006;2130;2130;2130;2130;10
2006-12-20;20/12/2006;2130;2130;2130;2130;6
2006-12-22;22/12/2006;2130;2130;2130;2130;4
2006-12-29;29/12/2006;2130;2130;2130;2130;11
2007-01-19;19/01/2007;2000;2000;2000;2000;24
2007-01-22;22/01/2007;2000;2000;2000;2000;2
2007-01-23;23/01/2007;2000;2000;2000;2000;8
2007-01-24;24/01/2007;2000;2000;2000;2000;41
2007-01-25;25/01/2007;2000;2000;2000;2000;21
2007-02-02;02/02/2007;2000;2000;2000;2000;5
2007-02-06;06/02/2007;2000;2000;2000;2000;1
2007-02-08;08/02/2007;2000;2000;2000;2000;1
2007-02-09;09/02/2007;2000;2000;2000;2000;7
2007-02-13;13/02/2007;2000;2000;2000;2000;5
2007-02-15;15/02/2007;2000;2000;2000;2000;8
2007-02-16;16/02/2007;2000;2000;2000;2000;112
2007-02-19;19/02/2007;2000;2000;2000;2000;119
2007-02-21;21/02/2007;2000;2000;2000;2000;3
2007-02-23;23/02/2007;2000;2000;2000;2000;21
2007-02-26;26/02/2007;2000;2000;2000;2000;3
2007-03-02;02/03/2007;2050;2050;2050;2050;60
2007-03-06;06/03/2007;2050;2050;2050;2050;3
2007-03-07;07/03/2007;2050;2050;2050;2050;51
2007-03-12;12/03/2007;2050;2050;2050;2050;5
2007-03-14;14/03/2007;2153;2153;2153;2153;23
2007-03-22;22/03/2007;2314;2314;2314;2314;13
2007-03-23;23/03/2007;2314;2314;2314;2314;65
2007-03-27;27/03/2007;2314;2314;2314;2314;5
2007-03-28;28/03/2007;2315;2315;2315;2315;8
2007-03-30;30/03/2007;2315;2315;2315;2315;30
2007-04-04;04/04/2007;2315;2315;2315;2315;10
2007-04-06;06/04/2007;2375;2375;2375;2375;22
2007-04-11;11/04/2007;2375;2375;2375;2375;1
2007-04-19;19/04/2007;2375;2375;2375;2375;15
2007-04-25;25/04/2007;2500;2500;2500;2500;31
2007-05-03;03/05/2007;2400;2400;2400;2400;8
2007-05-04;04/05/2007;2405;2405;2405;2405;8
2007-05-08;08/05/2007;2405;2405;2405;2405;44
2007-05-15;15/05/2007;2501;2501;2501;2501;51
2007-05-16;16/05/2007;2501;2501;2501;2501;1
2007-05-18;18/05/2007;2501;2501;2501;2501;32
2007-05-24;24/05/2007;2775;2775;2775;2775;67
2007-05-25;25/05/2007;2975;2975;2975;2975;65
2007-05-31;31/05/2007;2975;2975;2975;2975;5
2007-06-01;01/06/2007;3198;3198;3198;3198;21
2007-06-04;04/06/2007;2975;2975;2975;2975;11
2007-06-05;05/06/2007;3000;3000;3000;3000;20
2007-06-07;07/06/2007;3000;3000;3000;3000;10
2007-06-13;13/06/2007;3000;3000;3000;3000;5
2007-06-14;14/06/2007;3000;3000;3000;3000;186
2007-06-15;15/06/2007;3225;3225;3225;3225;13
2007-06-18;18/06/2007;3400;3400;3400;3400;50
2007-06-19;19/06/2007;3400;3400;3400;3400;50
2007-06-21;21/06/2007;3500;3500;3500;3500;10
2007-06-22;22/06/2007;3500;3500;3500;3500;14
2007-06-26;26/06/2007;3250;3250;3250;3250;51
2007-06-27;27/06/2007;3250;3250;3250;3250;9
2007-06-29;29/06/2007;3250;3250;3250;3250;10
2007-07-04;04/07/2007;3500;3500;3500;3500;45
