date_iso;date_fr;open;high;low;close;volume
2009-04-30;30/04/2009;4790;4790;4790;4790;1200
2009-05-04;04/05/2009;4790;4790;4790;4790;50
2009-05-05;05/05/2009;4790;4790;4790;4790;169
2009-05-06;06/05/2009;4790;4790;4790;4790;25
2009-05-07;07/05/2009;5001;5001;5001;5001;15
2009-05-08;08/05/2009;5000;5000;5000;5000;100
2009-05-11;11/05/2009;5000;5000;5000;5000;92
2009-05-12;12/05/2009;5000;5000;5000;5000;488
2009-05-13;13/05/2009;5000;5000;5000;5000;300
2009-05-14;14/05/2009;5000;5000;5000;5000;83
2009-05-19;19/05/2009;5019;5019;5019;5019;59
2009-05-20;20/05/2009;5019;5019;5019;5019;27
2009-05-22;22/05/2009;5000;5000;5000;5000;47
2009-05-25;25/05/2009;5000;5000;5000;5000;119
2009-05-26;26/05/2009;5000;5000;5000;5000;30
2009-05-27;27/05/2009;5050;5050;5050;5050;35
2009-05-28;28/05/2009;5050;5050;5050;5050;75
2009-05-29;29/05/2009;5000;5000;5000;5000;118
2009-06-02;02/06/2009;5000;5000;5000;5000;20
2009-06-03;03/06/2009;5000;5000;5000;5000;5
2009-06-08;08/06/2009;5000;5000;5000;5000;48
2009-06-09;09/06/2009;5000;5000;5000;5000;1
2009-06-10;10/06/2009;5000;5000;5000;5000;40
2009-06-16;16/06/2009;5000;5000;5000;5000;5
2009-06-18;18/06/2009;5000;5000;5000;5000;18
2009-06-22;22/06/2009;5000;5000;5000;5000;30
2009-06-23;23/06/2009;5000;5000;5000;5000;60
2009-06-25;25/06/2009;5000;5000;5000;5000;34
2009-06-26;26/06/2009;5000;5000;5000;5000;46
2009-06-29;29/06/2009;5000;5000;5000;5000;75
2009-06-30;30/06/2009;5000;5000;5000;5000;33
2009-07-01;01/07/2009;5000;5000;5000;5000;39
2009-07-03;03/07/2009;5000;5000;5000;5000;31
2009-07-06;06/07/2009;5000;5000;5000;5000;3
2009-07-07;07/07/2009;5000;5000;5000;5000;83
2009-07-08;08/07/2009;5000;5000;5000;5000;3
2009-07-09;09/07/2009;5000;5000;5000;5000;50
2009-07-10;10/07/2009;5000;5000;5000;5000;2
2009-07-13;13/07/2009;5000;5000;5000;5000;8
2009-07-16;16/07/2009;5000;5000;5000;5000;2
2009-07-20;20/07/2009;5000;5000;5000;5000;19
2009-07-23;23/07/2009;5000;5000;5000;5000;40
2009-07-27;27/07/2009;5000;5000;5000;5000;4
2009-07-30;30/07/2009;5000;5000;5000;5000;70
2009-08-04;04/08/2009;5000;5000;5000;5000;3
2009-08-05;05/08/2009;5000;5000;5000;5000;4
2009-08-06;06/08/2009;5000;5000;5000;5000;31
2009-08-10;10/08/2009;5000;5000;5000;5000;1
2009-08-13;13/08/2009;5000;5000;5000;5000;2
2009-08-14;14/08/2009;4900;4900;4900;4900;43
2009-08-17;17/08/2009;4900;4900;4900;4900;28
2009-08-19;19/08/2009;4800;4800;4800;4800;33
2009-08-20;20/08/2009;4900;4900;4900;4900;295
2009-08-27;27/08/2009;4900;4900;4900;4900;200
2009-08-28;28/08/2009;4899;4899;4899;4899;49
2009-09-03;03/09/2009;4900;4900;4900;4900;52
2009-09-04;04/09/2009;4899;4899;4899;4899;10
2009-09-07;07/09/2009;5000;5000;5000;5000;947
2009-09-08;08/09/2009;5000;5000;5000;5000;1848
2009-09-09;09/09/2009;5000;5000;5000;5000;1116
2009-09-10;10/09/2009;4988;4988;4988;4988;100
2009-09-11;11/09/2009;4990;4990;4990;4990;14
2009-09-14;14/09/2009;4999;4999;4999;4999;89
2009-09-15;15/09/2009;5000;5000;5000;5000;70
2009-09-16;16/09/2009;4900;4900;4900;4900;10
2009-09-18;18/09/2009;4900;4900;4900;4900;7
2009-09-22;22/09/2009;4900;4900;4900;4900;151
2009-09-23;23/09/2009;4900;4900;4900;4900;30
2009-09-28;28/09/2009;4900;4900;4900;4900;3
2009-09-29;29/09/2009;4899;4899;4899;4899;75
2009-10-02;02/10/2009;4899;4899;4899;4899;21
2009-10-05;05/10/2009;4850;4850;4850;4850;18
