date_iso;date_fr;open;high;low;close;volume
2022-12-30;30/12/2022;10210;10210;10210;10210;50274
2023-01-02;02/01/2023;10220;10925;10220;10925;14868
2023-01-03;03/01/2023;10920;10920;10500;10500;31367
2023-01-04;04/01/2023;10475;10500;10475;10500;20463
2023-01-05;05/01/2023;10290;10485;10290;10485;9471
2023-01-06;06/01/2023;10460;10460;10370;10370;2144
2023-01-09;09/01/2023;10290;10290;10190;10190;17793
2023-01-10;10/01/2023;10005;10200;10005;10200;11444
2023-01-11;11/01/2023;10100;10100;10000;10000;32458
2023-01-12;12/01/2023;10200;10200;10200;10200;3242
2023-01-13;13/01/2023;10200;10200;10190;10190;1684
2023-01-16;16/01/2023;10200;10200;10175;10175;864
2023-01-17;17/01/2023;10175;10175;10000;10000;8718
2023-01-18;18/01/2023;10090;10090;10000;10000;23407
2023-01-19;19/01/2023;10000;10000;10000;10000;4589
2023-01-20;20/01/2023;10000;10000;10000;10000;2722
2023-01-23;23/01/2023;10000;10000;10000;10000;14486
2023-01-24;24/01/2023;10000;10000;10000;10000;2952
2023-01-25;25/01/2023;10000;10000;10000;10000;6663
2023-01-26;26/01/2023;10000;10050;10000;10050;2951
2023-01-27;27/01/2023;10050;10050;10050;10050;1690
2023-01-30;30/01/2023;10050;10050;10050;10050;2129
2023-01-31;31/01/2023;10050;10150;10050;10150;18653
2023-02-01;01/02/2023;10105;10450;10105;10450;73631
2023-02-02;02/02/2023;10300;10445;10300;10445;6768
2023-02-03;03/02/2023;10440;10440;10300;10300;109586
2023-02-06;06/02/2023;10400;10495;10400;10495;222028
2023-02-07;07/02/2023;10360;10495;10360;10495;90975
2023-02-08;08/02/2023;10495;10495;10485;10485;3408
2023-02-09;09/02/2023;10490;10490;10475;10475;3858
2023-02-10;10/02/2023;10480;10480;10400;10400;142
2023-02-13;13/02/2023;10350;10400;10350;10400;657
2023-02-14;14/02/2023;10400;10400;10305;10305;3101
2023-02-15;15/02/2023;10250;10250;10195;10195;16371
2023-02-16;16/02/2023;10195;10200;10195;10200;3955
2023-02-17;17/02/2023;10150;10200;10150;10200;2560
2023-02-20;20/02/2023;10200;10200;10200;10200;1043
2023-02-21;21/02/2023;10225;10225;10200;10200;4910
2023-02-22;22/02/2023;10200;10200;10200;10200;2580
2023-02-23;23/02/2023;10200;10235;10200;10235;765
2023-02-24;24/02/2023;10200;10200;10195;10195;2764
2023-02-27;27/02/2023;10200;10200;10150;10150;768
2023-02-28;28/02/2023;10050;10100;10050;10100;6759
2023-03-01;01/03/2023;10095;10095;10010;10010;2829
2023-03-02;02/03/2023;10010;10010;10010;10010;13717
2023-03-03;03/03/2023;10010;10010;10000;10000;1858
2023-03-06;06/03/2023;10000;10010;10000;10010;5727
2023-03-07;07/03/2023;10010;10100;10010;10100;369
2023-03-08;08/03/2023;10010;10010;10000;10000;6530
2023-03-09;09/03/2023;9990;10000;9990;10000;1692
2023-03-10;10/03/2023;10000;10000;10000;10000;1596
2023-03-13;13/03/2023;10000;10000;9995;9995;2988
2023-03-14;14/03/2023;9995;9995;9800;9800;2922
2023-03-15;15/03/2023;9800;9890;9800;9890;4822
2023-03-16;16/03/2023;9890;9890;9850;9850;6665
2023-03-17;17/03/2023;9805;9805;9805;9805;1618
2023-03-20;20/03/2023;9600;9600;9600;9600;5013
2023-03-21;21/03/2023;9505;9505;9500;9500;3877
2023-03-22;22/03/2023;9500;9500;9500;9500;4109
2023-03-23;23/03/2023;9495;9500;9495;9500;2067
2023-03-24;24/03/2023;9500;9520;9500;9520;3830
2023-03-27;27/03/2023;9520;9530;9520;9530;932
2023-03-28;28/03/2023;9520;9520;9500;9500;6845
2023-03-29;29/03/2023;9500;9500;9500;9500;964
2023-03-30;30/03/2023;9500;9500;9500;9500;1489
2023-03-31;31/03/2023;9500;9500;9500;9500;5870
2023-04-03;03/04/2023;9495;9500;9495;9500;1852
2023-04-04;04/04/2023;9400;9450;9400;9450;1423
2023-04-05;05/04/2023;9450;9450;9400;9400;3566
2023-04-06;06/04/2023;9450;9450;9300;9300;2080
2023-04-07;07/04/2023;9300;9400;9300;9400;569
2023-04-10;10/04/2023;9300;9400;9300;9400;569
2023-04-11;11/04/2023;9400;9400;9395;9395;3291
2023-04-12;12/04/2023;9100;9300;9100;9300;1271
2023-04-13;13/04/2023;9200;9200;9200;9200;1440
2023-04-14;14/04/2023;9230;9230;9190;9190;3899
2023-04-17;17/04/2023;9190;9190;9050;9050;945
2023-04-18;18/04/2023;9190;9190;9050;9050;945
2023-04-19;19/04/2023;9000;9000;8995;8995;2241
2023-04-20;20/04/2023;8995;9000;8995;9000;7868
2023-04-21;21/04/2023;8995;9000;8995;9000;7868
2023-04-24;24/04/2023;9000;9050;9000;9050;5005
2023-04-25;25/04/2023;9000;9145;9000;9145;4897
2023-04-26;26/04/2023;9050;9150;9050;9150;218
2023-04-27;27/04/2023;9145;9150;9145;9150;1056
2023-04-28;28/04/2023;9150;9275;9150;9275;455
2023-05-01;01/05/2023;9150;9275;9150;9275;455
2023-05-02;02/05/2023;9275;9400;9275;9400;586
2023-05-03;03/05/2023;9275;9400;9275;9400;586
2023-05-04;04/05/2023;9350;9475;9350;9475;1423
2023-05-05;05/05/2023;9475;9490;9475;9490;585
2023-05-08;08/05/2023;9490;9490;9400;9400;2873
2023-05-09;09/05/2023;9400;9500;9400;9500;2084
2023-05-10;10/05/2023;9495;9500;9495;9500;22947
2023-05-11;11/05/2023;9490;9500;9490;9500;412
2023-05-12;12/05/2023;9495;9500;9495;9500;1187
2023-05-15;15/05/2023;9500;9500;9500;9500;1867
2023-05-16;16/05/2023;9500;9500;9500;9500;1577
2023-05-17;17/05/2023;9500;9500;9500;9500;1661
2023-05-18;18/05/2023;9500;9500;9500;9500;1661
2023-05-19;19/05/2023;9500;9500;9500;9500;5922
2023-05-22;22/05/2023;9500;9500;9500;9500;3081
2023-05-23;23/05/2023;9480;9500;9480;9500;5544
2023-05-24;24/05/2023;9360;9450;9360;9450;25134
2023-05-25;25/05/2023;9450;9590;9450;9590;2003
2023-05-26;26/05/2023;9590;9590;9500;9500;952
2023-05-29;29/05/2023;9590;9590;9500;9500;952
2023-05-30;30/05/2023;9500;9500;9500;9500;574
2023-05-31;31/05/2023;9500;9575;9500;9575;31509
2023-06-01;01/06/2023;9590;9590;9575;9575;1712
2023-06-02;02/06/2023;9590;9590;9550;9550;31757
2023-06-05;05/06/2023;9590;9600;9590;9600;4083
2023-06-06;06/06/2023;9600;9600;9600;9600;2954
2023-06-07;07/06/2023;9650;9650;9605;9605;1835
2023-06-08;08/06/2023;9655;9655;9550;9550;31907
2023-06-09;09/06/2023;9990;9990;9950;9950;560
2023-06-12;12/06/2023;9950;9950;9600;9600;3004
2023-06-13;13/06/2023;9480;9480;9210;9210;6273
2023-06-14;14/06/2023;9210;9450;9210;9450;4864
2023-06-15;15/06/2023;9300;9305;9300;9305;2248
2023-06-16;16/06/2023;9580;9580;9455;9455;312
2023-06-19;19/06/2023;9455;9455;9400;9400;3167
2023-06-20;20/06/2023;9400;9545;9400;9545;12744
2023-06-21;21/06/2023;9520;9520;9500;9500;14062
2023-06-22;22/06/2023;9500;9500;9500;9500;15025
2023-06-23;23/06/2023;9500;9500;9500;9500;9652
2023-06-26;26/06/2023;9505;9505;9500;9500;2147
2023-06-27;27/06/2023;9500;9500;9500;9500;14981
2023-06-28;28/06/2023;9500;9500;9500;9500;14981
2023-06-29;29/06/2023;9500;9505;9500;9505;5094
2023-06-30;30/06/2023;9500;9510;9500;9510;403
2023-07-03;03/07/2023;9510;9560;9510;9560;8897
2023-07-04;04/07/2023;9560;9610;9560;9610;2841
2023-07-05;05/07/2023;9605;9700;9605;9700;4912
2023-07-06;06/07/2023;9700;9800;9700;9800;2565
2023-07-07;07/07/2023;9900;9900;9890;9890;6535
2023-07-10;10/07/2023;9890;10000;9890;10000;14481
2023-07-11;11/07/2023;10000;10000;10000;10000;4545
2023-07-12;12/07/2023;10000;10005;10000;10005;828
2023-07-13;13/07/2023;10000;10000;10000;10000;41454
2023-07-14;14/07/2023;9995;9995;9995;9995;1164
2023-07-17;17/07/2023;9990;9990;9990;9990;6312
2023-07-18;18/07/2023;10000;10000;9950;9950;6167
2023-07-19;19/07/2023;9990;9995;9990;9995;1229
2023-07-20;20/07/2023;10000;10000;9995;9995;1899
2023-07-21;21/07/2023;9995;9995;9995;9995;3767
2023-07-24;24/07/2023;9995;9995;9990;9990;2322
2023-07-25;25/07/2023;9995;9995;9995;9995;1773
2023-07-26;26/07/2023;9995;10000;9995;10000;7122
2023-07-27;27/07/2023;10000;10000;10000;10000;1754
2023-07-28;28/07/2023;10000;10000;10000;10000;229
2023-07-31;31/07/2023;10000;10000;9990;9990;746
2023-08-01;01/08/2023;9990;9990;9800;9800;2349
2023-08-02;02/08/2023;9990;9990;9905;9905;433
2023-08-03;03/08/2023;9900;9900;9805;9805;4371
2023-08-04;04/08/2023;9815;9850;9815;9850;429
2023-08-07;07/08/2023;9815;9850;9815;9850;429
2023-08-08;08/08/2023;9950;9950;9800;9800;6018
2023-08-09;09/08/2023;9800;9805;9800;9805;1269
2023-08-10;10/08/2023;9900;9900;9900;9900;233
2023-08-11;11/08/2023;9900;9900;9810;9810;2412
2023-08-14;14/08/2023;9805;9900;9805;9900;3453
2023-08-15;15/08/2023;9805;9900;9805;9900;3453
2023-08-16;16/08/2023;9900;9950;9900;9950;616
2023-08-17;17/08/2023;10005;10210;10005;10210;5732
2023-08-18;18/08/2023;10300;10495;10300;10495;4720
2023-08-21;21/08/2023;10410;10695;10410;10695;10383
2023-08-22;22/08/2023;10695;10695;10680;10680;847
2023-08-23;23/08/2023;10450;10450;10450;10450;415
2023-08-24;24/08/2023;10450;10450;10450;10450;14151
2023-08-25;25/08/2023;10450;10495;10450;10495;4251
2023-08-28;28/08/2023;10490;10490;10450;10450;1678
2023-08-29;29/08/2023;10450;10455;10450;10455;489
2023-08-30;30/08/2023;10455;10500;10455;10500;474
2023-08-31;31/08/2023;10500;10750;10500;10750;4179
2023-09-01;01/09/2023;10750;10950;10750;10950;850
2023-09-04;04/09/2023;10800;10800;10800;10800;5146
2023-09-05;05/09/2023;10795;10795;10795;10795;2390
2023-09-06;06/09/2023;10700;10750;10700;10750;364
2023-09-07;07/09/2023;10730;10850;10730;10850;2466
2023-09-08;08/09/2023;10700;10795;10700;10795;703
2023-09-11;11/09/2023;10800;10805;10800;10805;1021
2023-09-12;12/09/2023;10950;10950;10805;10805;7510
2023-09-13;13/09/2023;10950;10995;10950;10995;2326
2023-09-14;14/09/2023;10900;11100;10900;11100;985
2023-09-15;15/09/2023;11100;11100;10900;10900;949
2023-09-18;18/09/2023;10900;10900;10850;10850;594
2023-09-19;19/09/2023;10815;10815;10700;10700;10391
2023-09-20;20/09/2023;10800;10800;10500;10500;8931
2023-09-21;21/09/2023;10700;10700;10500;10500;1099
2023-09-22;22/09/2023;10700;10700;10600;10600;6519
2023-09-25;25/09/2023;10700;10700;10680;10680;1547
2023-09-26;26/09/2023;10700;10700;10500;10500;265
2023-09-27;27/09/2023;10700;10700;10500;10500;265
2023-09-28;28/09/2023;10500;10505;10500;10505;25849
2023-09-29;29/09/2023;10505;10600;10505;10600;170
2023-10-02;02/10/2023;10505;10505;10505;10505;109
2023-10-03;03/10/2023;10500;10500;10500;10500;3222
2023-10-04;04/10/2023;10450;10500;10450;10500;3415
2023-10-05;05/10/2023;10680;10800;10680;10800;15531
2023-10-06;06/10/2023;10500;10800;10500;10800;10939
2023-10-09;09/10/2023;10800;10800;10510;10510;199
2023-10-10;10/10/2023;10600;10600;10505;10505;2216
2023-10-11;11/10/2023;10505;10550;10505;10550;5222
2023-10-12;12/10/2023;10550;10600;10550;10600;797
2023-10-13;13/10/2023;10700;10800;10700;10800;1598
2023-10-16;16/10/2023;10900;10900;10800;10800;260
2023-10-17;17/10/2023;10900;10900;10800;10800;534
2023-10-18;18/10/2023;10700;10700;10605;10605;1177
2023-10-19;19/10/2023;10610;10800;10610;10800;1403
2023-10-20;20/10/2023;10610;10785;10610;10785;418
2023-10-23;23/10/2023;10610;10610;10610;10610;311
2023-10-24;24/10/2023;10605;10690;10605;10690;1607
2023-10-25;25/10/2023;10650;10650;10610;10610;243
2023-10-26;26/10/2023;10685;10685;10685;10685;159
2023-10-27;27/10/2023;10690;10700;10690;10700;6277
2023-10-30;30/10/2023;10700;10750;10700;10750;427
2023-10-31;31/10/2023;10620;10620;10350;10350;24129
2023-11-01;01/11/2023;10620;10620;10350;10350;24129
2023-11-02;02/11/2023;10300;10300;10020;10020;31994
2023-11-03;03/11/2023;10100;10740;10100;10740;3920
2023-11-06;06/11/2023;10500;10500;10400;10400;864
2023-11-07;07/11/2023;10400;10450;10400;10450;260
2023-11-08;08/11/2023;10450;10500;10450;10500;2190
2023-11-09;09/11/2023;10500;10500;10490;10490;220
2023-11-10;10/11/2023;10490;10490;10490;10490;399
2023-11-13;13/11/2023;10500;10500;10490;10490;525
2023-11-14;14/11/2023;10450;10490;10450;10490;1062
2023-11-15;15/11/2023;10450;10490;10450;10490;1062
2023-11-16;16/11/2023;10400;10500;10400;10500;25115
2023-11-17;17/11/2023;10600;10600;10495;10495;625
2023-11-20;20/11/2023;10495;10495;10400;10400;588
2023-11-21;21/11/2023;10490;10490;10450;10450;25947
2023-11-22;22/11/2023;10450;10490;10450;10490;947
2023-11-23;23/11/2023;10490;10550;10490;10550;753
2023-11-24;24/11/2023;10550;10700;10550;10700;1700
2023-11-27;27/11/2023;10500;10700;10500;10700;822
2023-11-28;28/11/2023;10605;10900;10605;10900;2908
2023-11-29;29/11/2023;10800;11500;10800;11500;27409
2023-11-30;30/11/2023;11450;11450;11450;11450;489
2023-12-01;01/12/2023;10665;10800;10665;10800;9206
2023-12-04;04/12/2023;10800;10800;10700;10700;7744
2023-12-05;05/12/2023;10750;10750;10700;10700;4827
2023-12-06;06/12/2023;10700;10700;10500;10500;647
2023-12-07;07/12/2023;10500;10695;10500;10695;730
2023-12-08;08/12/2023;10695;10700;10695;10700;920
2023-12-11;11/12/2023;10500;10500;10500;10500;291
2023-12-12;12/12/2023;10490;10490;10490;10490;1517
2023-12-13;13/12/2023;10850;10850;10850;10850;5306
2023-12-14;14/12/2023;10900;10900;10600;10600;403
2023-12-15;15/12/2023;10600;10600;10600;10600;1217
2023-12-18;18/12/2023;10595;10595;10595;10595;2571
2023-12-19;19/12/2023;10595;10595;10450;10450;918
2023-12-20;20/12/2023;10995;10995;10880;10880;7514
2023-12-21;21/12/2023;10750;10850;10750;10850;175
2023-12-22;22/12/2023;10600;10700;10600;10700;243
2023-12-25;25/12/2023;10600;10700;10600;10700;243
2023-12-26;26/12/2023;10625;10625;10500;10500;1587
2023-12-27;27/12/2023;10690;10690;10600;10600;7856
2023-12-28;28/12/2023;10600;11145;10600;11145;12275
2023-12-29;29/12/2023;10600;10900;10600;10900;642
2024-01-01;01/01/2024;10600;10900;10600;10900;642
2024-01-02;02/01/2024;11000;11000;10600;10600;4803
2024-01-03;03/01/2024;10600;10900;10600;10900;5929
2024-01-04;04/01/2024;10900;10900;10900;10900;375
2024-01-05;05/01/2024;10700;10900;10700;10900;296
2024-01-08;08/01/2024;10900;10900;10850;10850;121
2024-01-09;09/01/2024;10605;10845;10605;10845;787
2024-01-10;10/01/2024;10850;10850;10825;10825;167
2024-01-11;11/01/2024;10610;10795;10610;10795;94
2024-01-12;12/01/2024;10800;10800;10800;10800;411
2024-01-15;15/01/2024;10750;10800;10750;10800;326
2024-01-16;16/01/2024;10750;10750;10655;10655;225
2024-01-17;17/01/2024;10655;10750;10655;10750;5162
2024-01-18;18/01/2024;10655;10655;10655;10655;603
2024-01-19;19/01/2024;10700;10700;10700;10700;182
2024-01-22;22/01/2024;10655;10655;10655;10655;430
2024-01-23;23/01/2024;10655;10700;10655;10700;112
2024-01-24;24/01/2024;10700;10700;10655;10655;1037
2024-01-25;25/01/2024;10665;10665;10660;10660;2155
2024-01-26;26/01/2024;10660;10660;10660;10660;734
2024-01-29;29/01/2024;10660;10700;10660;10700;291
2024-01-30;30/01/2024;10655;10655;10655;10655;309
2024-01-31;31/01/2024;10655;10655;10655;10655;126
2024-02-01;01/02/2024;10655;10700;10655;10700;948
2024-02-02;02/02/2024;10700;10800;10700;10800;377
2024-02-05;05/02/2024;10840;10840;10800;10800;393
2024-02-06;06/02/2024;10800;10800;10700;10700;1698
2024-02-07;07/02/2024;10700;10700;10660;10660;656
2024-02-08;08/02/2024;10695;10695;10695;10695;1
2024-02-09;09/02/2024;10655;10655;10655;10655;666
2024-02-12;12/02/2024;10655;10655;10655;10655;666
2024-02-13;13/02/2024;10655;10660;10655;10660;534
2024-02-14;14/02/2024;10660;10660;10660;10660;401
2024-02-15;15/02/2024;10660;10660;10660;10660;1732
2024-02-16;16/02/2024;10660;10700;10660;10700;34
2024-02-19;19/02/2024;10660;10700;10660;10700;579
2024-02-20;20/02/2024;10700;10745;10700;10745;140
2024-02-21;21/02/2024;10700;10700;10660;10660;421
2024-02-22;22/02/2024;10660;10660;10660;10660;3012
2024-02-23;23/02/2024;10730;10730;10730;10730;214
2024-02-26;26/02/2024;10730;10730;10730;10730;1320
2024-02-27;27/02/2024;10700;10730;10700;10730;940
2024-02-28;28/02/2024;10785;10785;10730;10730;109
2024-02-29;29/02/2024;10705;10950;10705;10950;802
2024-03-01;01/03/2024;11000;11000;10995;10995;1658
2024-03-04;04/03/2024;10950;10985;10950;10985;1026
2024-03-05;05/03/2024;10975;10975;10950;10950;713
2024-03-06;06/03/2024;10855;10855;10705;10705;3796
2024-03-07;07/03/2024;10900;10900;10890;10890;705
2024-03-08;08/03/2024;10885;10890;10885;10890;631
2024-03-11;11/03/2024;10890;10890;10750;10750;7097
2024-03-12;12/03/2024;10890;10890;10850;10850;463
2024-03-13;13/03/2024;10750;10800;10750;10800;483
2024-03-14;14/03/2024;10750;10750;10750;10750;231
2024-03-15;15/03/2024;10760;10760;10750;10750;452
2024-03-18;18/03/2024;10750;10890;10750;10890;11280
2024-03-19;19/03/2024;10800;10800;10750;10750;123
2024-03-20;20/03/2024;10800;10800;10750;10750;1563
2024-03-21;21/03/2024;10750;10790;10750;10790;488
2024-03-22;22/03/2024;10750;10800;10750;10800;751
2024-03-25;25/03/2024;10880;10880;10850;10850;2380
2024-03-26;26/03/2024;10750;10850;10750;10850;615
2024-03-27;27/03/2024;10850;10850;10795;10795;2387
2024-03-28;28/03/2024;10845;10845;10845;10845;545
2024-03-29;29/03/2024;10790;10845;10790;10845;59
2024-04-01;01/04/2024;10790;10845;10790;10845;59
2024-04-02;02/04/2024;10845;10845;10845;10845;1006
2024-04-03;03/04/2024;10900;10900;10900;10900;820
2024-04-04;04/04/2024;10795;10900;10795;10900;781
2024-04-05;05/04/2024;10895;10895;10800;10800;541
2024-04-08;08/04/2024;10800;10845;10800;10845;699
2024-04-09;09/04/2024;10845;10845;10845;10845;4564
2024-04-10;10/04/2024;10845;10845;10845;10845;4564
2024-04-11;11/04/2024;10800;10845;10800;10845;6936
2024-04-12;12/04/2024;10800;10845;10800;10845;979
2024-04-15;15/04/2024;10850;11000;10850;11000;40
2024-04-16;16/04/2024;11000;11000;10850;10850;1485
2024-04-17;17/04/2024;10850;11000;10850;11000;52
2024-04-18;18/04/2024;11000;11000;10845;10845;1465
2024-04-19;19/04/2024;11000;11000;10850;10850;3
2024-04-22;22/04/2024;10850;10855;10850;10855;115
2024-04-23;23/04/2024;10995;10995;10855;10855;100
2024-04-24;24/04/2024;10855;10855;10855;10855;10721
2024-04-25;25/04/2024;10790;10845;10790;10845;373
2024-04-26;26/04/2024;10845;10990;10845;10990;2721
2024-04-29;29/04/2024;10900;11000;10900;11000;2260
2024-04-30;30/04/2024;10990;10990;10955;10955;1531
2024-05-01;01/05/2024;10990;10990;10955;10955;1531
2024-05-02;02/05/2024;10990;11000;10990;11000;1482
2024-05-03;03/05/2024;11000;11075;11000;11075;2150
2024-05-06;06/05/2024;10950;11050;10950;11050;514
2024-05-07;07/05/2024;11050;11050;11000;11000;2440
2024-05-08;08/05/2024;11000;11000;11000;11000;8424
2024-05-09;09/05/2024;11000;11000;11000;11000;8424
2024-05-10;10/05/2024;10850;11000;10850;11000;631
2024-05-13;13/05/2024;10950;11075;10950;11075;428
2024-05-14;14/05/2024;11075;11500;11075;11500;353
2024-05-15;15/05/2024;11500;11500;11150;11150;6873
