date_iso;date_fr;open;high;low;close;volume
2014-07-11;11/07/2014;18000;18000;18000;18000;1405
2014-07-14;14/07/2014;17505;17505;17505;17505;475
2014-07-15;15/07/2014;18800;18800;18800;18800;67
2014-07-16;16/07/2014;18800;18800;18800;18800;203
2014-07-17;17/07/2014;18500;18500;18500;18500;5510
2014-07-18;18/07/2014;18400;18400;18400;18400;50
2014-07-21;21/07/2014;18800;18800;18800;18800;23193
2014-07-22;22/07/2014;18700;18700;18700;18700;9694
2014-07-23;23/07/2014;18500;18500;18500;18500;82
2014-07-25;25/07/2014;18500;18500;18500;18500;56
2014-07-29;29/07/2014;18505;18505;18505;18505;336
2014-07-30;30/07/2014;18700;18700;18700;18700;1852
2014-07-31;31/07/2014;18800;18800;18800;18800;114
2014-08-01;01/08/2014;18700;18700;18700;18700;2504
2014-08-04;04/08/2014;18695;18695;18695;18695;144
2014-08-05;05/08/2014;18600;18600;18600;18600;56
2014-08-06;06/08/2014;18695;18695;18695;18695;211
2014-08-07;07/08/2014;18695;18695;18695;18695;211
2014-08-08;08/08/2014;19000;19000;19000;19000;18100
2014-08-11;11/08/2014;18600;18600;18600;18600;347
2014-08-12;12/08/2014;18605;18605;18605;18605;1100
2014-08-13;13/08/2014;19000;19000;19000;19000;156
2014-08-14;14/08/2014;18800;18800;18800;18800;323
2014-08-18;18/08/2014;18800;18800;18800;18800;875
2014-08-19;19/08/2014;18800;18800;18800;18800;155
2014-08-20;20/08/2014;18800;18800;18800;18800;163
2014-08-21;21/08/2014;18800;18800;18800;18800;387
2014-08-22;22/08/2014;18600;18600;18600;18600;478
2014-08-25;25/08/2014;18900;18900;18900;18900;28
2014-08-26;26/08/2014;18650;18650;18650;18650;2942
2014-08-27;27/08/2014;18500;18500;18500;18500;699
2014-08-28;28/08/2014;18005;18005;18005;18005;2032
2014-08-29;29/08/2014;18000;18000;18000;18000;255
2014-09-01;01/09/2014;18000;18000;18000;18000;519
2014-09-02;02/09/2014;18000;18000;18000;18000;44
2014-09-03;03/09/2014;17995;17995;17995;17995;70
2014-09-04;04/09/2014;18000;18000;18000;18000;365
2014-09-05;05/09/2014;17650;17650;17650;17650;109
2014-09-08;08/09/2014;17655;17655;17655;17655;63
2014-09-09;09/09/2014;17500;17500;17500;17500;1216
2014-09-10;10/09/2014;17600;17600;17600;17600;33
2014-09-11;11/09/2014;17300;17300;17300;17300;1689
2014-09-12;12/09/2014;17300;17300;17300;17300;41
2014-09-15;15/09/2014;17210;17210;17210;17210;171
2014-09-16;16/09/2014;17495;17495;17495;17495;91
2014-09-17;17/09/2014;17500;17500;17500;17500;3131
2014-09-18;18/09/2014;17165;17165;17165;17165;90
2014-09-19;19/09/2014;17500;17500;17500;17500;17
2014-09-22;22/09/2014;17500;17500;17500;17500;10243
2014-09-23;23/09/2014;17500;17500;17500;17500;4148
2014-09-24;24/09/2014;17300;17300;17300;17300;809
2014-09-25;25/09/2014;17200;17200;17200;17200;87
2014-09-26;26/09/2014;17150;17150;17150;17150;1001
2014-09-29;29/09/2014;17300;17300;17300;17300;108
2014-09-30;30/09/2014;17500;17500;17500;17500;4048
2014-10-01;01/10/2014;17305;17305;17305;17305;442
2014-10-02;02/10/2014;17500;17500;17500;17500;1068
2014-10-03;03/10/2014;17500;17500;17500;17500;14
2014-10-06;06/10/2014;17400;17400;17400;17400;115
