date_iso;date_fr;open;high;low;close;volume
2006-07-11;11/07/2006;670;670;670;670;35
2006-07-20;20/07/2006;670;670;670;670;1
2006-07-21;21/07/2006;670;670;670;670;7
2006-07-27;27/07/2006;700;700;700;700;14
2006-07-28;28/07/2006;700;700;700;700;1
2006-08-01;01/08/2006;700;700;700;700;1
2006-08-04;04/08/2006;700;700;700;700;35
2006-08-16;16/08/2006;670;670;670;670;33
2006-08-21;21/08/2006;670;670;670;670;22
2006-08-24;24/08/2006;670;670;670;670;1
2006-08-31;31/08/2006;670;670;670;670;1
2006-09-06;06/09/2006;681;681;681;681;10
2006-09-11;11/09/2006;670;670;670;670;117
2006-09-19;19/09/2006;670;670;670;670;66
2006-09-20;20/09/2006;670;670;670;670;10
2006-09-28;28/09/2006;660;660;660;660;15
2006-10-02;02/10/2006;620;620;620;620;60
2006-10-06;06/10/2006;620;620;620;620;84
2006-10-10;10/10/2006;620;620;620;620;54
2006-10-11;11/10/2006;620;620;620;620;8
2006-10-17;17/10/2006;620;620;620;620;4
2006-10-26;26/10/2006;620;620;620;620;28
2006-11-02;02/11/2006;620;620;620;620;7
2006-11-06;06/11/2006;620;620;620;620;13
2006-11-13;13/11/2006;620;620;620;620;23
2006-11-17;17/11/2006;620;620;620;620;35
2006-11-22;22/11/2006;620;620;620;620;3
2006-11-23;23/11/2006;620;620;620;620;3
2006-11-24;24/11/2006;620;620;620;620;50
2006-12-01;01/12/2006;650;650;650;650;18
2006-12-04;04/12/2006;650;650;650;650;200
2006-12-05;05/12/2006;660;660;660;660;8
2006-12-06;06/12/2006;670;670;670;670;510
2006-12-07;07/12/2006;670;670;670;670;490
2006-12-14;14/12/2006;670;670;670;670;60
2006-12-26;26/12/2006;620;620;620;620;20
2007-01-02;02/01/2007;620;620;620;620;7
2007-01-03;03/01/2007;620;620;620;620;44
2007-01-05;05/01/2007;620;620;620;620;9
2007-01-17;17/01/2007;620;620;620;620;60
2007-01-23;23/01/2007;620;620;620;620;85
2007-01-26;26/01/2007;620;620;620;620;2
2007-01-31;31/01/2007;621;621;621;621;50
2007-02-08;08/02/2007;670;670;670;670;103
2007-02-09;09/02/2007;670;670;670;670;28
2007-02-27;27/02/2007;670;670;670;670;258
2007-03-13;13/03/2007;670;670;670;670;14
2007-03-14;14/03/2007;670;670;670;670;6
2007-03-23;23/03/2007;620;620;620;620;32
2007-03-26;26/03/2007;620;620;620;620;80
2007-04-25;25/04/2007;651;651;651;651;16
2007-05-04;04/05/2007;651;651;651;651;1
2007-05-18;18/05/2007;652;652;652;652;95
2007-05-24;24/05/2007;650;650;650;650;12
2007-06-04;04/06/2007;656;656;656;656;31
2007-06-15;15/06/2007;740;740;740;740;13
2007-06-18;18/06/2007;740;740;740;740;2
2007-06-19;19/06/2007;750;750;750;750;21
2007-06-21;21/06/2007;800;800;800;800;20
2007-06-27;27/06/2007;800;800;800;800;20
2007-07-02;02/07/2007;800;800;800;800;5
2007-07-13;13/07/2007;801;801;801;801;105
2007-08-02;02/08/2007;865;865;865;865;271
2007-08-08;08/08/2007;870;870;870;870;46
2007-08-10;10/08/2007;900;900;900;900;225
2007-08-14;14/08/2007;935;935;935;935;10
2007-08-20;20/08/2007;1000;1000;1000;1000;40
2007-08-21;21/08/2007;1000;1000;1000;1000;2
2007-08-22;22/08/2007;1000;1000;1000;1000;7
2007-08-31;31/08/2007;936;936;936;936;100
2007-09-03;03/09/2007;936;936;936;936;3
2007-09-04;04/09/2007;1000;1000;1000;1000;30
2007-09-07;07/09/2007;1050;1050;1050;1050;22
2007-09-10;10/09/2007;1050;1050;1050;1050;101
2007-09-11;11/09/2007;1070;1070;1070;1070;415
2007-09-12;12/09/2007;1070;1070;1070;1070;252
2007-09-13;13/09/2007;1070;1070;1070;1070;20
2007-09-14;14/09/2007;1070;1070;1070;1070;57
2007-09-17;17/09/2007;1100;1100;1100;1100;25
2007-09-18;18/09/2007;1070;1070;1070;1070;55
2007-09-19;19/09/2007;1070;1070;1070;1070;84
2007-09-20;20/09/2007;1070;1070;1070;1070;39
2007-09-21;21/09/2007;1070;1070;1070;1070;69
2007-09-24;24/09/2007;1060;1060;1060;1060;133
2007-09-25;25/09/2007;1060;1060;1060;1060;5
2007-09-27;27/09/2007;1060;1060;1060;1060;6
2007-10-04;04/10/2007;1040;1040;1040;1040;22
2007-10-16;16/10/2007;1020;1020;1020;1020;22
2007-10-19;19/10/2007;1020;1020;1020;1020;1
2007-10-22;22/10/2007;990;990;990;990;20
2007-10-23;23/10/2007;950;950;950;950;81
2007-10-24;24/10/2007;920;920;920;920;23
2007-10-25;25/10/2007;920;920;920;920;86
2007-10-26;26/10/2007;921;921;921;921;100
2007-10-29;29/10/2007;920;920;920;920;22
2007-10-30;30/10/2007;900;900;900;900;972
2007-10-31;31/10/2007;900;900;900;900;58
2007-11-08;08/11/2007;900;900;900;900;61
2007-11-09;09/11/2007;900;900;900;900;39
2007-11-13;13/11/2007;900;900;900;900;27
2007-11-14;14/11/2007;900;900;900;900;63
2007-11-16;16/11/2007;900;900;900;900;112
2007-11-19;19/11/2007;900;900;900;900;20
2007-11-20;20/11/2007;900;900;900;900;483
2007-11-22;22/11/2007;900;900;900;900;4
2007-11-30;30/11/2007;1001;1001;1001;1001;22
2007-12-14;14/12/2007;1001;1001;1001;1001;75
2007-12-17;17/12/2007;1002;1002;1002;1002;14
2007-12-20;20/12/2007;1001;1001;1001;1001;80
2007-12-24;24/12/2007;1001;1001;1001;1001;4
2007-12-26;26/12/2007;995;995;995;995;37
2007-12-27;27/12/2007;995;995;995;995;59
2007-12-28;28/12/2007;995;995;995;995;56
2008-01-02;02/01/2008;951;951;951;951;12
2008-01-03;03/01/2008;991;991;991;991;11
2008-01-04;04/01/2008;991;991;991;991;90
2008-01-07;07/01/2008;991;991;991;991;15
2008-01-08;08/01/2008;991;991;991;991;10
2008-01-14;14/01/2008;991;991;991;991;3
2008-01-15;15/01/2008;990;990;990;990;30
2008-01-17;17/01/2008;990;990;990;990;39
2008-01-18;18/01/2008;925;925;925;925;69
2008-01-21;21/01/2008;925;925;925;925;578
2008-01-30;30/01/2008;994;994;994;994;15
2008-02-01;01/02/2008;994;994;994;994;3
2008-02-06;06/02/2008;994;994;994;994;1
2008-02-08;08/02/2008;994;994;994;994;10
2008-02-11;11/02/2008;994;994;994;994;5
2008-02-12;12/02/2008;994;994;994;994;16
2008-02-14;14/02/2008;1000;1000;1000;1000;571
2008-02-15;15/02/2008;994;994;994;994;29
2008-02-18;18/02/2008;994;994;994;994;20
2008-03-05;05/03/2008;1000;1000;1000;1000;24
2008-03-11;11/03/2008;1025;1025;1025;1025;24
2008-03-12;12/03/2008;1025;1025;1025;1025;45
2008-03-13;13/03/2008;1025;1025;1025;1025;3
2008-03-14;14/03/2008;1026;1026;1026;1026;96
2008-03-25;25/03/2008;1026;1026;1026;1026;1
2008-04-02;02/04/2008;1100;1100;1100;1100;146
2008-04-03;03/04/2008;1100;1100;1100;1100;39
2008-04-04;04/04/2008;1100;1100;1100;1100;18
2008-04-08;08/04/2008;1110;1110;1110;1110;58
2008-04-09;09/04/2008;1110;1110;1110;1110;36
2008-04-16;16/04/2008;1121;1121;1121;1121;21
2008-04-17;17/04/2008;1200;1200;1200;1200;31
2008-04-23;23/04/2008;1200;1200;1200;1200;20
2008-04-29;29/04/2008;1200;1200;1200;1200;1
2008-04-30;30/04/2008;1200;1200;1200;1200;9
2008-05-07;07/05/2008;1200;1200;1200;1200;188
2008-05-08;08/05/2008;1200;1200;1200;1200;25
2008-05-09;09/05/2008;1200;1200;1200;1200;93
2008-05-13;13/05/2008;1200;1200;1200;1200;70
2008-05-14;14/05/2008;1200;1200;1200;1200;59
2008-05-15;15/05/2008;1200;1200;1200;1200;15
2008-05-16;16/05/2008;1200;1200;1200;1200;27
2008-05-19;19/05/2008;1200;1200;1200;1200;36
2008-05-21;21/05/2008;1200;1200;1200;1200;11
2008-05-22;22/05/2008;1200;1200;1200;1200;1
2008-06-02;02/06/2008;1200;1200;1200;1200;10
2008-06-06;06/06/2008;1200;1200;1200;1200;576
2008-06-09;09/06/2008;1200;1200;1200;1200;73
2008-06-11;11/06/2008;1200;1200;1200;1200;26
2008-06-12;12/06/2008;1200;1200;1200;1200;4
2008-06-17;17/06/2008;1200;1200;1200;1200;6
2008-06-18;18/06/2008;1200;1200;1200;1200;90
2008-06-23;23/06/2008;1200;1200;1200;1200;235
2008-06-25;25/06/2008;1200;1200;1200;1200;2
2008-06-26;26/06/2008;1200;1200;1200;1200;752
2008-07-01;01/07/2008;1200;1200;1200;1200;50
2008-07-02;02/07/2008;1200;1200;1200;1200;24
2008-07-04;04/07/2008;1201;1201;1201;1201;14
2008-07-11;11/07/2008;1200;1200;1200;1200;27
2008-07-15;15/07/2008;1200;1200;1200;1200;34
2008-07-17;17/07/2008;1200;1200;1200;1200;122
2008-07-18;18/07/2008;1200;1200;1200;1200;67
2008-07-25;25/07/2008;1200;1200;1200;1200;99
2008-07-28;28/07/2008;1200;1200;1200;1200;22
2008-07-29;29/07/2008;1200;1200;1200;1200;24
2008-08-05;05/08/2008;1200;1200;1200;1200;13
2008-08-25;25/08/2008;1200;1200;1200;1200;5
2008-08-27;27/08/2008;1200;1200;1200;1200;1
2008-08-29;29/08/2008;1200;1200;1200;1200;30
2008-09-03;03/09/2008;1200;1200;1200;1200;8
2008-09-04;04/09/2008;1200;1200;1200;1200;22
2008-09-08;08/09/2008;1200;1200;1200;1200;89
2008-09-09;09/09/2008;1290;1290;1290;1290;68
2008-09-11;11/09/2008;1387;1387;1387;1387;76
2008-09-12;12/09/2008;1490;1490;1490;1490;15
2008-09-18;18/09/2008;1600;1600;1600;1600;341
2008-09-19;19/09/2008;1600;1600;1600;1600;4
2008-09-22;22/09/2008;1590;1590;1590;1590;29
2008-09-23;23/09/2008;1600;1600;1600;1600;69
2008-09-25;25/09/2008;1600;1600;1600;1600;4
2008-09-26;26/09/2008;1600;1600;1600;1600;137
2008-09-29;29/09/2008;1600;1600;1600;1600;11
2008-10-01;01/10/2008;1600;1600;1600;1600;36
2008-10-02;02/10/2008;1600;1600;1600;1600;2
2008-10-03;03/10/2008;1600;1600;1600;1600;7
2008-10-06;06/10/2008;1650;1650;1650;1650;13
2008-10-08;08/10/2008;1600;1600;1600;1600;41
2008-10-10;10/10/2008;1600;1600;1600;1600;73
2008-10-14;14/10/2008;1600;1600;1600;1600;10
2008-10-15;15/10/2008;1600;1600;1600;1600;34
2008-10-16;16/10/2008;1600;1600;1600;1600;30
2008-10-17;17/10/2008;1600;1600;1600;1600;2
2008-10-23;23/10/2008;1600;1600;1600;1600;9
2008-10-30;30/10/2008;1530;1530;1530;1530;18
2008-10-31;31/10/2008;1530;1530;1530;1530;135
2008-11-04;04/11/2008;1600;1600;1600;1600;22
2008-11-07;07/11/2008;1600;1600;1600;1600;1
2008-11-11;11/11/2008;1600;1600;1600;1600;17
2008-11-19;19/11/2008;1500;1500;1500;1500;134
2008-11-21;21/11/2008;1400;1400;1400;1400;77
2008-12-05;05/12/2008;1400;1400;1400;1400;1
2008-12-29;29/12/2008;1295;1295;1295;1295;41
2008-12-30;30/12/2008;1392;1392;1392;1392;929
2008-12-31;31/12/2008;1496;1496;1496;1496;32
2009-01-09;09/01/2009;1496;1496;1496;1496;1
2009-01-16;16/01/2009;1496;1496;1496;1496;7
2009-01-20;20/01/2009;1496;1496;1496;1496;2
2009-01-27;27/01/2009;1496;1496;1496;1496;5
2009-02-02;02/02/2009;1496;1496;1496;1496;2
2009-02-04;04/02/2009;1496;1496;1496;1496;10
2009-02-24;24/02/2009;1400;1400;1400;1400;1000
2009-02-26;26/02/2009;1400;1400;1400;1400;531
2009-03-06;06/03/2009;1400;1400;1400;1400;40
2009-03-12;12/03/2009;1400;1400;1400;1400;9
2009-03-20;20/03/2009;1300;1300;1300;1300;36
2009-03-23;23/03/2009;1300;1300;1300;1300;27
2009-03-30;30/03/2009;1203;1203;1203;1203;63
2009-03-31;31/03/2009;1203;1203;1203;1203;51
2009-04-01;01/04/2009;1203;1203;1203;1203;8
2009-04-02;02/04/2009;1203;1203;1203;1203;49
2009-04-03;03/04/2009;1203;1203;1203;1203;8
2009-04-15;15/04/2009;1203;1203;1203;1203;36
2009-04-16;16/04/2009;1113;1113;1113;1113;117
2009-04-17;17/04/2009;1113;1113;1113;1113;95
2009-04-20;20/04/2009;1100;1100;1100;1100;20
2009-04-21;21/04/2009;1100;1100;1100;1100;8
2009-04-28;28/04/2009;1100;1100;1100;1100;17
2009-04-29;29/04/2009;1100;1100;1100;1100;40
2009-05-18;18/05/2009;1100;1100;1100;1100;20
2009-05-20;20/05/2009;1100;1100;1100;1100;7
2009-05-25;25/05/2009;1100;1100;1100;1100;30
2009-05-26;26/05/2009;1100;1100;1100;1100;5
2009-05-27;27/05/2009;1100;1100;1100;1100;9
2009-05-28;28/05/2009;1100;1100;1100;1100;1
2009-06-05;05/06/2009;1100;1100;1100;1100;40
2009-06-11;11/06/2009;1100;1100;1100;1100;5
2009-06-15;15/06/2009;1100;1100;1100;1100;9
2009-06-16;16/06/2009;1100;1100;1100;1100;100
2009-06-19;19/06/2009;1100;1100;1100;1100;114
2009-06-24;24/06/2009;1100;1100;1100;1100;1
2009-07-01;01/07/2009;1101;1101;1101;1101;20
2009-07-03;03/07/2009;1101;1101;1101;1101;33
2009-07-07;07/07/2009;1101;1101;1101;1101;13
2009-07-09;09/07/2009;1112;1112;1112;1112;25
2009-07-13;13/07/2009;1135;1135;1135;1135;21
