date_iso;date_fr;open;high;low;close;volume
2007-02-28;28/02/2007;582;582;582;582;457
2007-03-01;01/03/2007;582;582;582;582;83
2007-03-12;12/03/2007;582;582;582;582;4
2007-03-23;23/03/2007;583;583;583;583;79
2007-03-30;30/03/2007;583;583;583;583;36
2007-04-06;06/04/2007;600;600;600;600;17
2007-04-18;18/04/2007;600;600;600;600;18
2007-04-20;20/04/2007;600;600;600;600;16
2007-04-24;24/04/2007;600;600;600;600;20
2007-04-25;25/04/2007;621;621;621;621;16
2007-04-26;26/04/2007;631;631;631;631;10
2007-05-02;02/05/2007;640;640;640;640;41
2007-05-03;03/05/2007;640;640;640;640;32
2007-05-04;04/05/2007;680;680;680;680;10
2007-05-08;08/05/2007;700;700;700;700;15
2007-05-09;09/05/2007;700;700;700;700;4
2007-05-14;14/05/2007;700;700;700;700;5
2007-05-16;16/05/2007;700;700;700;700;12
2007-05-18;18/05/2007;700;700;700;700;28
2007-05-22;22/05/2007;700;700;700;700;11
2007-05-29;29/05/2007;720;720;720;720;9
2007-05-30;30/05/2007;753;753;753;753;16
2007-06-07;07/06/2007;762;762;762;762;8
2007-06-12;12/06/2007;764;764;764;764;35
2007-06-14;14/06/2007;772;772;772;772;63
2007-06-18;18/06/2007;772;772;772;772;57
2007-06-19;19/06/2007;772;772;772;772;9
2007-06-20;20/06/2007;772;772;772;772;5
2007-06-26;26/06/2007;780;780;780;780;20
2007-06-28;28/06/2007;780;780;780;780;14
2007-06-29;29/06/2007;780;780;780;780;7
2007-07-02;02/07/2007;760;760;760;760;14
2007-07-05;05/07/2007;740;740;740;740;11
2007-07-06;06/07/2007;718;718;718;718;27
2007-07-10;10/07/2007;680;680;680;680;11
2007-07-11;11/07/2007;680;680;680;680;102
2007-07-12;12/07/2007;680;680;680;680;18
2007-07-13;13/07/2007;680;680;680;680;4
2007-07-16;16/07/2007;680;680;680;680;229
2007-07-18;18/07/2007;680;680;680;680;68
2007-07-23;23/07/2007;680;680;680;680;17
2007-08-09;09/08/2007;691;691;691;691;45
2007-08-10;10/08/2007;732;732;732;732;10
2007-08-13;13/08/2007;750;750;750;750;35
2007-08-16;16/08/2007;812;812;812;812;30
2007-08-20;20/08/2007;938;938;938;938;80
2007-08-21;21/08/2007;939;939;939;939;104
2007-08-22;22/08/2007;1009;1009;1009;1009;22
2007-08-23;23/08/2007;1010;1010;1010;1010;20
2007-08-24;24/08/2007;1010;1010;1010;1010;54
2007-08-28;28/08/2007;1086;1086;1086;1086;18
2007-08-29;29/08/2007;1086;1086;1086;1086;17
2007-09-04;04/09/2007;1086;1086;1086;1086;15
2007-09-07;07/09/2007;1000;1000;1000;1000;30
2007-09-10;10/09/2007;1000;1000;1000;1000;6
2007-09-11;11/09/2007;1000;1000;1000;1000;2
2007-09-18;18/09/2007;1000;1000;1000;1000;33
2007-09-19;19/09/2007;960;960;960;960;256
2007-09-20;20/09/2007;960;960;960;960;54
2007-09-24;24/09/2007;960;960;960;960;120
2007-09-28;28/09/2007;960;960;960;960;55
2007-10-01;01/10/2007;1000;1000;1000;1000;28
2007-10-02;02/10/2007;1000;1000;1000;1000;13
2007-10-05;05/10/2007;940;940;940;940;48
2007-10-08;08/10/2007;958;958;958;958;13
2007-10-11;11/10/2007;940;940;940;940;12
2007-10-15;15/10/2007;940;940;940;940;59
2007-10-16;16/10/2007;940;940;940;940;100
2007-10-17;17/10/2007;940;940;940;940;21
2007-10-19;19/10/2007;940;940;940;940;57
2007-10-22;22/10/2007;1000;1000;1000;1000;30
2007-10-23;23/10/2007;1000;1000;1000;1000;88
2007-10-26;26/10/2007;940;940;940;940;45
2007-10-29;29/10/2007;940;940;940;940;38
2007-10-30;30/10/2007;940;940;940;940;14
2007-10-31;31/10/2007;940;940;940;940;48
2007-11-02;02/11/2007;940;940;940;940;36
2007-11-05;05/11/2007;940;940;940;940;23
2007-11-06;06/11/2007;940;940;940;940;98
2007-11-07;07/11/2007;940;940;940;940;42
2007-11-08;08/11/2007;940;940;940;940;250
2007-11-09;09/11/2007;940;940;940;940;115
2007-11-12;12/11/2007;940;940;940;940;156
2007-11-13;13/11/2007;940;940;940;940;8
2007-11-16;16/11/2007;940;940;940;940;20
2007-11-19;19/11/2007;940;940;940;940;26
2007-11-21;21/11/2007;1000;1000;1000;1000;46
2007-11-22;22/11/2007;1000;1000;1000;1000;5
2007-11-27;27/11/2007;942;942;942;942;30
2007-11-28;28/11/2007;942;942;942;942;29
2007-11-29;29/11/2007;944;944;944;944;10
2007-12-04;04/12/2007;944;944;944;944;14
2007-12-06;06/12/2007;944;944;944;944;21
2007-12-10;10/12/2007;942;942;942;942;18
2007-12-11;11/12/2007;950;950;950;950;20
2007-12-12;12/12/2007;950;950;950;950;14
2007-12-14;14/12/2007;950;950;950;950;257
2007-12-21;21/12/2007;950;950;950;950;63
2007-12-24;24/12/2007;949;949;949;949;63
2007-12-26;26/12/2007;950;950;950;950;47
2007-12-27;27/12/2007;950;950;950;950;100
2007-12-28;28/12/2007;950;950;950;950;35
2007-12-31;31/12/2007;950;950;950;950;5
2008-01-02;02/01/2008;950;950;950;950;53
2008-01-03;03/01/2008;950;950;950;950;17
2008-01-04;04/01/2008;950;950;950;950;11
2008-01-07;07/01/2008;950;950;950;950;51
2008-01-08;08/01/2008;950;950;950;950;7
2008-01-10;10/01/2008;940;940;940;940;21
2008-01-11;11/01/2008;940;940;940;940;12
2008-01-14;14/01/2008;940;940;940;940;13
2008-01-15;15/01/2008;940;940;940;940;18
2008-01-21;21/01/2008;940;940;940;940;123
2008-01-24;24/01/2008;918;918;918;918;30
2008-01-28;28/01/2008;920;920;920;920;18
2008-01-29;29/01/2008;920;920;920;920;26
2008-01-30;30/01/2008;920;920;920;920;23
2008-02-01;01/02/2008;920;920;920;920;142
2008-02-05;05/02/2008;920;920;920;920;23
2008-02-07;07/02/2008;900;900;900;900;47
2008-02-08;08/02/2008;880;880;880;880;158
2008-02-11;11/02/2008;880;880;880;880;241
2008-02-12;12/02/2008;876;876;876;876;26
2008-02-13;13/02/2008;860;860;860;860;124
2008-02-14;14/02/2008;860;860;860;860;124
2008-02-15;15/02/2008;860;860;860;860;240
2008-02-18;18/02/2008;920;920;920;920;2192
2008-02-19;19/02/2008;920;920;920;920;7513
2008-02-20;20/02/2008;920;920;920;920;10
2008-02-22;22/02/2008;920;920;920;920;47
2008-02-25;25/02/2008;919;919;919;919;16
2008-02-26;26/02/2008;920;920;920;920;251
2008-02-27;27/02/2008;920;920;920;920;37
2008-02-28;28/02/2008;920;920;920;920;230
2008-03-03;03/03/2008;900;900;900;900;40
2008-03-04;04/03/2008;900;900;900;900;10
2008-03-05;05/03/2008;900;900;900;900;244
2008-03-06;06/03/2008;900;900;900;900;180
2008-03-07;07/03/2008;900;900;900;900;28
2008-03-10;10/03/2008;900;900;900;900;82
2008-03-11;11/03/2008;900;900;900;900;26
2008-03-13;13/03/2008;900;900;900;900;10
2008-03-14;14/03/2008;900;900;900;900;9
2008-03-17;17/03/2008;900;900;900;900;10
2008-03-25;25/03/2008;900;900;900;900;1
2008-03-28;28/03/2008;968;968;968;968;18
2008-04-01;01/04/2008;970;970;970;970;28
2008-04-07;07/04/2008;985;985;985;985;8
2008-04-09;09/04/2008;1042;1042;1042;1042;25
2008-04-11;11/04/2008;1042;1042;1042;1042;10
2008-04-23;23/04/2008;1042;1042;1042;1042;32
2008-04-28;28/04/2008;1051;1051;1051;1051;25
2008-04-29;29/04/2008;1051;1051;1051;1051;9
2008-05-05;05/05/2008;1051;1051;1051;1051;196
2008-05-06;06/05/2008;1051;1051;1051;1051;10
2008-05-07;07/05/2008;1051;1051;1051;1051;130
2008-05-15;15/05/2008;960;960;960;960;110
2008-05-16;16/05/2008;960;960;960;960;136
2008-05-20;20/05/2008;940;940;940;940;90
2008-05-22;22/05/2008;920;920;920;920;42
2008-05-23;23/05/2008;960;960;960;960;18
2008-05-26;26/05/2008;920;920;920;920;15
2008-05-27;27/05/2008;920;920;920;920;300
2008-05-28;28/05/2008;920;920;920;920;105
2008-05-29;29/05/2008;920;920;920;920;33
2008-05-30;30/05/2008;920;920;920;920;47
2008-06-03;03/06/2008;900;900;900;900;180
2008-06-04;04/06/2008;900;900;900;900;151
2008-06-06;06/06/2008;920;920;920;920;76
2008-06-12;12/06/2008;926;926;926;926;43
2008-06-13;13/06/2008;930;930;930;930;10
2008-06-17;17/06/2008;930;930;930;930;20
2008-06-19;19/06/2008;1000;1000;1000;1000;15
2008-06-23;23/06/2008;1075;1075;1075;1075;10
2008-06-24;24/06/2008;1156;1156;1156;1156;17
2008-06-25;25/06/2008;1200;1200;1200;1200;34
2008-06-26;26/06/2008;1290;1290;1290;1290;8
2008-06-27;27/06/2008;1298;1298;1298;1298;24
2008-06-30;30/06/2008;1395;1395;1395;1395;140
2008-07-01;01/07/2008;1300;1300;1300;1300;352
