date_iso;date_fr;open;high;low;close;volume
2006-08-10;10/08/2006;675.125;675.125;675.125;675.125;800
2006-08-17;17/08/2006;675.125;675.125;675.125;675.125;1440
2006-08-18;18/08/2006;675;675;675;675;920
2006-08-21;21/08/2006;675.125;675.125;675.125;675.125;320
2006-08-31;31/08/2006;687.5;687.5;687.5;687.5;4000
2006-09-05;05/09/2006;687.625;687.625;687.625;687.625;400
2006-09-06;06/09/2006;690;690;690;690;400
2006-09-07;07/09/2006;725;725;725;725;12680
2006-09-13;13/09/2006;737.5;737.5;737.5;737.5;1400
2006-09-15;15/09/2006;750;750;750;750;400
2006-09-18;18/09/2006;750;750;750;750;1960
2006-09-20;20/09/2006;750;750;750;750;800
2006-09-26;26/09/2006;750;750;750;750;800
2006-10-10;10/10/2006;750;750;750;750;200
2006-10-13;13/10/2006;800;800;800;800;1280
2006-11-02;02/11/2006;800;800;800;800;1440
2006-11-06;06/11/2006;800;800;800;800;2880
2006-11-08;08/11/2006;800;800;800;800;200
2006-11-09;09/11/2006;750;750;750;750;600
2006-11-10;10/11/2006;750;750;750;750;4080
2006-11-13;13/11/2006;750;750;750;750;240
2006-11-22;22/11/2006;750;750;750;750;160
2006-11-23;23/11/2006;750;750;750;750;4080
2006-11-24;24/11/2006;750;750;750;750;240
2006-11-27;27/11/2006;750;750;750;750;1840
2006-11-29;29/11/2006;750;750;750;750;160
2006-11-30;30/11/2006;750;750;750;750;800
2006-12-04;04/12/2006;750;750;750;750;640
2006-12-06;06/12/2006;750;750;750;750;520
2006-12-07;07/12/2006;750;750;750;750;2360
2006-12-08;08/12/2006;750;750;750;750;600
2006-12-12;12/12/2006;750;750;750;750;760
2006-12-14;14/12/2006;750;750;750;750;440
2006-12-18;18/12/2006;750;750;750;750;600
2007-01-09;09/01/2007;787.5;787.5;787.5;787.5;800
2007-01-10;10/01/2007;787.5;787.5;787.5;787.5;400
2007-01-23;23/01/2007;788;788;788;788;400
2007-02-05;05/02/2007;825;825;825;825;480
2007-02-15;15/02/2007;826.25;826.25;826.25;826.25;1760
2007-02-16;16/02/2007;826.25;826.25;826.25;826.25;600
2007-03-05;05/03/2007;826.5;826.5;826.5;826.5;680
2007-03-08;08/03/2007;826.5;826.5;826.5;826.5;400
2007-03-12;12/03/2007;826.875;826.875;826.875;826.875;2000
2007-03-14;14/03/2007;875;875;875;875;440
2007-03-15;15/03/2007;875.125;875.125;875.125;875.125;400
2007-03-16;16/03/2007;900;900;900;900;1560
2007-03-20;20/03/2007;775;775;775;775;560000
2007-03-26;26/03/2007;775;775;775;775;1200
2007-04-17;17/04/2007;825.5;825.5;825.5;825.5;400
2007-05-03;03/05/2007;825.5;825.5;825.5;825.5;400
2007-05-11;11/05/2007;827.5;827.5;827.5;827.5;2000
2007-05-18;18/05/2007;828.75;828.75;828.75;828.75;600
2007-05-21;21/05/2007;828.875;828.875;828.875;828.875;400
2007-06-07;07/06/2007;850.5;850.5;850.5;850.5;400
2007-06-12;12/06/2007;900;900;900;900;800
2007-06-20;20/06/2007;950;950;950;950;360
2007-06-22;22/06/2007;950;950;950;950;40
2007-06-25;25/06/2007;1000;1000;1000;1000;400
2007-06-27;27/06/2007;1016.375;1016.375;1016.375;1016.375;600
2007-07-06;06/07/2007;1016.375;1016.375;1016.375;1016.375;360
2007-07-09;09/07/2007;950;950;950;950;400
2007-07-17;17/07/2007;950;950;950;950;1760
2007-07-18;18/07/2007;950;950;950;950;2160
2007-07-24;24/07/2007;950.125;950.125;950.125;950.125;320
2007-07-25;25/07/2007;950.125;950.125;950.125;950.125;1000
2007-07-31;31/07/2007;950.25;950.25;950.25;950.25;320
2007-08-08;08/08/2007;950.25;950.25;950.25;950.25;320
2007-08-14;14/08/2007;950.25;950.25;950.25;950.25;80
2007-08-16;16/08/2007;950;950;950;950;360
