date_iso;date_fr;open;high;low;close;volume
2006-06-26;26/06/2006;2592;2592;2592;2592;140
2006-07-17;17/07/2006;2250;2250;2250;2250;28
2006-07-18;18/07/2006;2250;2250;2250;2250;34
2006-07-25;25/07/2006;2250;2250;2250;2250;70
2006-07-26;26/07/2006;2250;2250;2250;2250;100
2006-07-28;28/07/2006;2250;2250;2250;2250;61
2006-07-31;31/07/2006;2250;2250;2250;2250;1
2006-08-10;10/08/2006;2250;2250;2250;2250;41
2006-08-14;14/08/2006;2250;2250;2250;2250;39
2006-08-16;16/08/2006;2250;2250;2250;2250;3
2006-08-17;17/08/2006;2250;2250;2250;2250;18
2006-08-21;21/08/2006;2250;2250;2250;2250;37
2006-08-22;22/08/2006;2250;2250;2250;2250;50
2006-08-23;23/08/2006;2250;2250;2250;2250;2
2006-08-25;25/08/2006;2250;2250;2250;2250;1
2006-08-29;29/08/2006;2250;2250;2250;2250;20
2006-08-30;30/08/2006;2100;2100;2100;2100;39
2006-08-31;31/08/2006;2100;2100;2100;2100;55
2006-09-01;01/09/2006;2101;2101;2101;2101;15
2006-09-04;04/09/2006;2101;2101;2101;2101;37
2006-09-06;06/09/2006;2100;2100;2100;2100;55
2006-09-08;08/09/2006;2100;2100;2100;2100;100
2006-09-12;12/09/2006;2100;2100;2100;2100;125
2006-09-13;13/09/2006;2100;2100;2100;2100;57
2006-09-14;14/09/2006;2100;2100;2100;2100;29
2006-09-15;15/09/2006;2100;2100;2100;2100;25
2006-09-19;19/09/2006;2100;2100;2100;2100;25
2006-09-20;20/09/2006;2050;2050;2050;2050;150
2006-09-22;22/09/2006;2050;2050;2050;2050;161
2006-09-26;26/09/2006;2050;2050;2050;2050;43
2006-10-03;03/10/2006;2050;2050;2050;2050;112
2006-10-05;05/10/2006;2050;2050;2050;2050;18
2006-10-09;09/10/2006;2050;2050;2050;2050;10
2006-10-17;17/10/2006;2050;2050;2050;2050;3
2006-10-18;18/10/2006;2050;2050;2050;2050;43
2006-10-24;24/10/2006;2050;2050;2050;2050;5
2006-10-27;27/10/2006;2050;2050;2050;2050;10
2006-10-30;30/10/2006;2050;2050;2050;2050;5
2006-11-02;02/11/2006;2050;2050;2050;2050;25
2006-11-03;03/11/2006;2050;2050;2050;2050;12
2006-11-16;16/11/2006;2050;2050;2050;2050;350
2006-11-20;20/11/2006;1950;1950;1950;1950;8
2006-11-21;21/11/2006;1900;1900;1900;1900;120
2006-11-22;22/11/2006;1900;1900;1900;1900;3
2006-11-23;23/11/2006;1950;1950;1950;1950;187
2006-11-24;24/11/2006;2000;2000;2000;2000;34
2006-11-27;27/11/2006;2001;2001;2001;2001;50
2006-11-28;28/11/2006;2000;2000;2000;2000;60
2006-11-30;30/11/2006;2000;2000;2000;2000;5
2006-12-04;04/12/2006;2000;2000;2000;2000;40
2006-12-05;05/12/2006;1900;1900;1900;1900;52
2006-12-06;06/12/2006;1900;1900;1900;1900;45
2006-12-07;07/12/2006;1900;1900;1900;1900;56
2006-12-08;08/12/2006;2000;2000;2000;2000;98
2006-12-12;12/12/2006;2000;2000;2000;2000;58
2006-12-14;14/12/2006;2000;2000;2000;2000;10
2006-12-18;18/12/2006;2000;2000;2000;2000;30
2006-12-26;26/12/2006;2000;2000;2000;2000;29
2006-12-27;27/12/2006;2000;2000;2000;2000;100
2006-12-28;28/12/2006;2000;2000;2000;2000;2
2007-01-04;04/01/2007;2000;2000;2000;2000;30
2007-01-10;10/01/2007;2000;2000;2000;2000;511
2007-01-11;11/01/2007;2000;2000;2000;2000;265
2007-01-16;16/01/2007;2000;2000;2000;2000;1
2007-01-18;18/01/2007;2000;2000;2000;2000;1
2007-01-19;19/01/2007;2000;2000;2000;2000;50
2007-01-22;22/01/2007;2000;2000;2000;2000;8079
2007-01-23;23/01/2007;2000;2000;2000;2000;71
2007-01-25;25/01/2007;2000;2000;2000;2000;5
2007-02-05;05/02/2007;2000;2000;2000;2000;156
2007-02-09;09/02/2007;2000;2000;2000;2000;13
2007-02-16;16/02/2007;2000;2000;2000;2000;71
2007-02-20;20/02/2007;2150;2150;2150;2150;42
2007-02-21;21/02/2007;2250;2250;2250;2250;10
2007-02-27;27/02/2007;2250;2250;2250;2250;7
2007-02-28;28/02/2007;2250;2250;2250;2250;415
2007-03-06;06/03/2007;2300;2300;2300;2300;88
2007-03-13;13/03/2007;2500;2500;2500;2500;36
2007-03-15;15/03/2007;2500;2500;2500;2500;19
2007-03-21;21/03/2007;2500;2500;2500;2500;48
2007-03-22;22/03/2007;2500;2500;2500;2500;15
2007-03-26;26/03/2007;2500;2500;2500;2500;100
2007-03-27;27/03/2007;2500;2500;2500;2500;1
2007-03-28;28/03/2007;2500;2500;2500;2500;45
2007-03-30;30/03/2007;2500;2500;2500;2500;1589
2007-04-02;02/04/2007;2500;2500;2500;2500;31
2007-04-04;04/04/2007;2500;2500;2500;2500;5
2007-04-11;11/04/2007;2500;2500;2500;2500;36
2007-04-12;12/04/2007;2500;2500;2500;2500;104
2007-04-20;20/04/2007;2500;2500;2500;2500;82
2007-04-25;25/04/2007;2500;2500;2500;2500;5
2007-04-30;30/04/2007;2500;2500;2500;2500;25
2007-05-07;07/05/2007;2687;2687;2687;2687;155
2007-05-08;08/05/2007;2800;2800;2800;2800;192
2007-05-09;09/05/2007;2900;2900;2900;2900;81
2007-05-10;10/05/2007;2900;2900;2900;2900;7
2007-05-11;11/05/2007;2900;2900;2900;2900;63
2007-05-14;14/05/2007;2900;2900;2900;2900;125
2007-05-16;16/05/2007;2900;2900;2900;2900;3
2007-05-21;21/05/2007;2900;2900;2900;2900;50
2007-05-22;22/05/2007;2900;2900;2900;2900;63
2007-05-23;23/05/2007;2900;2900;2900;2900;1
2007-06-05;05/06/2007;2850;2850;2850;2850;202
2007-06-07;07/06/2007;2850;2850;2850;2850;189
2007-06-13;13/06/2007;2850;2850;2850;2850;20
2007-06-15;15/06/2007;2850;2850;2850;2850;1461
2007-06-18;18/06/2007;2850;2850;2850;2850;300
2007-06-19;19/06/2007;2850;2850;2850;2850;20
2007-06-20;20/06/2007;2851;2851;2851;2851;30
2007-06-21;21/06/2007;2900;2900;2900;2900;51
2007-06-26;26/06/2007;3060;3060;3060;3060;94
2007-06-27;27/06/2007;3060;3060;3060;3060;40
2007-06-29;29/06/2007;3090;3090;3090;3090;120
2007-07-11;11/07/2007;2859;2859;2859;2859;28
2007-07-12;12/07/2007;2650;2650;2650;2650;10
2007-07-13;13/07/2007;2550;2550;2550;2550;25
2007-07-16;16/07/2007;2550;2550;2550;2550;118
