date_iso;date_fr;open;high;low;close;volume
2006-07-03;03/07/2006;240;240;240;240;8
2006-07-04;04/07/2006;240;240;240;240;9
2006-07-07;07/07/2006;240;240;240;240;24
2006-07-11;11/07/2006;240;240;240;240;20
2006-07-12;12/07/2006;240;240;240;240;20
2006-07-13;13/07/2006;240;240;240;240;4
2006-07-14;14/07/2006;240;240;240;240;30
2006-07-17;17/07/2006;240;240;240;240;57
2006-07-18;18/07/2006;240;240;240;240;50
2006-07-20;20/07/2006;240;240;240;240;10
2006-07-21;21/07/2006;240;240;240;240;3
2006-07-26;26/07/2006;270;270;270;270;291
2006-07-28;28/07/2006;270;270;270;270;54
2006-07-31;31/07/2006;270;270;270;270;25
2006-08-03;03/08/2006;270;270;270;270;14
2006-08-08;08/08/2006;270;270;270;270;39
2006-08-10;10/08/2006;270;270;270;270;7
2006-08-16;16/08/2006;260;260;260;260;45
2006-08-17;17/08/2006;260;260;260;260;135
2006-08-22;22/08/2006;240;240;240;240;217
2006-08-23;23/08/2006;240;240;240;240;10
2006-08-28;28/08/2006;240;240;240;240;10
2006-08-29;29/08/2006;240;240;240;240;40
2006-08-30;30/08/2006;240;240;240;240;15
2006-09-05;05/09/2006;240;240;240;240;60
2006-09-08;08/09/2006;242;242;242;242;20
2006-09-11;11/09/2006;242;242;242;242;10
2006-09-15;15/09/2006;270;270;270;270;275
2006-09-20;20/09/2006;270;270;270;270;11
2006-09-25;25/09/2006;270;270;270;270;25
2006-09-26;26/09/2006;270;270;270;270;10
2006-10-03;03/10/2006;270;270;270;270;11
2006-10-05;05/10/2006;280;280;280;280;371
2006-10-06;06/10/2006;280;280;280;280;10
2006-10-11;11/10/2006;280;280;280;280;2
2006-10-13;13/10/2006;280;280;280;280;2
2006-10-30;30/10/2006;280;280;280;280;2
2006-11-02;02/11/2006;290;290;290;290;21
2006-11-07;07/11/2006;290;290;290;290;35
2006-11-13;13/11/2006;290;290;290;290;24
2006-11-22;22/11/2006;290;290;290;290;28
2006-11-23;23/11/2006;290;290;290;290;2
2006-11-24;24/11/2006;290;290;290;290;21
2006-12-01;01/12/2006;280;280;280;280;25
2006-12-04;04/12/2006;270;270;270;270;12
2006-12-05;05/12/2006;270;270;270;270;10
2006-12-06;06/12/2006;270;270;270;270;33
2006-12-07;07/12/2006;270;270;270;270;2
2006-12-08;08/12/2006;270;270;270;270;10
2006-12-11;11/12/2006;270;270;270;270;2
2006-12-12;12/12/2006;270;270;270;270;16
2006-12-21;21/12/2006;250;250;250;250;25
2006-12-28;28/12/2006;260;260;260;260;295
2007-01-09;09/01/2007;260;260;260;260;1
2007-01-18;18/01/2007;260;260;260;260;14
2007-01-23;23/01/2007;260;260;260;260;125
2007-01-26;26/01/2007;260;260;260;260;2
2007-01-31;31/01/2007;260;260;260;260;20
2007-02-02;02/02/2007;260;260;260;260;21
2007-02-12;12/02/2007;261;261;261;261;14
2007-02-13;13/02/2007;261;261;261;261;3
2007-02-16;16/02/2007;261;261;261;261;53
2007-02-19;19/02/2007;261;261;261;261;10
2007-02-20;20/02/2007;261;261;261;261;10
2007-02-22;22/02/2007;261;261;261;261;68
2007-03-02;02/03/2007;270;270;270;270;16
2007-03-07;07/03/2007;270;270;270;270;1
2007-03-13;13/03/2007;270;270;270;270;32
2007-03-15;15/03/2007;270;270;270;270;11
2007-03-16;16/03/2007;270;270;270;270;2
2007-03-23;23/03/2007;270;270;270;270;17
2007-03-26;26/03/2007;270;270;270;270;15
2007-03-29;29/03/2007;270;270;270;270;14
2007-04-03;03/04/2007;280;280;280;280;52
2007-04-04;04/04/2007;280;280;280;280;26
2007-04-05;05/04/2007;280;280;280;280;10
2007-04-11;11/04/2007;280;280;280;280;178
2007-04-13;13/04/2007;281;281;281;281;10
2007-04-20;20/04/2007;281;281;281;281;10
2007-04-23;23/04/2007;280;280;280;280;14
2007-04-25;25/04/2007;280;280;280;280;4
2007-04-26;26/04/2007;280;280;280;280;2
2007-04-27;27/04/2007;280;280;280;280;10
2007-04-30;30/04/2007;280;280;280;280;10
2007-05-04;04/05/2007;280;280;280;280;100
2007-05-07;07/05/2007;280;280;280;280;40
2007-05-08;08/05/2007;280;280;280;280;9
2007-05-09;09/05/2007;280;280;280;280;6
2007-05-10;10/05/2007;280;280;280;280;5
2007-05-14;14/05/2007;280;280;280;280;100
2007-05-15;15/05/2007;280;280;280;280;20
2007-05-16;16/05/2007;280;280;280;280;101
2007-05-21;21/05/2007;280;280;280;280;153
2007-05-23;23/05/2007;281;281;281;281;104
2007-05-24;24/05/2007;281;281;281;281;36
2007-05-31;31/05/2007;279;279;279;279;10
2007-06-04;04/06/2007;260;260;260;260;14
2007-06-05;05/06/2007;260;260;260;260;98
2007-06-07;07/06/2007;279;279;279;279;8
2007-06-08;08/06/2007;279;279;279;279;1
2007-06-13;13/06/2007;279;279;279;279;16
2007-06-14;14/06/2007;260;260;260;260;66
2007-06-20;20/06/2007;260;260;260;260;4
2007-06-25;25/06/2007;270;270;270;270;23
2007-06-27;27/06/2007;270;270;270;270;209
2007-06-28;28/06/2007;270;270;270;270;80
2007-06-29;29/06/2007;270;270;270;270;160
2007-07-02;02/07/2007;270;270;270;270;71
2007-07-03;03/07/2007;270;270;270;270;60
2007-07-05;05/07/2007;290;290;290;290;55
2007-07-09;09/07/2007;292;292;292;292;10
2007-07-10;10/07/2007;292;292;292;292;35
2007-07-16;16/07/2007;292;292;292;292;63
2007-07-17;17/07/2007;292;292;292;292;29
2007-07-18;18/07/2007;292;292;292;292;44
2007-07-19;19/07/2007;292;292;292;292;35
2007-07-20;20/07/2007;292;292;292;292;2
2007-07-23;23/07/2007;291;291;291;291;25
2007-07-24;24/07/2007;290;290;290;290;152
2007-07-27;27/07/2007;286;286;286;286;30
2007-08-01;01/08/2007;280;280;280;280;43
2007-08-02;02/08/2007;278;278;278;278;11
2007-08-09;09/08/2007;260;260;260;260;164
2007-08-10;10/08/2007;278;278;278;278;153
2007-08-13;13/08/2007;292;292;292;292;178
