date_iso;date_fr;open;high;low;close;volume
2016-10-27;27/10/2016;1505;1505;1505;1505;700
2016-10-28;28/10/2016;1617.5;1617.5;1617.5;1617.5;40
2016-10-31;31/10/2016;1738.5;1738.5;1738.5;1738.5;172
2016-11-02;02/11/2016;1868.5;1868.5;1868.5;1868.5;274
2016-11-03;03/11/2016;2008.5;2008.5;2008.5;2008.5;38
2016-11-04;04/11/2016;2159;2159;2159;2159;658
2016-11-07;07/11/2016;2320.5;2320.5;2320.5;2320.5;510
2016-11-08;08/11/2016;2494.5;2494.5;2494.5;2494.5;5892
2016-11-09;09/11/2016;2681.5;2681.5;2681.5;2681.5;10662
2016-11-10;10/11/2016;2480.5;2480.5;2480.5;2480.5;79950
2016-11-11;11/11/2016;2300;2300;2300;2300;54428
2016-11-14;14/11/2016;2400;2400;2400;2400;11770
2016-11-16;16/11/2016;2401;2401;2401;2401;22440
2016-11-17;17/11/2016;2500;2500;2500;2500;7626
2016-11-18;18/11/2016;2312.5;2312.5;2312.5;2312.5;9806
2016-11-21;21/11/2016;2380;2380;2380;2380;2456
2016-11-22;22/11/2016;2250;2250;2250;2250;3330
2016-11-23;23/11/2016;2200;2200;2200;2200;4178
2016-11-24;24/11/2016;2060.5;2060.5;2060.5;2060.5;6566
2016-11-25;25/11/2016;2050;2050;2050;2050;7594
2016-11-28;28/11/2016;2050;2050;2050;2050;4130
2016-11-29;29/11/2016;2040;2040;2040;2040;6466
2016-11-30;30/11/2016;2193;2193;2193;2193;6718
2016-12-01;01/12/2016;2357;2357;2357;2357;4286
2016-12-02;02/12/2016;2400;2400;2400;2400;23512
2016-12-05;05/12/2016;2299.5;2299.5;2299.5;2299.5;3698
2016-12-06;06/12/2016;2199.5;2199.5;2199.5;2199.5;2964
2016-12-07;07/12/2016;2100;2100;2100;2100;28198
2016-12-08;08/12/2016;2150;2150;2150;2150;13220
2016-12-09;09/12/2016;2151.5;2151.5;2151.5;2151.5;1842
2016-12-13;13/12/2016;2100;2100;2100;2100;4870
2016-12-14;14/12/2016;2125.5;2125.5;2125.5;2125.5;9558
2016-12-15;15/12/2016;2201;2201;2201;2201;6482
