date_iso;date_fr;open;high;low;close;volume
2006-09-08;08/09/2006;4400;4400;4400;4400;1
2006-09-12;12/09/2006;4400;4400;4400;4400;5
2007-05-10;10/05/2007;4400;4400;4400;4400;35
2007-05-15;15/05/2007;4395;4395;4395;4395;56
2007-06-21;21/06/2007;4395;4395;4395;4395;2
2007-06-22;22/06/2007;4395;4395;4395;4395;1
2007-07-31;31/07/2007;4395;4395;4395;4395;5
2007-08-08;08/08/2007;4200;4200;4200;4200;14
2007-08-10;10/08/2007;4195;4195;4195;4195;39
2007-08-24;24/08/2007;4100;4100;4100;4100;45
2007-08-30;30/08/2007;3800;3800;3800;3800;149
2007-08-31;31/08/2007;3800;3800;3800;3800;60
2007-09-05;05/09/2007;3600;3600;3600;3600;76
2007-09-06;06/09/2007;3800;3800;3800;3800;30
2007-09-07;07/09/2007;3800;3800;3800;3800;13
2007-09-12;12/09/2007;3500;3500;3500;3500;925
2007-09-20;20/09/2007;3600;3600;3600;3600;48
2007-09-28;28/09/2007;3850;3850;3850;3850;87
2007-10-04;04/10/2007;4400;4400;4400;4400;15
2007-10-05;05/10/2007;4400;4400;4400;4400;28
2007-10-15;15/10/2007;4500;4500;4500;4500;20
2007-10-16;16/10/2007;4600;4600;4600;4600;28
2007-10-22;22/10/2007;4600;4600;4600;4600;13
2007-10-31;31/10/2007;4945;4945;4945;4945;19
2007-11-23;23/11/2007;5300;5300;5300;5300;30
2007-11-27;27/11/2007;5300;5300;5300;5300;6
2007-11-29;29/11/2007;5300;5300;5300;5300;15
2007-12-12;12/12/2007;5300;5300;5300;5300;26
2007-12-17;17/12/2007;5300;5300;5300;5300;3
2008-01-18;18/01/2008;5300;5300;5300;5300;5
2008-02-05;05/02/2008;5300;5300;5300;5300;1
2008-02-19;19/02/2008;5300;5300;5300;5300;58
2008-02-27;27/02/2008;5300;5300;5300;5300;3
2008-03-19;19/03/2008;5300;5300;5300;5300;20
2008-05-08;08/05/2008;5300;5300;5300;5300;36
2008-05-30;30/05/2008;5300;5300;5300;5300;12
2008-06-03;03/06/2008;5300;5300;5300;5300;3
2008-06-04;04/06/2008;5295;5295;5295;5295;50
2008-06-13;13/06/2008;5295;5295;5295;5295;146
2008-07-07;07/07/2008;5295;5295;5295;5295;88
2008-07-15;15/07/2008;5295;5295;5295;5295;1
2008-07-24;24/07/2008;5300;5300;5300;5300;20
2008-08-04;04/08/2008;5300;5300;5300;5300;7
2008-08-05;05/08/2008;5500;5500;5500;5500;10
2008-08-08;08/08/2008;5520;5520;5520;5520;18
2008-08-14;14/08/2008;5600;5600;5600;5600;37
2008-08-20;20/08/2008;5600;5600;5600;5600;29
2008-08-22;22/08/2008;5605;5605;5605;5605;21
2008-09-11;11/09/2008;5605;5605;5605;5605;2
2008-09-12;12/09/2008;5750;5750;5750;5750;150
2008-09-16;16/09/2008;5750;5750;5750;5750;8
2008-09-18;18/09/2008;5750;5750;5750;5750;380
2008-09-23;23/09/2008;5800;5800;5800;5800;3985
2008-09-24;24/09/2008;6000;6000;6000;6000;50
2008-09-26;26/09/2008;6000;6000;6000;6000;450
2008-09-29;29/09/2008;6400;6400;6400;6400;50
2008-10-06;06/10/2008;6500;6500;6500;6500;195
2008-10-10;10/10/2008;6905;6905;6905;6905;15
2008-10-22;22/10/2008;6905;6905;6905;6905;198
2008-10-27;27/10/2008;6905;6905;6905;6905;500
2008-10-29;29/10/2008;6905;6905;6905;6905;108
2008-10-30;30/10/2008;6905;6905;6905;6905;113
2008-12-16;16/12/2008;6905;6905;6905;6905;13
2008-12-22;22/12/2008;6600;6600;6600;6600;8
2008-12-29;29/12/2008;6600;6600;6600;6600;2
2009-05-04;04/05/2009;6600;6600;6600;6600;2
2009-10-12;12/10/2009;6250;6250;6250;6250;23
2010-02-23;23/02/2010;5000;5000;5000;5000;4352
2010-06-24;24/06/2010;5000;5000;5000;5000;7
2010-07-15;15/07/2010;5000;5000;5000;5000;1
2010-10-19;19/10/2010;4625;4625;4625;4625;10
2010-11-08;08/11/2010;4625;4625;4625;4625;1640
2010-11-09;09/11/2010;4625;4625;4625;4625;44
2010-11-10;10/11/2010;4625;4625;4625;4625;148
2010-11-12;12/11/2010;4600;4600;4600;4600;30
2011-01-11;11/01/2011;4150;4150;4150;4150;25
2011-01-28;28/01/2011;4100;4100;4100;4100;25
2011-08-05;05/08/2011;3795;3795;3795;3795;10
2012-02-08;08/02/2012;3795;3795;3795;3795;1
2012-02-27;27/02/2012;3795;3795;3795;3795;10
2012-03-01;01/03/2012;3795;3795;3795;3795;20
2012-03-16;16/03/2012;3795;3795;3795;3795;1
