date_iso;date_fr;open;high;low;close;volume
2006-07-17;17/07/2006;470;470;470;470;200
2006-07-20;20/07/2006;470;470;470;470;10
2006-07-24;24/07/2006;470;470;470;470;10
2006-07-31;31/07/2006;465;465;465;465;47
2006-08-01;01/08/2006;465;465;465;465;69
2006-08-02;02/08/2006;470;470;470;470;23
2006-08-04;04/08/2006;435;435;435;435;90
2006-08-09;09/08/2006;450;450;450;450;60
2006-08-10;10/08/2006;451;451;451;451;46
2006-08-14;14/08/2006;465;465;465;465;21
2006-08-17;17/08/2006;465;465;465;465;60
2006-08-23;23/08/2006;500;500;500;500;154
2006-08-29;29/08/2006;500;500;500;500;154
2006-09-08;08/09/2006;500;500;500;500;120
2006-09-11;11/09/2006;500;500;500;500;20
2006-09-14;14/09/2006;500;500;500;500;32
2006-09-15;15/09/2006;500;500;500;500;62
2006-09-19;19/09/2006;500;500;500;500;3
2006-09-21;21/09/2006;500;500;500;500;694
2006-09-25;25/09/2006;500;500;500;500;10
2006-10-09;09/10/2006;500;500;500;500;20
2006-10-13;13/10/2006;500;500;500;500;11
2006-10-16;16/10/2006;500;500;500;500;80
2006-10-18;18/10/2006;500;500;500;500;110
2006-10-20;20/10/2006;500;500;500;500;25
2006-10-24;24/10/2006;500;500;500;500;50
2006-10-25;25/10/2006;500;500;500;500;55
2006-10-30;30/10/2006;490;490;490;490;17
2006-10-31;31/10/2006;490;490;490;490;10
2006-11-02;02/11/2006;500;500;500;500;50
2006-11-03;03/11/2006;499;499;499;499;10
2006-11-13;13/11/2006;498;498;498;498;20
2006-11-20;20/11/2006;498;498;498;498;400
2006-11-22;22/11/2006;498;498;498;498;10
2006-11-23;23/11/2006;500;500;500;500;50
2006-11-24;24/11/2006;500;500;500;500;131
2006-11-28;28/11/2006;500;500;500;500;25
2006-11-30;30/11/2006;538;538;538;538;15
2006-12-01;01/12/2006;500;500;500;500;395
2006-12-04;04/12/2006;500;500;500;500;18
2006-12-05;05/12/2006;500;500;500;500;20
2006-12-14;14/12/2006;498;498;498;498;248
2006-12-15;15/12/2006;498;498;498;498;83
2006-12-18;18/12/2006;463;463;463;463;500
2006-12-21;21/12/2006;463;463;463;463;29
2006-12-27;27/12/2006;463;463;463;463;17
2006-12-28;28/12/2006;463;463;463;463;80
2007-01-18;18/01/2007;463;463;463;463;30
2007-01-25;25/01/2007;463;463;463;463;1
2007-02-06;06/02/2007;463;463;463;463;60
2007-02-12;12/02/2007;463;463;463;463;35
2007-02-13;13/02/2007;463;463;463;463;28
2007-02-16;16/02/2007;463;463;463;463;132
2007-02-27;27/02/2007;470;470;470;470;21
2007-03-05;05/03/2007;471;471;471;471;23
2007-03-06;06/03/2007;471;471;471;471;32
2007-03-07;07/03/2007;471;471;471;471;5
2007-03-08;08/03/2007;475;475;475;475;50
2007-03-15;15/03/2007;475;475;475;475;30
2007-03-26;26/03/2007;475;475;475;475;97
2007-04-13;13/04/2007;475;475;475;475;10
