date_iso;date_fr;open;high;low;close;volume
2006-06-12;12/06/2006;12500;12500;12500;12500;25
2006-07-12;12/07/2006;10406;10406;10406;10406;55
2006-07-17;17/07/2006;10438;10438;10438;10438;100
2006-07-20;20/07/2006;10438;10438;10438;10438;5
2006-07-25;25/07/2006;10499;10499;10499;10499;9
2006-07-28;28/07/2006;10625;10625;10625;10625;12
2006-07-31;31/07/2006;10625;10625;10625;10625;4
2006-08-09;09/08/2006;10438;10438;10438;10438;50
2006-08-10;10/08/2006;10438;10438;10438;10438;3
2006-08-14;14/08/2006;10438;10438;10438;10438;3
2006-08-17;17/08/2006;10438;10438;10438;10438;5
2006-08-23;23/08/2006;10438;10438;10438;10438;12
2006-09-07;07/09/2006;10438;10438;10438;10438;6
2006-09-12;12/09/2006;10438;10438;10438;10438;20
2006-09-13;13/09/2006;10451;10451;10451;10451;10
2006-09-19;19/09/2006;10476;10476;10476;10476;15
2006-09-20;20/09/2006;10476;10476;10476;10476;15
2006-10-04;04/10/2006;10476;10476;10476;10476;2
2006-10-18;18/10/2006;11250;11250;11250;11250;20
2006-10-30;30/10/2006;11251;11251;11251;11251;300
2006-10-31;31/10/2006;12000;12000;12000;12000;31
2006-11-02;02/11/2006;12000;12000;12000;12000;19
2006-11-13;13/11/2006;12000;12000;12000;12000;1
2006-11-16;16/11/2006;12000;12000;12000;12000;7
2006-11-17;17/11/2006;12001;12001;12001;12001;101
2006-11-20;20/11/2006;12001;12001;12001;12001;15
2006-11-21;21/11/2006;12004;12004;12004;12004;64
2006-11-24;24/11/2006;12004;12004;12004;12004;46
2006-12-05;05/12/2006;12004;12004;12004;12004;5
2006-12-07;07/12/2006;12008;12008;12008;12008;100
2006-12-08;08/12/2006;12006;12006;12006;12006;45
2006-12-13;13/12/2006;12006;12006;12006;12006;1
2006-12-14;14/12/2006;12006;12006;12006;12006;2
2006-12-21;21/12/2006;12008;12008;12008;12008;60
2007-01-17;17/01/2007;12008;12008;12008;12008;3
2007-01-25;25/01/2007;12008;12008;12008;12008;10
2007-02-01;01/02/2007;12008;12008;12008;12008;9
2007-02-02;02/02/2007;12008;12008;12008;12008;13
2007-02-05;05/02/2007;12008;12008;12008;12008;20
2007-02-08;08/02/2007;12008;12008;12008;12008;2
2007-02-09;09/02/2007;12008;12008;12008;12008;3
2007-02-19;19/02/2007;12008;12008;12008;12008;42
2007-02-27;27/02/2007;12009;12009;12009;12009;30
2007-03-05;05/03/2007;12009;12009;12009;12009;11
2007-03-08;08/03/2007;12009;12009;12009;12009;9
2007-03-21;21/03/2007;12009;12009;12009;12009;1
2007-03-23;23/03/2007;12009;12009;12009;12009;20
2007-03-30;30/03/2007;12038;12038;12038;12038;10
2007-04-02;02/04/2007;12038;12038;12038;12038;10
2007-04-06;06/04/2007;12040;12040;12040;12040;160
2007-04-12;12/04/2007;12041;12041;12041;12041;160
2007-04-13;13/04/2007;12063;12063;12063;12063;934
2007-04-17;17/04/2007;12063;12063;12063;12063;120
2007-04-18;18/04/2007;12063;12063;12063;12063;150
2007-04-24;24/04/2007;11500;11500;11500;11500;11
2007-04-26;26/04/2007;11500;11500;11500;11500;49
2007-04-27;27/04/2007;11500;11500;11500;11500;8
2007-05-04;04/05/2007;11550;11550;11550;11550;125
2007-05-08;08/05/2007;11550;11550;11550;11550;40
2007-06-07;07/06/2007;12300;12300;12300;12300;15
2007-06-08;08/06/2007;12300;12300;12300;12300;2
2007-06-29;29/06/2007;12301;12301;12301;12301;37
2007-07-03;03/07/2007;12301;12301;12301;12301;14
2007-07-04;04/07/2007;12301;12301;12301;12301;6
2007-07-18;18/07/2007;12301;12301;12301;12301;7
2007-07-19;19/07/2007;12750;12750;12750;12750;15
2007-07-20;20/07/2007;12750;12750;12750;12750;3
2007-07-24;24/07/2007;13750;13750;13750;13750;18
2007-07-25;25/07/2007;13750;13750;13750;13750;20
2007-08-03;03/08/2007;13025;13025;13025;13025;10
2007-08-17;17/08/2007;13025;13025;13025;13025;5
2007-08-20;20/08/2007;13038;13038;13038;13038;147
2007-08-21;21/08/2007;13038;13038;13038;13038;15
2007-08-22;22/08/2007;13050;13050;13050;13050;120
2007-08-27;27/08/2007;13038;13038;13038;13038;20
2007-09-07;07/09/2007;13038;13038;13038;13038;10
2007-09-11;11/09/2007;13039;13039;13039;13039;50
2007-09-13;13/09/2007;13040;13040;13040;13040;620
2007-09-14;14/09/2007;13040;13040;13040;13040;13
2007-09-18;18/09/2007;13041;13041;13041;13041;160
2007-09-20;20/09/2007;13041;13041;13041;13041;43
2007-09-21;21/09/2007;13041;13041;13041;13041;17
2007-09-26;26/09/2007;13041;13041;13041;13041;100
2007-09-28;28/09/2007;13041;13041;13041;13041;51
2007-10-01;01/10/2007;13250;13250;13250;13250;26
2007-10-03;03/10/2007;13175;13175;13175;13175;72
2007-10-10;10/10/2007;13175;13175;13175;13175;1
2007-10-19;19/10/2007;13175;13175;13175;13175;19
2007-10-22;22/10/2007;14163;14163;14163;14163;12
2007-10-23;23/10/2007;14164;14164;14164;14164;100
2007-10-24;24/10/2007;15225;15225;15225;15225;93
2007-10-25;25/10/2007;15225;15225;15225;15225;11
2007-11-08;08/11/2007;14500;14500;14500;14500;444
2007-11-21;21/11/2007;15000;15000;15000;15000;21
2007-11-22;22/11/2007;15000;15000;15000;15000;40
2007-11-26;26/11/2007;15000;15000;15000;15000;336
2007-11-27;27/11/2007;15000;15000;15000;15000;585
2007-12-03;03/12/2007;15000;15000;15000;15000;98
2007-12-04;04/12/2007;15000;15000;15000;15000;80
2007-12-10;10/12/2007;15000;15000;15000;15000;472
2007-12-12;12/12/2007;15000;15000;15000;15000;100
2007-12-17;17/12/2007;15000;15000;15000;15000;51
2007-12-21;21/12/2007;15000;15000;15000;15000;4
2007-12-27;27/12/2007;15000;15000;15000;15000;96
2008-01-03;03/01/2008;15000;15000;15000;15000;547
2008-01-09;09/01/2008;15000;15000;15000;15000;50
2008-01-21;21/01/2008;15000;15000;15000;15000;1
2008-01-23;23/01/2008;15000;15000;15000;15000;100
2008-01-24;24/01/2008;15000;15000;15000;15000;2
2008-02-01;01/02/2008;15000;15000;15000;15000;11
2008-02-11;11/02/2008;15000;15000;15000;15000;10
2008-02-18;18/02/2008;15000;15000;15000;15000;12
2008-02-19;19/02/2008;15000;15000;15000;15000;5
2008-02-26;26/02/2008;15000;15000;15000;15000;9
2008-03-26;26/03/2008;15500;15500;15500;15500;10
2008-04-01;01/04/2008;15500;15500;15500;15500;1
2008-04-07;07/04/2008;15500;15500;15500;15500;10
2008-04-10;10/04/2008;15500;15500;15500;15500;6
2008-04-14;14/04/2008;15500;15500;15500;15500;20
2008-04-15;15/04/2008;15500;15500;15500;15500;20
2008-04-16;16/04/2008;15500;15500;15500;15500;3
2008-04-18;18/04/2008;15500;15500;15500;15500;400
2008-04-23;23/04/2008;15500;15500;15500;15500;5
2008-04-28;28/04/2008;15500;15500;15500;15500;6
2008-05-05;05/05/2008;15000;15000;15000;15000;25
2008-05-07;07/05/2008;15000;15000;15000;15000;81
2008-05-09;09/05/2008;15000;15000;15000;15000;413
2008-05-15;15/05/2008;15000;15000;15000;15000;1
2008-05-16;16/05/2008;15000;15000;15000;15000;286
2008-05-28;28/05/2008;15000;15000;15000;15000;35
2008-06-04;04/06/2008;15000;15000;15000;15000;5
2008-06-23;23/06/2008;14500;14500;14500;14500;13
2008-06-24;24/06/2008;15000;15000;15000;15000;62
2008-06-25;25/06/2008;15000;15000;15000;15000;7
2008-06-30;30/06/2008;15000;15000;15000;15000;576
2008-07-01;01/07/2008;15000;15000;15000;15000;50
2008-07-07;07/07/2008;15000;15000;15000;15000;65
2008-07-10;10/07/2008;15000;15000;15000;15000;10
2008-07-15;15/07/2008;15000;15000;15000;15000;4
2008-07-23;23/07/2008;14975;14975;14975;14975;29
2008-07-29;29/07/2008;14000;14000;14000;14000;30
2008-07-30;30/07/2008;14000;14000;14000;14000;17
2008-08-01;01/08/2008;14005;14005;14005;14005;8
2008-08-05;05/08/2008;14000;14000;14000;14000;50
2008-08-12;12/08/2008;14000;14000;14000;14000;25
2008-08-18;18/08/2008;14000;14000;14000;14000;12
2008-08-25;25/08/2008;14000;14000;14000;14000;130
2008-08-28;28/08/2008;14000;14000;14000;14000;10
2008-09-03;03/09/2008;14000;14000;14000;14000;150
2008-09-10;10/09/2008;14000;14000;14000;14000;59
2008-09-11;11/09/2008;14000;14000;14000;14000;5
2008-09-12;12/09/2008;14000;14000;14000;14000;20
2008-09-16;16/09/2008;14000;14000;14000;14000;49
2008-09-24;24/09/2008;14000;14000;14000;14000;7
2008-09-25;25/09/2008;14000;14000;14000;14000;335
2008-09-26;26/09/2008;14000;14000;14000;14000;2
2008-10-07;07/10/2008;14000;14000;14000;14000;100
2008-10-24;24/10/2008;13750;13750;13750;13750;26
2008-10-28;28/10/2008;13750;13750;13750;13750;10
2008-11-03;03/11/2008;13750;13750;13750;13750;15
2008-11-18;18/11/2008;13750;13750;13750;13750;15
2008-12-18;18/12/2008;13750;13750;13750;13750;58
2008-12-19;19/12/2008;13750;13750;13750;13750;5
2008-12-26;26/12/2008;13750;13750;13750;13750;25
2008-12-30;30/12/2008;13750;13750;13750;13750;9
2008-12-31;31/12/2008;13750;13750;13750;13750;15
2009-01-02;02/01/2009;13750;13750;13750;13750;20
2009-01-05;05/01/2009;13750;13750;13750;13750;5
2009-01-09;09/01/2009;13750;13750;13750;13750;40
2009-01-16;16/01/2009;13750;13750;13750;13750;11
2009-01-19;19/01/2009;13750;13750;13750;13750;20
2009-01-20;20/01/2009;13750;13750;13750;13750;115
2009-01-27;27/01/2009;13750;13750;13750;13750;2
2009-01-28;28/01/2009;13750;13750;13750;13750;100
2009-01-29;29/01/2009;13750;13750;13750;13750;23
2009-02-05;05/02/2009;13750;13750;13750;13750;17
2009-02-06;06/02/2009;13750;13750;13750;13750;8
2009-02-10;10/02/2009;13750;13750;13750;13750;10
2009-02-23;23/02/2009;13750;13750;13750;13750;3
2009-02-25;25/02/2009;13750;13750;13750;13750;10
2009-02-26;26/02/2009;13750;13750;13750;13750;10
2009-03-03;03/03/2009;13750;13750;13750;13750;25
2009-03-13;13/03/2009;13750;13750;13750;13750;2
2009-03-31;31/03/2009;13750;13750;13750;13750;19
2009-04-01;01/04/2009;13750;13750;13750;13750;8
2009-04-07;07/04/2009;13750;13750;13750;13750;33
2009-04-08;08/04/2009;13750;13750;13750;13750;10
2009-04-14;14/04/2009;13750;13750;13750;13750;50
2009-04-20;20/04/2009;13750;13750;13750;13750;13
2009-04-28;28/04/2009;14000;14000;14000;14000;17
2009-05-22;22/05/2009;14000;14000;14000;14000;17
2009-05-28;28/05/2009;14000;14000;14000;14000;1
2009-05-29;29/05/2009;14000;14000;14000;14000;7
2009-06-04;04/06/2009;14000;14000;14000;14000;2
2009-06-15;15/06/2009;14000;14000;14000;14000;2
2009-06-19;19/06/2009;14000;14000;14000;14000;2
2009-06-23;23/06/2009;14000;14000;14000;14000;10
2009-06-24;24/06/2009;14000;14000;14000;14000;5
2009-06-29;29/06/2009;14000;14000;14000;14000;1
2009-06-30;30/06/2009;14000;14000;14000;14000;10
2009-07-03;03/07/2009;13750;13750;13750;13750;17
2009-07-08;08/07/2009;13250;13250;13250;13250;15
2009-07-10;10/07/2009;13250;13250;13250;13250;1
2009-07-15;15/07/2009;13250;13250;13250;13250;90
2009-07-21;21/07/2009;13253;13253;13253;13253;20
2009-08-27;27/08/2009;9895;9895;9895;9895;53
2009-09-01;01/09/2009;7833;7833;7833;7833;50
2009-09-02;02/09/2009;7246;7246;7246;7246;100
2009-09-03;03/09/2009;6725;6725;6725;6725;82
2009-09-07;07/09/2009;5755;5755;5755;5755;25
2009-09-08;08/09/2009;5375;5375;5375;5375;797
2009-09-09;09/09/2009;5375;5375;5375;5375;80
2009-09-10;10/09/2009;5500;5500;5500;5500;10
2009-09-11;11/09/2009;5501;5501;5501;5501;35
2009-09-14;14/09/2009;5500;5500;5500;5500;630
2009-09-15;15/09/2009;5500;5500;5500;5500;84
2009-09-18;18/09/2009;5500;5500;5500;5500;20
2009-09-22;22/09/2009;5500;5500;5500;5500;1000
2009-09-24;24/09/2009;5500;5500;5500;5500;64
2009-09-25;25/09/2009;5500;5500;5500;5500;7
2009-09-30;30/09/2009;5500;5500;5500;5500;1000
2009-10-15;15/10/2009;5250;5250;5250;5250;15
2009-10-16;16/10/2009;5125;5125;5125;5125;60
2009-11-02;02/11/2009;4988;4988;4988;4988;10
2009-11-09;09/11/2009;4988;4988;4988;4988;68
2009-11-24;24/11/2009;4984;4984;4984;4984;13
2009-11-25;25/11/2009;4974;4974;4974;4974;17
2009-12-04;04/12/2009;4974;4974;4974;4974;74
2009-12-07;07/12/2009;4974;4974;4974;4974;33
2009-12-17;17/12/2009;4974;4974;4974;4974;2
2009-12-22;22/12/2009;4974;4974;4974;4974;30
2009-12-23;23/12/2009;4974;4974;4974;4974;2
2009-12-24;24/12/2009;4974;4974;4974;4974;25
2009-12-29;29/12/2009;4974;4974;4974;4974;35
2010-01-08;08/01/2010;4601;4601;4601;4601;16
2010-01-13;13/01/2010;4601;4601;4601;4601;5
2010-01-15;15/01/2010;4601;4601;4601;4601;9
2010-02-01;01/02/2010;4500;4500;4500;4500;10
2010-02-11;11/02/2010;4500;4500;4500;4500;25
2010-03-11;11/03/2010;4500;4500;4500;4500;5
2010-03-15;15/03/2010;4500;4500;4500;4500;1
2010-03-18;18/03/2010;4484;4484;4484;4484;14
2010-03-23;23/03/2010;4250;4250;4250;4250;13
2010-04-01;01/04/2010;4250;4250;4250;4250;2
2010-04-02;02/04/2010;4250;4250;4250;4250;2
2010-04-20;20/04/2010;4000;4000;4000;4000;12
2010-05-11;11/05/2010;3748;3748;3748;3748;18
2010-05-31;31/05/2010;3748;3748;3748;3748;2
2010-06-01;01/06/2010;3499;3499;3499;3499;11
2010-06-21;21/06/2010;3499;3499;3499;3499;22
2010-06-25;25/06/2010;3238;3238;3238;3238;22
2010-06-30;30/06/2010;3480;3480;3480;3480;25
2010-07-02;02/07/2010;3480;3480;3480;3480;4
2010-07-07;07/07/2010;3480;3480;3480;3480;2
2010-07-14;14/07/2010;3475;3475;3475;3475;10
2010-07-21;21/07/2010;3225;3225;3225;3225;18
2010-07-22;22/07/2010;3000;3000;3000;3000;39
2010-08-02;02/08/2010;3000;3000;3000;3000;7
2010-08-06;06/08/2010;3000;3000;3000;3000;30
2010-08-10;10/08/2010;3000;3000;3000;3000;2
2010-08-11;11/08/2010;3000;3000;3000;3000;58
2010-08-12;12/08/2010;3000;3000;3000;3000;20
