date_iso;date_fr;open;high;low;close;volume
2006-07-10;10/07/2006;8500;8500;8500;8500;1315
2006-07-11;11/07/2006;8500;8500;8500;8500;1700
2006-07-12;12/07/2006;8000;8000;8000;8000;771
2006-07-13;13/07/2006;8000;8000;8000;8000;1441
2006-07-14;14/07/2006;8200;8200;8200;8200;3418
2006-07-17;17/07/2006;8500;8500;8500;8500;1244
2006-07-18;18/07/2006;8500;8500;8500;8500;2353
2006-07-19;19/07/2006;8500;8500;8500;8500;347
2006-07-20;20/07/2006;8500;8500;8500;8500;724
2006-07-21;21/07/2006;8500;8500;8500;8500;1307
2006-07-24;24/07/2006;8500;8500;8500;8500;571
2006-07-25;25/07/2006;8500;8500;8500;8500;639
2006-07-26;26/07/2006;8500;8500;8500;8500;471
2006-07-27;27/07/2006;8500;8500;8500;8500;663
2006-07-28;28/07/2006;8500;8500;8500;8500;294
2006-07-31;31/07/2006;8500;8500;8500;8500;276
2006-08-01;01/08/2006;8500;8500;8500;8500;360
2006-08-02;02/08/2006;8500;8500;8500;8500;91
2006-08-03;03/08/2006;8500;8500;8500;8500;455
2006-08-04;04/08/2006;8500;8500;8500;8500;8372
2006-08-08;08/08/2006;8500;8500;8500;8500;110
2006-08-09;09/08/2006;8500;8500;8500;8500;331
2006-08-10;10/08/2006;8500;8500;8500;8500;739
2006-08-11;11/08/2006;8500;8500;8500;8500;216
2006-08-14;14/08/2006;8500;8500;8500;8500;123
2006-08-16;16/08/2006;8500;8500;8500;8500;1234
2006-08-17;17/08/2006;8450;8450;8450;8450;732
2006-08-18;18/08/2006;8500;8500;8500;8500;6990
2006-08-21;21/08/2006;8500;8500;8500;8500;2181
2006-08-22;22/08/2006;8500;8500;8500;8500;29
2006-08-23;23/08/2006;8500;8500;8500;8500;1697
2006-08-24;24/08/2006;8500;8500;8500;8500;274
2006-08-25;25/08/2006;9050;9050;9050;9050;176388
2006-08-28;28/08/2006;9050;9050;9050;9050;961
2006-08-29;29/08/2006;9050;9050;9050;9050;707
2006-08-30;30/08/2006;9050;9050;9050;9050;35
2006-08-31;31/08/2006;9050;9050;9050;9050;1169
2006-09-01;01/09/2006;9000;9000;9000;9000;169
2006-09-04;04/09/2006;9000;9000;9000;9000;17000
2006-09-05;05/09/2006;9000;9000;9000;9000;423
2006-09-06;06/09/2006;8900;8900;8900;8900;394
2006-09-07;07/09/2006;8900;8900;8900;8900;150
2006-09-08;08/09/2006;8900;8900;8900;8900;349
2006-09-11;11/09/2006;8900;8900;8900;8900;509
2006-09-12;12/09/2006;8850;8850;8850;8850;515
2006-09-13;13/09/2006;8850;8850;8850;8850;207
2006-09-14;14/09/2006;8850;8850;8850;8850;260
2006-09-15;15/09/2006;8850;8850;8850;8850;993
2006-09-18;18/09/2006;8850;8850;8850;8850;350
2006-09-19;19/09/2006;8800;8800;8800;8800;307
2006-09-20;20/09/2006;8800;8800;8800;8800;167
2006-09-21;21/09/2006;8800;8800;8800;8800;11097
2006-09-22;22/09/2006;8800;8800;8800;8800;1212
2006-09-25;25/09/2006;8800;8800;8800;8800;263
2006-09-26;26/09/2006;8800;8800;8800;8800;272
2006-09-27;27/09/2006;8800;8800;8800;8800;794
2006-09-28;28/09/2006;8800;8800;8800;8800;552
2006-09-29;29/09/2006;8800;8800;8800;8800;623
2006-10-02;02/10/2006;8800;8800;8800;8800;165
2006-10-04;04/10/2006;8800;8800;8800;8800;745
2006-10-06;06/10/2006;8800;8800;8800;8800;2503
2006-10-09;09/10/2006;8800;8800;8800;8800;2530
2006-10-10;10/10/2006;8800;8800;8800;8800;1248
2006-10-12;12/10/2006;8800;8800;8800;8800;678
2006-10-13;13/10/2006;9000;9000;9000;9000;1077
2006-10-16;16/10/2006;9200;9200;9200;9200;4409
2006-10-17;17/10/2006;8851;8851;8851;8851;231
2006-10-18;18/10/2006;9000;9000;9000;9000;77
2006-10-20;20/10/2006;9000;9000;9000;9000;898
2006-10-24;24/10/2006;9000;9000;9000;9000;11
2006-10-25;25/10/2006;9000;9000;9000;9000;126
2006-10-26;26/10/2006;8900;8900;8900;8900;1251
2006-10-27;27/10/2006;9000;9000;9000;9000;1426
2006-10-30;30/10/2006;9000;9000;9000;9000;324
2006-10-31;31/10/2006;8900;8900;8900;8900;434
2006-11-02;02/11/2006;8900;8900;8900;8900;3
2006-11-03;03/11/2006;9000;9000;9000;9000;2655
2006-11-06;06/11/2006;9000;9000;9000;9000;389
2006-11-07;07/11/2006;9000;9000;9000;9000;373
2006-11-08;08/11/2006;9050;9050;9050;9050;308
2006-11-09;09/11/2006;8900;8900;8900;8900;861
2006-11-10;10/11/2006;9050;9050;9050;9050;523
2006-11-13;13/11/2006;9000;9000;9000;9000;2499
2006-11-14;14/11/2006;9050;9050;9050;9050;415
2006-11-16;16/11/2006;9050;9050;9050;9050;440
2006-11-17;17/11/2006;9200;9200;9200;9200;495
2006-11-20;20/11/2006;9200;9200;9200;9200;340
2006-11-21;21/11/2006;9205;9205;9205;9205;675
2006-11-22;22/11/2006;9205;9205;9205;9205;1274
2006-11-23;23/11/2006;9230;9230;9230;9230;905
2006-11-24;24/11/2006;9110;9110;9110;9110;555
2006-11-27;27/11/2006;9150;9150;9150;9150;391
