date_iso;date_fr;open;high;low;close;volume
2006-07-10;10/07/2006;1270;1270;1270;1270;2
2006-07-11;11/07/2006;1350;1350;1350;1350;10
2006-07-12;12/07/2006;1291;1291;1291;1291;12
2006-07-17;17/07/2006;1270;1270;1270;1270;300
2006-07-19;19/07/2006;1300;1300;1300;1300;9
2006-07-21;21/07/2006;1300;1300;1300;1300;142
2006-07-24;24/07/2006;1300;1300;1300;1300;78
2006-07-25;25/07/2006;1300;1300;1300;1300;178
2006-07-27;27/07/2006;1300;1300;1300;1300;106
2006-08-01;01/08/2006;1300;1300;1300;1300;75
2006-08-03;03/08/2006;1300;1300;1300;1300;10
2006-08-04;04/08/2006;1301;1301;1301;1301;138
2006-08-08;08/08/2006;1301;1301;1301;1301;10
2006-08-10;10/08/2006;1301;1301;1301;1301;163
2006-08-17;17/08/2006;1301;1301;1301;1301;20
2006-08-22;22/08/2006;1301;1301;1301;1301;19
2006-08-30;30/08/2006;1400;1400;1400;1400;8
2006-09-05;05/09/2006;1400;1400;1400;1400;272
2006-09-08;08/09/2006;1400;1400;1400;1400;2
2006-09-11;11/09/2006;1400;1400;1400;1400;70
2006-09-13;13/09/2006;1400;1400;1400;1400;22
2006-09-18;18/09/2006;1400;1400;1400;1400;18
2006-09-19;19/09/2006;1400;1400;1400;1400;2
2006-09-20;20/09/2006;1350;1350;1350;1350;86
2006-09-25;25/09/2006;1350;1350;1350;1350;25
2006-09-29;29/09/2006;1350;1350;1350;1350;8
2006-10-13;13/10/2006;1250;1250;1250;1250;20
2006-10-16;16/10/2006;1250;1250;1250;1250;4
2006-10-20;20/10/2006;1250;1250;1250;1250;13
2006-10-24;24/10/2006;1250;1250;1250;1250;10
2006-10-26;26/10/2006;1250;1250;1250;1250;3
2006-10-27;27/10/2006;1250;1250;1250;1250;10
2006-10-31;31/10/2006;1251;1251;1251;1251;10
2006-11-02;02/11/2006;1250;1250;1250;1250;8
2006-11-03;03/11/2006;1251;1251;1251;1251;26
2006-11-08;08/11/2006;1251;1251;1251;1251;1
2006-11-09;09/11/2006;1251;1251;1251;1251;17
2006-11-13;13/11/2006;1340;1340;1340;1340;13
2006-11-20;20/11/2006;1340;1340;1340;1340;22
2006-11-21;21/11/2006;1340;1340;1340;1340;5
2006-11-24;24/11/2006;1340;1340;1340;1340;21
2006-11-27;27/11/2006;1251;1251;1251;1251;70
2006-11-28;28/11/2006;1250;1250;1250;1250;27
2006-12-05;05/12/2006;1250;1250;1250;1250;9
2006-12-06;06/12/2006;1250;1250;1250;1250;9
2006-12-07;07/12/2006;1250;1250;1250;1250;1
2006-12-08;08/12/2006;1250;1250;1250;1250;20
2006-12-11;11/12/2006;1250;1250;1250;1250;7
2006-12-12;12/12/2006;1250;1250;1250;1250;46
2006-12-26;26/12/2006;1250;1250;1250;1250;5
2006-12-29;29/12/2006;1200;1200;1200;1200;148
2007-01-02;02/01/2007;1200;1200;1200;1200;80
2007-01-03;03/01/2007;1201;1201;1201;1201;123
2007-01-04;04/01/2007;1252;1252;1252;1252;164
2007-01-10;10/01/2007;1251;1251;1251;1251;101
2007-01-18;18/01/2007;1251;1251;1251;1251;12
2007-01-19;19/01/2007;1251;1251;1251;1251;16
2007-01-29;29/01/2007;1300;1300;1300;1300;110
2007-01-30;30/01/2007;1300;1300;1300;1300;65
2007-02-02;02/02/2007;1350;1350;1350;1350;35
2007-02-05;05/02/2007;1350;1350;1350;1350;66
2007-02-07;07/02/2007;1500;1500;1500;1500;4000
2007-02-08;08/02/2007;1500;1500;1500;1500;8
2007-02-09;09/02/2007;1500;1500;1500;1500;85
2007-02-12;12/02/2007;1500;1500;1500;1500;80
2007-02-13;13/02/2007;1450;1450;1450;1450;80
2007-02-14;14/02/2007;1450;1450;1450;1450;44
2007-02-16;16/02/2007;1450;1450;1450;1450;9
2007-02-19;19/02/2007;1450;1450;1450;1450;62
2007-02-20;20/02/2007;1450;1450;1450;1450;1
2007-02-22;22/02/2007;1450;1450;1450;1450;51
2007-02-26;26/02/2007;1450;1450;1450;1450;67
2007-02-28;28/02/2007;1460;1460;1460;1460;36
2007-03-01;01/03/2007;1460;1460;1460;1460;32
2007-03-05;05/03/2007;1461;1461;1461;1461;15
2007-03-06;06/03/2007;1481;1481;1481;1481;35
2007-03-07;07/03/2007;1550;1550;1550;1550;10
2007-03-12;12/03/2007;1400;1400;1400;1400;1715
2007-03-14;14/03/2007;1500;1500;1500;1500;91
2007-03-15;15/03/2007;1450;1450;1450;1450;300
2007-03-19;19/03/2007;1501;1501;1501;1501;2264
2007-03-22;22/03/2007;1510;1510;1510;1510;50
2007-03-26;26/03/2007;1550;1550;1550;1550;50
2007-03-27;27/03/2007;1600;1600;1600;1600;21
2007-03-28;28/03/2007;1720;1720;1720;1720;35
2007-03-29;29/03/2007;1720;1720;1720;1720;30
2007-04-02;02/04/2007;1840;1840;1840;1840;50
2007-04-11;11/04/2007;1840;1840;1840;1840;127
2007-04-12;12/04/2007;1840;1840;1840;1840;442
2007-04-13;13/04/2007;1850;1850;1850;1850;111
2007-04-16;16/04/2007;1950;1950;1950;1950;100
2007-04-17;17/04/2007;1950;1950;1950;1950;228
2007-04-18;18/04/2007;2000;2000;2000;2000;92
2007-04-19;19/04/2007;2015;2015;2015;2015;548
2007-04-20;20/04/2007;2015;2015;2015;2015;16
2007-04-24;24/04/2007;2160;2160;2160;2160;20
2007-04-25;25/04/2007;2300;2300;2300;2300;50
2007-04-26;26/04/2007;2300;2300;2300;2300;151
2007-04-27;27/04/2007;2300;2300;2300;2300;80
2007-04-30;30/04/2007;2290;2290;2290;2290;36
2007-05-02;02/05/2007;2290;2290;2290;2290;20
2007-05-03;03/05/2007;2291;2291;2291;2291;205
2007-05-04;04/05/2007;2291;2291;2291;2291;50
2007-05-07;07/05/2007;2291;2291;2291;2291;22
2007-05-08;08/05/2007;2291;2291;2291;2291;26
2007-05-09;09/05/2007;2291;2291;2291;2291;271
2007-05-10;10/05/2007;2291;2291;2291;2291;22
2007-05-14;14/05/2007;2291;2291;2291;2291;7
2007-05-15;15/05/2007;2292;2292;2292;2292;10
2007-05-16;16/05/2007;2292;2292;2292;2292;10
2007-05-18;18/05/2007;2300;2300;2300;2300;188
2007-05-21;21/05/2007;2300;2300;2300;2300;20
2007-05-23;23/05/2007;2350;2350;2350;2350;78
2007-05-24;24/05/2007;2350;2350;2350;2350;25
2007-05-25;25/05/2007;2350;2350;2350;2350;8
2007-05-31;31/05/2007;2400;2400;2400;2400;13
2007-06-01;01/06/2007;2550;2550;2550;2550;50
2007-06-05;05/06/2007;2670;2670;2670;2670;304
2007-06-06;06/06/2007;2670;2670;2670;2670;46
2007-06-07;07/06/2007;2670;2670;2670;2670;36
2007-06-11;11/06/2007;2670;2670;2670;2670;10
2007-06-15;15/06/2007;2471;2471;2471;2471;48
2007-06-18;18/06/2007;2471;2471;2471;2471;12
2007-06-19;19/06/2007;2471;2471;2471;2471;88
2007-06-20;20/06/2007;2501;2501;2501;2501;25
2007-06-21;21/06/2007;2500;2500;2500;2500;43
2007-06-22;22/06/2007;2500;2500;2500;2500;13
2007-06-25;25/06/2007;2500;2500;2500;2500;79
2007-06-26;26/06/2007;2500;2500;2500;2500;10
2007-06-27;27/06/2007;2670;2670;2670;2670;28
2007-07-02;02/07/2007;2670;2670;2670;2670;200
2007-07-03;03/07/2007;2670;2670;2670;2670;100
2007-07-04;04/07/2007;2670;2670;2670;2670;100
2007-07-05;05/07/2007;2670;2670;2670;2670;129
2007-07-06;06/07/2007;2670;2670;2670;2670;285
2007-07-09;09/07/2007;2670;2670;2670;2670;675
2007-07-10;10/07/2007;2670;2670;2670;2670;298
2007-07-11;11/07/2007;2670;2670;2670;2670;20
2007-07-16;16/07/2007;2300;2300;2300;2300;185
2007-07-17;17/07/2007;2292;2292;2292;2292;127
2007-07-18;18/07/2007;2250;2250;2250;2250;50
2007-07-19;19/07/2007;2251;2251;2251;2251;158
2007-07-20;20/07/2007;2251;2251;2251;2251;133
2007-07-24;24/07/2007;2310;2310;2310;2310;30
2007-07-25;25/07/2007;2310;2310;2310;2310;100
2007-07-26;26/07/2007;2483;2483;2483;2483;200
2007-07-27;27/07/2007;2485;2485;2485;2485;12
2007-07-31;31/07/2007;2500;2500;2500;2500;200
2007-08-01;01/08/2007;2500;2500;2500;2500;200
2007-08-02;02/08/2007;2500;2500;2500;2500;350
2007-08-03;03/08/2007;2500;2500;2500;2500;50
2007-08-08;08/08/2007;2500;2500;2500;2500;234
2007-08-09;09/08/2007;2550;2550;2550;2550;100
2007-08-10;10/08/2007;2551;2551;2551;2551;85
2007-08-13;13/08/2007;2551;2551;2551;2551;12
2007-08-16;16/08/2007;2800;2800;2800;2800;30
2007-08-17;17/08/2007;3001;3001;3001;3001;33
2007-08-20;20/08/2007;3100;3100;3100;3100;25
2007-08-21;21/08/2007;3100;3100;3100;3100;603
2007-08-22;22/08/2007;3001;3001;3001;3001;78
2007-08-23;23/08/2007;3001;3001;3001;3001;225
2007-08-24;24/08/2007;3001;3001;3001;3001;110
2007-08-27;27/08/2007;3090;3090;3090;3090;90
2007-08-28;28/08/2007;3100;3100;3100;3100;25
2007-08-29;29/08/2007;3100;3100;3100;3100;122
2007-08-30;30/08/2007;3000;3000;3000;3000;73
2007-08-31;31/08/2007;3000;3000;3000;3000;120
2007-09-03;03/09/2007;3000;3000;3000;3000;424
2007-09-04;04/09/2007;3000;3000;3000;3000;136
2007-09-05;05/09/2007;3000;3000;3000;3000;17
2007-09-06;06/09/2007;3000;3000;3000;3000;120
2007-09-10;10/09/2007;3000;3000;3000;3000;10
2007-09-13;13/09/2007;3000;3000;3000;3000;15
2007-09-14;14/09/2007;3000;3000;3000;3000;20
2007-09-17;17/09/2007;3000;3000;3000;3000;2
2007-09-19;19/09/2007;2900;2900;2900;2900;11
2007-09-20;20/09/2007;2900;2900;2900;2900;67
2007-09-24;24/09/2007;2900;2900;2900;2900;55
2007-09-25;25/09/2007;2900;2900;2900;2900;50
2007-09-26;26/09/2007;2900;2900;2900;2900;5
2007-09-27;27/09/2007;2800;2800;2800;2800;166
2007-09-28;28/09/2007;2800;2800;2800;2800;5
2007-10-01;01/10/2007;2800;2800;2800;2800;50
2007-10-11;11/10/2007;2800;2800;2800;2800;21122
2007-10-16;16/10/2007;2800;2800;2800;2800;200
2007-10-17;17/10/2007;2820;2820;2820;2820;38
2007-10-18;18/10/2007;2821;2821;2821;2821;10
2007-10-22;22/10/2007;3032;3032;3032;3032;21
2007-10-23;23/10/2007;3090;3090;3090;3090;10
2007-10-24;24/10/2007;3200;3200;3200;3200;487
2007-10-31;31/10/2007;3200;3200;3200;3200;45
2007-11-02;02/11/2007;3000;3000;3000;3000;30
2007-11-06;06/11/2007;3200;3200;3200;3200;300
2007-11-09;09/11/2007;3000;3000;3000;3000;186
2007-11-20;20/11/2007;3000;3000;3000;3000;11
2007-11-22;22/11/2007;3000;3000;3000;3000;25
2007-11-26;26/11/2007;2900;2900;2900;2900;51
2007-11-27;27/11/2007;2850;2850;2850;2850;134
2007-11-28;28/11/2007;2851;2851;2851;2851;110
2007-11-30;30/11/2007;2900;2900;2900;2900;52
2007-12-03;03/12/2007;2900;2900;2900;2900;56
2007-12-04;04/12/2007;2900;2900;2900;2900;53
2007-12-10;10/12/2007;2900;2900;2900;2900;227
2007-12-11;11/12/2007;2900;2900;2900;2900;250
2007-12-12;12/12/2007;2894;2894;2894;2894;225
2007-12-13;13/12/2007;2896;2896;2896;2896;58
2007-12-17;17/12/2007;2910;2910;2910;2910;58
2007-12-18;18/12/2007;2921;2921;2921;2921;18
2007-12-21;21/12/2007;2921;2921;2921;2921;82
2007-12-26;26/12/2007;2920;2920;2920;2920;117
2007-12-27;27/12/2007;2920;2920;2920;2920;552
2007-12-28;28/12/2007;2920;2920;2920;2920;133
2007-12-31;31/12/2007;2920;2920;2920;2920;150
2008-01-04;04/01/2008;2901;2901;2901;2901;206
2008-01-07;07/01/2008;2900;2900;2900;2900;130
2008-01-08;08/01/2008;2900;2900;2900;2900;38
2008-01-10;10/01/2008;2900;2900;2900;2900;5
2008-01-11;11/01/2008;2899;2899;2899;2899;200
2008-01-14;14/01/2008;2899;2899;2899;2899;1000
2008-01-15;15/01/2008;2899;2899;2899;2899;31
2008-01-16;16/01/2008;2897;2897;2897;2897;16
2008-01-17;17/01/2008;2805;2805;2805;2805;253
2008-01-18;18/01/2008;2805;2805;2805;2805;166
2008-01-21;21/01/2008;2805;2805;2805;2805;40
2008-01-22;22/01/2008;2805;2805;2805;2805;58
2008-01-23;23/01/2008;2805;2805;2805;2805;20
2008-01-24;24/01/2008;2805;2805;2805;2805;47
2008-01-25;25/01/2008;2805;2805;2805;2805;115
2008-01-28;28/01/2008;2805;2805;2805;2805;400
2008-01-29;29/01/2008;2805;2805;2805;2805;34
2008-01-30;30/01/2008;2805;2805;2805;2805;3
2008-01-31;31/01/2008;2805;2805;2805;2805;45
2008-02-01;01/02/2008;2805;2805;2805;2805;2800
2008-02-04;04/02/2008;2806;2806;2806;2806;175
2008-02-07;07/02/2008;2806;2806;2806;2806;400
2008-02-08;08/02/2008;3000;3000;3000;3000;103
2008-02-14;14/02/2008;3095;3095;3095;3095;28
