date_iso;date_fr;open;high;low;close;volume
2006-06-13;13/06/2006;1600;1600;1600;1600;81
2006-06-14;14/06/2006;1600;1600;1600;1600;160
2006-06-16;16/06/2006;1580;1580;1580;1580;31
2006-06-19;19/06/2006;1580;1580;1580;1580;161
2006-06-20;20/06/2006;1580;1580;1580;1580;95
2006-06-21;21/06/2006;1580;1580;1580;1580;34
2006-06-22;22/06/2006;1580;1580;1580;1580;10
2006-06-23;23/06/2006;1650;1650;1650;1650;10
2006-06-26;26/06/2006;1700;1700;1700;1700;60
2006-06-27;27/06/2006;1720;1720;1720;1720;30
2006-06-28;28/06/2006;1720;1720;1720;1720;10
2006-06-30;30/06/2006;1797;1797;1797;1797;10
2006-07-04;04/07/2006;1797;1797;1797;1797;176
2006-07-05;05/07/2006;1800;1800;1800;1800;30
2006-07-07;07/07/2006;1870;1870;1870;1870;30
2006-07-10;10/07/2006;1870;1870;1870;1870;60
2006-07-11;11/07/2006;1871;1871;1871;1871;89
2006-07-13;13/07/2006;2010;2010;2010;2010;53
2006-07-14;14/07/2006;2010;2010;2010;2010;192
2006-07-17;17/07/2006;2160;2160;2160;2160;50
2006-07-18;18/07/2006;2162;2162;2162;2162;95
2006-07-19;19/07/2006;2200;2200;2200;2200;100
2006-07-20;20/07/2006;2212;2212;2212;2212;54
2006-07-21;21/07/2006;2220;2220;2220;2220;200
2006-07-26;26/07/2006;2000;2000;2000;2000;4945
2006-07-28;28/07/2006;2000;2000;2000;2000;1942
2006-07-31;31/07/2006;2000;2000;2000;2000;312
2006-08-01;01/08/2006;2000;2000;2000;2000;224
2006-08-02;02/08/2006;2000;2000;2000;2000;110
2006-08-03;03/08/2006;2000;2000;2000;2000;4217
2006-08-04;04/08/2006;2000;2000;2000;2000;433
2006-08-08;08/08/2006;2000;2000;2000;2000;1020
2006-08-09;09/08/2006;2000;2000;2000;2000;140
2006-08-10;10/08/2006;2000;2000;2000;2000;31
2006-08-11;11/08/2006;2000;2000;2000;2000;60
2006-08-16;16/08/2006;2000;2000;2000;2000;78
2006-08-17;17/08/2006;2000;2000;2000;2000;150
2006-08-18;18/08/2006;2000;2000;2000;2000;200
2006-08-21;21/08/2006;2000;2000;2000;2000;300
2006-08-22;22/08/2006;2000;2000;2000;2000;142
2006-08-23;23/08/2006;1998;1998;1998;1998;50
2006-08-24;24/08/2006;2000;2000;2000;2000;108
2006-08-25;25/08/2006;2000;2000;2000;2000;40
2006-08-28;28/08/2006;2000;2000;2000;2000;452
2006-08-29;29/08/2006;2000;2000;2000;2000;860
2006-08-30;30/08/2006;2000;2000;2000;2000;403
2006-09-01;01/09/2006;2000;2000;2000;2000;100
2006-09-04;04/09/2006;2000;2000;2000;2000;220
2006-09-05;05/09/2006;1998;1998;1998;1998;47
2006-09-06;06/09/2006;2000;2000;2000;2000;40
2006-09-08;08/09/2006;2000;2000;2000;2000;10
2006-09-12;12/09/2006;2000;2000;2000;2000;16477
2006-09-13;13/09/2006;1999;1999;1999;1999;536
2006-09-18;18/09/2006;1980;1980;1980;1980;25
2006-09-19;19/09/2006;2000;2000;2000;2000;50
2006-09-20;20/09/2006;1981;1981;1981;1981;335
2006-09-21;21/09/2006;1980;1980;1980;1980;150
2006-09-22;22/09/2006;1999;1999;1999;1999;2544
2006-09-25;25/09/2006;2000;2000;2000;2000;10
2006-09-26;26/09/2006;2000;2000;2000;2000;1200
2006-09-28;28/09/2006;2000;2000;2000;2000;5464
2006-09-29;29/09/2006;2000;2000;2000;2000;35138
2006-10-03;03/10/2006;2000;2000;2000;2000;1020
2006-10-05;05/10/2006;2000;2000;2000;2000;1730
2006-10-10;10/10/2006;2000;2000;2000;2000;35
2006-10-11;11/10/2006;1980;1980;1980;1980;24
2006-10-12;12/10/2006;1980;1980;1980;1980;202
2006-10-13;13/10/2006;1980;1980;1980;1980;2
2006-10-18;18/10/2006;1960;1960;1960;1960;50
2006-10-20;20/10/2006;1960;1960;1960;1960;26
2006-10-24;24/10/2006;1960;1960;1960;1960;40
2006-10-25;25/10/2006;1959;1959;1959;1959;80
2006-10-26;26/10/2006;1900;1900;1900;1900;30
2006-10-27;27/10/2006;1900;1900;1900;1900;808
2006-10-30;30/10/2006;1850;1850;1850;1850;245
2006-10-31;31/10/2006;1988;1988;1988;1988;198
2006-11-02;02/11/2006;2137;2137;2137;2137;193
2006-11-07;07/11/2006;2469;2469;2469;2469;583
2006-11-08;08/11/2006;2469;2469;2469;2469;295
2006-11-09;09/11/2006;2471;2471;2471;2471;10
2006-11-10;10/11/2006;2600;2600;2600;2600;40
2006-11-13;13/11/2006;2649;2649;2649;2649;201
2006-11-14;14/11/2006;2649;2649;2649;2649;36
2006-11-16;16/11/2006;2640;2640;2640;2640;30
2006-11-17;17/11/2006;2600;2600;2600;2600;27
2006-11-20;20/11/2006;2640;2640;2640;2640;43
2006-11-21;21/11/2006;2639;2639;2639;2639;10
2006-11-22;22/11/2006;2639;2639;2639;2639;66
2006-11-23;23/11/2006;2639;2639;2639;2639;138
2006-11-24;24/11/2006;2639;2639;2639;2639;67
2006-11-28;28/11/2006;2638;2638;2638;2638;21
2006-11-29;29/11/2006;2638;2638;2638;2638;93
2006-12-04;04/12/2006;2500;2500;2500;2500;49
2006-12-05;05/12/2006;2490;2490;2490;2490;9
2006-12-06;06/12/2006;2490;2490;2490;2490;29
2006-12-07;07/12/2006;2490;2490;2490;2490;10
2006-12-08;08/12/2006;2490;2490;2490;2490;410
2006-12-11;11/12/2006;2490;2490;2490;2490;72
2006-12-12;12/12/2006;2492;2492;2492;2492;396
2006-12-13;13/12/2006;2500;2500;2500;2500;78
2006-12-14;14/12/2006;2500;2500;2500;2500;96
2006-12-19;19/12/2006;2560;2560;2560;2560;119
2006-12-20;20/12/2006;2560;2560;2560;2560;210
2006-12-21;21/12/2006;2600;2600;2600;2600;104
2006-12-22;22/12/2006;2600;2600;2600;2600;81
