date_iso;date_fr;open;high;low;close;volume
2007-02-08;08/02/2007;69;69;69;69;1
2007-06-13;13/06/2007;69;69;69;69;51
2007-06-22;22/06/2007;69;69;69;69;5
2007-07-09;09/07/2007;69;69;69;69;23
2007-07-23;23/07/2007;69;69;69;69;6
2007-07-31;31/07/2007;69;69;69;69;10
2008-05-02;02/05/2008;54;54;54;54;10
2008-05-05;05/05/2008;50;50;50;50;10
2008-05-09;09/05/2008;47;47;47;47;20
2008-06-02;02/06/2008;43;43;43;43;10
2008-06-04;04/06/2008;43;43;43;43;5
2008-07-11;11/07/2008;43;43;43;43;9
2008-08-06;06/08/2008;43;43;43;43;37
2008-08-25;25/08/2008;43;43;43;43;8
2008-08-28;28/08/2008;43;43;43;43;500
2008-08-29;29/08/2008;41;41;41;41;1004
2008-10-08;08/10/2008;49;49;49;49;15
2008-10-17;17/10/2008;52;52;52;52;77
2008-10-22;22/10/2008;55;55;55;55;10
2008-10-31;31/10/2008;55;55;55;55;140
2008-11-04;04/11/2008;59;59;59;59;10
2008-11-07;07/11/2008;59;59;59;59;1
2008-11-11;11/11/2008;59;59;59;59;3
2008-11-12;12/11/2008;59;59;59;59;1
2008-11-13;13/11/2008;59;59;59;59;2
2008-11-26;26/11/2008;60;60;60;60;34
2008-11-27;27/11/2008;60;60;60;60;140
2008-12-03;03/12/2008;55;55;55;55;140
2008-12-04;04/12/2008;51;51;51;51;150
2008-12-11;11/12/2008;50;50;50;50;10
2008-12-17;17/12/2008;50;50;50;50;68
2008-12-23;23/12/2008;50;50;50;50;517
2009-01-15;15/01/2009;50;50;50;50;2
2009-07-09;09/07/2009;50;50;50;50;9
2009-07-17;17/07/2009;50;50;50;50;3
2009-07-21;21/07/2009;50;50;50;50;47
2009-07-22;22/07/2009;50;50;50;50;20
2009-07-23;23/07/2009;50;50;50;50;10
2009-08-25;25/08/2009;50;50;50;50;5
2009-08-28;28/08/2009;50;50;50;50;30
2009-10-19;19/10/2009;50;50;50;50;10
2009-12-08;08/12/2009;50;50;50;50;17
2010-02-25;25/02/2010;46;46;46;46;12
2010-04-20;20/04/2010;46;46;46;46;1
2010-05-25;25/05/2010;46;46;46;46;1
2010-07-28;28/07/2010;46;46;46;46;27
2010-08-19;19/08/2010;46;46;46;46;25
2010-08-27;27/08/2010;46;46;46;46;19
2010-09-01;01/09/2010;46;46;46;46;8
2010-09-28;28/09/2010;46;46;46;46;5
2011-05-27;27/05/2011;40;40;40;40;40
2011-06-01;01/06/2011;37;37;37;37;13
2011-07-26;26/07/2011;34;34;34;34;774
2011-07-27;27/07/2011;31;31;31;31;925
2011-07-28;28/07/2011;29;29;29;29;143
2011-07-29;29/07/2011;29;29;29;29;110
2011-08-01;01/08/2011;29;29;29;29;259
2011-08-02;02/08/2011;29;29;29;29;26
2011-08-10;10/08/2011;29;29;29;29;1
2011-08-11;11/08/2011;29;29;29;29;13
2011-09-12;12/09/2011;35;35;35;35;100
2011-10-05;05/10/2011;37;37;37;37;14
2011-10-06;06/10/2011;40;40;40;40;10
2011-10-12;12/10/2011;43;43;43;43;10
2011-10-13;13/10/2011;45;45;45;45;15
2011-10-19;19/10/2011;48;48;48;48;14
2011-10-25;25/10/2011;48;48;48;48;10
2011-10-26;26/10/2011;48;48;48;48;26
2011-10-31;31/10/2011;50;50;50;50;40
2011-11-11;11/11/2011;50;50;50;50;321
2011-11-14;14/11/2011;50;50;50;50;200
2011-11-17;17/11/2011;50;50;50;50;45
2011-12-07;07/12/2011;48;48;48;48;43
2011-12-09;09/12/2011;48;48;48;48;1
2011-12-19;19/12/2011;48;48;48;48;5
2011-12-20;20/12/2011;48;48;48;48;5
2011-12-27;27/12/2011;48;48;48;48;1
2012-02-10;10/02/2012;48;48;48;48;20
2012-02-16;16/02/2012;48;48;48;48;14
2012-03-07;07/03/2012;47;47;47;47;12
2012-03-21;21/03/2012;44;44;44;44;12
2012-06-19;19/06/2012;44;44;44;44;3
2012-06-25;25/06/2012;44;44;44;44;3
2012-07-13;13/07/2012;44;44;44;44;35
2012-07-25;25/07/2012;44;44;44;44;54
2012-07-26;26/07/2012;45;45;45;45;13
2012-07-31;31/07/2012;45;45;45;45;36
2012-08-02;02/08/2012;45;45;45;45;12
2012-08-16;16/08/2012;45;45;45;45;51
2012-08-22;22/08/2012;48;48;48;48;11
2012-08-23;23/08/2012;52;52;52;52;14
2012-08-30;30/08/2012;52;52;52;52;22
