date_iso;date_fr;open;high;low;close;volume
2006-07-04;04/07/2006;1875;1875;1875;1875;46
2006-07-06;06/07/2006;1875;1875;1875;1875;1
2006-07-07;07/07/2006;1875;1875;1875;1875;1
2006-07-11;11/07/2006;1875;1875;1875;1875;12
2006-07-12;12/07/2006;1875;1875;1875;1875;1
2006-07-13;13/07/2006;1875;1875;1875;1875;12
2006-07-14;14/07/2006;1878;1878;1878;1878;30
2006-07-20;20/07/2006;1886;1886;1886;1886;188
2006-07-21;21/07/2006;1890;1890;1890;1890;42
2006-07-26;26/07/2006;1890;1890;1890;1890;1
2006-07-31;31/07/2006;2000;2000;2000;2000;42
2006-08-01;01/08/2006;2000;2000;2000;2000;146
2006-08-02;02/08/2006;2050;2050;2050;2050;79
2006-08-03;03/08/2006;2050;2050;2050;2050;15
2006-08-04;04/08/2006;2050;2050;2050;2050;99
2006-08-08;08/08/2006;2050;2050;2050;2050;30
2006-08-09;09/08/2006;2050;2050;2050;2050;71
2006-08-10;10/08/2006;2050;2050;2050;2050;15
2006-08-11;11/08/2006;2175;2175;2175;2175;8
2006-08-14;14/08/2006;2200;2200;2200;2200;124
2006-08-21;21/08/2006;2200;2200;2200;2200;176
2006-08-22;22/08/2006;2203;2203;2203;2203;109
2006-08-23;23/08/2006;2225;2225;2225;2225;172
2006-08-24;24/08/2006;2225;2225;2225;2225;12
2006-08-28;28/08/2006;2230;2230;2230;2230;10
2006-08-31;31/08/2006;2231;2231;2231;2231;10
2006-09-05;05/09/2006;2233;2233;2233;2233;68
2006-09-08;08/09/2006;2233;2233;2233;2233;14
2006-09-11;11/09/2006;2233;2233;2233;2233;51
2006-09-12;12/09/2006;2234;2234;2234;2234;10
2006-09-22;22/09/2006;2250;2250;2250;2250;154
2006-09-25;25/09/2006;2225;2225;2225;2225;400
2006-09-26;26/09/2006;2225;2225;2225;2225;12
2006-10-02;02/10/2006;2225;2225;2225;2225;250
2006-10-04;04/10/2006;2225;2225;2225;2225;2
2006-10-13;13/10/2006;2225;2225;2225;2225;22
2006-10-16;16/10/2006;2225;2225;2225;2225;14
2006-10-17;17/10/2006;2225;2225;2225;2225;30
2006-10-20;20/10/2006;2225;2225;2225;2225;39
2006-10-27;27/10/2006;2075;2075;2075;2075;155
2006-10-30;30/10/2006;2075;2075;2075;2075;111
2006-10-31;31/10/2006;2075;2075;2075;2075;79
2006-11-02;02/11/2006;2075;2075;2075;2075;51
2006-11-03;03/11/2006;2075;2075;2075;2075;30
2006-11-06;06/11/2006;2075;2075;2075;2075;26
2006-11-08;08/11/2006;2000;2000;2000;2000;50
2006-11-09;09/11/2006;2000;2000;2000;2000;189
2006-11-10;10/11/2006;2000;2000;2000;2000;212
2006-11-17;17/11/2006;2004;2004;2004;2004;258
2006-11-20;20/11/2006;2026;2026;2026;2026;250
2006-11-22;22/11/2006;2026;2026;2026;2026;15
2006-11-23;23/11/2006;2026;2026;2026;2026;105
2006-11-24;24/11/2006;2026;2026;2026;2026;73
2006-11-27;27/11/2006;2031;2031;2031;2031;225
2006-11-28;28/11/2006;2031;2031;2031;2031;75
2006-11-29;29/11/2006;2031;2031;2031;2031;80
2006-12-01;01/12/2006;2000;2000;2000;2000;124
2006-12-04;04/12/2006;2000;2000;2000;2000;200
2006-12-05;05/12/2006;2000;2000;2000;2000;10
2006-12-06;06/12/2006;2000;2000;2000;2000;85
2006-12-07;07/12/2006;2000;2000;2000;2000;95
2006-12-08;08/12/2006;2000;2000;2000;2000;298
2006-12-12;12/12/2006;2000;2000;2000;2000;332
2006-12-14;14/12/2006;2000;2000;2000;2000;10
2006-12-15;15/12/2006;2000;2000;2000;2000;44
2006-12-18;18/12/2006;2000;2000;2000;2000;191
2006-12-19;19/12/2006;2000;2000;2000;2000;77
2006-12-22;22/12/2006;2075;2075;2075;2075;119
2006-12-27;27/12/2006;2000;2000;2000;2000;16
2007-01-09;09/01/2007;2001;2001;2001;2001;17
2007-01-23;23/01/2007;2008;2008;2008;2008;24
2007-01-25;25/01/2007;2008;2008;2008;2008;12
2007-02-01;01/02/2007;2015;2015;2015;2015;9
2007-02-06;06/02/2007;2050;2050;2050;2050;11
2007-02-09;09/02/2007;2100;2100;2100;2100;24
2007-02-12;12/02/2007;2100;2100;2100;2100;10
2007-02-14;14/02/2007;2100;2100;2100;2100;30
2007-02-16;16/02/2007;2100;2100;2100;2100;2
2007-02-20;20/02/2007;2100;2100;2100;2100;3
2007-02-22;22/02/2007;2105;2105;2105;2105;19
2007-02-28;28/02/2007;2260;2260;2260;2260;52
2007-03-01;01/03/2007;2260;2260;2260;2260;119
2007-03-02;02/03/2007;2260;2260;2260;2260;118
2007-03-07;07/03/2007;2350;2350;2350;2350;202
2007-03-12;12/03/2007;2375;2375;2375;2375;30
2007-03-13;13/03/2007;2375;2375;2375;2375;20
2007-03-14;14/03/2007;2378;2378;2378;2378;8
2007-03-15;15/03/2007;2375;2375;2375;2375;57
2007-03-19;19/03/2007;2375;2375;2375;2375;110
2007-03-21;21/03/2007;2350;2350;2350;2350;15
2007-03-26;26/03/2007;2500;2500;2500;2500;990
2007-03-27;27/03/2007;2500;2500;2500;2500;10
2007-03-30;30/03/2007;2350;2350;2350;2350;55
2007-04-04;04/04/2007;2350;2350;2350;2350;46
2007-04-06;06/04/2007;2375;2375;2375;2375;38
2007-04-12;12/04/2007;2500;2500;2500;2500;13
2007-04-16;16/04/2007;2350;2350;2350;2350;72
2007-04-18;18/04/2007;2337;2337;2337;2337;50
2007-04-20;20/04/2007;2150;2150;2150;2150;89
2007-04-23;23/04/2007;2150;2150;2150;2150;8
2007-04-25;25/04/2007;2000;2000;2000;2000;78
2007-05-03;03/05/2007;2058;2058;2058;2058;40
2007-05-04;04/05/2007;2058;2058;2058;2058;10
2007-05-09;09/05/2007;2058;2058;2058;2058;16
2007-05-11;11/05/2007;2213;2213;2213;2213;9
2007-05-21;21/05/2007;2210;2210;2210;2210;31
2007-05-22;22/05/2007;2210;2210;2210;2210;19
2007-05-23;23/05/2007;2210;2210;2210;2210;58
2007-06-01;01/06/2007;2150;2150;2150;2150;35
2007-06-04;04/06/2007;2150;2150;2150;2150;50
2007-06-05;05/06/2007;2100;2100;2100;2100;35
2007-06-06;06/06/2007;2100;2100;2100;2100;13
2007-06-07;07/06/2007;2103;2103;2103;2103;8
2007-06-11;11/06/2007;2103;2103;2103;2103;12
2007-06-12;12/06/2007;2103;2103;2103;2103;16
2007-06-14;14/06/2007;2100;2100;2100;2100;15
2007-06-15;15/06/2007;2200;2200;2200;2200;159
2007-06-18;18/06/2007;2200;2200;2200;2200;5
2007-06-19;19/06/2007;2200;2200;2200;2200;10
2007-06-21;21/06/2007;2225;2225;2225;2225;65
2007-06-26;26/06/2007;2200;2200;2200;2200;69
2007-06-27;27/06/2007;2225;2225;2225;2225;76
2007-06-29;29/06/2007;2235;2235;2235;2235;125
2007-07-04;04/07/2007;2100;2100;2100;2100;41
2007-07-05;05/07/2007;2100;2100;2100;2100;18
2007-07-06;06/07/2007;2075;2075;2075;2075;20
2007-07-09;09/07/2007;2075;2075;2075;2075;15
2007-07-10;10/07/2007;2075;2075;2075;2075;44
2007-07-11;11/07/2007;2075;2075;2075;2075;63
2007-07-12;12/07/2007;2074;2074;2074;2074;85
2007-07-18;18/07/2007;2080;2080;2080;2080;46
2007-07-23;23/07/2007;2080;2080;2080;2080;10
2007-07-31;31/07/2007;2150;2150;2150;2150;56
2007-08-02;02/08/2007;2150;2150;2150;2150;63
2007-08-08;08/08/2007;2151;2151;2151;2151;50
2007-08-09;09/08/2007;2151;2151;2151;2151;40
2007-08-10;10/08/2007;2185;2185;2185;2185;208
2007-08-13;13/08/2007;2251;2251;2251;2251;40
2007-08-17;17/08/2007;2303;2303;2303;2303;18
2007-08-20;20/08/2007;2325;2325;2325;2325;38
2007-08-21;21/08/2007;2326;2326;2326;2326;11
2007-08-23;23/08/2007;2326;2326;2326;2326;14
2007-08-24;24/08/2007;2350;2350;2350;2350;11
2007-08-27;27/08/2007;2475;2475;2475;2475;57
2007-08-28;28/08/2007;2500;2500;2500;2500;11
2007-08-29;29/08/2007;2500;2500;2500;2500;21
2007-08-30;30/08/2007;2400;2400;2400;2400;20
2007-09-03;03/09/2007;2550;2550;2550;2550;246
2007-09-04;04/09/2007;2500;2500;2500;2500;155
2007-09-05;05/09/2007;2500;2500;2500;2500;4
2007-09-06;06/09/2007;2500;2500;2500;2500;100
2007-09-07;07/09/2007;2500;2500;2500;2500;331
2007-09-10;10/09/2007;2500;2500;2500;2500;130
2007-09-11;11/09/2007;2500;2500;2500;2500;34
2007-09-13;13/09/2007;2500;2500;2500;2500;6
2007-09-17;17/09/2007;2500;2500;2500;2500;4
2007-09-20;20/09/2007;2500;2500;2500;2500;42
2007-09-21;21/09/2007;2500;2500;2500;2500;150
2007-09-24;24/09/2007;2499;2499;2499;2499;46
2007-09-26;26/09/2007;2499;2499;2499;2499;10
2007-09-27;27/09/2007;2499;2499;2499;2499;7
2007-10-03;03/10/2007;2448;2448;2448;2448;23
2007-10-08;08/10/2007;2400;2400;2400;2400;8
2007-10-10;10/10/2007;2350;2350;2350;2350;23
2007-10-16;16/10/2007;2335;2335;2335;2335;113
2007-10-17;17/10/2007;2335;2335;2335;2335;43
2007-10-18;18/10/2007;2282;2282;2282;2282;85
2007-10-19;19/10/2007;2280;2280;2280;2280;155
2007-10-22;22/10/2007;2280;2280;2280;2280;37
2007-10-24;24/10/2007;2283;2283;2283;2283;260
2007-10-26;26/10/2007;2280;2280;2280;2280;68
2007-10-29;29/10/2007;2280;2280;2280;2280;58
2007-10-30;30/10/2007;2280;2280;2280;2280;76
2007-10-31;31/10/2007;2215;2215;2215;2215;100
2007-11-02;02/11/2007;2218;2218;2218;2218;35
2007-11-06;06/11/2007;2218;2218;2218;2218;4
2007-11-07;07/11/2007;2240;2240;2240;2240;248
2007-11-08;08/11/2007;2240;2240;2240;2240;10
2007-11-13;13/11/2007;2245;2245;2245;2245;13
2007-11-14;14/11/2007;2283;2283;2283;2283;15
2007-11-16;16/11/2007;2283;2283;2283;2283;6
2007-11-19;19/11/2007;2283;2283;2283;2283;20
2007-11-20;20/11/2007;2283;2283;2283;2283;1
2007-11-22;22/11/2007;2325;2325;2325;2325;11
2007-11-27;27/11/2007;2555;2555;2555;2555;49
2007-11-28;28/11/2007;2555;2555;2555;2555;212
2007-11-29;29/11/2007;2555;2555;2555;2555;1
2007-11-30;30/11/2007;2555;2555;2555;2555;41
2007-12-04;04/12/2007;2550;2550;2550;2550;8
2007-12-05;05/12/2007;2550;2550;2550;2550;10
2007-12-06;06/12/2007;2550;2550;2550;2550;52
2007-12-10;10/12/2007;2550;2550;2550;2550;30
2007-12-11;11/12/2007;2550;2550;2550;2550;25
2007-12-13;13/12/2007;2500;2500;2500;2500;50
2007-12-20;20/12/2007;2500;2500;2500;2500;52
2007-12-26;26/12/2007;2500;2500;2500;2500;5
2007-12-27;27/12/2007;2500;2500;2500;2500;17
2007-12-31;31/12/2007;2500;2500;2500;2500;15
2008-01-02;02/01/2008;2500;2500;2500;2500;2
2008-01-03;03/01/2008;2500;2500;2500;2500;10
2008-01-07;07/01/2008;2500;2500;2500;2500;97
2008-01-08;08/01/2008;2550;2550;2550;2550;52
2008-01-09;09/01/2008;2550;2550;2550;2550;12
2008-01-10;10/01/2008;2550;2550;2550;2550;10
2008-01-11;11/01/2008;2550;2550;2550;2550;15
2008-01-14;14/01/2008;2550;2550;2550;2550;23
2008-01-15;15/01/2008;2550;2550;2550;2550;34
2008-01-16;16/01/2008;2600;2600;2600;2600;21
2008-01-17;17/01/2008;2600;2600;2600;2600;10
2008-01-18;18/01/2008;2600;2600;2600;2600;94
