date_iso;date_fr;open;high;low;close;volume
2006-08-23;23/08/2006;660;660;660;660;81
2006-08-24;24/08/2006;660;660;660;660;2
2006-08-28;28/08/2006;660;660;660;660;20
2006-08-30;30/08/2006;660;660;660;660;25
2006-09-05;05/09/2006;670.05;670.05;670.05;670.05;10
2006-09-06;06/09/2006;670.05;670.05;670.05;670.05;15
2006-09-07;07/09/2006;671.05;671.05;671.05;671.05;10
2006-09-08;08/09/2006;671.05;671.05;671.05;671.05;5
2006-09-11;11/09/2006;671.05;671.05;671.05;671.05;2
2006-09-18;18/09/2006;671.05;671.05;671.05;671.05;5
2006-09-21;21/09/2006;625;625;625;625;9
2006-09-26;26/09/2006;625;625;625;625;5
2006-10-10;10/10/2006;625;625;625;625;2
2006-10-11;11/10/2006;625;625;625;625;1
2006-10-12;12/10/2006;625;625;625;625;81
2006-10-17;17/10/2006;625;625;625;625;1
2006-10-18;18/10/2006;625;625;625;625;7
2006-10-24;24/10/2006;625;625;625;625;30
2006-10-31;31/10/2006;625;625;625;625;15
2006-11-03;03/11/2006;625;625;625;625;4
2006-11-06;06/11/2006;625;625;625;625;5
2006-11-08;08/11/2006;625;625;625;625;8
2006-11-13;13/11/2006;625;625;625;625;1
2006-11-17;17/11/2006;625;625;625;625;3
2006-11-20;20/11/2006;625;625;625;625;6
2006-11-24;24/11/2006;625;625;625;625;101
2006-11-30;30/11/2006;625;625;625;625;35
2006-12-05;05/12/2006;625;625;625;625;17
2006-12-06;06/12/2006;625;625;625;625;30
2006-12-12;12/12/2006;625;625;625;625;5
2006-12-13;13/12/2006;625;625;625;625;4
2006-12-14;14/12/2006;625;625;625;625;52
2006-12-15;15/12/2006;625;625;625;625;2
2006-12-20;20/12/2006;625.05;625.05;625.05;625.05;9
2006-12-26;26/12/2006;627.1;627.1;627.1;627.1;11
2006-12-28;28/12/2006;627;627;627;627;20
2006-12-29;29/12/2006;627;627;627;627;66
2007-01-09;09/01/2007;627;627;627;627;1
2007-01-12;12/01/2007;627;627;627;627;19
2007-01-18;18/01/2007;627;627;627;627;21
2007-01-19;19/01/2007;627;627;627;627;10
2007-01-30;30/01/2007;624.95;624.95;624.95;624.95;10
2007-02-02;02/02/2007;624.95;624.95;624.95;624.95;15
2007-02-13;13/02/2007;624.95;624.95;624.95;624.95;2
2007-02-16;16/02/2007;624;624;624;624;46
2007-02-20;20/02/2007;624;624;624;624;7
2007-02-21;21/02/2007;624;624;624;624;18
2007-02-26;26/02/2007;624;624;624;624;3
2007-02-28;28/02/2007;624;624;624;624;1
2007-03-02;02/03/2007;620;620;620;620;15
2007-03-06;06/03/2007;619.95;619.95;619.95;619.95;8
2007-03-07;07/03/2007;619.95;619.95;619.95;619.95;51
2007-03-08;08/03/2007;619.95;619.95;619.95;619.95;20
2007-03-09;09/03/2007;619.95;619.95;619.95;619.95;10
2007-03-13;13/03/2007;619.95;619.95;619.95;619.95;9
2007-03-15;15/03/2007;619.95;619.95;619.95;619.95;2
2007-03-21;21/03/2007;619.95;619.95;619.95;619.95;3
2007-03-22;22/03/2007;619.95;619.95;619.95;619.95;5
2007-03-26;26/03/2007;619.95;619.95;619.95;619.95;21
2007-03-28;28/03/2007;619.95;619.95;619.95;619.95;4
2007-04-11;11/04/2007;619.95;619.95;619.95;619.95;1
2007-04-16;16/04/2007;619.95;619.95;619.95;619.95;25
2007-04-24;24/04/2007;619.95;619.95;619.95;619.95;15
2007-04-25;25/04/2007;619.95;619.95;619.95;619.95;21
2007-05-08;08/05/2007;620.05;620.05;620.05;620.05;30
2007-05-09;09/05/2007;619.95;619.95;619.95;619.95;10
2007-05-15;15/05/2007;635;635;635;635;41
2007-05-16;16/05/2007;665;665;665;665;20
2007-05-22;22/05/2007;711;711;711;711;10
2007-05-23;23/05/2007;711;711;711;711;20
2007-06-05;05/06/2007;764.3;764.3;764.3;764.3;50
2007-06-07;07/06/2007;764.3;764.3;764.3;764.3;5
2007-06-08;08/06/2007;764.25;764.25;764.25;764.25;18
2007-06-11;11/06/2007;750;750;750;750;10
2007-06-12;12/06/2007;750;750;750;750;22
2007-06-13;13/06/2007;750;750;750;750;5
2007-06-14;14/06/2007;770;770;770;770;18
2007-06-18;18/06/2007;827.7;827.7;827.7;827.7;55
2007-06-19;19/06/2007;827.7;827.7;827.7;827.7;80
2007-06-20;20/06/2007;827.7;827.7;827.7;827.7;31
2007-06-21;21/06/2007;830;830;830;830;20
2007-06-26;26/06/2007;860;860;860;860;10
2007-06-28;28/06/2007;880;880;880;880;30
2007-06-29;29/06/2007;880;880;880;880;5
2007-07-02;02/07/2007;880;880;880;880;29
2007-07-03;03/07/2007;880;880;880;880;28
2007-07-10;10/07/2007;849;849;849;849;13
2007-07-11;11/07/2007;800;800;800;800;10
2007-07-17;17/07/2007;789;789;789;789;150
2007-07-19;19/07/2007;760;760;760;760;9
2007-07-20;20/07/2007;755;755;755;755;9
2007-07-24;24/07/2007;750;750;750;750;18
2007-07-25;25/07/2007;750;750;750;750;128
2007-07-27;27/07/2007;750;750;750;750;4
2007-07-31;31/07/2007;750;750;750;750;3
2007-08-02;02/08/2007;750;750;750;750;1
2007-08-09;09/08/2007;770;770;770;770;45
2007-08-17;17/08/2007;800;800;800;800;16
2007-08-21;21/08/2007;825.6;825.6;825.6;825.6;15
2007-08-22;22/08/2007;840.05;840.05;840.05;840.05;32
2007-08-23;23/08/2007;840.05;840.05;840.05;840.05;252
2007-08-24;24/08/2007;840.05;840.05;840.05;840.05;50
2007-08-27;27/08/2007;840.1;840.1;840.1;840.1;44
2007-08-28;28/08/2007;840.1;840.1;840.1;840.1;1
2007-08-31;31/08/2007;840.1;840.1;840.1;840.1;3
2007-09-05;05/09/2007;840.1;840.1;840.1;840.1;9
2007-09-06;06/09/2007;840.15;840.15;840.15;840.15;25
2007-09-10;10/09/2007;840.15;840.15;840.15;840.15;5
2007-09-13;13/09/2007;840.2;840.2;840.2;840.2;10
2007-09-14;14/09/2007;850.05;850.05;850.05;850.05;10
2007-09-19;19/09/2007;850.05;850.05;850.05;850.05;20
2007-10-02;02/10/2007;865;865;865;865;100
