date_iso;date_fr;open;high;low;close;volume
2007-01-18;18/01/2007;576;576;576;576;2
2007-06-28;28/06/2007;480;480;480;480;76
2007-06-29;29/06/2007;480;480;480;480;2
2007-07-13;13/07/2007;480;480;480;480;2
2007-07-19;19/07/2007;480;480;480;480;5
2007-07-23;23/07/2007;480;480;480;480;212
2007-07-24;24/07/2007;480;480;480;480;20
2007-08-20;20/08/2007;476;476;476;476;15
2007-08-22;22/08/2007;460;460;460;460;9
2007-08-29;29/08/2007;426;426;426;426;40
2007-09-11;11/09/2007;400;400;400;400;23
2007-09-12;12/09/2007;400;400;400;400;500
2007-09-13;13/09/2007;400;400;400;400;93
2007-09-19;19/09/2007;400;400;400;400;29
2007-09-20;20/09/2007;400;400;400;400;33
2007-09-24;24/09/2007;400;400;400;400;15
2007-10-01;01/10/2007;400;400;400;400;5
2007-12-05;05/12/2007;400;400;400;400;366
2007-12-10;10/12/2007;420;420;420;420;20
2007-12-11;11/12/2007;420;420;420;420;1
2007-12-13;13/12/2007;420;420;420;420;4
2007-12-14;14/12/2007;420;420;420;420;10
2007-12-21;21/12/2007;440;440;440;440;20
2007-12-24;24/12/2007;440;440;440;440;4
2007-12-26;26/12/2007;440;440;440;440;30
2007-12-31;31/12/2007;440;440;440;440;5
2008-01-04;04/01/2008;441;441;441;441;50
2008-01-10;10/01/2008;472;472;472;472;145
2008-01-14;14/01/2008;507;507;507;507;50
2008-01-16;16/01/2008;545;545;545;545;100
2008-01-17;17/01/2008;584;584;584;584;42
2008-01-18;18/01/2008;624;624;624;624;35
2008-01-21;21/01/2008;624;624;624;624;4
2008-01-23;23/01/2008;624;624;624;624;15
2008-01-25;25/01/2008;625;625;625;625;10
2008-01-29;29/01/2008;672;672;672;672;52
2008-01-30;30/01/2008;720;720;720;720;25
2008-01-31;31/01/2008;768;768;768;768;50
2008-02-01;01/02/2008;826;826;826;826;35
2008-02-04;04/02/2008;880;880;880;880;33
2008-02-05;05/02/2008;880;880;880;880;3587
2008-02-06;06/02/2008;880;880;880;880;17
2008-03-13;13/03/2008;814;814;814;814;50
2008-04-30;30/04/2008;696;696;696;696;10
2008-05-29;29/05/2008;696;696;696;696;258
2008-05-30;30/05/2008;696;696;696;696;15
2008-06-03;03/06/2008;696;696;696;696;20
2008-06-11;11/06/2008;724;724;724;724;8
2008-06-17;17/06/2008;724;724;724;724;1415
2008-06-18;18/06/2008;724;724;724;724;2292
2008-06-19;19/06/2008;778;778;778;778;112
2008-06-20;20/06/2008;836;836;836;836;10
2008-06-23;23/06/2008;896;896;896;896;15
2008-06-24;24/06/2008;896;896;896;896;50
2008-06-25;25/06/2008;896;896;896;896;3
2008-06-27;27/06/2008;880;880;880;880;11
2008-07-01;01/07/2008;944;944;944;944;12
2008-07-07;07/07/2008;1015;1015;1015;1015;8
2008-07-09;09/07/2008;1090;1090;1090;1090;51
2008-07-10;10/07/2008;1140;1140;1140;1140;10
2008-07-11;11/07/2008;1160;1160;1160;1160;110
2008-07-15;15/07/2008;1208;1208;1208;1208;485
2008-07-17;17/07/2008;1208;1208;1208;1208;5
2008-07-22;22/07/2008;1208;1208;1208;1208;55
2008-08-01;01/08/2008;1120;1120;1120;1120;9
2008-08-21;21/08/2008;1112;1112;1112;1112;18
2008-08-22;22/08/2008;1160;1160;1160;1160;43
2008-08-25;25/08/2008;1160;1160;1160;1160;7
2008-08-26;26/08/2008;1160;1160;1160;1160;9
2008-08-28;28/08/2008;1160;1160;1160;1160;10
2008-08-29;29/08/2008;1160;1160;1160;1160;34
2008-09-09;09/09/2008;1073;1073;1073;1073;10
2008-09-10;10/09/2008;1040;1040;1040;1040;26
2008-09-12;12/09/2008;1040;1040;1040;1040;12
2008-09-16;16/09/2008;1000;1000;1000;1000;35
2008-09-22;22/09/2008;1000;1000;1000;1000;20
2008-09-23;23/09/2008;1000;1000;1000;1000;7
2008-09-24;24/09/2008;1020;1020;1020;1020;23
2008-09-25;25/09/2008;1000;1000;1000;1000;152
2008-10-02;02/10/2008;1000;1000;1000;1000;10
2008-10-15;15/10/2008;1000;1000;1000;1000;10
2008-10-17;17/10/2008;960;960;960;960;10
2008-10-28;28/10/2008;960;960;960;960;21
2008-10-30;30/10/2008;960;960;960;960;10
2008-11-04;04/11/2008;960;960;960;960;4
2009-01-27;27/01/2009;919;919;919;919;12
2009-02-04;04/02/2009;916;916;916;916;10
2009-06-03;03/06/2009;916;916;916;916;2
2009-06-26;26/06/2009;916;916;916;916;2
2009-07-01;01/07/2009;880;880;880;880;8
2009-07-16;16/07/2009;880;880;880;880;2
2009-07-23;23/07/2009;880;880;880;880;5
2009-08-12;12/08/2009;796;796;796;796;12
2009-08-17;17/08/2009;736;736;736;736;17
2009-09-10;10/09/2009;720;720;720;720;9
2009-09-23;23/09/2009;720;720;720;720;5
2009-09-25;25/09/2009;720;720;720;720;1
2010-01-21;21/01/2010;600;600;600;600;33
2010-01-22;22/01/2010;592;592;592;592;29
2010-03-05;05/03/2010;469;469;469;469;8
2010-03-10;10/03/2010;468;468;468;468;20
2010-03-18;18/03/2010;468;468;468;468;8
2010-04-16;16/04/2010;468;468;468;468;2
2010-04-27;27/04/2010;468;468;468;468;1
2010-05-05;05/05/2010;468;468;468;468;2
2010-05-07;07/05/2010;468;468;468;468;1
2010-05-11;11/05/2010;468;468;468;468;2
2010-05-19;19/05/2010;468;468;468;468;1
2010-05-21;21/05/2010;468;468;468;468;1
2010-05-26;26/05/2010;468;468;468;468;1
2010-06-01;01/06/2010;468;468;468;468;30
2010-06-02;02/06/2010;468;468;468;468;8
2010-06-04;04/06/2010;468;468;468;468;3
2010-06-15;15/06/2010;468;468;468;468;2
2010-06-16;16/06/2010;468;468;468;468;31
2010-06-22;22/06/2010;468;468;468;468;1
2010-06-24;24/06/2010;468;468;468;468;5
2010-06-28;28/06/2010;468;468;468;468;4
2010-07-01;01/07/2010;468;468;468;468;10
2010-07-14;14/07/2010;468;468;468;468;1
2010-07-29;29/07/2010;433;433;433;433;10
2010-08-16;16/08/2010;420;420;420;420;95
2010-08-18;18/08/2010;420;420;420;420;900
2010-09-07;07/09/2010;400;400;400;400;30
2010-09-09;09/09/2010;370;370;370;370;10
2010-09-28;28/09/2010;370;370;370;370;7
2010-09-30;30/09/2010;370;370;370;370;12
2010-10-05;05/10/2010;370;370;370;370;7
2010-10-21;21/10/2010;400;400;400;400;10
2010-10-29;29/10/2010;370;370;370;370;34
2010-11-12;12/11/2010;370;370;370;370;15
2010-12-10;10/12/2010;370;370;370;370;30
2010-12-22;22/12/2010;370;370;370;370;1
2011-01-27;27/01/2011;370;370;370;370;2
2011-07-12;12/07/2011;370;370;370;370;3
2011-07-14;14/07/2011;370;370;370;370;7
2011-07-26;26/07/2011;370;370;370;370;3
2011-08-02;02/08/2011;370;370;370;370;2
2011-08-03;03/08/2011;370;370;370;370;1
2011-08-04;04/08/2011;370;370;370;370;5
2011-08-05;05/08/2011;370;370;370;370;10
2011-08-16;16/08/2011;370;370;370;370;3
2011-08-22;22/08/2011;370;370;370;370;2
2011-09-06;06/09/2011;342;342;342;342;351
2011-09-14;14/09/2011;317;317;317;317;10
2011-09-23;23/09/2011;300;300;300;300;40
2011-09-30;30/09/2011;280;280;280;280;45
2011-10-03;03/10/2011;280;280;280;280;106
2011-10-05;05/10/2011;280;280;280;280;110
2011-10-07;07/10/2011;280;280;280;280;33
2011-10-27;27/10/2011;280;280;280;280;15
2011-10-28;28/10/2011;296;296;296;296;10
2011-11-04;04/11/2011;296;296;296;296;2
2011-11-11;11/11/2011;296;296;296;296;27
2011-11-18;18/11/2011;280;280;280;280;9
2011-11-28;28/11/2011;276;276;276;276;16
2011-12-07;07/12/2011;296;296;296;296;29
2011-12-09;09/12/2011;296;296;296;296;56
2011-12-12;12/12/2011;296;296;296;296;14
2011-12-14;14/12/2011;296;296;296;296;17
2011-12-27;27/12/2011;318;318;318;318;64
2012-01-11;11/01/2012;360;360;360;360;11
2012-01-18;18/01/2012;387;387;387;387;23
2012-01-19;19/01/2012;387;387;387;387;35
2012-01-27;27/01/2012;387;387;387;387;50
2012-01-30;30/01/2012;387;387;387;387;55
2012-02-03;03/02/2012;378;378;378;378;13
2012-02-07;07/02/2012;350;350;350;350;18
2012-02-08;08/02/2012;324;324;324;324;14
2012-02-10;10/02/2012;320;320;320;320;20
2012-02-14;14/02/2012;320;320;320;320;5
2012-02-15;15/02/2012;320;320;320;320;4
2012-02-20;20/02/2012;296;296;296;296;10
2012-02-22;22/02/2012;296;296;296;296;5
2012-02-28;28/02/2012;280;280;280;280;40
2012-03-01;01/03/2012;280;280;280;280;27
2012-03-02;02/03/2012;280;280;280;280;4
2012-03-07;07/03/2012;280;280;280;280;60
2012-03-13;13/03/2012;259;259;259;259;8
2012-03-15;15/03/2012;259;259;259;259;52
2012-03-21;21/03/2012;259;259;259;259;32
2012-03-27;27/03/2012;259;259;259;259;65
2012-03-28;28/03/2012;258;258;258;258;20
2012-03-29;29/03/2012;258;258;258;258;30
2012-04-02;02/04/2012;259;259;259;259;31
2012-04-03;03/04/2012;259;259;259;259;31
2012-04-04;04/04/2012;259;259;259;259;50
2012-05-15;15/05/2012;299;299;299;299;30
2012-05-18;18/05/2012;300;300;300;300;30
2012-05-30;30/05/2012;300;300;300;300;3
2012-05-31;31/05/2012;300;300;300;300;70
2012-06-01;01/06/2012;300;300;300;300;1
2012-06-04;04/06/2012;300;300;300;300;30
2012-06-05;05/06/2012;280;280;280;280;8
2012-06-07;07/06/2012;300;300;300;300;50
2012-06-08;08/06/2012;300;300;300;300;10
2012-06-11;11/06/2012;300;300;300;300;3
2012-06-13;13/06/2012;300;300;300;300;11
2012-06-14;14/06/2012;300;300;300;300;21
2012-06-21;21/06/2012;320;320;320;320;10
2012-06-25;25/06/2012;320;320;320;320;7
2012-06-26;26/06/2012;320;320;320;320;10
2012-06-28;28/06/2012;320;320;320;320;4
2012-06-29;29/06/2012;320;320;320;320;3
2012-07-06;06/07/2012;300;300;300;300;70
2012-07-09;09/07/2012;300;300;300;300;20
2012-07-11;11/07/2012;300;300;300;300;10
2012-07-12;12/07/2012;280;280;280;280;69
2012-07-16;16/07/2012;259;259;259;259;10
2012-07-23;23/07/2012;278;278;278;278;11
2012-07-24;24/07/2012;278;278;278;278;20
2012-07-26;26/07/2012;298;298;298;298;12
2012-07-27;27/07/2012;298;298;298;298;40
2012-07-30;30/07/2012;298;298;298;298;21
2012-08-01;01/08/2012;298;298;298;298;3
2012-08-09;09/08/2012;298;298;298;298;17
2012-08-10;10/08/2012;298;298;298;298;3
2012-08-28;28/08/2012;298;298;298;298;1
2012-08-29;29/08/2012;298;298;298;298;10
2012-08-30;30/08/2012;298;298;298;298;2
2012-09-04;04/09/2012;298;298;298;298;10
2012-09-12;12/09/2012;276;276;276;276;17
2012-09-19;19/09/2012;276;276;276;276;2
2012-09-21;21/09/2012;288;288;288;288;16
2012-09-24;24/09/2012;276;276;276;276;15
2012-10-02;02/10/2012;276;276;276;276;10
2012-10-05;05/10/2012;276;276;276;276;11
2012-10-10;10/10/2012;280;280;280;280;16
2012-10-11;11/10/2012;280;280;280;280;24
2012-10-19;19/10/2012;280;280;280;280;10
2012-10-22;22/10/2012;276;276;276;276;20
2012-10-24;24/10/2012;276;276;276;276;50
2012-10-25;25/10/2012;276;276;276;276;1
2012-10-30;30/10/2012;276;276;276;276;5
2012-10-31;31/10/2012;276;276;276;276;24
2012-11-05;05/11/2012;256;256;256;256;10
2012-11-06;06/11/2012;256;256;256;256;3
