date_iso;date_fr;open;high;low;close;volume
2025-01-02;02/01/2025;101.38;101.38;101.38;101.38;0
2025-01-03;03/01/2025;99.85;99.85;99.85;99.85;0
2025-01-06;06/01/2025;102.32;102.32;102.32;102.32;0
2025-01-07;07/01/2025;100.61;100.61;100.61;100.61;0
2025-01-08;08/01/2025;101.77;101.77;101.77;101.77;0
2025-01-09;09/01/2025;101.28;101.28;101.28;101.28;0
2025-01-10;10/01/2025;101.56;101.56;101.56;101.56;0
2025-01-13;13/01/2025;101.03;101.03;101.03;101.03;0
2025-01-14;14/01/2025;100.4;100.4;100.4;100.4;0
2025-01-15;15/01/2025;100.6;100.6;100.6;100.6;0
2025-01-16;16/01/2025;99.51;99.51;99.51;99.51;0
2025-01-17;17/01/2025;99.2;99.2;99.2;99.2;0
2025-01-20;20/01/2025;99.66;99.66;99.66;99.66;0
2025-01-21;21/01/2025;99.66;99.66;99.66;99.66;0
2025-01-22;22/01/2025;97.72;97.72;97.72;97.72;0
2025-01-23;23/01/2025;99.1;99.1;99.1;99.1;0
2025-01-24;24/01/2025;97.97;97.97;97.97;97.97;0
2025-01-27;27/01/2025;98.74;98.74;98.74;98.74;0
2025-01-28;28/01/2025;100.52;100.52;100.52;100.52;0
2025-01-29;29/01/2025;100.69;100.69;100.69;100.69;0
2025-01-31;31/01/2025;100.37;100.37;100.37;100.37;0
2025-02-03;03/02/2025;100.99;100.99;100.99;100.99;0
2025-02-04;04/02/2025;102.68;102.68;102.68;102.68;0
2025-02-05;05/02/2025;103.54;103.54;103.54;103.54;0
2025-02-06;06/02/2025;105.61;105.61;105.61;105.61;0
2025-02-07;07/02/2025;105.65;105.65;105.65;105.65;0
2025-02-10;10/02/2025;105.84;105.84;105.84;105.84;0
2025-02-11;11/02/2025;104.1;104.1;104.1;104.1;0
2025-02-12;12/02/2025;106.73;106.73;106.73;106.73;0
2025-02-13;13/02/2025;107.54;107.54;107.54;107.54;0
2025-02-14;14/02/2025;108.27;108.27;108.27;108.27;0
2025-02-17;17/02/2025;109.75;109.75;109.75;109.75;0
2025-02-18;18/02/2025;111.27;111.27;111.27;111.27;0
2025-02-19;19/02/2025;112.18;112.18;112.18;112.18;0
2025-02-20;20/02/2025;111.17;111.17;111.17;111.17;0
2025-02-21;21/02/2025;113.78;113.78;113.78;113.78;0
2025-02-24;24/02/2025;113.89;113.89;113.89;113.89;0
2025-02-25;25/02/2025;113.82;113.82;113.82;113.82;0
2025-02-26;26/02/2025;112.2;112.2;112.2;112.2;0
2025-02-27;27/02/2025;113.64;113.64;113.64;113.64;0
2025-02-28;28/02/2025;113.76;113.76;113.76;113.76;0
2025-03-03;03/03/2025;113.7;113.7;113.7;113.7;0
2025-03-04;04/03/2025;113.86;113.86;113.86;113.86;0
2025-03-05;05/03/2025;115.11;115.11;115.11;115.11;0
2025-03-06;06/03/2025;115;115;115;115;0
2025-03-07;07/03/2025;115.84;115.84;115.84;115.84;0
2025-03-10;10/03/2025;117.77;117.77;117.77;117.77;0
2025-03-11;11/03/2025;117.29;117.29;117.29;117.29;0
2025-03-12;12/03/2025;118.67;118.67;118.67;118.67;0
2025-03-13;13/03/2025;117.31;117.31;117.31;117.31;0
2025-03-14;14/03/2025;120.1;120.1;120.1;120.1;0
2025-03-17;17/03/2025;119.91;119.91;119.91;119.91;0
2025-03-18;18/03/2025;120.64;120.64;120.64;120.64;0
2025-03-19;19/03/2025;119.41;119.41;119.41;119.41;0
2025-03-20;20/03/2025;120.53;120.53;120.53;120.53;0
2025-03-21;21/03/2025;122.49;122.49;122.49;122.49;0
2025-03-24;24/03/2025;121.28;121.28;121.28;121.28;0
2025-03-25;25/03/2025;120.09;120.09;120.09;120.09;0
2025-03-26;26/03/2025;120.45;120.45;120.45;120.45;0
2025-03-27;27/03/2025;120.45;120.45;120.45;120.45;0
2025-03-28;28/03/2025;120.07;120.07;120.07;120.07;0
2025-03-31;31/03/2025;120.07;120.07;120.07;120.07;0
2025-04-01;01/04/2025;119.86;119.86;119.86;119.86;0
2025-04-02;02/04/2025;118.38;118.38;118.38;118.38;0
2025-04-03;03/04/2025;119.66;119.66;119.66;119.66;0
2025-04-04;04/04/2025;119.86;119.86;119.86;119.86;0
2025-04-07;07/04/2025;118.23;118.23;118.23;118.23;0
2025-04-08;08/04/2025;117.26;117.26;117.26;117.26;0
2025-04-09;09/04/2025;115.09;115.09;115.09;115.09;0
2025-04-10;10/04/2025;115.76;115.76;115.76;115.76;0
2025-04-11;11/04/2025;116.48;116.48;116.48;116.48;0
2025-04-14;14/04/2025;117.46;117.46;117.46;117.46;0
2025-04-15;15/04/2025;117.3;117.3;117.3;117.3;0
2025-04-16;16/04/2025;118.74;118.74;118.74;118.74;0
2025-04-17;17/04/2025;118.84;118.84;118.84;118.84;0
2025-04-18;18/04/2025;119.1;119.1;119.1;119.1;0
2025-04-21;21/04/2025;119.1;119.1;119.1;119.1;0
2025-04-22;22/04/2025;121.04;121.04;121.04;121.04;0
2025-04-23;23/04/2025;121.31;121.31;121.31;121.31;0
2025-04-24;24/04/2025;122.14;122.14;122.14;122.14;0
2025-04-25;25/04/2025;124.16;124.16;124.16;124.16;0
2025-04-28;28/04/2025;125.66;125.66;125.66;125.66;0
2025-04-29;29/04/2025;125.38;125.38;125.38;125.38;0
2025-04-30;30/04/2025;125.23;125.23;125.23;125.23;0
2025-05-01;01/05/2025;125.23;125.23;125.23;125.23;0
2025-05-02;02/05/2025;125.7;125.7;125.7;125.7;0
2025-05-05;05/05/2025;126.07;126.07;126.07;126.07;0
2025-05-06;06/05/2025;127.32;127.32;127.32;127.32;0
2025-05-07;07/05/2025;127.93;127.93;127.93;127.93;0
2025-05-08;08/05/2025;129.86;129.86;129.86;129.86;0
2025-05-09;09/05/2025;132.21;132.21;132.21;132.21;0
2025-05-12;12/05/2025;134.91;134.91;134.91;134.91;0
2025-05-13;13/05/2025;137.62;137.62;137.62;137.62;0
2025-05-14;14/05/2025;139.83;139.83;139.83;139.83;0
2025-05-15;15/05/2025;143.24;143.24;143.24;143.24;0
2025-05-16;16/05/2025;146.06;146.06;146.06;146.06;0
2025-05-19;19/05/2025;148.93;148.93;148.93;148.93;0
2025-05-20;20/05/2025;151.21;151.21;151.21;151.21;0
2025-05-21;21/05/2025;152.62;152.62;152.62;152.62;0
2025-05-22;22/05/2025;152.72;152.72;152.72;152.72;0
2025-05-23;23/05/2025;151.81;151.81;151.81;151.81;0
2025-05-26;26/05/2025;149.2;149.2;149.2;149.2;0
2025-05-27;27/05/2025;154.94;154.94;154.94;154.94;0
2025-05-28;28/05/2025;155.78;155.78;155.78;155.78;0
2025-05-29;29/05/2025;155.78;155.78;155.78;155.78;0
2025-05-30;30/05/2025;156.28;156.28;156.28;156.28;0
2025-06-02;02/06/2025;157.53;157.53;157.53;157.53;0
2025-06-03;03/06/2025;154.58;154.58;154.58;154.58;0
2025-06-04;04/06/2025;155.95;155.95;155.95;155.95;0
2025-06-05;05/06/2025;155.16;155.16;155.16;155.16;0
2025-06-10;10/06/2025;157.54;157.54;157.54;157.54;0
2025-06-11;11/06/2025;158.16;158.16;158.16;158.16;0
2025-06-12;12/06/2025;162.6;162.6;162.6;162.6;0
2025-06-13;13/06/2025;163.2;163.2;163.2;163.2;0
2025-06-16;16/06/2025;163.92;163.92;163.92;163.92;0
2025-06-17;17/06/2025;163.32;163.32;163.32;163.32;0
2025-06-18;18/06/2025;167.25;167.25;167.25;167.25;0
2025-06-19;19/06/2025;169.26;169.26;169.26;169.26;0
2025-06-20;20/06/2025;169.75;169.75;169.75;169.75;0
2025-06-23;23/06/2025;169.05;169.05;169.05;169.05;0
2025-06-24;24/06/2025;171.22;171.22;171.22;171.22;0
2025-06-25;25/06/2025;170.65;170.65;170.65;170.65;0
2025-06-26;26/06/2025;169.54;169.54;169.54;169.54;0
2025-06-27;27/06/2025;171.42;171.42;171.42;171.42;0
2025-06-30;30/06/2025;173.2;173.2;173.2;173.2;0
2025-07-01;01/07/2025;172.4;172.4;172.4;172.4;0
2025-07-02;02/07/2025;174.57;174.57;174.57;174.57;0
2025-07-03;03/07/2025;175.39;175.39;175.39;175.39;0
2025-07-04;04/07/2025;178.9;178.9;178.9;178.9;0
2025-07-07;07/07/2025;178.3;178.3;178.3;178.3;0
2025-07-08;08/07/2025;174.92;174.92;174.92;174.92;0
2025-07-09;09/07/2025;172.36;172.36;172.36;172.36;0
2025-07-10;10/07/2025;172.59;172.59;172.59;172.59;0
2025-07-11;11/07/2025;173.98;173.98;173.98;173.98;0
2025-07-14;14/07/2025;177.14;177.14;177.14;177.14;0
2025-07-15;15/07/2025;176.29;176.29;176.29;176.29;0
2025-07-16;16/07/2025;177.8;177.8;177.8;177.8;0
2025-07-17;17/07/2025;178.24;178.24;178.24;178.24;0
2025-07-18;18/07/2025;181.66;181.66;181.66;181.66;0
2025-07-21;21/07/2025;183.57;183.57;183.57;183.57;0
2025-07-22;22/07/2025;188.09;188.09;188.09;188.09;0
2025-07-23;23/07/2025;192.41;192.41;192.41;192.41;0
2025-07-24;24/07/2025;195.78;195.78;195.78;195.78;0
2025-07-25;25/07/2025;197.29;197.29;197.29;197.29;0
2025-07-28;28/07/2025;200.08;200.08;200.08;200.08;0
2025-07-29;29/07/2025;204.04;204.04;204.04;204.04;0
2025-07-30;30/07/2025;207.44;207.44;207.44;207.44;0
2025-07-31;31/07/2025;211.08;211.08;211.08;211.08;0
2025-08-01;01/08/2025;215.21;215.21;215.21;215.21;0
2025-08-04;04/08/2025;215.03;215.03;215.03;215.03;0
2025-08-05;05/08/2025;216.19;216.19;216.19;216.19;0
2025-08-06;06/08/2025;216.86;216.86;216.86;216.86;0
2025-08-07;07/08/2025;216.86;216.86;216.86;216.86;0
2025-08-08;08/08/2025;217.65;217.65;217.65;217.65;0
2025-08-11;11/08/2025;217.17;217.17;217.17;217.17;0
2025-08-12;12/08/2025;217.24;217.24;217.24;217.24;0
2025-08-13;13/08/2025;217.89;217.89;217.89;217.89;0
2025-08-14;14/08/2025;217.18;217.18;217.18;217.18;0
2025-08-15;15/08/2025;217.18;217.18;217.18;217.18;0
2025-08-18;18/08/2025;217.34;217.34;217.34;217.34;0
2025-08-19;19/08/2025;220.49;220.49;220.49;220.49;0
2025-08-20;20/08/2025;219.26;219.26;219.26;219.26;0
2025-08-21;21/08/2025;220.4;220.4;220.4;220.4;0
2025-08-22;22/08/2025;221.93;221.93;221.93;221.93;0
2025-08-25;25/08/2025;221.86;221.86;221.86;221.86;0
2025-08-26;26/08/2025;222.19;222.19;222.19;222.19;0
2025-08-27;27/08/2025;218.86;218.86;218.86;218.86;0
2025-08-28;28/08/2025;217.61;217.61;217.61;217.61;0
2025-08-29;29/08/2025;217.36;217.36;217.36;217.36;0
2025-09-01;01/09/2025;212.93;212.93;212.93;212.93;0
2025-09-02;02/09/2025;209.51;209.51;209.51;209.51;0
2025-09-03;03/09/2025;210.16;210.16;210.16;210.16;0
2025-09-04;04/09/2025;210.16;210.16;210.16;210.16;0
2025-09-05;05/09/2025;208.32;208.32;208.32;208.32;0
2025-09-08;08/09/2025;204.59;204.59;204.59;204.59;0
2025-09-09;09/09/2025;201.04;201.04;201.04;201.04;0
2025-09-10;10/09/2025;198.48;198.48;198.48;198.48;0
