date_iso;date_fr;open;high;low;close;volume
2025-01-02;02/01/2025;101.35;101.35;101.35;101.35;0
2025-01-03;03/01/2025;100.33;100.33;100.33;100.33;0
2025-01-06;06/01/2025;100.6;100.6;100.6;100.6;0
2025-01-07;07/01/2025;98.96;98.96;98.96;98.96;0
2025-01-08;08/01/2025;100.53;100.53;100.53;100.53;0
2025-01-09;09/01/2025;99.48;99.48;99.48;99.48;0
2025-01-10;10/01/2025;100.72;100.72;100.72;100.72;0
2025-01-13;13/01/2025;98.23;98.23;98.23;98.23;0
2025-01-14;14/01/2025;99.01;99.01;99.01;99.01;0
2025-01-15;15/01/2025;95.96;95.96;95.96;95.96;0
2025-01-16;16/01/2025;96.35;96.35;96.35;96.35;0
2025-01-17;17/01/2025;96.4;96.4;96.4;96.4;0
2025-01-20;20/01/2025;97.07;97.07;97.07;97.07;0
2025-01-21;21/01/2025;97.07;97.07;97.07;97.07;0
2025-01-22;22/01/2025;95.74;95.74;95.74;95.74;0
2025-01-23;23/01/2025;95.96;95.96;95.96;95.96;0
2025-01-24;24/01/2025;96.49;96.49;96.49;96.49;0
2025-01-27;27/01/2025;96.96;96.96;96.96;96.96;0
2025-01-28;28/01/2025;96.23;96.23;96.23;96.23;0
2025-01-29;29/01/2025;95.08;95.08;95.08;95.08;0
2025-01-31;31/01/2025;96.52;96.52;96.52;96.52;0
2025-02-03;03/02/2025;95.76;95.76;95.76;95.76;0
2025-02-04;04/02/2025;96.27;96.27;96.27;96.27;0
2025-02-05;05/02/2025;96.01;96.01;96.01;96.01;0
2025-02-06;06/02/2025;95.23;95.23;95.23;95.23;0
2025-02-07;07/02/2025;97.6;97.6;97.6;97.6;0
2025-02-10;10/02/2025;98.24;98.24;98.24;98.24;0
2025-02-11;11/02/2025;97.26;97.26;97.26;97.26;0
2025-02-12;12/02/2025;97.59;97.59;97.59;97.59;0
2025-02-13;13/02/2025;97.19;97.19;97.19;97.19;0
2025-02-14;14/02/2025;101.37;101.37;101.37;101.37;0
2025-02-17;17/02/2025;103.9;103.9;103.9;103.9;0
2025-02-18;18/02/2025;107.89;107.89;107.89;107.89;0
2025-02-19;19/02/2025;111.27;111.27;111.27;111.27;0
2025-02-20;20/02/2025;111.84;111.84;111.84;111.84;0
2025-02-21;21/02/2025;111.84;111.84;111.84;111.84;0
2025-02-24;24/02/2025;107.19;107.19;107.19;107.19;0
2025-02-25;25/02/2025;109.58;109.58;109.58;109.58;0
2025-02-26;26/02/2025;111.81;111.81;111.81;111.81;0
2025-02-27;27/02/2025;116.27;116.27;116.27;116.27;0
2025-02-28;28/02/2025;120.83;120.83;120.83;120.83;0
2025-03-03;03/03/2025;120.58;120.58;120.58;120.58;0
2025-03-04;04/03/2025;120.98;120.98;120.98;120.98;0
2025-03-05;05/03/2025;119.73;119.73;119.73;119.73;0
2025-03-06;06/03/2025;121.67;121.67;121.67;121.67;0
2025-03-07;07/03/2025;123.72;123.72;123.72;123.72;0
2025-03-10;10/03/2025;124.76;124.76;124.76;124.76;0
2025-03-11;11/03/2025;122.89;122.89;122.89;122.89;0
2025-03-12;12/03/2025;122.89;122.89;122.89;122.89;0
2025-03-13;13/03/2025;122.14;122.14;122.14;122.14;0
2025-03-14;14/03/2025;123.6;123.6;123.6;123.6;0
2025-03-17;17/03/2025;122.26;122.26;122.26;122.26;0
2025-03-18;18/03/2025;122.74;122.74;122.74;122.74;0
2025-03-19;19/03/2025;125.54;125.54;125.54;125.54;0
2025-03-20;20/03/2025;123.45;123.45;123.45;123.45;0
2025-03-21;21/03/2025;122.08;122.08;122.08;122.08;0
2025-03-24;24/03/2025;121.87;121.87;121.87;121.87;0
2025-03-25;25/03/2025;119.5;119.5;119.5;119.5;0
2025-03-26;26/03/2025;119.4;119.4;119.4;119.4;0
2025-03-27;27/03/2025;119.4;119.4;119.4;119.4;0
2025-03-28;28/03/2025;120.35;120.35;120.35;120.35;0
2025-03-31;31/03/2025;120.35;120.35;120.35;120.35;0
2025-04-01;01/04/2025;119.4;119.4;119.4;119.4;0
2025-04-02;02/04/2025;117.07;117.07;117.07;117.07;0
2025-04-03;03/04/2025;119.07;119.07;119.07;119.07;0
2025-04-04;04/04/2025;117.35;117.35;117.35;117.35;0
2025-04-07;07/04/2025;114.57;114.57;114.57;114.57;0
2025-04-08;08/04/2025;117.09;117.09;117.09;117.09;0
2025-04-09;09/04/2025;120.82;120.82;120.82;120.82;0
2025-04-10;10/04/2025;124.99;124.99;124.99;124.99;0
2025-04-11;11/04/2025;126.32;126.32;126.32;126.32;0
2025-04-14;14/04/2025;126.51;126.51;126.51;126.51;0
2025-04-15;15/04/2025;122.45;122.45;122.45;122.45;0
2025-04-16;16/04/2025;122.67;122.67;122.67;122.67;0
2025-04-17;17/04/2025;121.33;121.33;121.33;121.33;0
2025-04-18;18/04/2025;120.65;120.65;120.65;120.65;0
2025-04-21;21/04/2025;120.65;120.65;120.65;120.65;0
2025-04-22;22/04/2025;118.65;118.65;118.65;118.65;0
2025-04-23;23/04/2025;118.12;118.12;118.12;118.12;0
2025-04-24;24/04/2025;121.86;121.86;121.86;121.86;0
2025-04-25;25/04/2025;121.8;121.8;121.8;121.8;0
2025-04-28;28/04/2025;120.65;120.65;120.65;120.65;0
2025-04-29;29/04/2025;122.65;122.65;122.65;122.65;0
2025-04-30;30/04/2025;120.62;120.62;120.62;120.62;0
2025-05-01;01/05/2025;120.62;120.62;120.62;120.62;0
2025-05-02;02/05/2025;115.31;115.31;115.31;115.31;0
2025-05-05;05/05/2025;110.75;110.75;110.75;110.75;0
2025-05-06;06/05/2025;106.21;106.21;106.21;106.21;0
2025-05-07;07/05/2025;102.53;102.53;102.53;102.53;0
2025-05-08;08/05/2025;99.16;99.16;99.16;99.16;0
2025-05-09;09/05/2025;99.27;99.27;99.27;99.27;0
2025-05-12;12/05/2025;98.88;98.88;98.88;98.88;0
2025-05-13;13/05/2025;100.29;100.29;100.29;100.29;0
2025-05-14;14/05/2025;100.23;100.23;100.23;100.23;0
2025-05-15;15/05/2025;100.63;100.63;100.63;100.63;0
2025-05-16;16/05/2025;99.95;99.95;99.95;99.95;0
2025-05-19;19/05/2025;100.18;100.18;100.18;100.18;0
2025-05-20;20/05/2025;101.7;101.7;101.7;101.7;0
2025-05-21;21/05/2025;103.71;103.71;103.71;103.71;0
2025-05-22;22/05/2025;106.31;106.31;106.31;106.31;0
2025-05-23;23/05/2025;103.94;103.94;103.94;103.94;0
2025-05-26;26/05/2025;104.03;104.03;104.03;104.03;0
2025-05-27;27/05/2025;104.71;104.71;104.71;104.71;0
2025-05-28;28/05/2025;105.03;105.03;105.03;105.03;0
2025-05-29;29/05/2025;105.03;105.03;105.03;105.03;0
2025-05-30;30/05/2025;103.8;103.8;103.8;103.8;0
2025-06-02;02/06/2025;104.4;104.4;104.4;104.4;0
2025-06-03;03/06/2025;108.47;108.47;108.47;108.47;0
2025-06-04;04/06/2025;111.08;111.08;111.08;111.08;0
2025-06-05;05/06/2025;112.92;112.92;112.92;112.92;0
2025-06-10;10/06/2025;108.73;108.73;108.73;108.73;0
2025-06-11;11/06/2025;107.81;107.81;107.81;107.81;0
2025-06-12;12/06/2025;107.86;107.86;107.86;107.86;0
2025-06-13;13/06/2025;109.35;109.35;109.35;109.35;0
2025-06-16;16/06/2025;110.52;110.52;110.52;110.52;0
2025-06-17;17/06/2025;113.24;113.24;113.24;113.24;0
2025-06-18;18/06/2025;113.98;113.98;113.98;113.98;0
2025-06-19;19/06/2025;110.92;110.92;110.92;110.92;0
2025-06-20;20/06/2025;111.93;111.93;111.93;111.93;0
2025-06-23;23/06/2025;111.34;111.34;111.34;111.34;0
2025-06-24;24/06/2025;111.06;111.06;111.06;111.06;0
2025-06-25;25/06/2025;108.74;108.74;108.74;108.74;0
2025-06-26;26/06/2025;107.92;107.92;107.92;107.92;0
2025-06-27;27/06/2025;110.27;110.27;110.27;110.27;0
2025-06-30;30/06/2025;110.94;110.94;110.94;110.94;0
2025-07-01;01/07/2025;110.38;110.38;110.38;110.38;0
2025-07-02;02/07/2025;111.55;111.55;111.55;111.55;0
2025-07-03;03/07/2025;111.06;111.06;111.06;111.06;0
2025-07-04;04/07/2025;111.84;111.84;111.84;111.84;0
2025-07-07;07/07/2025;110.56;110.56;110.56;110.56;0
2025-07-08;08/07/2025;110.14;110.14;110.14;110.14;0
2025-07-09;09/07/2025;109.47;109.47;109.47;109.47;0
2025-07-10;10/07/2025;107.98;107.98;107.98;107.98;0
2025-07-11;11/07/2025;108.33;108.33;108.33;108.33;0
2025-07-14;14/07/2025;108.62;108.62;108.62;108.62;0
2025-07-15;15/07/2025;108.44;108.44;108.44;108.44;0
2025-07-16;16/07/2025;107.64;107.64;107.64;107.64;0
2025-07-17;17/07/2025;106.22;106.22;106.22;106.22;0
2025-07-18;18/07/2025;105.76;105.76;105.76;105.76;0
2025-07-21;21/07/2025;106.83;106.83;106.83;106.83;0
2025-07-22;22/07/2025;103.6;103.6;103.6;103.6;0
2025-07-23;23/07/2025;104.23;104.23;104.23;104.23;0
2025-07-24;24/07/2025;103.91;103.91;103.91;103.91;0
2025-07-25;25/07/2025;104.59;104.59;104.59;104.59;0
2025-07-28;28/07/2025;104.65;104.65;104.65;104.65;0
2025-07-29;29/07/2025;104.3;104.3;104.3;104.3;0
2025-07-30;30/07/2025;103.84;103.84;103.84;103.84;0
2025-07-31;31/07/2025;105.9;105.9;105.9;105.9;0
2025-08-01;01/08/2025;107.45;107.45;107.45;107.45;0
2025-08-04;04/08/2025;107.37;107.37;107.37;107.37;0
2025-08-05;05/08/2025;107.64;107.64;107.64;107.64;0
2025-08-06;06/08/2025;108.38;108.38;108.38;108.38;0
2025-08-07;07/08/2025;108.38;108.38;108.38;108.38;0
2025-08-08;08/08/2025;109.47;109.47;109.47;109.47;0
2025-08-11;11/08/2025;107;107;107;107;0
2025-08-12;12/08/2025;108.76;108.76;108.76;108.76;0
2025-08-13;13/08/2025;110.28;110.28;110.28;110.28;0
2025-08-14;14/08/2025;110.63;110.63;110.63;110.63;0
2025-08-15;15/08/2025;110.63;110.63;110.63;110.63;0
2025-08-18;18/08/2025;110.89;110.89;110.89;110.89;0
2025-08-19;19/08/2025;110.44;110.44;110.44;110.44;0
2025-08-20;20/08/2025;110.45;110.45;110.45;110.45;0
2025-08-21;21/08/2025;110.13;110.13;110.13;110.13;0
2025-08-22;22/08/2025;111.26;111.26;111.26;111.26;0
2025-08-25;25/08/2025;108.29;108.29;108.29;108.29;0
2025-08-26;26/08/2025;110.47;110.47;110.47;110.47;0
2025-08-27;27/08/2025;110.57;110.57;110.57;110.57;0
2025-08-28;28/08/2025;109.74;109.74;109.74;109.74;0
2025-08-29;29/08/2025;110.87;110.87;110.87;110.87;0
2025-09-01;01/09/2025;108.92;108.92;108.92;108.92;0
2025-09-02;02/09/2025;108.65;108.65;108.65;108.65;0
2025-09-03;03/09/2025;106.89;106.89;106.89;106.89;0
2025-09-04;04/09/2025;106.89;106.89;106.89;106.89;0
2025-09-05;05/09/2025;107.77;107.77;107.77;107.77;0
2025-09-08;08/09/2025;108.11;108.11;108.11;108.11;0
2025-09-09;09/09/2025;107.83;107.83;107.83;107.83;0
2025-09-10;10/09/2025;107.78;107.78;107.78;107.78;0
2025-09-11;11/09/2025;106.36;106.36;106.36;106.36;0
2025-09-12;12/09/2025;106.8;106.8;106.8;106.8;0
2025-09-15;15/09/2025;106.42;106.42;106.42;106.42;0
2025-09-16;16/09/2025;105.08;105.08;105.08;105.08;0
2025-09-17;17/09/2025;107.08;107.08;107.08;107.08;0
2025-09-18;18/09/2025;107.23;107.23;107.23;107.23;0
2025-09-19;19/09/2025;107.45;107.45;107.45;107.45;0
2025-09-22;22/09/2025;107.48;107.48;107.48;107.48;0
2025-09-23;23/09/2025;108.15;108.15;108.15;108.15;0
2025-09-24;24/09/2025;107.36;107.36;107.36;107.36;0
2025-09-25;25/09/2025;107.25;107.25;107.25;107.25;0
2025-09-26;26/09/2025;107.77;107.77;107.77;107.77;0
2025-09-29;29/09/2025;107.63;107.63;107.63;107.63;0
2025-09-30;30/09/2025;107.29;107.29;107.29;107.29;0
2025-10-01;01/10/2025;107.73;107.73;107.73;107.73;0
2025-10-02;02/10/2025;108.58;108.58;108.58;108.58;0
