date_iso;date_fr;open;high;low;close;volume
2025-01-02;02/01/2025;99.16;99.16;99.16;99.16;0
2025-01-03;03/01/2025;98.97;98.97;98.97;98.97;0
2025-01-06;06/01/2025;100.17;100.17;100.17;100.17;0
2025-01-07;07/01/2025;98.08;98.08;98.08;98.08;0
2025-01-08;08/01/2025;98.72;98.72;98.72;98.72;0
2025-01-09;09/01/2025;97.69;97.69;97.69;97.69;0
2025-01-10;10/01/2025;98.49;98.49;98.49;98.49;0
2025-01-13;13/01/2025;97.78;97.78;97.78;97.78;0
2025-01-14;14/01/2025;97.1;97.1;97.1;97.1;0
2025-01-15;15/01/2025;96.72;96.72;96.72;96.72;0
2025-01-16;16/01/2025;95.91;95.91;95.91;95.91;0
2025-01-17;17/01/2025;98.03;98.03;98.03;98.03;0
2025-01-20;20/01/2025;98.38;98.38;98.38;98.38;0
2025-01-21;21/01/2025;98.38;98.38;98.38;98.38;0
2025-01-22;22/01/2025;98.7;98.7;98.7;98.7;0
2025-01-23;23/01/2025;98.37;98.37;98.37;98.37;0
2025-01-24;24/01/2025;98.69;98.69;98.69;98.69;0
2025-01-27;27/01/2025;98.9;98.9;98.9;98.9;0
2025-01-28;28/01/2025;97.35;97.35;97.35;97.35;0
2025-01-29;29/01/2025;97.47;97.47;97.47;97.47;0
2025-01-31;31/01/2025;98.24;98.24;98.24;98.24;0
2025-02-03;03/02/2025;98.25;98.25;98.25;98.25;0
2025-02-04;04/02/2025;98.48;98.48;98.48;98.48;0
2025-02-05;05/02/2025;98.82;98.82;98.82;98.82;0
2025-02-06;06/02/2025;99.23;99.23;99.23;99.23;0
2025-02-07;07/02/2025;100.93;100.93;100.93;100.93;0
2025-02-10;10/02/2025;104.95;104.95;104.95;104.95;0
2025-02-11;11/02/2025;103.59;103.59;103.59;103.59;0
2025-02-12;12/02/2025;104.03;104.03;104.03;104.03;0
2025-02-13;13/02/2025;104.1;104.1;104.1;104.1;0
2025-02-14;14/02/2025;103.34;103.34;103.34;103.34;0
2025-02-17;17/02/2025;103.35;103.35;103.35;103.35;0
2025-02-18;18/02/2025;102.87;102.87;102.87;102.87;0
2025-02-19;19/02/2025;103.12;103.12;103.12;103.12;0
2025-02-20;20/02/2025;103.16;103.16;103.16;103.16;0
2025-02-21;21/02/2025;104.63;104.63;104.63;104.63;0
2025-02-24;24/02/2025;105.94;105.94;105.94;105.94;0
2025-02-25;25/02/2025;105.82;105.82;105.82;105.82;0
2025-02-26;26/02/2025;105.54;105.54;105.54;105.54;0
2025-02-27;27/02/2025;105.77;105.77;105.77;105.77;0
2025-02-28;28/02/2025;106.4;106.4;106.4;106.4;0
2025-03-03;03/03/2025;107.66;107.66;107.66;107.66;0
2025-03-04;04/03/2025;109.06;109.06;109.06;109.06;0
2025-03-05;05/03/2025;111.99;111.99;111.99;111.99;0
2025-03-06;06/03/2025;113.81;113.81;113.81;113.81;0
2025-03-07;07/03/2025;114.13;114.13;114.13;114.13;0
2025-03-10;10/03/2025;116.3;116.3;116.3;116.3;0
2025-03-11;11/03/2025;116.77;116.77;116.77;116.77;0
2025-03-12;12/03/2025;116;116;116;116;0
2025-03-13;13/03/2025;116.62;116.62;116.62;116.62;0
2025-03-14;14/03/2025;118.35;118.35;118.35;118.35;0
2025-03-17;17/03/2025;120.57;120.57;120.57;120.57;0
2025-03-18;18/03/2025;120.98;120.98;120.98;120.98;0
2025-03-19;19/03/2025;118.68;118.68;118.68;118.68;0
2025-03-20;20/03/2025;120.03;120.03;120.03;120.03;0
2025-03-21;21/03/2025;120.44;120.44;120.44;120.44;0
2025-03-24;24/03/2025;119.91;119.91;119.91;119.91;0
2025-03-25;25/03/2025;118.82;118.82;118.82;118.82;0
2025-03-26;26/03/2025;118.27;118.27;118.27;118.27;0
2025-03-27;27/03/2025;118.27;118.27;118.27;118.27;0
2025-03-28;28/03/2025;119.6;119.6;119.6;119.6;0
2025-03-31;31/03/2025;119.6;119.6;119.6;119.6;0
2025-04-01;01/04/2025;117.65;117.65;117.65;117.65;0
2025-04-02;02/04/2025;116.7;116.7;116.7;116.7;0
2025-04-03;03/04/2025;116.54;116.54;116.54;116.54;0
2025-04-04;04/04/2025;117.23;117.23;117.23;117.23;0
2025-04-07;07/04/2025;116.46;116.46;116.46;116.46;0
2025-04-08;08/04/2025;115.57;115.57;115.57;115.57;0
2025-04-09;09/04/2025;116.42;116.42;116.42;116.42;0
2025-04-10;10/04/2025;115.41;115.41;115.41;115.41;0
2025-04-11;11/04/2025;116.09;116.09;116.09;116.09;0
2025-04-14;14/04/2025;117.67;117.67;117.67;117.67;0
2025-04-15;15/04/2025;117.31;117.31;117.31;117.31;0
2025-04-16;16/04/2025;118.1;118.1;118.1;118.1;0
2025-04-17;17/04/2025;117.95;117.95;117.95;117.95;0
2025-04-18;18/04/2025;117.51;117.51;117.51;117.51;0
2025-04-21;21/04/2025;117.51;117.51;117.51;117.51;0
2025-04-22;22/04/2025;117.79;117.79;117.79;117.79;0
2025-04-23;23/04/2025;116.88;116.88;116.88;116.88;0
2025-04-24;24/04/2025;117.63;117.63;117.63;117.63;0
