date_iso;date_fr;open;high;low;close;volume
2025-01-02;02/01/2025;99.57;99.57;99.57;99.57;0
2025-01-03;03/01/2025;99.45;99.45;99.45;99.45;0
2025-01-06;06/01/2025;98.98;98.98;98.98;98.98;0
2025-01-07;07/01/2025;97.23;97.23;97.23;97.23;0
2025-01-08;08/01/2025;97.81;97.81;97.81;97.81;0
2025-01-09;09/01/2025;96.07;96.07;96.07;96.07;0
2025-01-10;10/01/2025;97.47;97.47;97.47;97.47;0
2025-01-13;13/01/2025;96.78;96.78;96.78;96.78;0
2025-01-14;14/01/2025;96.46;96.46;96.46;96.46;0
2025-01-15;15/01/2025;96.06;96.06;96.06;96.06;0
2025-01-16;16/01/2025;96.71;96.71;96.71;96.71;0
2025-01-17;17/01/2025;96.71;96.71;96.71;96.71;0
2025-01-20;20/01/2025;96.66;96.66;96.66;96.66;0
2025-01-21;21/01/2025;96.66;96.66;96.66;96.66;0
2025-01-22;22/01/2025;96.7;96.7;96.7;96.7;0
2025-01-23;23/01/2025;96.41;96.41;96.41;96.41;0
2025-01-24;24/01/2025;96.91;96.91;96.91;96.91;0
2025-01-27;27/01/2025;97.23;97.23;97.23;97.23;0
2025-01-28;28/01/2025;97.42;97.42;97.42;97.42;0
2025-01-29;29/01/2025;98.12;98.12;98.12;98.12;0
2025-01-31;31/01/2025;98.59;98.59;98.59;98.59;0
2025-02-03;03/02/2025;98.25;98.25;98.25;98.25;0
2025-02-04;04/02/2025;99.59;99.59;99.59;99.59;0
2025-02-05;05/02/2025;99.51;99.51;99.51;99.51;0
2025-02-06;06/02/2025;99.6;99.6;99.6;99.6;0
2025-02-07;07/02/2025;100.89;100.89;100.89;100.89;0
2025-02-10;10/02/2025;100.65;100.65;100.65;100.65;0
2025-02-11;11/02/2025;100.06;100.06;100.06;100.06;0
2025-02-12;12/02/2025;100.84;100.84;100.84;100.84;0
2025-02-13;13/02/2025;99.55;99.55;99.55;99.55;0
2025-02-14;14/02/2025;100.8;100.8;100.8;100.8;0
2025-02-17;17/02/2025;102.57;102.57;102.57;102.57;0
2025-02-18;18/02/2025;103.05;103.05;103.05;103.05;0
2025-02-19;19/02/2025;103.1;103.1;103.1;103.1;0
2025-02-20;20/02/2025;104.04;104.04;104.04;104.04;0
2025-02-21;21/02/2025;104.65;104.65;104.65;104.65;0
2025-02-24;24/02/2025;105.51;105.51;105.51;105.51;0
2025-02-25;25/02/2025;105.12;105.12;105.12;105.12;0
2025-02-26;26/02/2025;105.38;105.38;105.38;105.38;0
2025-02-27;27/02/2025;105.14;105.14;105.14;105.14;0
2025-02-28;28/02/2025;105.58;105.58;105.58;105.58;0
2025-03-03;03/03/2025;106.13;106.13;106.13;106.13;0
2025-03-04;04/03/2025;106.1;106.1;106.1;106.1;0
2025-03-05;05/03/2025;107.63;107.63;107.63;107.63;0
2025-03-06;06/03/2025;108.46;108.46;108.46;108.46;0
2025-03-07;07/03/2025;108.23;108.23;108.23;108.23;0
2025-03-10;10/03/2025;109.02;109.02;109.02;109.02;0
2025-03-11;11/03/2025;109.08;109.08;109.08;109.08;0
2025-03-12;12/03/2025;109.34;109.34;109.34;109.34;0
2025-03-13;13/03/2025;109.7;109.7;109.7;109.7;0
2025-03-14;14/03/2025;109.88;109.88;109.88;109.88;0
2025-03-17;17/03/2025;109.77;109.77;109.77;109.77;0
2025-03-18;18/03/2025;110.74;110.74;110.74;110.74;0
2025-03-19;19/03/2025;111.76;111.76;111.76;111.76;0
2025-03-20;20/03/2025;110.83;110.83;110.83;110.83;0
2025-03-21;21/03/2025;113.18;113.18;113.18;113.18;0
2025-03-24;24/03/2025;113.39;113.39;113.39;113.39;0
2025-03-25;25/03/2025;113.68;113.68;113.68;113.68;0
2025-03-26;26/03/2025;112.96;112.96;112.96;112.96;0
2025-03-27;27/03/2025;112.96;112.96;112.96;112.96;0
2025-03-28;28/03/2025;112.88;112.88;112.88;112.88;0
2025-03-31;31/03/2025;112.88;112.88;112.88;112.88;0
2025-04-01;01/04/2025;111.56;111.56;111.56;111.56;0
2025-04-02;02/04/2025;112.13;112.13;112.13;112.13;0
2025-04-03;03/04/2025;111.87;111.87;111.87;111.87;0
2025-04-04;04/04/2025;111.48;111.48;111.48;111.48;0
2025-04-07;07/04/2025;111.96;111.96;111.96;111.96;0
2025-04-08;08/04/2025;112.27;112.27;112.27;112.27;0
2025-04-09;09/04/2025;111.94;111.94;111.94;111.94;0
2025-04-10;10/04/2025;113.1;113.1;113.1;113.1;0
2025-04-11;11/04/2025;112.04;112.04;112.04;112.04;0
2025-04-14;14/04/2025;113.2;113.2;113.2;113.2;0
2025-04-15;15/04/2025;113.28;113.28;113.28;113.28;0
2025-04-16;16/04/2025;112.82;112.82;112.82;112.82;0
2025-04-17;17/04/2025;113.25;113.25;113.25;113.25;0
2025-04-18;18/04/2025;112.61;112.61;112.61;112.61;0
2025-04-21;21/04/2025;112.61;112.61;112.61;112.61;0
2025-04-22;22/04/2025;113.42;113.42;113.42;113.42;0
2025-04-23;23/04/2025;113.26;113.26;113.26;113.26;0
2025-04-24;24/04/2025;113.64;113.64;113.64;113.64;0
2025-04-25;25/04/2025;113.39;113.39;113.39;113.39;0
2025-04-28;28/04/2025;112.62;112.62;112.62;112.62;0
2025-04-29;29/04/2025;112.19;112.19;112.19;112.19;0
2025-04-30;30/04/2025;111.36;111.36;111.36;111.36;0
2025-05-01;01/05/2025;111.36;111.36;111.36;111.36;0
2025-05-02;02/05/2025;111.88;111.88;111.88;111.88;0
2025-05-05;05/05/2025;110.72;110.72;110.72;110.72;0
2025-05-06;06/05/2025;111.51;111.51;111.51;111.51;0
2025-05-07;07/05/2025;112;112;112;112;0
2025-05-08;08/05/2025;112.01;112.01;112.01;112.01;0
2025-05-09;09/05/2025;112.75;112.75;112.75;112.75;0
2025-05-12;12/05/2025;112.36;112.36;112.36;112.36;0
2025-05-13;13/05/2025;112.35;112.35;112.35;112.35;0
2025-05-14;14/05/2025;113.45;113.45;113.45;113.45;0
2025-05-15;15/05/2025;114.94;114.94;114.94;114.94;0
2025-05-16;16/05/2025;115.77;115.77;115.77;115.77;0
2025-05-19;19/05/2025;115.58;115.58;115.58;115.58;0
2025-05-20;20/05/2025;116.96;116.96;116.96;116.96;0
2025-05-21;21/05/2025;115.85;115.85;115.85;115.85;0
2025-05-22;22/05/2025;117.23;117.23;117.23;117.23;0
2025-05-23;23/05/2025;118.08;118.08;118.08;118.08;0
2025-05-26;26/05/2025;118.17;118.17;118.17;118.17;0
2025-05-27;27/05/2025;118.04;118.04;118.04;118.04;0
2025-05-28;28/05/2025;116.82;116.82;116.82;116.82;0
2025-05-29;29/05/2025;116.82;116.82;116.82;116.82;0
2025-05-30;30/05/2025;116.32;116.32;116.32;116.32;0
2025-06-02;02/06/2025;115.55;115.55;115.55;115.55;0
2025-06-03;03/06/2025;114.28;114.28;114.28;114.28;0
2025-06-04;04/06/2025;115.48;115.48;115.48;115.48;0
2025-06-05;05/06/2025;115.54;115.54;115.54;115.54;0
2025-06-10;10/06/2025;116.91;116.91;116.91;116.91;0
2025-06-11;11/06/2025;118.3;118.3;118.3;118.3;0
2025-06-12;12/06/2025;117.77;117.77;117.77;117.77;0
2025-06-13;13/06/2025;118.04;118.04;118.04;118.04;0
2025-06-16;16/06/2025;118.49;118.49;118.49;118.49;0
2025-06-17;17/06/2025;118.38;118.38;118.38;118.38;0
2025-06-18;18/06/2025;118.86;118.86;118.86;118.86;0
2025-06-19;19/06/2025;120.5;120.5;120.5;120.5;0
2025-06-20;20/06/2025;121.04;121.04;121.04;121.04;0
2025-06-23;23/06/2025;122.41;122.41;122.41;122.41;0
2025-06-24;24/06/2025;121.2;121.2;121.2;121.2;0
2025-06-25;25/06/2025;121.62;121.62;121.62;121.62;0
2025-06-26;26/06/2025;121.45;121.45;121.45;121.45;0
2025-06-27;27/06/2025;121.06;121.06;121.06;121.06;0
2025-06-30;30/06/2025;121.27;121.27;121.27;121.27;0
2025-07-01;01/07/2025;120.91;120.91;120.91;120.91;0
2025-07-02;02/07/2025;119.99;119.99;119.99;119.99;0
2025-07-03;03/07/2025;119.56;119.56;119.56;119.56;0
2025-07-04;04/07/2025;120.64;120.64;120.64;120.64;0
2025-07-07;07/07/2025;120.1;120.1;120.1;120.1;0
2025-07-08;08/07/2025;118.24;118.24;118.24;118.24;0
2025-07-09;09/07/2025;118.66;118.66;118.66;118.66;0
2025-07-10;10/07/2025;119.66;119.66;119.66;119.66;0
2025-07-11;11/07/2025;120.67;120.67;120.67;120.67;0
2025-07-14;14/07/2025;120.42;120.42;120.42;120.42;0
2025-07-15;15/07/2025;119.92;119.92;119.92;119.92;0
2025-07-16;16/07/2025;120.83;120.83;120.83;120.83;0
2025-07-17;17/07/2025;120.17;120.17;120.17;120.17;0
2025-07-18;18/07/2025;119.3;119.3;119.3;119.3;0
2025-07-21;21/07/2025;120.29;120.29;120.29;120.29;0
2025-07-22;22/07/2025;120.55;120.55;120.55;120.55;0
2025-07-23;23/07/2025;120.91;120.91;120.91;120.91;0
2025-07-24;24/07/2025;121.35;121.35;121.35;121.35;0
2025-07-25;25/07/2025;120.81;120.81;120.81;120.81;0
2025-07-28;28/07/2025;120.7;120.7;120.7;120.7;0
2025-07-29;29/07/2025;120.41;120.41;120.41;120.41;0
2025-07-30;30/07/2025;120.78;120.78;120.78;120.78;0
2025-07-31;31/07/2025;119.44;119.44;119.44;119.44;0
2025-08-01;01/08/2025;119.83;119.83;119.83;119.83;0
2025-08-04;04/08/2025;118.52;118.52;118.52;118.52;0
2025-08-05;05/08/2025;119.14;119.14;119.14;119.14;0
2025-08-06;06/08/2025;119.38;119.38;119.38;119.38;0
2025-08-07;07/08/2025;119.38;119.38;119.38;119.38;0
2025-08-08;08/08/2025;118.56;118.56;118.56;118.56;0
