date_iso;date_fr;open;high;low;close;volume
2025-01-02;02/01/2025;100.19;100.19;100.19;100.19;0
2025-01-03;03/01/2025;99.66;99.66;99.66;99.66;0
2025-01-06;06/01/2025;99.92;99.92;99.92;99.92;0
2025-01-07;07/01/2025;99.92;99.92;99.92;99.92;0
2025-01-08;08/01/2025;98.82;98.82;98.82;98.82;0
2025-01-09;09/01/2025;99.18;99.18;99.18;99.18;0
2025-01-10;10/01/2025;99.38;99.38;99.38;99.38;0
2025-01-13;13/01/2025;99.39;99.39;99.39;99.39;0
2025-01-14;14/01/2025;99.37;99.37;99.37;99.37;0
2025-01-15;15/01/2025;99.21;99.21;99.21;99.21;0
2025-01-16;16/01/2025;98.98;98.98;98.98;98.98;0
2025-01-17;17/01/2025;98.98;98.98;98.98;98.98;0
2025-01-20;20/01/2025;98.97;98.97;98.97;98.97;0
2025-01-21;21/01/2025;98.98;98.98;98.98;98.98;0
2025-01-22;22/01/2025;98.5;98.5;98.5;98.5;0
2025-01-23;23/01/2025;99.09;99.09;99.09;99.09;0
2025-01-24;24/01/2025;96.67;96.67;96.67;96.67;0
2025-01-27;27/01/2025;99.24;99.24;99.24;99.24;0
2025-01-28;28/01/2025;100.11;100.11;100.11;100.11;0
2025-01-29;29/01/2025;99.6;99.6;99.6;99.6;0
2025-01-30;30/01/2025;100.63;100.63;100.63;100.63;0
2025-01-31;31/01/2025;100.11;100.11;100.11;100.11;0
2025-02-03;03/02/2025;100.89;100.89;100.89;100.89;0
2025-02-04;04/02/2025;101.07;101.07;101.07;101.07;0
2025-02-05;05/02/2025;101.74;101.74;101.74;101.74;0
2025-02-06;06/02/2025;101.74;101.74;101.74;101.74;0
2025-02-07;07/02/2025;101.76;101.76;101.76;101.76;0
2025-02-10;10/02/2025;101.71;101.71;101.71;101.71;0
2025-02-11;11/02/2025;101.53;101.53;101.53;101.53;0
2025-02-12;12/02/2025;104.72;104.72;104.72;104.72;0
2025-02-13;13/02/2025;104.75;104.75;104.75;104.75;0
2025-02-14;14/02/2025;101.63;101.63;101.63;101.63;0
2025-02-18;18/02/2025;102.89;102.89;102.89;102.89;0
2025-02-19;19/02/2025;102.89;102.89;102.89;102.89;0
2025-02-20;20/02/2025;103.27;103.27;103.27;103.27;0
2025-02-21;21/02/2025;103.11;103.11;103.11;103.11;0
2025-02-24;24/02/2025;103.11;103.11;103.11;103.11;0
2025-02-25;25/02/2025;103.22;103.22;103.22;103.22;0
2025-02-26;26/02/2025;102.7;102.7;102.7;102.7;0
2025-02-27;27/02/2025;108.1;108.1;108.1;108.1;0
2025-02-28;28/02/2025;107.63;107.63;107.63;107.63;0
2025-03-03;03/03/2025;110.84;110.84;110.84;110.84;0
2025-03-04;04/03/2025;110.92;110.92;110.92;110.92;0
2025-03-05;05/03/2025;111.9;111.9;111.9;111.9;0
2025-03-06;06/03/2025;112.94;112.94;112.94;112.94;0
2025-03-07;07/03/2025;113.51;113.51;113.51;113.51;0
2025-03-10;10/03/2025;115.86;115.86;115.86;115.86;0
2025-03-11;11/03/2025;119.49;119.49;119.49;119.49;0
2025-03-12;12/03/2025;118.03;118.03;118.03;118.03;0
2025-03-13;13/03/2025;119.77;119.77;119.77;119.77;0
2025-03-14;14/03/2025;122.48;122.48;122.48;122.48;0
2025-03-17;17/03/2025;122.58;122.58;122.58;122.58;0
2025-03-18;18/03/2025;124.19;124.19;124.19;124.19;0
2025-03-19;19/03/2025;123.68;123.68;123.68;123.68;0
2025-03-20;20/03/2025;123.51;123.51;123.51;123.51;0
2025-03-21;21/03/2025;123.42;123.42;123.42;123.42;0
2025-03-24;24/03/2025;117.18;117.18;117.18;117.18;0
2025-03-25;25/03/2025;117.18;117.18;117.18;117.18;0
2025-03-26;26/03/2025;117.15;117.15;117.15;117.15;0
2025-03-28;28/03/2025;117.66;117.66;117.66;117.66;0
2025-04-01;01/04/2025;117.12;117.12;117.12;117.12;0
2025-04-02;02/04/2025;121.14;121.14;121.14;121.14;0
2025-04-03;03/04/2025;120.2;120.2;120.2;120.2;0
2025-04-04;04/04/2025;117.53;117.53;117.53;117.53;0
2025-04-07;07/04/2025;118.02;118.02;118.02;118.02;0
2025-04-08;08/04/2025;117.78;117.78;117.78;117.78;0
2025-04-09;09/04/2025;112.77;112.77;112.77;112.77;0
2025-04-10;10/04/2025;112.51;112.51;112.51;112.51;0
2025-04-11;11/04/2025;112.51;112.51;112.51;112.51;0
2025-04-14;14/04/2025;109.26;109.26;109.26;109.26;0
2025-04-15;15/04/2025;112.67;112.67;112.67;112.67;0
2025-04-16;16/04/2025;105.17;105.17;105.17;105.17;0
2025-04-17;17/04/2025;110.7;110.7;110.7;110.7;0
2025-04-18;18/04/2025;109.52;109.52;109.52;109.52;0
2025-04-22;22/04/2025;111.72;111.72;111.72;111.72;0
2025-04-23;23/04/2025;109.1;109.1;109.1;109.1;0
2025-04-24;24/04/2025;111.25;111.25;111.25;111.25;0
2025-04-25;25/04/2025;110.53;110.53;110.53;110.53;0
2025-04-28;28/04/2025;110.27;110.27;110.27;110.27;0
2025-04-29;29/04/2025;108.82;108.82;108.82;108.82;0
2025-04-30;30/04/2025;109.97;109.97;109.97;109.97;0
2025-05-02;02/05/2025;107.53;107.53;107.53;107.53;0
2025-05-05;05/05/2025;106.29;106.29;106.29;106.29;0
2025-05-06;06/05/2025;106.33;106.33;106.33;106.33;0
2025-05-07;07/05/2025;105.36;105.36;105.36;105.36;0
2025-05-08;08/05/2025;103.01;103.01;103.01;103.01;0
2025-05-09;09/05/2025;104.02;104.02;104.02;104.02;0
2025-05-12;12/05/2025;103.91;103.91;103.91;103.91;0
2025-05-13;13/05/2025;105.36;105.36;105.36;105.36;0
2025-05-14;14/05/2025;105.36;105.36;105.36;105.36;0
2025-05-15;15/05/2025;105.68;105.68;105.68;105.68;0
2025-05-16;16/05/2025;105.72;105.72;105.72;105.72;0
2025-05-19;19/05/2025;105.56;105.56;105.56;105.56;0
2025-05-20;20/05/2025;103.99;103.99;103.99;103.99;0
2025-05-21;21/05/2025;104.69;104.69;104.69;104.69;0
2025-05-22;22/05/2025;105.27;105.27;105.27;105.27;0
2025-05-23;23/05/2025;109.97;109.97;109.97;109.97;0
2025-05-26;26/05/2025;108.68;108.68;108.68;108.68;0
2025-05-27;27/05/2025;109.97;109.97;109.97;109.97;0
2025-05-28;28/05/2025;103.98;103.98;103.98;103.98;0
2025-05-30;30/05/2025;106.82;106.82;106.82;106.82;0
2025-06-02;02/06/2025;109.61;109.61;109.61;109.61;0
2025-06-03;03/06/2025;111.32;111.32;111.32;111.32;0
2025-06-04;04/06/2025;109.68;109.68;109.68;109.68;0
2025-06-05;05/06/2025;110.19;110.19;110.19;110.19;0
2025-06-10;10/06/2025;110.43;110.43;110.43;110.43;0
2025-06-11;11/06/2025;109.94;109.94;109.94;109.94;0
2025-06-12;12/06/2025;109.94;109.94;109.94;109.94;0
2025-06-13;13/06/2025;110.08;110.08;110.08;110.08;0
2025-06-16;16/06/2025;109.77;109.77;109.77;109.77;0
2025-06-17;17/06/2025;111.54;111.54;111.54;111.54;0
2025-06-18;18/06/2025;111.54;111.54;111.54;111.54;0
2025-06-19;19/06/2025;111.49;111.49;111.49;111.49;0
2025-06-20;20/06/2025;111.65;111.65;111.65;111.65;0
2025-06-23;23/06/2025;112.35;112.35;112.35;112.35;0
2025-06-24;24/06/2025;112.96;112.96;112.96;112.96;0
2025-06-25;25/06/2025;114.42;114.42;114.42;114.42;0
2025-06-26;26/06/2025;115.01;115.01;115.01;115.01;0
2025-06-27;27/06/2025;113.05;113.05;113.05;113.05;0
2025-06-30;30/06/2025;113.05;113.05;113.05;113.05;0
2025-07-01;01/07/2025;112.76;112.76;112.76;112.76;0
2025-07-02;02/07/2025;112.5;112.5;112.5;112.5;0
2025-07-03;03/07/2025;112.26;112.26;112.26;112.26;0
2025-07-04;04/07/2025;112.08;112.08;112.08;112.08;0
2025-07-07;07/07/2025;112.76;112.76;112.76;112.76;0
2025-07-09;09/07/2025;110.43;110.43;110.43;110.43;0
2025-07-14;14/07/2025;110.97;110.97;110.97;110.97;0
2025-07-15;15/07/2025;110.97;110.97;110.97;110.97;0
2025-07-16;16/07/2025;108.48;108.48;108.48;108.48;0
