date_iso;date_fr;open;high;low;close;volume
2025-01-02;02/01/2025;99.99;99.99;99.99;99.99;0
2025-01-03;03/01/2025;100.14;100.14;100.14;100.14;0
2025-01-06;06/01/2025;99.95;99.95;99.95;99.95;0
2025-01-07;07/01/2025;100.57;100.57;100.57;100.57;0
2025-01-08;08/01/2025;98.98;98.98;98.98;98.98;0
2025-01-09;09/01/2025;99.59;99.59;99.59;99.59;0
2025-01-10;10/01/2025;98.27;98.27;98.27;98.27;0
2025-01-13;13/01/2025;100.61;100.61;100.61;100.61;0
2025-01-14;14/01/2025;98.48;98.48;98.48;98.48;0
2025-01-15;15/01/2025;98.58;98.58;98.58;98.58;0
2025-01-16;16/01/2025;99.03;99.03;99.03;99.03;0
2025-01-17;17/01/2025;100.89;100.89;100.89;100.89;0
2025-01-20;20/01/2025;99.93;99.93;99.93;99.93;0
2025-01-21;21/01/2025;99.93;99.93;99.93;99.93;0
2025-01-22;22/01/2025;100.13;100.13;100.13;100.13;0
2025-01-23;23/01/2025;100.99;100.99;100.99;100.99;0
2025-01-24;24/01/2025;101.35;101.35;101.35;101.35;0
2025-01-27;27/01/2025;102.4;102.4;102.4;102.4;0
2025-01-28;28/01/2025;103.36;103.36;103.36;103.36;0
2025-01-29;29/01/2025;103.36;103.36;103.36;103.36;0
2025-01-31;31/01/2025;102.47;102.47;102.47;102.47;0
2025-02-03;03/02/2025;102.2;102.2;102.2;102.2;0
2025-02-04;04/02/2025;102.78;102.78;102.78;102.78;0
2025-02-05;05/02/2025;102.91;102.91;102.91;102.91;0
2025-02-06;06/02/2025;103.83;103.83;103.83;103.83;0
2025-02-07;07/02/2025;103.56;103.56;103.56;103.56;0
2025-02-10;10/02/2025;102.29;102.29;102.29;102.29;0
2025-02-11;11/02/2025;102.79;102.79;102.79;102.79;0
2025-02-12;12/02/2025;103.44;103.44;103.44;103.44;0
2025-02-13;13/02/2025;103.66;103.66;103.66;103.66;0
2025-02-14;14/02/2025;103.6;103.6;103.6;103.6;0
2025-02-17;17/02/2025;102.47;102.47;102.47;102.47;0
2025-02-18;18/02/2025;102.56;102.56;102.56;102.56;0
2025-02-19;19/02/2025;103.45;103.45;103.45;103.45;0
