date_iso;date_fr;open;high;low;close;volume
2023-01-01;01/01/2023;100;100;100;100;0
2023-01-02;02/01/2023;100;100.13;100;100.13;0
2023-01-03;03/01/2023;99.56;99.56;99.56;99.56;0
2023-01-04;04/01/2023;98.92;98.92;98.92;98.92;0
2023-01-05;05/01/2023;98.8;98.8;98.8;98.8;0
2023-01-06;06/01/2023;97.36;97.36;97.36;97.36;0
2023-01-09;09/01/2023;97.1;97.1;97.1;97.1;0
2023-01-10;10/01/2023;96.34;96.34;96.34;96.34;0
2023-01-11;11/01/2023;96.48;96.48;96.48;96.48;0
2023-01-12;12/01/2023;97.19;97.19;97.19;97.19;0
2023-01-13;13/01/2023;96.2;96.2;96.2;96.2;0
2023-01-16;16/01/2023;96.07;96.07;96.07;96.07;0
2023-01-17;17/01/2023;96.29;96.29;96.29;96.29;0
2023-01-18;18/01/2023;96.81;96.81;96.81;96.81;0
2023-01-19;19/01/2023;96.92;96.92;96.92;96.92;0
2023-01-20;20/01/2023;97.44;97.44;97.44;97.44;0
2023-01-23;23/01/2023;97.1;97.1;97.1;97.1;0
2023-01-24;24/01/2023;97.32;97.32;97.32;97.32;0
2023-01-25;25/01/2023;97.52;97.52;97.52;97.52;0
2023-01-26;26/01/2023;98.49;98.49;98.49;98.49;0
2023-01-27;27/01/2023;98.04;98.04;98.04;98.04;0
2023-01-30;30/01/2023;98.71;98.71;98.71;98.71;0
2023-01-31;31/01/2023;98.15;98.15;98.15;98.15;0
2023-02-01;01/02/2023;98.26;98.26;98.26;98.26;0
2023-02-02;02/02/2023;98.42;98.42;98.42;98.42;0
2023-02-03;03/02/2023;98.57;98.57;98.57;98.57;0
2023-02-06;06/02/2023;98.37;98.37;98.37;98.37;0
2023-02-07;07/02/2023;98.37;98.37;98.37;98.37;0
2023-02-08;08/02/2023;98.37;98.37;98.37;98.37;0
2023-02-09;09/02/2023;99.15;99.15;99.15;99.15;0
2023-02-10;10/02/2023;99.37;99.37;99.37;99.37;0
2023-02-13;13/02/2023;100.22;100.22;100.22;100.22;0
2023-02-14;14/02/2023;100.93;100.93;100.93;100.93;0
2023-02-15;15/02/2023;101.22;101.22;101.22;101.22;0
2023-02-16;16/02/2023;102.04;102.04;102.04;102.04;0
2023-02-17;17/02/2023;101.82;101.82;101.82;101.82;0
2023-02-20;20/02/2023;101.35;101.35;101.35;101.35;0
2023-02-21;21/02/2023;101.59;101.59;101.59;101.59;0
